Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,110.849998,112.599998,110.849998,112.300003,102.949585,370600
2018-03-20,112.500000,113.250000,110.550003,113.050003,103.637138,187400
2018-03-21,112.900002,113.949997,112.779999,113.000000,103.591301,224600
2018-03-22,111.800003,112.400002,110.050003,110.199997,101.024422,191600
2018-03-23,110.400002,110.400002,108.050003,108.150002,99.145119,186900
2018-03-26,109.800003,111.029999,108.000000,109.250000,100.153519,288100
2018-03-27,109.800003,109.800003,106.000000,106.900002,97.999199,474500
2018-03-28,106.949997,108.599998,105.150002,107.199997,98.274223,521700
2018-03-29,108.300003,110.500000,108.150002,109.650002,100.520226,274600
2018-04-02,109.699997,110.900002,106.099998,106.800003,97.907516,189400
2018-04-03,108.599998,109.910004,107.699997,108.750000,99.695175,525700
2018-04-04,107.199997,109.650002,105.050003,109.150002,100.061867,583800
2018-04-05,110.199997,110.699997,107.449997,109.500000,100.382736,554800
2018-04-06,108.099998,108.699997,103.550003,105.300003,96.532433,457400
2018-04-09,105.800003,106.750000,104.839996,104.949997,96.211571,248500
2018-04-10,107.000000,108.000000,105.800003,106.949997,98.045029,513300
2018-04-11,105.849998,106.849998,105.099998,106.099998,97.265831,451400
2018-04-12,106.599998,108.099998,106.500000,107.550003,98.595085,415600
2018-04-13,108.199997,109.199997,106.949997,107.250000,98.320053,422000
2018-04-16,107.849998,110.129997,107.500000,109.300003,100.199371,693900
2018-04-17,110.250000,111.199997,109.500000,110.550003,101.345291,718600
2018-04-18,111.300003,111.949997,110.430000,111.500000,102.216209,341800
2018-04-19,111.349998,111.349998,109.550003,109.699997,100.566063,254300
2018-04-20,110.050003,110.050003,107.750000,108.000000,99.007591,384400
2018-04-23,108.000000,108.699997,107.300003,108.000000,99.007591,265400
2018-04-24,108.800003,109.550003,104.949997,105.699997,96.899132,666000
2018-04-25,105.550003,107.750000,105.400002,106.800003,97.907516,520500
2018-04-26,107.250000,107.250000,98.480003,100.449997,92.086243,980200
2018-04-27,100.300003,103.050003,99.000000,102.650002,94.103073,779600
2018-04-30,103.199997,104.150002,101.599998,101.650002,93.186340,683500
2018-05-01,101.550003,103.279999,101.449997,102.500000,93.965561,598100
2018-05-02,102.449997,104.300003,101.349998,102.900002,94.332268,516100
2018-05-03,102.500000,105.199997,101.650002,104.300003,95.615692,474500
2018-05-04,103.750000,106.550003,103.449997,104.949997,96.211571,531300
2018-05-07,105.550003,107.290001,105.000000,106.449997,97.586685,410300
2018-05-08,107.800003,109.250000,107.199997,108.800003,99.740982,471700
2018-05-09,108.849998,110.050003,106.860001,109.400002,100.429489,433200
2018-05-10,109.500000,110.279999,106.150002,107.800003,98.960709,814100
2018-05-11,108.199997,110.550003,107.750000,109.750000,100.750793,340700
2018-05-14,109.699997,110.400002,109.500000,109.599998,100.613098,530100
2018-05-15,109.000000,109.599998,108.300003,109.050003,100.108215,394600
2018-05-16,109.300003,111.250000,109.099998,109.949997,100.934410,237100
2018-05-17,109.849998,111.699997,109.849998,110.500000,101.439301,161400
2018-05-18,110.750000,111.650002,110.449997,111.050003,101.944206,266800
2018-05-21,111.599998,113.550003,111.599998,113.250000,103.963806,201600
2018-05-22,113.599998,114.430000,111.099998,111.250000,102.127792,440200
2018-05-23,111.250000,112.050003,110.199997,111.750000,102.586815,331500
2018-05-24,111.800003,113.050003,110.300003,112.400002,103.183510,222900
2018-05-25,112.449997,113.400002,111.949997,113.050003,103.780212,134600
2018-05-29,112.449997,113.699997,112.199997,113.349998,104.055611,295700
2018-05-30,113.849998,116.349998,113.000000,115.250000,105.799828,280000
2018-05-31,115.050003,115.650002,112.650002,113.400002,104.101509,316500
2018-06-01,114.300003,116.000000,114.300003,115.750000,106.258835,225200
2018-06-04,115.900002,116.180000,111.949997,112.349998,103.137611,277700
2018-06-05,112.099998,113.199997,110.449997,111.800003,102.632713,220300
2018-06-06,112.349998,113.400002,111.000000,112.400002,103.183510,175700
2018-06-07,112.900002,113.250000,112.000000,113.050003,103.780212,119700
2018-06-08,113.250000,114.349998,112.949997,114.199997,104.835907,186500
2018-06-11,114.699997,116.349998,114.050003,115.699997,106.212914,185500
2018-06-12,116.000000,116.900002,115.250000,115.900002,106.396530,302500
2018-06-13,115.949997,116.300003,114.500000,115.000000,105.570320,162800
2018-06-14,115.750000,115.750000,113.300003,113.699997,104.376930,314400
2018-06-15,113.250000,115.449997,112.900002,115.099998,105.662125,372400
2018-06-18,115.150002,116.449997,114.000000,115.250000,105.799828,213200
2018-06-19,114.250000,114.250000,110.949997,113.199997,103.917915,382900
2018-06-20,113.550003,114.500000,112.150002,114.250000,104.881821,157600
2018-06-21,114.150002,114.150002,112.400002,113.300003,104.009727,133200
2018-06-22,113.800003,114.050003,112.449997,113.800003,104.468712,725900
2018-06-25,113.449997,113.449997,110.150002,111.000000,101.898323,447700
2018-06-26,111.199997,111.699997,109.550003,111.550003,102.403229,298000
2018-06-27,111.550003,112.300003,109.650002,109.750000,100.750793,236900
2018-06-28,109.699997,110.050003,108.150002,109.849998,100.842613,225200
2018-06-29,110.650002,111.699997,109.000000,109.199997,100.245888,352100
2018-07-02,108.699997,113.949997,108.699997,111.400002,102.265503,286800
2018-07-03,111.849998,112.500000,110.000000,110.500000,101.439301,115700
2018-07-05,111.099998,111.849998,109.750000,111.750000,102.586815,300200
2018-07-06,112.150002,112.900002,111.050003,111.949997,102.770409,155200
2018-07-09,112.800003,114.199997,112.300003,113.849998,104.514618,157000
2018-07-10,114.000000,114.250000,111.550003,112.199997,102.999916,178700
2018-07-11,111.800003,112.550003,110.449997,110.849998,101.760597,168500
2018-07-12,111.250000,111.430000,110.050003,110.849998,101.760597,243400
2018-07-13,109.050003,111.650002,109.050003,110.099998,101.072113,217700
2018-07-16,110.650002,111.150002,106.599998,106.800003,98.042702,458900
2018-07-17,106.699997,108.849998,106.699997,107.550003,98.731201,372600
2018-07-18,107.900002,109.900002,107.900002,109.699997,100.704895,205200
2018-07-19,109.750000,111.099998,108.949997,110.599998,101.531120,218800
2018-07-20,110.750000,111.699997,110.349998,111.000000,101.898323,184000
2018-07-23,111.449997,112.199997,110.699997,111.650002,102.495018,218000
