Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,226.820007,228.639999,225.009995,227.699997,204.709244,288700
2018-03-20,228.300003,232.279999,227.970001,230.500000,207.226532,369400
2018-03-21,230.779999,232.600006,229.080002,229.699997,206.507309,433000
2018-03-22,229.009995,234.429993,227.529999,227.949997,204.934006,516900
2018-03-23,227.750000,228.350006,222.479996,223.630005,201.050232,562700
2018-03-26,224.190002,227.919998,222.899994,226.899994,205.339828,379300
2018-03-27,227.720001,228.279999,222.210007,222.830002,201.656586,331800
2018-03-28,223.729996,225.740005,222.630005,223.729996,202.471024,241600
2018-03-29,224.440002,225.410004,221.679993,221.699997,200.633926,438600
2018-04-02,222.539993,225.649994,217.250000,219.270004,198.434860,320900
2018-04-03,220.479996,224.050003,217.789993,222.949997,201.765137,306600
2018-04-04,219.490005,226.490005,219.490005,225.630005,204.190506,249100
2018-04-05,226.649994,230.410004,226.649994,228.910004,207.158844,300600
2018-04-06,227.729996,228.720001,222.369995,223.869995,202.597748,274800
2018-04-09,225.089996,226.539993,224.130005,225.110001,203.719925,256700
2018-04-10,227.880005,232.339996,226.979996,227.270004,205.674652,415700
2018-04-11,226.610001,228.619995,226.250000,227.949997,206.290054,233200
2018-04-12,228.410004,229.440002,225.770004,225.869995,204.407700,219300
2018-04-13,227.220001,227.220001,222.529999,223.419998,202.190475,285400
2018-04-16,224.250000,225.860001,223.039993,225.470001,204.045700,251300
2018-04-17,227.169998,229.960007,225.800003,228.860001,207.113586,274400
2018-04-18,229.770004,230.509995,226.759995,226.759995,205.213120,219600
2018-04-19,227.759995,233.410004,226.520004,231.619995,209.611313,448000
2018-04-20,231.529999,232.270004,229.820007,231.360001,209.375977,282100
2018-04-23,231.850006,236.229996,231.850006,233.440002,211.258377,338700
2018-04-24,234.220001,234.949997,230.539993,230.889999,208.950668,193600
2018-04-25,230.759995,232.160004,229.789993,230.119995,208.253860,183700
2018-04-26,231.020004,231.520004,229.330002,230.029999,208.172363,183600
2018-04-27,230.460007,231.580002,228.509995,230.759995,208.833038,148100
2018-04-30,231.190002,231.190002,228.759995,229.309998,207.520798,243300
2018-05-01,228.880005,228.940002,225.250000,225.699997,204.253860,310500
2018-05-02,225.169998,225.750000,222.050003,222.160004,201.050232,399900
2018-05-03,221.559998,225.610001,221.559998,224.500000,203.167847,316800
2018-05-04,224.440002,228.399994,222.740005,227.759995,206.118103,172600
2018-05-07,228.080002,228.869995,225.809998,228.240005,206.552536,144300
2018-05-08,227.820007,229.419998,226.229996,228.550003,206.833069,276600
2018-05-09,229.210007,232.330002,228.360001,231.399994,209.412216,153700
2018-05-10,231.470001,234.779999,230.679993,233.690002,211.484650,171200
2018-05-11,234.000000,238.210007,234.000000,238.029999,215.412247,417500
2018-05-14,238.470001,239.539993,237.130005,237.869995,215.267441,177000
2018-05-15,237.050003,238.960007,235.279999,236.130005,213.692795,241100
