Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,92.190002,96.849998,91.580002,94.269997,74.564926,11154200
2018-03-29,94.519997,95.540001,93.500000,94.650002,74.865501,7399400
2018-04-02,94.000000,94.639999,90.300003,91.459999,72.342285,7816500
2018-04-03,92.339996,92.459999,88.220001,90.589996,71.654167,10449200
2018-04-04,88.709999,93.410004,88.629997,92.940002,73.512939,8841700
2018-04-05,93.070000,93.269997,91.650002,92.209999,72.935532,7045000
2018-04-06,91.449997,92.769997,88.790001,89.779999,71.013466,6761200
2018-04-09,91.389999,93.379997,90.419998,90.480003,71.567139,8302100
2018-04-10,91.500000,94.389999,90.930000,93.620003,74.050804,6253700
2018-04-11,92.580002,94.480003,92.400002,93.639999,74.066620,7135700
2018-04-12,93.709999,93.709999,92.070000,92.120003,73.619087,6402500
2018-04-13,92.629997,92.639999,91.089996,91.830002,73.387314,4630000
2018-04-16,92.889999,93.489998,92.309998,92.599998,74.002693,3922500
2018-04-17,93.199997,94.010002,92.620003,93.589996,74.793846,4474700
2018-04-18,94.000000,94.599998,93.019997,94.320000,75.377243,5289700
2018-04-19,94.430000,94.529999,91.400002,93.010002,74.330345,4972900
2018-04-20,93.410004,93.800003,92.019997,92.599998,74.002693,4754800
2018-04-23,92.930000,93.800003,92.730003,93.169998,74.458191,4716300
2018-04-24,92.949997,93.480003,90.440002,91.360001,73.011726,6378300
2018-04-25,90.959999,92.279999,90.519997,91.870003,73.419304,5487800
2018-04-26,94.000000,98.550003,93.580002,97.440002,77.870636,12594400
2018-04-27,97.440002,99.349998,96.370003,98.730003,78.901566,6117600
2018-04-30,99.050003,99.419998,96.519997,96.550003,77.159378,7449400
2018-05-01,102.099998,103.370003,101.180000,102.070000,81.570786,11910500
2018-05-02,101.169998,101.760002,99.959999,100.370003,80.212204,7625600
2018-05-03,100.199997,100.769997,98.769997,100.279999,80.140282,7699500
2018-05-04,99.900002,100.930000,99.120003,100.169998,80.052361,5224400
2018-05-07,100.750000,101.269997,99.239998,99.629997,79.620819,6151500
2018-05-08,99.129997,99.779999,98.699997,99.400002,79.436989,7620900
2018-05-09,99.440002,102.040001,98.900002,101.180000,80.859528,5665600
2018-05-10,102.580002,103.809998,101.930000,102.849998,82.194130,5369700
2018-05-11,103.459999,104.690002,102.040001,104.180000,83.257019,6358900
2018-05-14,104.400002,106.300003,104.330002,105.889999,84.623581,8471700
2018-05-15,105.379997,105.559998,103.589996,104.180000,83.257019,8387600
2018-05-16,104.459999,105.650002,104.199997,105.040001,83.944290,8296700
2018-05-17,105.099998,105.410004,104.209999,105.320000,84.168060,6702900
2018-05-18,105.269997,106.779999,105.110001,105.980003,84.695518,5328000
2018-05-21,107.000000,107.250000,105.949997,106.230003,84.895309,5797300
2018-05-22,106.550003,107.239998,106.099998,106.230003,84.895309,9456800
2018-05-23,105.849998,106.320000,104.739998,105.599998,84.391830,12816600
2018-05-24,104.550003,104.550003,101.610001,103.139999,82.425888,13164500
2018-05-25,102.290001,103.139999,99.550003,101.080002,80.779602,25301700
2018-05-29,100.269997,101.589996,98.930000,99.470001,79.492950,25494700
2018-05-30,101.860001,103.160004,100.830002,103.010002,82.321983,31273400
2018-05-31,100.930000,101.099998,98.500000,98.940002,79.069405,18910900
2018-06-01,97.930000,99.430000,97.900002,98.050003,78.358116,14837300
2018-06-04,98.480003,99.459999,97.620003,99.099998,79.197250,10922500
2018-06-05,99.110001,100.339996,98.760002,99.239998,79.309143,10199000
2018-06-06,99.250000,99.989998,98.320000,99.980003,79.900513,4933500
2018-06-07,100.250000,100.330002,98.870003,99.320000,79.373070,5092500
2018-06-08,99.279999,100.500000,99.000000,100.430000,80.260147,4012900
2018-06-11,100.559998,101.080002,99.410004,99.769997,79.732689,5770100
2018-06-12,99.800003,100.120003,98.739998,98.910004,79.045425,8060400
2018-06-13,98.919998,99.230003,97.510002,97.580002,77.982529,7816200
2018-06-14,98.379997,98.919998,97.750000,98.750000,78.917534,4648700
2018-06-15,98.769997,99.870003,98.000000,99.570000,79.572868,20806200
2018-06-18,99.150002,99.330002,98.309998,98.480003,78.701767,6425600
2018-06-19,97.889999,98.379997,96.930000,98.010002,78.326157,5528300
2018-06-20,98.220001,99.550003,97.839996,98.250000,78.517967,5842700
2018-06-21,97.709999,97.989998,95.260002,95.550003,76.360214,7225000
2018-06-22,96.059998,96.110001,93.430000,93.489998,74.713928,9454800
2018-06-25,93.470001,94.379997,92.099998,93.050003,74.362320,5573100
2018-06-26,93.360001,93.860001,92.080002,92.120003,73.619087,5117100
2018-06-27,92.360001,93.269997,91.470001,91.510002,73.131584,5833000
2018-06-28,91.339996,92.610001,90.809998,92.430000,73.866829,6698900
2018-06-29,92.839996,94.459999,92.559998,92.650002,74.042633,6787900
2018-07-02,92.059998,93.300003,91.849998,93.110001,74.410278,3854500
2018-07-03,93.580002,94.370003,93.120003,93.610001,74.809837,2452400
2018-07-05,94.459999,95.059998,93.949997,94.480003,75.505112,4744000
2018-07-06,95.199997,97.070000,94.959999,96.919998,77.455070,5867400
2018-07-09,97.980003,98.349998,96.919998,97.040001,77.550972,5953100
2018-07-10,97.110001,98.949997,96.680000,98.839996,78.989471,5119900
2018-07-11,96.260002,97.500000,94.870003,94.959999,75.888725,6230000
2018-07-12,94.919998,95.669998,94.099998,95.610001,77.188499,4672000
2018-07-13,94.959999,96.860001,94.940002,96.629997,78.011963,3712400
2018-07-16,96.760002,96.820000,95.260002,96.250000,77.705208,3783500
2018-07-17,96.269997,97.169998,95.330002,95.410004,77.027039,5107500
2018-07-18,95.269997,95.430000,94.330002,94.400002,76.211647,5521900
2018-07-19,93.220001,93.279999,87.760002,89.949997,72.619041,19747200
2018-07-20,88.709999,89.639999,86.760002,88.910004,71.779427,11791900
2018-07-23,89.169998,89.989998,88.639999,89.400002,72.175011,6316800
2018-07-24,90.510002,91.610001,89.750000,91.540001,73.902702,7965000
2018-07-25,91.080002,93.510002,91.080002,93.120003,75.178261,7494300
2018-07-26,93.949997,94.559998,92.540001,93.940002,75.840294,6812400
2018-07-27,91.339996,92.269997,88.769997,90.559998,73.111496,12905800
2018-07-30,90.669998,91.540001,89.379997,91.449997,73.830032,6466000
2018-07-31,91.650002,92.629997,91.330002,92.230003,74.459763,8691800
2018-08-01,92.290001,94.480003,92.279999,93.910004,75.816055,5330400
2018-08-02,93.580002,95.860001,93.410004,95.120003,76.792923,6023200
2018-08-03,94.889999,96.849998,94.820000,96.529999,77.931236,4876100
2018-08-06,96.260002,97.550003,95.739998,97.059998,78.359138,5134200
2018-08-07,97.300003,98.349998,93.739998,94.059998,75.937149,8890900
2018-08-08,93.519997,94.080002,92.870003,93.730003,75.670731,4535100
2018-08-09,94.199997,96.139999,93.470001,95.470001,77.075485,6176100
2018-08-10,95.349998,96.739998,95.309998,95.800003,77.341927,4446800
2018-08-13,96.000000,97.580002,95.809998,96.779999,78.133087,5920000
2018-08-14,96.720001,97.349998,95.739998,95.919998,77.438789,5580800
2018-08-15,95.919998,97.790001,95.610001,97.449997,78.673973,6861500
2018-08-16,97.839996,98.650002,97.059998,98.220001,79.295631,6332900
2018-08-17,98.220001,99.150002,96.419998,98.809998,79.771942,6307300
2018-08-20,99.330002,100.230003,97.470001,97.629997,78.819298,6172500
2018-08-21,97.860001,98.050003,96.800003,97.739998,78.908112,3528400
2018-08-22,97.839996,98.320000,97.129997,97.639999,78.827377,2963300
2018-08-23,97.690002,97.849998,96.889999,97.150002,78.431793,2137500
2018-08-24,97.139999,97.589996,96.550003,97.400002,78.633629,2996100
2018-08-27,98.110001,98.300003,97.300003,98.019997,79.134148,2456000
2018-08-28,97.790001,98.699997,97.099998,97.260002,78.520599,3515400
2018-08-29,97.430000,97.830002,96.029999,97.580002,78.778954,3637100
2018-08-30,97.500000,97.730003,96.559998,96.790001,78.141144,3434400
2018-08-31,96.250000,96.690002,95.720001,95.980003,77.487228,4703100
2018-09-04,95.970001,95.970001,94.080002,94.559998,76.340820,4456100
2018-09-05,94.339996,95.250000,94.089996,95.190002,76.849434,5188800
2018-09-06,94.790001,95.080002,92.790001,93.739998,75.678802,5416300
2018-09-07,93.650002,94.349998,91.599998,94.169998,76.025955,4051700
2018-09-10,94.980003,95.169998,93.699997,93.820000,75.743401,3156800
2018-09-11,93.720001,93.730003,92.879997,93.180000,75.226707,2638500
2018-09-12,92.389999,93.940002,92.040001,93.239998,75.275154,3304700
2018-09-13,93.419998,96.370003,93.410004,96.330002,77.769798,4850700
