Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,2.080000,2.110000,1.920000,2.020000,2.020000,1691800
2018-03-29,2.010000,2.060000,1.940000,2.010000,2.010000,1176300
2018-04-02,1.980000,2.070000,1.870000,2.010000,2.010000,1216100
2018-04-03,2.050000,2.060000,1.930000,2.020000,2.020000,841300
2018-04-04,1.990000,2.040000,1.960000,2.020000,2.020000,580100
2018-04-05,2.030000,2.220000,2.000000,2.210000,2.210000,1136600
2018-04-06,2.180000,2.250000,2.070000,2.090000,2.090000,744600
2018-04-09,2.110000,2.160000,1.920000,1.920000,1.920000,728200
2018-04-10,1.960000,1.990000,1.830000,1.860000,1.860000,1669100
2018-04-11,1.850000,1.860000,1.730000,1.800000,1.800000,2068000
2018-04-12,1.830000,1.850000,1.750000,1.840000,1.840000,1088800
2018-04-13,1.840000,1.850000,1.670000,1.700000,1.700000,1680900
2018-04-16,1.700000,1.760000,1.630000,1.750000,1.750000,1018500
2018-04-17,1.750000,1.830000,1.750000,1.750000,1.750000,759000
2018-04-18,1.770000,1.800000,1.730000,1.760000,1.760000,687500
2018-04-19,1.760000,1.790000,1.680000,1.710000,1.710000,682600
2018-04-20,1.720000,1.760000,1.660000,1.700000,1.700000,501000
2018-04-23,1.690000,1.780000,1.670000,1.720000,1.720000,500000
2018-04-24,1.730000,1.740000,1.630000,1.660000,1.660000,833700
2018-04-25,1.670000,1.670000,1.560000,1.640000,1.640000,771700
2018-04-26,1.650000,1.760000,1.620000,1.730000,1.730000,611200
2018-04-27,1.740000,1.800000,1.600000,1.610000,1.610000,627100
2018-04-30,1.610000,1.670000,1.580000,1.590000,1.590000,475500
2018-05-01,1.630000,1.740000,1.540000,1.720000,1.720000,1026900
2018-05-02,1.720000,1.740000,1.660000,1.730000,1.730000,632800
2018-05-03,1.730000,1.740000,1.620000,1.680000,1.680000,437400
2018-05-04,1.670000,1.710000,1.640000,1.660000,1.660000,222500
2018-05-07,1.670000,1.700000,1.630000,1.680000,1.680000,186700
2018-05-08,1.670000,1.710000,1.650000,1.690000,1.690000,230700
2018-05-09,1.690000,1.710000,1.650000,1.670000,1.670000,270200
2018-05-10,1.660000,1.720000,1.630000,1.700000,1.700000,308100
2018-05-11,1.690000,1.730000,1.660000,1.690000,1.690000,942400
2018-05-14,1.690000,1.690000,1.600000,1.620000,1.620000,739100
2018-05-15,1.610000,1.620000,1.540000,1.580000,1.580000,702900
2018-05-16,1.590000,1.660000,1.580000,1.640000,1.640000,451000
2018-05-17,1.650000,1.720000,1.630000,1.710000,1.710000,308800
2018-05-18,1.710000,1.840000,1.710000,1.800000,1.800000,613900
2018-05-21,1.820000,1.840000,1.730000,1.740000,1.740000,418700
2018-05-22,1.750000,1.760000,1.620000,1.670000,1.670000,354000
2018-05-23,1.660000,1.710000,1.650000,1.680000,1.680000,208900
2018-05-24,1.690000,1.720000,1.620000,1.640000,1.640000,296600
2018-05-25,1.640000,1.670000,1.610000,1.620000,1.620000,250700
2018-05-29,1.610000,1.650000,1.600000,1.600000,1.600000,158300
2018-05-30,1.680000,1.830000,1.630000,1.810000,1.810000,1242000
2018-05-31,1.800000,1.900000,1.780000,1.860000,1.860000,1214600
2018-06-01,1.880000,1.930000,1.800000,1.810000,1.810000,623300
2018-06-04,1.840000,1.870000,1.710000,1.740000,1.740000,526000
2018-06-05,1.740000,1.770000,1.700000,1.710000,1.710000,312400
2018-06-06,1.690000,1.740000,1.660000,1.670000,1.670000,356900
2018-06-07,1.680000,1.700000,1.650000,1.680000,1.680000,261100
2018-06-08,1.680000,1.740000,1.670000,1.700000,1.700000,289500
2018-06-11,1.720000,1.730000,1.680000,1.720000,1.720000,376200
2018-06-12,1.730000,1.900000,1.710000,1.880000,1.880000,1284800
2018-06-13,1.720000,1.810000,1.410000,1.570000,1.570000,3201000
2018-06-14,1.590000,1.680000,1.490000,1.510000,1.510000,1552200
2018-06-15,1.520000,1.650000,1.520000,1.620000,1.620000,1003800
2018-06-18,1.620000,1.690000,1.590000,1.650000,1.650000,504100
2018-06-19,1.650000,1.720000,1.620000,1.670000,1.670000,841600
2018-06-20,1.680000,1.740000,1.620000,1.650000,1.650000,523400
