Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,90.290001,91.470001,87.669998,89.879997,71.495872,295200
2018-03-29,90.860001,92.379997,90.860001,91.879997,73.086769,286000
2018-04-02,91.620003,93.000000,89.910004,91.570000,72.840187,246200
2018-04-03,92.389999,95.430000,92.389999,94.120003,74.868614,322700
2018-04-04,92.650002,94.370003,91.989998,93.620003,74.470886,316100
2018-04-05,94.019997,96.400002,94.019997,94.750000,75.369751,213900
2018-04-06,94.010002,95.790001,91.830002,92.410004,73.508385,273900
2018-04-09,92.230003,94.660004,91.360001,93.750000,74.574295,286100
2018-04-10,95.419998,98.330002,94.290001,97.839996,77.827728,309900
2018-04-11,96.940002,98.230003,95.510002,95.750000,76.165199,231100
2018-04-12,96.430000,97.660004,96.080002,97.160004,77.286812,180100
2018-04-13,97.250000,97.940002,96.349998,97.220001,77.334534,182600
2018-04-16,97.419998,97.500000,95.400002,95.879997,76.268616,204600
2018-04-17,96.419998,97.195000,95.989998,96.489998,76.753853,213700
2018-04-18,97.000000,99.269997,96.989998,97.470001,77.533409,394700
2018-04-19,98.389999,102.610001,98.389999,100.570000,79.999321,391400
2018-04-20,100.410004,102.089996,99.754997,100.290001,79.776604,171600
2018-04-23,100.269997,100.779999,97.919998,98.849998,78.631134,258000
2018-04-24,98.970001,99.949997,97.760002,98.150002,78.074310,300000
2018-04-25,97.690002,98.260002,94.930000,96.029999,76.387932,442900
2018-04-26,94.599998,94.599998,80.094002,82.110001,65.315155,2821000
2018-04-27,80.809998,84.500000,78.205002,79.339996,63.111729,1005300
2018-04-30,78.529999,81.239998,77.199997,80.830002,64.296967,701100
2018-05-01,80.370003,81.050003,76.970001,78.010002,62.053764,631100
2018-05-02,78.209999,78.940002,77.430000,77.779999,61.870819,579600
2018-05-03,77.739998,79.910004,77.449997,78.940002,62.793533,404600
2018-05-04,78.870003,81.639999,78.500000,80.970001,64.408325,309000
2018-05-07,81.269997,83.269997,80.110001,81.089996,64.503777,465100
2018-05-08,81.000000,81.349998,77.300003,79.230003,63.024239,505400
2018-05-09,79.239998,79.723999,76.275002,77.040001,61.282177,536900
2018-05-10,77.610001,77.675003,76.000000,76.519997,60.868523,441500
2018-05-11,76.860001,78.320000,76.860001,77.440002,61.600349,260700
2018-05-14,77.769997,79.199997,77.550003,77.660004,61.775356,265100
2018-05-15,77.260002,79.750000,76.570000,79.379997,63.143547,233500
2018-05-16,79.809998,80.779999,79.129997,80.349998,63.915157,249800
2018-05-17,80.470001,81.730003,79.934998,80.279999,63.859459,241400
2018-05-18,80.639999,80.720001,78.349998,79.150002,62.960594,227400
2018-05-21,79.940002,79.989998,78.629997,79.809998,63.485588,210500
2018-05-22,79.989998,81.394997,79.989998,80.190002,63.787872,225300
2018-05-23,79.739998,81.190002,79.139999,81.099998,64.511749,248600
2018-05-24,80.889999,81.089996,78.459999,79.480003,63.223087,323200
2018-05-25,78.470001,80.830002,78.470001,80.610001,64.121964,219300
2018-05-29,79.970001,83.680000,79.970001,82.910004,65.951515,237200
2018-05-30,83.300003,86.199997,83.169998,84.250000,67.342316,324100
2018-05-31,84.269997,85.449997,81.324997,82.160004,65.671768,351700
2018-06-01,82.779999,85.019997,82.779999,83.809998,66.990623,423100
2018-06-04,84.440002,84.830002,83.330002,83.860001,67.030594,200200
2018-06-05,83.989998,86.730003,83.875000,85.470001,68.317497,600500
2018-06-06,86.790001,86.970001,84.150002,85.620003,68.437393,329100
2018-06-07,85.730003,88.300003,85.555000,86.660004,69.268669,389700
2018-06-08,87.040001,87.879997,84.290001,85.169998,68.077705,310900
2018-06-11,85.050003,86.320000,84.370003,85.099998,68.021744,237300
2018-06-12,84.739998,85.790001,84.000000,84.739998,67.733994,351400
2018-06-13,84.709999,85.154999,83.209999,83.330002,66.606956,223000
2018-06-14,84.180000,84.180000,82.800003,83.110001,66.431099,208400
2018-06-15,81.199997,82.779999,78.120003,78.930000,63.089970,567400
2018-06-18,78.870003,79.870003,77.889999,79.629997,63.649487,411500
2018-06-19,79.370003,80.029999,77.320000,79.410004,63.473652,308500
2018-06-20,79.800003,80.629997,78.629997,80.349998,64.225006,185900
2018-06-21,80.309998,81.529999,79.540001,80.120003,64.041145,171100
2018-06-22,81.400002,82.669998,80.540001,82.379997,65.847588,281100
2018-06-25,81.919998,82.614998,78.070000,78.199997,62.506462,311200
2018-06-26,78.250000,79.910004,77.379997,79.309998,63.393700,397200
2018-06-27,79.410004,81.019997,78.669998,80.500000,64.344894,337300
2018-06-28,80.169998,80.330002,78.300003,78.360001,62.634350,218400
2018-06-29,78.180000,78.949997,76.389999,78.430000,62.690319,478200
2018-07-02,77.620003,79.169998,76.400002,77.160004,61.675182,309700
2018-07-03,77.680000,78.790001,77.680000,78.599998,62.826191,93200
2018-07-05,78.709999,79.690002,77.621002,79.589996,63.617531,233700
2018-07-06,79.519997,80.209999,78.199997,79.739998,63.737411,176600
2018-07-09,80.279999,81.730003,79.989998,80.650002,64.464798,259500
2018-07-10,81.120003,81.760002,80.330002,80.900002,64.664612,317400
2018-07-11,79.720001,79.720001,75.089996,77.239998,61.739113,356700
2018-07-12,77.199997,78.970001,76.500000,78.080002,62.410545,267000
2018-07-13,78.129997,79.000000,76.790001,76.989998,61.539295,215800
2018-07-16,76.879997,76.900002,75.519997,75.849998,60.628078,168800
2018-07-17,76.150002,79.559998,75.955002,78.910004,63.074001,267200
2018-07-18,78.629997,80.500000,78.389999,80.389999,64.256966,177100
2018-07-19,78.849998,80.504997,77.945000,79.110001,63.233841,283600
2018-07-20,79.339996,80.180000,78.629997,79.570000,63.601532,128800
2018-07-23,79.680000,81.349998,79.035004,80.190002,64.097107,300000
2018-07-24,80.919998,83.000000,80.160004,81.629997,65.248100,374800
2018-07-25,81.779999,83.500000,81.385002,83.360001,66.630936,231500
2018-07-26,83.209999,85.489998,82.680000,85.000000,67.941818,291200
2018-07-27,85.559998,85.559998,80.800003,81.309998,64.992332,385800
2018-07-30,81.550003,82.559998,80.330002,80.980003,64.728569,288300
2018-07-31,84.360001,89.620003,83.140999,84.589996,67.614082,595800
2018-08-01,84.570000,88.849998,84.570000,87.010002,69.548454,348700
2018-08-02,85.580002,88.790001,85.290001,88.339996,70.611511,323900
2018-08-03,88.410004,89.809998,87.360001,89.269997,71.354881,214100
2018-08-06,88.570000,90.930000,88.570000,89.209999,71.306923,209300
2018-08-07,89.900002,91.050003,88.290001,88.610001,70.827339,252300
2018-08-08,88.639999,89.610001,87.779999,89.260002,71.346886,192000
2018-08-09,89.000000,90.050003,88.150002,89.510002,71.546730,267700
2018-08-10,88.739998,90.720001,87.760002,88.849998,71.019173,192100
2018-08-13,89.010002,89.754997,87.820000,88.139999,70.451675,122700
2018-08-14,88.339996,88.660004,87.794998,88.169998,70.475639,175600
2018-08-15,87.199997,88.800003,86.150002,87.330002,69.804222,250200
2018-08-16,88.160004,90.870003,88.160004,89.150002,71.258987,224200
2018-08-17,89.290001,90.639999,88.870003,89.800003,71.778526,256700
2018-08-20,90.750000,91.459999,90.040001,90.190002,72.090256,192100
