Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,6.920000,7.065000,6.560000,6.720000,6.720000,1838100
2018-03-29,6.750000,7.325000,6.630000,7.210000,7.210000,1564400
2018-04-02,7.190000,7.270000,6.670000,6.860000,6.860000,1545600
2018-04-03,6.900000,7.000000,6.600000,6.690000,6.690000,1218300
2018-04-04,6.600000,7.135000,6.311000,7.110000,7.110000,1389800
2018-04-05,7.170000,7.170000,6.800000,6.850000,6.850000,1186900
2018-04-06,6.770000,6.931000,6.260000,6.370000,6.370000,1487800
2018-04-09,6.430000,6.610000,6.370000,6.380000,6.380000,1272100
2018-04-10,6.490000,6.800000,6.430000,6.760000,6.760000,1341700
2018-04-11,7.010000,7.300000,6.860000,7.230000,7.230000,1524300
2018-04-12,7.300000,7.415000,7.080000,7.250000,7.250000,983800
2018-04-13,7.270000,7.270000,6.987000,7.220000,7.220000,746500
2018-04-16,7.230000,7.230000,6.815000,6.840000,6.840000,895600
2018-04-17,6.850000,6.970000,6.770000,6.850000,6.850000,860700
2018-04-18,6.880000,7.068000,6.745000,7.010000,7.010000,715600
2018-04-19,6.980000,7.089000,6.850000,6.950000,6.950000,659600
2018-04-20,6.910000,7.029000,6.874000,6.970000,6.970000,672700
2018-04-23,7.000000,7.040000,6.735000,6.850000,6.850000,939900
2018-04-24,6.890000,6.890000,6.470000,6.520000,6.520000,1012400
2018-04-25,6.510000,6.700000,6.330000,6.610000,6.610000,616600
2018-04-26,6.600000,6.760000,6.550000,6.740000,6.740000,516600
2018-04-27,6.770000,6.860000,6.550000,6.660000,6.660000,553200
2018-04-30,6.740000,6.769000,6.410000,6.420000,6.420000,656400
2018-05-01,6.450000,6.488000,6.307000,6.430000,6.430000,992300
2018-05-02,6.410000,7.230000,6.310000,7.140000,7.140000,2109700
2018-05-03,7.130000,7.460000,7.006000,7.380000,7.380000,1539800
2018-05-04,7.360000,7.400000,7.090000,7.170000,7.170000,999000
2018-05-07,7.170000,7.780000,7.170000,7.770000,7.770000,1116200
2018-05-08,7.770000,7.820000,7.580000,7.750000,7.750000,757500
2018-05-09,8.420000,9.600000,8.110000,9.000000,9.000000,5661400
2018-05-10,8.980000,9.490000,8.830000,9.120000,9.120000,2812300
2018-05-11,9.150000,9.890000,8.920000,9.880000,9.880000,2691000
2018-05-14,9.980000,10.100000,8.870000,9.420000,9.420000,3072800
2018-05-15,9.380000,9.750000,9.160000,9.600000,9.600000,1285400
2018-05-16,9.560000,9.620000,9.350000,9.510000,9.510000,1280200
2018-05-17,9.490000,9.820000,9.440000,9.530000,9.530000,971500
2018-05-18,9.660000,10.380000,9.520000,10.000000,10.000000,2105100
2018-05-21,10.170000,10.350000,9.630000,9.770000,9.770000,1333900
2018-05-22,9.750000,10.010000,9.580000,9.740000,9.740000,1198900
2018-05-23,9.700000,9.940000,9.650000,9.770000,9.770000,744600
2018-05-24,9.790000,9.830000,9.560000,9.770000,9.770000,741500
2018-05-25,9.810000,10.180000,9.780000,10.050000,10.050000,1437700
2018-05-29,10.000000,10.330000,9.960000,10.300000,10.300000,1198100
2018-05-30,10.400000,11.000000,10.400000,10.890000,10.890000,2797100
2018-05-31,11.000000,11.570000,10.530000,10.720000,10.720000,3022300
2018-06-01,10.760000,11.000000,10.620000,10.910000,10.910000,1195900
2018-06-04,10.990000,11.140000,10.230000,10.790000,10.790000,1551900
2018-06-05,10.760000,10.950000,10.470000,10.610000,10.610000,1601200
2018-06-06,10.580000,10.700000,10.490000,10.690000,10.690000,1184500
2018-06-07,10.750000,10.775000,9.670000,10.370000,10.370000,1718500
2018-06-08,10.320000,10.400000,10.120000,10.310000,10.310000,1149300
2018-06-11,10.270000,11.530000,10.115000,11.110000,11.110000,2186000
2018-06-12,11.170000,11.480000,11.090000,11.350000,11.350000,1223400
2018-06-13,11.390000,11.838000,11.157000,11.660000,11.660000,1288700
2018-06-14,11.670000,11.780000,11.150000,11.650000,11.650000,1380900
