Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,2.550000,2.550000,2.420000,2.480000,2.480000,262100
2018-03-29,2.550000,2.940000,2.550000,2.920000,2.920000,1239800
2018-04-02,2.950000,3.350000,2.930000,3.320000,3.320000,2126600
2018-04-03,3.350000,3.400000,3.090000,3.270000,3.270000,922000
2018-04-04,3.210000,3.650000,3.200000,3.400000,3.400000,690500
2018-04-05,3.400000,3.440000,3.310000,3.400000,3.400000,506600
2018-04-06,3.370000,3.440000,3.210000,3.350000,3.350000,502100
2018-04-09,3.400000,3.400000,3.050000,3.140000,3.140000,608100
2018-04-10,3.150000,3.220000,3.070000,3.200000,3.200000,298800
2018-04-11,3.180000,3.280000,3.120000,3.220000,3.220000,367300
2018-04-12,3.230000,3.300000,3.160000,3.300000,3.300000,421400
2018-04-13,3.290000,3.400000,3.270000,3.380000,3.380000,241500
2018-04-16,3.450000,3.490000,3.270000,3.280000,3.280000,629100
2018-04-17,3.280000,3.300000,3.040000,3.210000,3.210000,537600
2018-04-18,3.200000,3.200000,3.000000,3.130000,3.130000,659400
2018-04-19,3.160000,3.340000,3.100000,3.280000,3.280000,238600
2018-04-20,3.310000,3.310000,3.230000,3.300000,3.300000,206600
2018-04-23,3.280000,3.430000,3.210000,3.380000,3.380000,234900
2018-04-24,3.400000,4.000000,3.400000,3.810000,3.810000,1583500
2018-04-25,3.830000,3.960000,3.620000,3.740000,3.740000,749700
2018-04-26,3.690000,3.930000,3.660000,3.900000,3.900000,704400
2018-04-27,3.880000,4.000000,3.750000,3.800000,3.800000,481300
2018-04-30,3.810000,3.960000,3.660000,3.670000,3.670000,863500
2018-05-01,3.660000,3.700000,3.360000,3.380000,3.380000,675100
2018-05-02,3.380000,3.680000,3.380000,3.480000,3.480000,402400
2018-05-03,3.450000,3.540000,3.350000,3.420000,3.420000,335600
2018-05-04,3.380000,3.460000,3.280000,3.390000,3.390000,197000
2018-05-07,3.350000,3.580000,3.350000,3.500000,3.500000,251400
2018-05-08,3.480000,3.600000,3.450000,3.590000,3.590000,191000
2018-05-09,3.600000,3.750000,3.560000,3.620000,3.620000,333500
2018-05-10,3.650000,3.700000,3.520000,3.620000,3.620000,133800
2018-05-11,3.610000,3.720000,3.600000,3.680000,3.680000,193300
2018-05-14,3.710000,3.760000,3.590000,3.620000,3.620000,445200
2018-05-15,3.620000,3.660000,3.550000,3.580000,3.580000,213800
2018-05-16,3.560000,3.620000,3.510000,3.540000,3.540000,161500
2018-05-17,3.520000,3.560000,3.440000,3.470000,3.470000,222600
2018-05-18,3.480000,3.520000,3.350000,3.390000,3.390000,234300
2018-05-21,3.480000,3.500000,3.330000,3.450000,3.450000,233000
2018-05-22,3.470000,3.630000,3.430000,3.570000,3.570000,220500
2018-05-23,3.600000,3.620000,3.520000,3.560000,3.560000,193100
2018-05-24,3.690000,3.690000,3.430000,3.450000,3.450000,465900
2018-05-25,3.450000,3.450000,3.350000,3.390000,3.390000,238100
2018-05-29,3.390000,3.420000,3.240000,3.380000,3.380000,248500
2018-05-30,3.370000,3.490000,3.210000,3.230000,3.230000,194600
2018-05-31,3.250000,3.360000,3.050000,3.100000,3.100000,457700
2018-06-01,3.120000,3.270000,3.120000,3.190000,3.190000,443600
2018-06-04,3.270000,3.350000,3.170000,3.310000,3.310000,218100
2018-06-05,3.310000,3.400000,3.230000,3.350000,3.350000,171400
2018-06-06,3.350000,3.450000,3.320000,3.320000,3.320000,171300
2018-06-07,3.310000,3.360000,3.230000,3.310000,3.310000,205600
2018-06-08,3.320000,3.440000,3.240000,3.270000,3.270000,164900
2018-06-11,3.300000,3.400000,3.250000,3.360000,3.360000,355500
2018-06-12,3.320000,3.770000,3.320000,3.710000,3.710000,814900
2018-06-13,3.740000,3.820000,3.570000,3.640000,3.640000,321600
2018-06-14,3.670000,3.740000,3.550000,3.670000,3.670000,235900
2018-06-15,3.610000,3.720000,3.600000,3.620000,3.620000,299500
2018-06-18,3.600000,3.610000,3.480000,3.490000,3.490000,282700
2018-06-19,3.480000,3.610000,3.430000,3.480000,3.480000,222400
2018-06-20,3.500000,3.560000,3.340000,3.340000,3.340000,215800
2018-06-21,3.330000,3.420000,3.250000,3.270000,3.270000,411000
2018-06-22,3.320000,3.600000,3.290000,3.530000,3.530000,6114500
2018-06-25,3.960000,4.080000,3.670000,3.760000,3.760000,1419900
2018-06-26,3.730000,3.900000,3.650000,3.780000,3.780000,543800
2018-06-27,3.660000,4.030000,3.660000,3.930000,3.930000,674200
2018-06-28,3.920000,4.020000,3.850000,3.880000,3.880000,266700
2018-06-29,3.910000,4.190000,3.850000,3.920000,3.920000,485800
2018-07-02,3.860000,4.360000,3.860000,4.280000,4.280000,620300
2018-07-03,4.220000,4.400000,4.100000,4.340000,4.340000,316400
2018-07-05,4.380000,4.500000,4.220000,4.280000,4.280000,416900
2018-07-06,4.250000,4.440000,4.220000,4.400000,4.400000,346400
2018-07-09,4.440000,4.440000,4.360000,4.380000,4.380000,667700
2018-07-10,4.400000,4.780000,4.390000,4.770000,4.770000,720300
2018-07-11,4.760000,4.820000,4.550000,4.760000,4.760000,718500
2018-07-12,4.780000,4.800000,4.610000,4.750000,4.750000,428000
2018-07-13,4.740000,4.740000,4.610000,4.640000,4.640000,529200
2018-07-16,4.650000,4.670000,4.370000,4.470000,4.470000,625300
2018-07-17,4.800000,5.850000,4.660000,5.500000,5.500000,6482800
2018-07-18,5.410000,5.750000,5.400000,5.480000,5.480000,1294600
2018-07-19,5.480000,5.780000,5.290000,5.670000,5.670000,1364000
2018-07-20,5.640000,6.100000,5.640000,6.070000,6.070000,1191100
2018-07-23,6.120000,6.570000,5.820000,5.870000,5.870000,1673600
2018-07-24,5.850000,5.900000,5.500000,5.770000,5.770000,861100
2018-07-25,5.720000,5.830000,5.640000,5.660000,5.660000,358800
2018-07-26,5.640000,5.730000,5.410000,5.600000,5.600000,433700
2018-07-27,5.600000,5.670000,5.450000,5.470000,5.470000,246400
2018-07-30,5.560000,5.590000,5.400000,5.450000,5.450000,240900
2018-07-31,5.430000,5.640000,5.360000,5.570000,5.570000,254300
2018-08-01,5.550000,5.960000,5.470000,5.660000,5.660000,337100
2018-08-02,5.670000,5.990000,5.620000,5.740000,5.740000,585800
2018-08-03,5.670000,5.770000,5.460000,5.510000,5.510000,262300
2018-08-06,5.490000,5.520000,5.300000,5.390000,5.390000,517000
2018-08-07,5.410000,5.430000,5.230000,5.320000,5.320000,225000
2018-08-08,5.300000,5.780000,5.250000,5.610000,5.610000,409800
2018-08-09,5.500000,5.650000,5.480000,5.550000,5.550000,223100
2018-08-10,5.560000,5.790000,5.540000,5.710000,5.710000,215800
2018-08-13,5.700000,5.940000,5.620000,5.730000,5.730000,255400
2018-08-14,5.720000,5.880000,5.690000,5.740000,5.740000,209900
2018-08-15,5.720000,5.750000,5.470000,5.570000,5.570000,430500
2018-08-16,5.600000,5.710000,5.560000,5.670000,5.670000,231700
2018-08-17,5.650000,5.690000,5.440000,5.490000,5.490000,175600
2018-08-20,5.500000,5.530000,5.370000,5.470000,5.470000,236200
2018-08-21,5.450000,5.710000,5.450000,5.640000,5.640000,200600
2018-08-22,5.650000,5.860000,5.650000,5.810000,5.810000,212000
2018-08-23,5.780000,5.900000,5.730000,5.750000,5.750000,213000
2018-08-24,5.890000,6.360000,5.770000,6.240000,6.240000,641700
2018-08-27,6.350000,6.450000,6.030000,6.120000,6.120000,277000
2018-08-28,6.090000,6.300000,6.030000,6.070000,6.070000,164700
2018-08-29,6.090000,6.540000,6.090000,6.430000,6.430000,312000
2018-08-30,6.420000,6.890000,6.380000,6.880000,6.880000,689800
2018-08-31,6.910000,7.330000,6.800000,7.320000,7.320000,845800
2018-09-04,7.300000,7.300000,7.000000,7.240000,7.240000,567700
2018-09-05,7.220000,7.260000,6.900000,7.040000,7.040000,365300
2018-09-06,7.000000,7.310000,7.000000,7.300000,7.300000,411900
2018-09-07,7.330000,7.330000,6.820000,7.120000,7.120000,545100
2018-09-10,7.160000,7.480000,6.920000,7.170000,7.170000,1071600
2018-09-11,8.360000,8.440000,6.770000,6.800000,6.800000,2312900
2018-09-12,6.650000,7.350000,6.550000,7.190000,7.190000,872700
2018-09-13,7.180000,7.500000,7.010000,7.050000,7.050000,477100
2018-09-14,7.050000,7.370000,6.950000,7.160000,7.160000,475200
2018-09-17,7.070000,7.210000,6.650000,6.680000,6.680000,583500
2018-09-18,6.690000,6.840000,6.420000,6.550000,6.550000,614000
2018-09-19,6.590000,6.600000,6.370000,6.440000,6.440000,384100
2018-09-20,6.480000,6.750000,6.390000,6.710000,6.710000,303800
2018-09-21,6.670000,6.900000,6.540000,6.880000,6.880000,697900
2018-09-24,6.900000,7.150000,6.840000,7.020000,7.020000,431600
2018-09-25,7.020000,7.110000,6.840000,6.850000,6.850000,288100
2018-09-26,6.850000,7.250000,6.840000,6.900000,6.900000,460700
2018-09-27,6.940000,7.040000,6.840000,6.930000,6.930000,310900
2018-09-28,6.940000,6.970000,6.690000,6.860000,6.860000,508600
2018-10-01,6.770000,6.890000,6.660000,6.750000,6.750000,412900
2018-10-02,6.790000,6.790000,6.420000,6.510000,6.510000,335400
2018-10-03,6.500000,6.620000,6.400000,6.500000,6.500000,474000
2018-10-04,6.470000,6.620000,6.300000,6.370000,6.370000,423200
2018-10-05,6.390000,6.500000,5.890000,5.900000,5.900000,580600
2018-10-08,5.880000,5.990000,5.520000,5.740000,5.740000,362700
2018-10-09,5.740000,5.780000,5.540000,5.580000,5.580000,233800
2018-10-10,5.580000,5.590000,5.320000,5.390000,5.390000,308100
2018-10-11,5.360000,5.580000,5.160000,5.240000,5.240000,434000
2018-10-12,5.260000,5.500000,5.260000,5.380000,5.380000,268300
2018-10-15,5.350000,5.530000,5.300000,5.460000,5.460000,224800
2018-10-16,5.490000,5.870000,5.410000,5.820000,5.820000,283700
2018-10-17,5.780000,5.800000,5.560000,5.730000,5.730000,161700
2018-10-18,5.710000,5.810000,5.690000,5.730000,5.730000,173300
2018-10-19,5.710000,5.800000,5.600000,5.710000,5.710000,215200
2018-10-22,5.710000,5.710000,5.380000,5.610000,5.610000,194100
2018-10-23,5.540000,5.760000,5.390000,5.680000,5.680000,279200
2018-10-24,5.680000,5.800000,5.330000,5.360000,5.360000,420300
2018-10-25,5.370000,5.590000,5.300000,5.490000,5.490000,325500
2018-10-26,5.450000,5.490000,5.200000,5.360000,5.360000,192400
2018-10-29,5.420000,5.450000,5.140000,5.200000,5.200000,276400
2018-10-30,5.190000,5.320000,5.120000,5.280000,5.280000,123900
2018-10-31,5.310000,5.440000,5.220000,5.240000,5.240000,143000
2018-11-01,5.290000,5.500000,5.220000,5.460000,5.460000,207000
2018-11-02,5.490000,5.580000,5.040000,5.210000,5.210000,298800
2018-11-05,5.240000,5.290000,5.100000,5.150000,5.150000,133200
2018-11-06,5.170000,5.200000,5.040000,5.170000,5.170000,83900
2018-11-07,5.220000,5.430000,5.120000,5.350000,5.350000,267800
2018-11-08,5.340000,5.460000,5.260000,5.300000,5.300000,149300
2018-11-09,5.260000,5.350000,4.820000,5.020000,5.020000,335900
2018-11-12,5.050000,5.050000,4.930000,4.940000,4.940000,160400
2018-11-13,4.940000,5.090000,4.940000,4.950000,4.950000,167200
2018-11-14,4.960000,5.070000,4.650000,4.830000,4.830000,176000
2018-11-15,4.780000,4.920000,4.660000,4.790000,4.790000,152400
2018-11-16,4.750000,4.920000,4.710000,4.780000,4.780000,144600
