Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,2.520000,2.570000,2.360000,2.510000,2.510000,994100
2018-03-29,2.570000,2.620000,2.380000,2.390000,2.390000,845800
2018-04-02,2.400000,2.520000,2.330000,2.390000,2.390000,734800
2018-04-03,2.390000,2.430000,2.250000,2.260000,2.260000,919500
2018-04-04,2.290000,2.650000,2.180000,2.630000,2.630000,1918000
2018-04-05,2.600000,2.660000,2.430000,2.450000,2.450000,862000
2018-04-06,2.440000,2.550000,2.350000,2.370000,2.370000,599500
2018-04-09,2.390000,2.420000,2.350000,2.360000,2.360000,547300
2018-04-10,2.350000,2.640000,2.350000,2.550000,2.550000,1030100
2018-04-11,2.530000,2.560000,2.460000,2.480000,2.480000,596000
2018-04-12,2.500000,2.650000,2.500000,2.620000,2.620000,822600
2018-04-13,2.640000,2.690000,2.520000,2.550000,2.550000,469200
2018-04-16,2.570000,2.590000,2.520000,2.550000,2.550000,437200
2018-04-17,2.560000,2.580000,2.530000,2.540000,2.540000,344200
2018-04-18,2.570000,2.640000,2.540000,2.550000,2.550000,511200
2018-04-19,2.550000,2.650000,2.510000,2.540000,2.540000,466600
2018-04-20,2.520000,2.560000,2.460000,2.510000,2.510000,377800
2018-04-23,2.510000,2.590000,2.470000,2.560000,2.560000,295300
2018-04-24,2.560000,2.630000,2.530000,2.580000,2.580000,593100
2018-04-25,2.560000,2.700000,2.550000,2.640000,2.640000,848800
2018-04-26,2.640000,2.950000,2.610000,2.890000,2.890000,2101200
2018-04-27,2.910000,2.930000,2.720000,2.880000,2.880000,888500
2018-04-30,2.900000,2.920000,2.760000,2.800000,2.800000,508200
2018-05-01,2.810000,2.860000,2.760000,2.860000,2.860000,474600
2018-05-02,2.860000,2.920000,2.810000,2.860000,2.860000,515000
2018-05-03,2.840000,2.850000,2.710000,2.730000,2.730000,1044200
2018-05-04,2.710000,2.750000,2.670000,2.710000,2.710000,465800
2018-05-07,2.720000,2.780000,2.710000,2.730000,2.730000,490700
2018-05-08,2.730000,2.780000,2.670000,2.740000,2.740000,572500
2018-05-09,2.740000,2.810000,2.730000,2.800000,2.800000,1086700
2018-05-10,2.770000,2.830000,2.710000,2.760000,2.760000,551400
2018-05-11,2.790000,3.020000,2.790000,2.940000,2.940000,2381700
2018-05-14,2.960000,3.400000,2.960000,3.320000,3.320000,1556800
2018-05-15,3.330000,3.500000,3.300000,3.370000,3.370000,1499400
2018-05-16,3.390000,3.460000,3.310000,3.340000,3.340000,653400
2018-05-17,3.390000,3.400000,3.310000,3.340000,3.340000,447300
2018-05-18,3.360000,3.380000,3.270000,3.340000,3.340000,334400
2018-05-21,3.330000,3.350000,3.230000,3.340000,3.340000,456300
2018-05-22,3.340000,3.430000,3.260000,3.350000,3.350000,402700
2018-05-23,3.370000,3.510000,3.360000,3.440000,3.440000,636900
2018-05-24,3.450000,3.450000,3.360000,3.400000,3.400000,577600
2018-05-25,3.380000,3.420000,3.230000,3.260000,3.260000,1057400
2018-05-29,3.620000,3.650000,3.320000,3.540000,3.540000,1929200
2018-05-30,3.640000,3.940000,3.620000,3.830000,3.830000,2012000
2018-05-31,3.850000,3.980000,3.810000,3.840000,3.840000,1329600
2018-06-01,3.890000,3.950000,3.540000,3.630000,3.630000,1673000
