Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,56.900002,57.099998,53.610001,56.250000,56.250000,781500
2018-03-29,56.349998,57.450001,55.849998,57.200001,57.200001,453100
2018-04-02,62.900002,64.250000,62.150002,63.400002,63.400002,1844300
2018-04-03,64.099998,66.000000,63.820000,65.150002,65.150002,1582200
2018-04-04,64.400002,67.500000,63.400002,67.099998,67.099998,901500
2018-04-05,67.599998,67.849998,66.300003,66.400002,66.400002,868400
2018-04-06,66.150002,67.750000,65.949997,66.349998,66.349998,508000
2018-04-09,66.550003,67.099998,66.449997,66.699997,66.699997,290600
2018-04-10,67.550003,68.000000,67.250000,67.599998,67.599998,816900
2018-04-11,67.400002,68.599998,67.099998,68.449997,68.449997,444300
2018-04-12,68.349998,68.900002,68.050003,68.500000,68.500000,519200
2018-04-13,69.000000,69.199997,68.150002,68.550003,68.550003,332800
2018-04-16,68.800003,69.599998,68.599998,68.650002,68.650002,357800
2018-04-17,68.500000,71.300003,68.500000,70.550003,70.550003,920900
2018-04-18,70.199997,71.449997,69.699997,71.199997,71.199997,685000
2018-04-19,71.000000,71.150002,69.699997,70.400002,70.400002,323900
2018-04-20,70.099998,70.599998,69.599998,69.949997,69.949997,317100
2018-04-23,70.300003,70.900002,69.900002,70.199997,70.199997,299800
2018-04-24,70.349998,70.699997,69.199997,69.449997,69.449997,909100
2018-04-25,69.250000,70.449997,68.099998,68.650002,68.650002,443600
2018-04-26,69.650002,70.650002,69.300003,69.800003,69.800003,349100
2018-04-27,70.150002,70.150002,69.000000,69.400002,69.400002,256700
2018-04-30,69.400002,70.150002,68.209999,69.949997,69.949997,782600
2018-05-01,68.500000,69.550003,67.199997,67.449997,67.449997,989900
2018-05-02,67.650002,68.000000,67.050003,67.550003,67.550003,637200
2018-05-03,67.349998,68.099998,67.150002,67.650002,67.650002,664000
2018-05-04,67.250000,67.949997,66.550003,67.650002,67.650002,461000
2018-05-07,67.750000,68.470001,67.500000,67.900002,67.900002,490500
2018-05-08,67.849998,69.029999,67.750000,68.750000,68.750000,482800
2018-05-09,68.800003,69.800003,68.550003,69.599998,69.599998,302500
2018-05-10,69.599998,70.550003,68.000000,70.500000,70.500000,379800
2018-05-11,70.349998,70.349998,68.949997,69.650002,69.650002,195000
2018-05-14,69.849998,70.050003,68.199997,68.400002,68.400002,315600
2018-05-15,66.800003,68.650002,66.580002,68.250000,68.250000,466500
2018-05-16,68.050003,68.500000,67.199997,67.800003,67.800003,517900
2018-05-17,67.849998,68.430000,67.599998,67.900002,67.900002,336500
2018-05-18,67.949997,68.449997,67.900002,68.099998,68.099998,485400
2018-05-21,68.349998,68.750000,68.000000,68.449997,68.449997,380800
2018-05-22,68.449997,68.599998,67.650002,67.800003,67.800003,251700
2018-05-23,67.550003,68.650002,67.550003,68.550003,68.550003,265800
2018-05-24,68.400002,69.000000,68.099998,68.599998,68.599998,342100
2018-05-25,68.650002,69.300003,67.970001,68.449997,68.449997,208500
2018-05-29,68.050003,68.349998,67.599998,68.199997,68.199997,259600
2018-05-30,68.449997,68.900002,68.000000,68.449997,68.449997,418300
2018-05-31,68.650002,69.400002,67.510002,68.349998,68.349998,238400
2018-06-01,68.750000,69.150002,68.349998,68.750000,68.750000,924900
2018-06-04,69.250000,70.000000,69.250000,69.900002,69.900002,438200
2018-06-05,70.000000,70.849998,69.949997,70.750000,70.750000,219900
2018-06-06,70.650002,71.250000,69.910004,70.550003,70.550003,268600
2018-06-07,71.050003,71.199997,69.550003,70.349998,70.349998,658100
2018-06-08,70.050003,70.449997,69.150002,70.250000,70.250000,396300
2018-06-11,70.099998,70.900002,69.699997,69.800003,69.800003,269900
2018-06-12,70.050003,71.699997,70.000000,71.599998,71.599998,457900
2018-06-13,71.500000,72.650002,71.400002,71.800003,71.800003,618700
2018-06-14,72.150002,72.400002,71.099998,71.449997,71.449997,389000
2018-06-15,70.900002,70.949997,69.599998,69.849998,69.849998,805800
2018-06-18,69.550003,71.400002,68.199997,71.250000,71.250000,310100
2018-06-19,71.000000,71.250000,70.000000,70.449997,70.449997,313200
2018-06-20,70.599998,71.150002,68.629997,70.900002,70.900002,320400
2018-06-21,70.849998,71.250000,69.949997,70.650002,70.650002,286000
2018-06-22,70.849998,71.099998,68.849998,69.150002,69.150002,500500
