Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,19.850000,20.400000,19.059999,19.650000,19.650000,1878200
2018-03-29,19.750000,20.600000,19.750000,19.850000,19.850000,1605800
2018-04-02,19.700001,20.600000,18.690001,18.799999,18.799999,2156800
2018-04-03,19.049999,19.049999,18.000000,18.299999,18.299999,1309000
2018-04-04,18.049999,19.650000,17.750000,19.549999,19.549999,1518500
2018-04-05,19.600000,19.600000,18.799999,19.400000,19.400000,1014800
2018-04-06,19.299999,19.299999,18.350000,18.549999,18.549999,1251900
2018-04-09,18.850000,19.100000,18.400000,18.600000,18.600000,1112100
2018-04-10,18.799999,19.600000,18.450001,19.549999,19.549999,1501000
2018-04-11,19.400000,20.200001,19.290001,20.100000,20.100000,1257500
2018-04-12,20.150000,21.110001,19.950001,20.750000,20.750000,2043900
2018-04-13,20.750000,20.950001,19.580000,19.750000,19.750000,1233500
2018-04-16,22.450001,22.799999,18.350000,18.850000,18.850000,5471600
2018-04-17,19.100000,20.250000,18.500000,20.100000,20.100000,2820400
2018-04-18,20.100000,20.549999,19.600000,19.700001,19.700001,1557600
2018-04-19,19.500000,19.700001,18.350000,18.700001,18.700001,1912500
2018-04-20,18.600000,18.730000,17.799999,18.080000,18.080000,1292700
2018-04-23,18.450001,18.600000,17.549999,18.450001,18.450001,1412700
2018-04-24,18.450001,18.450001,17.850000,18.100000,18.100000,812000
2018-04-25,18.150000,18.750000,17.700001,18.650000,18.650000,920600
2018-04-26,18.850000,19.330000,18.750000,18.850000,18.850000,1030800
2018-04-27,18.799999,18.799999,18.250000,18.299999,18.299999,1188300
2018-04-30,18.299999,18.309999,16.900000,16.950001,16.950001,1373500
2018-05-01,16.950001,17.450001,16.400000,17.100000,17.100000,2056500
2018-05-02,17.100000,17.100000,16.549999,16.750000,16.750000,1264100
2018-05-03,16.799999,16.830000,16.150000,16.250000,16.250000,1100900
2018-05-04,16.299999,16.750000,16.150000,16.400000,16.400000,1015300
2018-05-07,16.400000,17.000000,16.350000,16.900000,16.900000,868200
2018-05-08,16.799999,16.950001,16.350000,16.600000,16.600000,926100
2018-05-09,16.000000,16.500000,15.200000,16.049999,16.049999,2710100
2018-05-10,17.000000,19.100000,16.850000,18.750000,18.750000,5823700
2018-05-11,18.650000,19.650000,18.549999,19.520000,19.520000,2601500
2018-05-14,19.500000,20.100000,19.440001,19.950001,19.950001,1497500
2018-05-15,19.750000,19.850000,18.600000,18.900000,18.900000,1179900
2018-05-16,19.100000,19.500000,18.750000,19.350000,19.350000,1195800
2018-05-17,18.150000,18.250000,15.800000,16.700001,16.700001,5903800
2018-05-18,16.850000,17.500000,16.450001,17.100000,17.100000,1565700
2018-05-21,17.100000,17.250000,16.500000,16.600000,16.600000,1751700
2018-05-22,16.650000,16.799999,16.450001,16.600000,16.600000,1103600
2018-05-23,16.700001,16.799999,16.000000,16.100000,16.100000,1602500
2018-05-24,16.150000,16.450001,16.110001,16.450001,16.450001,911300
2018-05-25,16.500000,16.799999,16.360001,16.750000,16.750000,684800
2018-05-29,16.850000,17.049999,15.850000,16.000000,16.000000,1652500
2018-05-30,16.150000,16.299999,15.700000,15.950000,15.950000,1486100
2018-05-31,15.850000,16.150000,15.450000,15.800000,15.800000,1411700
2018-06-01,15.850000,16.400000,15.700000,16.200001,16.200001,1643700
2018-06-04,16.350000,16.400000,14.700000,15.500000,15.500000,3545800
2018-06-05,15.550000,16.879999,15.550000,15.950000,15.950000,2468000
2018-06-06,16.000000,16.200001,15.330000,15.800000,15.800000,1403300
2018-06-07,15.750000,15.900000,15.450000,15.650000,15.650000,740000
2018-06-08,15.550000,15.750000,15.300000,15.700000,15.700000,1029100
2018-06-11,15.650000,15.910000,15.650000,15.800000,15.800000,796900
2018-06-12,15.700000,16.000000,15.630000,15.950000,15.950000,1392300
2018-06-13,16.000000,16.650000,15.850000,16.400000,16.400000,1621800
2018-06-14,16.450001,16.450001,15.850000,15.900000,15.900000,922500
2018-06-15,15.850000,16.200001,15.730000,16.150000,16.150000,2807100
2018-06-18,15.950000,16.110001,15.800000,15.950000,15.950000,686200
2018-06-19,15.800000,16.049999,15.650000,15.900000,15.900000,1511600
2018-06-20,15.900000,16.150000,15.700000,15.950000,15.950000,1024400
2018-06-21,16.100000,16.200001,15.800000,15.900000,15.900000,871100
2018-06-22,15.900000,16.049999,15.600000,15.950000,15.950000,2450000
2018-06-25,15.850000,15.900000,15.550000,15.600000,15.600000,1063800
2018-06-26,15.700000,16.350000,15.510000,15.750000,15.750000,1052600
2018-06-27,15.700000,15.850000,15.100000,15.150000,15.150000,1187500
2018-06-28,15.100000,15.600000,14.750000,15.300000,15.300000,1466200
2018-06-29,15.450000,15.800000,15.100000,15.250000,15.250000,1397000
2018-07-02,15.250000,15.600000,15.000000,15.450000,15.450000,629200
2018-07-03,15.600000,15.750000,15.260000,15.450000,15.450000,475600
2018-07-05,15.450000,15.700000,15.200000,15.630000,15.630000,496200
2018-07-06,15.700000,16.000000,15.600000,16.000000,16.000000,682600
2018-07-09,16.150000,16.200001,15.450000,15.650000,15.650000,756200
2018-07-10,15.650000,15.780000,15.050000,15.200000,15.200000,1171100
2018-07-11,15.000000,15.250000,14.900000,15.100000,15.100000,627400
2018-07-12,15.150000,15.300000,15.000000,15.250000,15.250000,843500
2018-07-13,15.300000,15.300000,15.000000,15.100000,15.100000,489400
2018-07-16,15.050000,15.100000,14.600000,14.650000,14.650000,968100
2018-07-17,14.800000,15.650000,14.680000,15.550000,15.550000,1076000
2018-07-18,15.600000,15.750000,15.150000,15.650000,15.650000,484900
2018-07-19,15.550000,16.150000,15.530000,15.650000,15.650000,875100
2018-07-20,15.700000,15.950000,15.300000,15.750000,15.750000,852500
2018-07-23,15.750000,15.850000,15.020000,15.500000,15.500000,897700
2018-07-24,15.550000,15.700000,14.000000,14.300000,14.300000,2738300
2018-07-25,14.200000,14.550000,13.850000,14.000000,14.000000,1648300
2018-07-26,14.000000,14.500000,13.550000,14.000000,14.000000,1647700
2018-07-27,14.050000,14.050000,13.060000,13.550000,13.550000,1413200
2018-07-30,13.450000,13.480000,12.700000,13.100000,13.100000,1521000
2018-07-31,13.200000,13.900000,13.100000,13.500000,13.500000,881300
2018-08-01,13.450000,13.580000,13.150000,13.450000,13.450000,982100
2018-08-02,13.350000,13.530000,13.250000,13.450000,13.450000,955500
2018-08-03,13.450000,13.510000,12.900000,12.950000,12.950000,895800
2018-08-06,13.000000,13.300000,12.800000,12.900000,12.900000,1111300
2018-08-07,13.800000,13.850000,12.900000,13.700000,13.700000,1440100
2018-08-08,13.650000,13.750000,13.250000,13.300000,13.300000,688000
2018-08-09,13.350000,13.680000,13.250000,13.400000,13.400000,542300
2018-08-10,13.300000,13.500000,13.050000,13.300000,13.300000,409600
2018-08-13,13.250000,13.450000,12.900000,13.230000,13.230000,1129800
2018-08-14,13.350000,13.450000,13.100000,13.300000,13.300000,617800
2018-08-15,13.250000,13.350000,12.700000,12.750000,12.750000,1029100
2018-08-16,12.750000,12.780000,12.250000,12.600000,12.600000,991900
2018-08-17,12.650000,12.730000,12.300000,12.600000,12.600000,511100
2018-08-20,12.600000,12.800000,12.080000,12.200000,12.200000,1075900
2018-08-21,12.300000,12.900000,12.150000,12.800000,12.800000,799700
2018-08-22,12.850000,13.500000,12.840000,13.450000,13.450000,700100
2018-08-23,13.350000,13.600000,13.050000,13.200000,13.200000,574700
2018-08-24,13.300000,13.550000,12.970000,13.200000,13.200000,428900
2018-08-27,13.250000,13.430000,13.050000,13.400000,13.400000,747500
2018-08-28,13.400000,13.530000,13.200000,13.450000,13.450000,585500
2018-08-29,13.450000,13.500000,13.100000,13.200000,13.200000,576900
