Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,11.640000,11.640000,11.030000,11.470000,11.470000,16600
2018-03-29,11.520000,11.520000,11.230000,11.440000,11.440000,9600
2018-04-02,11.280000,11.400000,11.000000,11.300000,11.300000,21400
2018-04-03,11.180000,11.400000,10.950000,11.160000,11.160000,44900
2018-04-04,11.000000,11.000000,10.300000,10.710000,10.710000,28800
2018-04-05,10.610000,11.200000,10.610000,11.200000,11.200000,17500
2018-04-06,11.170000,11.210000,10.800000,11.200000,11.200000,14400
2018-04-09,11.250000,11.250000,10.770000,10.770000,10.770000,11600
2018-04-10,11.010000,11.240000,10.970000,11.200000,11.200000,18500
2018-04-11,11.260000,11.300000,10.840000,11.170000,11.170000,20700
2018-04-12,11.070000,11.270000,11.000000,11.150000,11.150000,8000
2018-04-13,11.150000,11.270000,10.950000,11.180000,11.180000,15200
2018-04-16,11.000000,11.150000,11.000000,11.150000,11.150000,7000
2018-04-17,11.180000,11.180000,10.860000,11.090000,11.090000,9300
2018-04-18,11.140000,11.180000,10.880000,11.030000,11.030000,5600
2018-04-19,10.870000,11.080000,10.840000,11.050000,11.050000,4800
2018-04-20,10.960000,11.140000,10.800000,10.810000,10.810000,8000
2018-04-23,11.070000,11.170000,11.040000,11.160000,11.160000,8000
2018-04-24,11.170000,11.170000,11.050000,11.130000,11.130000,8000
2018-04-25,11.030000,11.170000,10.950000,11.090000,11.090000,5700
2018-04-26,11.060000,11.170000,10.900000,11.090000,11.090000,8000
2018-04-27,10.880000,11.220000,10.860000,10.950000,10.950000,6200
2018-04-30,11.060000,11.220000,11.000000,11.030000,11.030000,7400
2018-05-01,11.140000,11.140000,10.920000,11.100000,11.100000,4800
2018-05-02,11.130000,11.200000,10.950000,11.190000,11.190000,14800
2018-05-03,11.190000,11.250000,11.080000,11.120000,11.120000,9200
2018-05-04,11.000000,11.000000,10.890000,11.000000,11.000000,7200
2018-05-07,11.000000,11.000000,10.900000,10.920000,10.920000,7700
2018-05-08,10.860000,11.000000,10.860000,11.000000,11.000000,8500
2018-05-09,11.000000,11.000000,10.840000,10.990000,10.990000,3400
2018-05-10,10.570000,11.000000,10.570000,10.980000,10.980000,5100
2018-05-11,11.100000,11.250000,9.530000,10.250000,10.250000,51600
2018-05-14,10.260000,10.300000,9.980000,9.980000,9.980000,9700
2018-05-15,10.080000,10.880000,9.960000,10.300000,10.300000,9300
2018-05-16,10.230000,10.230000,9.770000,9.770000,9.770000,26900
2018-05-17,9.860000,10.000000,9.580000,9.620000,9.620000,20600
2018-05-18,9.620000,9.780000,9.270000,9.660000,9.660000,29900
2018-05-21,9.470000,9.990000,9.470000,9.680000,9.680000,30800
2018-05-22,9.700000,9.970000,9.550000,9.810000,9.810000,9000
2018-05-23,9.890000,10.100000,9.860000,10.000000,10.000000,11800
2018-05-24,9.650000,9.930000,9.630000,9.650000,9.650000,6100
2018-05-25,9.960000,9.960000,9.510000,9.580000,9.580000,8300
2018-05-29,9.500000,9.690000,9.420000,9.640000,9.640000,7500
2018-05-30,10.000000,10.000000,9.510000,9.550000,9.550000,21800
2018-05-31,9.750000,10.350000,9.750000,10.250000,10.250000,32400
2018-06-01,10.150000,10.500000,10.140000,10.500000,10.500000,46400
2018-06-04,10.520000,10.600000,10.440000,10.500000,10.500000,10600
2018-06-05,10.340000,11.050000,10.340000,10.710000,10.710000,42300
2018-06-06,10.760000,10.990000,10.180000,10.570000,10.570000,15700
2018-06-07,10.590000,10.870000,10.050000,10.790000,10.790000,10500
2018-06-08,10.570000,10.790000,10.010000,10.230000,10.230000,9800
2018-06-11,10.350000,10.610000,10.100000,10.130000,10.130000,11400
2018-06-12,10.330000,10.430000,10.150000,10.210000,10.210000,11200
2018-06-13,10.460000,10.650000,10.150000,10.430000,10.430000,8600
2018-06-14,10.210000,10.680000,10.210000,10.600000,10.600000,21700
2018-06-15,10.400000,10.400000,10.150000,10.160000,10.160000,15600
2018-06-18,10.290000,10.290000,10.050000,10.090000,10.090000,18300
2018-06-19,10.190000,10.190000,9.900000,9.960000,9.960000,12100
2018-06-20,10.090000,10.180000,9.650000,9.650000,9.650000,14100
2018-06-21,9.890000,10.150000,9.150000,9.740000,9.740000,23900
2018-06-22,9.650000,9.970000,9.260000,9.730000,9.730000,576900
2018-06-25,9.800000,10.190000,9.710000,9.760000,9.760000,22600
2018-06-26,9.830000,10.140000,9.710000,9.970000,9.970000,14700
2018-06-27,9.900000,10.010000,9.750000,9.760000,9.760000,10000
2018-06-28,9.820000,9.900000,9.710000,9.770000,9.770000,10000
2018-06-29,9.760000,9.900000,9.670000,9.760000,9.760000,6700
2018-07-02,9.810000,9.810000,9.630000,9.740000,9.740000,3400
2018-07-03,9.750000,10.130000,9.750000,10.080000,10.080000,8400
2018-07-05,10.050000,10.590000,10.050000,10.350000,10.350000,25600
2018-07-06,10.250000,10.270000,10.080000,10.250000,10.250000,12800
2018-07-09,10.250000,10.250000,10.090000,10.220000,10.220000,12500
2018-07-10,10.210000,10.220000,10.020000,10.020000,10.020000,11200
2018-07-11,9.970000,9.980000,9.670000,9.700000,9.700000,12200
2018-07-12,9.730000,10.000000,9.730000,9.960000,9.960000,3900
2018-07-13,10.050000,10.110000,9.710000,9.970000,9.970000,15600
2018-07-16,9.920000,9.970000,9.600000,9.960000,9.960000,16100
2018-07-17,9.580000,9.990000,9.580000,9.880000,9.880000,5000
2018-07-18,9.780000,9.970000,9.730000,9.880000,9.880000,3200
2018-07-19,9.900000,9.900000,9.810000,9.830000,9.830000,9300
2018-07-20,9.870000,9.880000,9.530000,9.750000,9.750000,6600
2018-07-23,9.370000,9.630000,9.330000,9.350000,9.350000,14400
2018-07-24,9.230000,9.500000,9.230000,9.260000,9.260000,11800
2018-07-25,9.340000,9.350000,9.160000,9.170000,9.170000,6900
2018-07-26,9.230000,9.420000,9.220000,9.340000,9.340000,8300
2018-07-27,9.330000,9.330000,9.200000,9.200000,9.200000,5400
2018-07-30,9.210000,9.320000,9.140000,9.250000,9.250000,14600
2018-07-31,9.270000,9.270000,9.210000,9.270000,9.270000,4000
2018-08-01,9.140000,9.510000,9.120000,9.290000,9.290000,6400
2018-08-02,9.100000,9.360000,9.100000,9.350000,9.350000,9900
2018-08-03,9.240000,9.290000,9.200000,9.210000,9.210000,4900
2018-08-06,9.210000,9.300000,9.200000,9.200000,9.200000,12100
2018-08-07,9.240000,9.300000,9.200000,9.240000,9.240000,5500
2018-08-08,9.290000,9.290000,9.200000,9.220000,9.220000,8800
2018-08-09,9.170000,9.660000,9.150000,9.630000,9.630000,12200
2018-08-10,9.700000,9.990000,9.650000,9.750000,9.750000,22800
2018-08-13,9.680000,9.930000,9.680000,9.880000,9.880000,10400
2018-08-14,9.810000,9.950000,9.800000,9.940000,9.940000,37500
2018-08-15,9.890000,9.890000,9.840000,9.870000,9.870000,7700
2018-08-16,9.890000,9.950000,9.880000,9.940000,9.940000,19800
2018-08-17,9.950000,10.390000,9.920000,10.070000,10.070000,37000
2018-08-20,10.140000,10.230000,9.940000,9.960000,9.960000,21400
2018-08-21,10.040000,10.330000,10.040000,10.120000,10.120000,21900
2018-08-22,10.180000,10.240000,10.120000,10.150000,10.150000,20200
2018-08-23,10.150000,10.150000,10.120000,10.150000,10.150000,10900
2018-08-24,10.150000,10.150000,9.880000,10.010000,10.010000,14500
2018-08-27,10.010000,10.300000,10.010000,10.180000,10.180000,39200
2018-08-28,10.240000,10.240000,10.140000,10.140000,10.140000,7500
2018-08-29,10.140000,10.300000,10.060000,10.100000,10.100000,9800
2018-08-30,10.160000,10.520000,10.120000,10.470000,10.470000,16700
2018-08-31,10.400000,10.950000,10.400000,10.840000,10.840000,30600
2018-09-04,10.830000,10.900000,10.320000,10.670000,10.670000,26200
2018-09-05,10.590000,10.750000,10.390000,10.420000,10.420000,28600
2018-09-06,10.300000,10.560000,10.300000,10.330000,10.330000,15200
2018-09-07,10.460000,10.490000,10.160000,10.260000,10.260000,10500
2018-09-10,10.340000,10.340000,9.900000,10.190000,10.190000,11900
2018-09-11,10.150000,10.270000,10.150000,10.190000,10.190000,4800
2018-09-12,10.250000,10.250000,9.850000,10.100000,10.100000,14100
2018-09-13,10.170000,10.200000,10.060000,10.170000,10.170000,8600
2018-09-14,10.240000,11.250000,10.240000,10.690000,10.690000,120100
2018-09-17,10.760000,10.950000,10.660000,10.760000,10.760000,23800
2018-09-18,10.760000,11.500000,10.760000,11.410000,11.410000,28700
2018-09-19,11.450000,11.450000,11.120000,11.300000,11.300000,16000
2018-09-20,11.400000,11.680000,10.900000,11.550000,11.550000,29300
2018-09-21,11.570000,11.950000,11.570000,11.910000,11.910000,76400
2018-09-24,12.040000,13.250000,11.910000,12.930000,12.930000,139400
2018-09-25,12.950000,13.670000,12.900000,13.440000,13.440000,91200
2018-09-26,13.490000,14.110000,13.180000,13.880000,13.880000,74000
2018-09-27,13.880000,14.400000,13.880000,14.230000,14.230000,40000
2018-09-28,14.340000,14.730000,14.010000,14.190000,14.190000,28600
2018-10-01,14.110000,14.980000,14.040000,14.940000,14.940000,42800
2018-10-02,15.190000,15.590000,15.030000,15.150000,15.150000,49000
2018-10-03,15.240000,15.270000,14.500000,15.150000,15.150000,38100
2018-10-04,15.060000,15.060000,14.350000,14.420000,14.420000,38600
2018-10-05,14.440000,14.980000,14.030000,14.070000,14.070000,20900
2018-10-08,14.220000,14.420000,13.150000,13.370000,13.370000,46500
2018-10-09,13.340000,13.950000,13.340000,13.530000,13.530000,17400
2018-10-10,13.460000,13.600000,12.450000,12.920000,12.920000,31300
2018-10-11,12.740000,13.170000,12.740000,12.890000,12.890000,39500
2018-10-12,12.890000,14.170000,12.890000,14.040000,14.040000,79700
2018-10-15,14.130000,14.450000,13.220000,13.790000,13.790000,60900
2018-10-16,13.840000,14.390000,13.840000,14.040000,14.040000,21500
2018-10-17,14.020000,14.440000,13.410000,13.600000,13.600000,26300
2018-10-18,13.510000,14.030000,13.110000,13.240000,13.240000,16400
2018-10-19,13.270000,14.090000,12.970000,13.110000,13.110000,18800
2018-10-22,13.070000,13.390000,12.250000,13.130000,13.130000,33300
2018-10-23,13.110000,13.390000,13.030000,13.180000,13.180000,8900
2018-10-24,13.150000,13.340000,12.410000,13.120000,13.120000,15900
2018-10-25,13.250000,13.330000,12.560000,13.260000,13.260000,15600
2018-10-26,13.050000,13.300000,12.630000,12.790000,12.790000,13800
2018-10-29,13.000000,13.190000,12.810000,13.110000,13.110000,14800
2018-10-30,12.940000,13.070000,12.670000,12.990000,12.990000,21400
2018-10-31,13.150000,13.160000,12.860000,13.000000,13.000000,16100
2018-11-01,13.060000,13.530000,12.920000,13.490000,13.490000,6900
2018-11-02,13.490000,13.800000,13.340000,13.480000,13.480000,9300
2018-11-05,13.480000,13.480000,12.980000,13.140000,13.140000,11300
2018-11-06,13.140000,13.490000,12.810000,13.070000,13.070000,6500
2018-11-07,13.210000,13.400000,13.100000,13.400000,13.400000,12500
2018-11-08,13.450000,14.600000,13.180000,14.280000,14.280000,30000
2018-11-09,14.150000,14.470000,13.050000,14.390000,14.390000,31500
2018-11-12,14.390000,14.460000,13.830000,13.830000,13.830000,18100
2018-11-13,13.830000,14.420000,13.290000,14.340000,14.340000,29400
2018-11-14,14.430000,15.220000,14.050000,14.680000,14.680000,48500
2018-11-15,14.650000,15.000000,14.620000,14.970000,14.970000,36000
2018-11-16,14.980000,14.980000,14.240000,14.710000,14.710000,26400
2018-11-19,14.580000,14.890000,13.850000,13.860000,13.860000,20300
2018-11-20,13.750000,13.790000,12.820000,12.990000,12.990000,30400
2018-11-21,13.170000,13.670000,12.840000,13.660000,13.660000,8300
2018-11-23,13.540000,13.990000,13.010000,13.470000,13.470000,6600
2018-11-26,13.590000,13.590000,12.810000,13.100000,13.100000,9600
2018-11-27,12.550000,13.130000,12.090000,12.600000,12.600000,40400
2018-11-28,12.530000,13.120000,12.110000,12.920000,12.920000,35600
2018-11-29,13.030000,13.140000,12.680000,13.010000,13.010000,13700
2018-11-30,13.130000,13.450000,12.970000,13.000000,13.000000,19500
2018-12-03,13.190000,13.400000,12.570000,13.030000,13.030000,23700
2018-12-04,12.980000,13.050000,12.330000,12.460000,12.460000,21400
2018-12-06,12.510000,13.060000,12.460000,12.940000,12.940000,21300
2018-12-07,12.830000,12.890000,12.550000,12.880000,12.880000,15300
2018-12-10,12.770000,13.010000,12.600000,12.860000,12.860000,4000
2018-12-11,12.940000,12.940000,12.300000,12.330000,12.330000,13000
2018-12-12,12.330000,12.580000,12.000000,12.450000,12.450000,24100
2018-12-13,12.450000,12.880000,12.260000,12.410000,12.410000,36400
2018-12-14,12.410000,12.870000,12.030000,12.390000,12.390000,10500
2018-12-17,12.330000,13.430000,12.330000,13.210000,13.210000,33400
2018-12-18,12.820000,14.440000,12.800000,14.190000,14.190000,48400
2018-12-19,14.780000,15.400000,14.260000,14.780000,14.780000,89900
2018-12-20,14.860000,14.900000,14.520000,14.800000,14.800000,54100
2018-12-21,14.790000,14.790000,13.350000,13.350000,13.350000,47700
2018-12-24,13.200000,13.200000,12.600000,12.880000,12.880000,10300
2018-12-26,12.970000,14.390000,12.900000,13.960000,13.960000,27300
2018-12-27,13.970000,14.340000,13.370000,14.340000,14.340000,32400
2018-12-28,14.340000,14.340000,13.560000,13.920000,13.920000,20800
2018-12-31,13.970000,14.100000,13.800000,13.910000,13.910000,17200
2019-01-02,13.790000,13.840000,13.400000,13.700000,13.700000,10000
2019-01-03,13.850000,13.980000,13.260000,13.260000,13.260000,7000
2019-01-04,13.460000,13.820000,13.260000,13.260000,13.260000,11200
2019-01-07,13.250000,13.670000,13.250000,13.470000,13.470000,7100
2019-01-08,13.710000,14.270000,13.370000,13.810000,13.810000,40400
2019-01-09,13.780000,14.000000,13.680000,13.740000,13.740000,9600
2019-01-10,13.770000,13.770000,13.300000,13.420000,13.420000,7900
2019-01-11,13.420000,13.420000,12.640000,12.830000,12.830000,26900
2019-01-14,12.970000,13.190000,12.470000,12.670000,12.670000,11000
2019-01-15,12.720000,13.060000,12.720000,13.040000,13.040000,4500
2019-01-16,13.310000,13.310000,12.970000,13.110000,13.110000,4100
2019-01-17,13.080000,13.180000,12.900000,13.110000,13.110000,7200
2019-01-18,13.180000,13.180000,12.840000,12.850000,12.850000,5200
2019-01-22,12.840000,12.840000,12.500000,12.500000,12.500000,6500
2019-01-23,12.660000,12.800000,12.590000,12.770000,12.770000,3000
2019-01-24,12.780000,13.000000,12.510000,13.000000,13.000000,2900
2019-01-25,13.050000,13.050000,12.980000,13.040000,13.040000,2400
2019-01-28,12.890000,13.170000,12.750000,12.750000,12.750000,12800
2019-01-29,12.880000,13.090000,12.750000,13.030000,13.030000,3000
2019-01-30,13.110000,13.170000,12.850000,13.170000,13.170000,8300
2019-01-31,13.140000,13.600000,13.100000,13.360000,13.360000,11900
2019-02-01,13.490000,14.100000,13.270000,13.950000,13.950000,8200
2019-02-04,14.060000,14.320000,14.040000,14.320000,14.320000,18500
2019-02-05,14.200000,14.500000,13.840000,14.410000,14.410000,27700
2019-02-06,14.030000,14.080000,13.860000,13.870000,13.870000,11300
2019-02-07,13.850000,14.000000,13.530000,13.760000,13.760000,10200
2019-02-08,13.270000,13.940000,12.930000,13.310000,13.310000,10100
2019-02-11,13.450000,13.920000,13.310000,13.320000,13.320000,6300
2019-02-12,13.340000,13.570000,13.230000,13.570000,13.570000,13800
2019-02-13,13.650000,13.720000,13.500000,13.700000,13.700000,5000
2019-02-14,13.700000,14.000000,13.660000,13.850000,13.850000,20900
2019-02-15,13.970000,14.250000,13.490000,14.070000,14.070000,10500
2019-02-19,13.960000,14.120000,13.710000,13.990000,13.990000,7800
2019-02-20,13.890000,14.070000,13.630000,13.630000,13.630000,7800
2019-02-21,14.060000,14.060000,13.510000,13.790000,13.790000,5800
2019-02-22,13.730000,14.650000,13.680000,14.600000,14.600000,74400
2019-02-25,14.580000,15.000000,14.540000,14.550000,14.550000,12800
2019-02-26,14.550000,14.810000,14.250000,14.750000,14.750000,19200
2019-02-27,14.840000,14.900000,14.510000,14.810000,14.810000,15700
2019-02-28,14.800000,14.800000,13.830000,13.830000,13.830000,29600
2019-03-01,12.560000,12.600000,10.560000,11.320000,11.320000,134500
2019-03-04,11.310000,12.000000,11.300000,11.560000,11.560000,30900
2019-03-05,11.690000,11.730000,10.720000,10.830000,10.830000,24800
2019-03-06,10.450000,10.480000,9.790000,9.790000,9.790000,72100
2019-03-07,9.790000,10.360000,9.790000,10.000000,10.000000,52600
2019-03-08,10.000000,10.290000,10.000000,10.050000,10.050000,11700
2019-03-11,10.170000,11.210000,10.100000,10.350000,10.350000,26300
2019-03-12,10.320000,10.330000,9.900000,10.050000,10.050000,28300
2019-03-13,10.050000,10.360000,10.050000,10.200000,10.200000,22900
2019-03-14,10.280000,10.280000,9.910000,10.000000,10.000000,11500
2019-03-15,10.010000,10.170000,10.000000,10.170000,10.170000,22500
2019-03-18,10.160000,12.000000,10.160000,11.810000,11.810000,37800
2019-03-19,11.770000,12.670000,11.650000,12.200000,12.200000,30300
2019-03-20,12.310000,12.540000,11.620000,12.000000,12.000000,27100
2019-03-21,12.150000,12.420000,12.150000,12.210000,12.210000,26800
2019-03-22,12.160000,12.210000,12.080000,12.150000,12.150000,80400
2019-03-25,12.080000,12.080000,10.800000,10.970000,10.970000,16300
