Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,26.850000,26.950001,26.600000,26.850000,18.878969,33700
2018-03-29,26.850000,27.450001,26.850000,27.400000,19.265688,29800
2018-04-02,27.400000,27.400000,26.950001,27.100000,19.054752,35000
2018-04-03,27.200001,27.450001,27.075001,27.350000,19.230536,33900
2018-04-04,27.250000,27.400000,27.100000,27.350000,19.230536,19400
2018-04-05,27.400000,27.700001,27.299999,27.650000,19.441471,35300
2018-04-06,27.400000,27.950001,27.400000,27.799999,19.546938,50400
2018-04-09,27.799999,28.000000,27.600000,27.650000,19.441471,32900
2018-04-10,27.850000,28.004999,27.750000,28.000000,19.687565,42400
2018-04-11,27.950001,28.049999,27.850000,27.850000,19.582098,28000
2018-04-12,28.000000,28.000000,27.650000,27.799999,19.546938,24200
2018-04-13,27.799999,28.049999,27.600000,27.900000,19.617252,41500
2018-04-16,27.750000,27.950001,27.721001,27.850000,19.582098,33500
2018-04-17,27.900000,28.000000,27.700001,27.700001,19.476629,19800
2018-04-18,27.850000,27.950001,27.600000,27.650000,19.441471,31900
2018-04-19,27.700001,27.875000,27.400000,27.500000,19.335999,54500
2018-04-20,27.650000,27.750000,27.049999,27.750000,19.511786,61700
2018-04-23,27.650000,27.950001,27.600000,27.750000,19.511786,16100
2018-04-24,27.650000,27.660000,27.100000,27.250000,19.160221,24400
2018-04-25,27.049999,27.650000,26.850000,27.600000,19.406321,18800
2018-04-26,27.700001,27.700001,27.350000,27.549999,19.371162,26200
2018-04-27,27.600000,27.600000,27.250000,27.400000,19.265688,14700
2018-04-30,27.450001,27.600000,27.350000,27.549999,19.371162,17700
2018-05-01,27.400000,28.000000,27.350000,27.900000,19.617252,39500
2018-05-02,27.850000,28.049999,27.799999,28.049999,19.722723,71500
2018-05-03,27.549999,28.500000,27.549999,28.000000,19.687565,66600
2018-05-04,27.900000,28.200001,27.799999,27.950001,19.652409,45000
2018-05-07,28.100000,28.750000,27.850000,28.500000,20.039127,70900
2018-05-08,28.250000,28.799999,28.125000,28.549999,20.074286,50700
2018-05-09,28.600000,29.500000,28.600000,29.299999,20.601625,66400
2018-05-10,29.299999,30.400000,29.243999,29.799999,20.953192,128600
2018-05-11,29.850000,29.950001,29.450001,29.700001,20.882885,50800
2018-05-14,29.200001,29.750000,29.000000,29.299999,21.044481,71600
2018-05-15,29.049999,30.250000,29.049999,29.450001,21.152224,85900
2018-05-16,29.250000,29.975000,29.000000,29.350000,21.080402,139300
2018-05-17,29.150000,30.150000,29.150000,29.900000,21.475430,98800
2018-05-18,30.049999,30.750000,30.049999,30.549999,21.942286,67100
2018-05-21,30.549999,31.000000,30.100000,30.400000,21.834553,102700
2018-05-22,30.500000,30.950001,30.200001,30.250000,21.726818,74800
2018-05-23,30.250000,30.975000,30.250000,30.950001,22.229586,56800
2018-05-24,30.950001,31.049999,30.850000,30.850000,22.157761,23100
2018-05-25,30.750000,30.950001,30.555000,30.850000,22.157761,26000
2018-05-29,31.000000,31.150000,30.700001,30.950001,22.229586,30500
2018-05-30,31.150000,31.482000,30.950001,31.200001,22.409147,52300
2018-05-31,31.150000,31.299999,30.004999,30.299999,21.762724,90900
2018-06-01,30.400000,30.549999,30.004999,30.500000,21.906380,59500
2018-06-04,30.500000,30.750000,30.100000,30.299999,21.762724,38100
2018-06-05,30.150000,30.475000,30.139999,30.400000,21.834553,37600
2018-06-06,30.450001,30.750000,30.115000,30.299999,21.762724,28100
2018-06-07,30.400000,30.900000,30.400000,30.750000,22.085939,39200
2018-06-08,30.650000,30.700001,30.350000,30.450001,21.870464,33600
2018-06-11,30.400000,30.400000,29.995001,30.049999,21.583168,39400
2018-06-12,29.799999,29.924999,29.000000,29.100000,20.900839,109500
2018-06-13,29.100000,29.400000,29.100000,29.100000,20.900839,28400
2018-06-14,29.200001,29.490000,29.200001,29.250000,21.008575,21000
2018-06-15,29.250000,29.500000,29.250000,29.250000,21.008575,30400
2018-06-18,29.250000,29.450001,29.250000,29.450001,21.152224,23900
2018-06-19,29.200001,29.400000,28.600000,28.950001,20.793102,82700
2018-06-20,28.850000,28.950001,28.559999,28.600000,20.541721,32200
2018-06-21,28.600000,28.750000,28.400000,28.450001,20.433981,32400
2018-06-22,28.350000,28.950001,28.350000,28.900000,20.757191,51000
2018-06-25,28.799999,28.799999,28.600000,28.700001,20.613539,19500
2018-06-26,28.700001,29.000000,28.650000,28.650000,20.577633,26900
2018-06-27,28.600000,29.100000,28.600000,28.950001,20.793102,40000
2018-06-28,28.850000,28.850000,28.650000,28.750000,20.649454,17200
2018-06-29,28.750000,29.306000,28.750000,29.100000,20.900839,43100
2018-07-02,29.049999,29.240000,28.600000,28.750000,20.649454,31800
2018-07-03,28.750000,29.344999,28.650000,28.650000,20.577633,22500
2018-07-05,28.850000,29.100000,28.650000,29.049999,20.864929,28500
2018-07-06,28.950001,29.075001,28.900000,29.000000,20.829010,16000
2018-07-09,29.000000,29.150000,28.600000,28.600000,20.541721,33100
2018-07-10,28.650000,28.950001,28.632000,28.799999,20.685366,21800
2018-07-11,28.700001,28.799999,28.500000,28.600000,20.541721,13900
2018-07-12,28.950001,28.950001,28.450001,28.600000,20.541721,22000
2018-07-13,28.600000,28.700001,28.549999,28.650000,20.577633,11500
2018-07-16,28.700001,28.700001,28.350000,28.549999,20.505804,21400
2018-07-17,28.549999,28.799999,28.400000,28.600000,20.541721,51000
2018-07-18,28.549999,29.500000,28.549999,29.299999,21.044481,46500
2018-07-19,29.150000,29.590000,28.950001,29.350000,21.080402,31900
2018-07-20,29.250000,29.445000,29.049999,29.100000,20.900839,7900
2018-07-23,29.100000,29.100000,28.850000,28.900000,20.757191,17800
2018-07-24,28.950001,29.000000,28.799999,28.950001,20.793102,16700
2018-07-25,28.950001,29.400000,28.840000,29.250000,21.008575,23700
2018-07-26,29.250000,29.350000,29.153000,29.200001,20.972662,14000
2018-07-27,29.150000,29.350000,29.150000,29.299999,21.044481,28500
2018-07-30,29.350000,29.350000,28.799999,28.950001,20.793102,46500
2018-07-31,29.049999,29.250000,28.950001,29.250000,21.008575,13900
2018-08-01,29.200001,29.350000,28.950001,29.350000,21.080402,32500
2018-08-02,29.350000,29.750000,29.250000,29.549999,21.224045,39300
2018-08-03,29.450001,29.750000,29.350000,29.400000,21.116310,32300
2018-08-06,29.450001,29.603001,29.350000,29.450001,21.152224,29900
2018-08-07,29.549999,29.650000,29.100000,29.600000,21.259960,39200
2018-08-08,29.549999,29.950001,29.400000,29.750000,21.367697,40000
