Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,11.560000,11.640000,10.880000,10.980000,10.980000,1661900
2018-03-29,11.110000,11.300000,10.940000,11.070000,11.070000,1584600
2018-04-02,11.070000,11.090000,10.430000,10.580000,10.580000,1403200
2018-04-03,10.700000,10.900000,10.260000,10.330000,10.330000,1923800
2018-04-04,10.140000,10.860000,10.050000,10.830000,10.830000,1674700
2018-04-05,10.940000,11.000000,10.630000,10.790000,10.790000,1146300
2018-04-06,10.700000,10.830000,10.400000,10.520000,10.520000,1272400
2018-04-09,10.640000,10.800000,10.400000,10.580000,10.580000,1319800
2018-04-10,10.750000,10.960000,10.520000,10.810000,10.810000,2678800
2018-04-11,10.760000,11.290000,10.660000,10.740000,10.740000,2728900
2018-04-12,10.860000,11.270000,10.750000,11.070000,11.070000,1263300
2018-04-13,11.190000,11.190000,10.420000,10.430000,10.430000,2312100
2018-04-16,10.520000,10.620000,10.080000,10.280000,10.280000,2299900
2018-04-17,10.370000,10.920000,10.340000,10.850000,10.850000,2251200
2018-04-18,10.900000,10.910000,10.580000,10.850000,10.850000,1070000
2018-04-19,10.780000,10.970000,10.700000,10.920000,10.920000,982000
2018-04-20,10.900000,11.050000,10.850000,10.870000,10.870000,1114300
2018-04-23,10.890000,11.020000,10.780000,10.810000,10.810000,651000
2018-04-24,10.910000,11.050000,10.560000,10.700000,10.700000,904800
2018-04-25,10.730000,10.880000,10.410000,10.670000,10.670000,1196600
2018-04-26,10.720000,10.900000,10.490000,10.710000,10.710000,1170000
2018-04-27,10.750000,10.840000,10.450000,10.640000,10.640000,902300
2018-04-30,10.670000,10.820000,10.540000,10.700000,10.700000,1330100
2018-05-01,10.650000,10.850000,10.460000,10.840000,10.840000,902500
2018-05-02,10.840000,11.080000,10.690000,10.800000,10.800000,880400
2018-05-03,10.780000,10.830000,10.530000,10.650000,10.650000,1398000
2018-05-04,10.620000,11.090000,10.620000,10.940000,10.940000,1319500
2018-05-07,11.090000,11.670000,10.910000,11.390000,11.390000,1944100
2018-05-08,11.340000,11.760000,11.300000,11.750000,11.750000,2255700
2018-05-09,8.650000,9.330000,8.600000,8.710000,8.710000,14172500
2018-05-10,8.720000,8.920000,8.510000,8.770000,8.770000,5344900
2018-05-11,8.820000,8.870000,8.270000,8.350000,8.350000,4060100
2018-05-14,8.420000,8.530000,8.100000,8.130000,8.130000,3488700
2018-05-15,8.310000,8.680000,8.250000,8.570000,8.570000,3359400
2018-05-16,8.640000,8.820000,8.480000,8.750000,8.750000,2757500
2018-05-17,8.870000,9.240000,8.850000,9.110000,9.110000,4226200
2018-05-18,9.120000,9.250000,8.920000,9.180000,9.180000,2498200
2018-05-21,9.270000,9.390000,9.060000,9.150000,9.150000,1668600
2018-05-22,9.160000,9.290000,9.070000,9.210000,9.210000,1615200
2018-05-23,9.110000,9.410000,9.020000,9.140000,9.140000,3220700
2018-05-24,9.160000,9.160000,8.820000,9.000000,9.000000,4152900
2018-05-25,8.940000,9.090000,8.900000,8.990000,8.990000,3056500
2018-05-29,9.000000,9.140000,8.930000,9.050000,9.050000,2194500
2018-05-30,9.060000,9.110000,8.560000,8.640000,8.640000,3105100
2018-05-31,8.670000,8.820000,8.510000,8.610000,8.610000,2395900
2018-06-01,8.680000,8.890000,8.590000,8.880000,8.880000,1794400
2018-06-04,8.900000,9.060000,8.720000,9.020000,9.020000,2128900
2018-06-05,9.040000,9.060000,8.800000,8.840000,8.840000,3125700
2018-06-06,8.840000,8.870000,8.560000,8.580000,8.580000,3095000
2018-06-07,8.600000,8.670000,8.510000,8.620000,8.620000,2129900
2018-06-08,8.620000,8.820000,8.500000,8.760000,8.760000,2739300
2018-06-11,8.750000,9.040000,8.750000,9.000000,9.000000,1685400
2018-06-12,8.980000,9.330000,8.930000,9.240000,9.240000,2356100
2018-06-13,9.230000,9.350000,9.070000,9.160000,9.160000,1990200
2018-06-14,9.170000,9.320000,9.040000,9.060000,9.060000,1376600
2018-06-15,9.020000,9.070000,8.830000,9.050000,9.050000,1822300
2018-06-18,8.960000,9.000000,8.750000,8.880000,8.880000,1821700
2018-06-19,8.740000,8.800000,8.590000,8.690000,8.690000,1786300
2018-06-20,8.720000,8.840000,8.660000,8.740000,8.740000,1697100
2018-06-21,8.770000,8.840000,8.620000,8.640000,8.640000,1538800
2018-06-22,8.660000,8.710000,8.540000,8.590000,8.590000,2488000
2018-06-25,8.550000,8.600000,8.170000,8.230000,8.230000,2753300
2018-06-26,8.250000,8.430000,8.190000,8.210000,8.210000,2141900
2018-06-27,8.220000,8.260000,7.830000,7.830000,7.830000,2793700
2018-06-28,7.810000,8.200000,7.630000,7.890000,7.890000,5761200
2018-06-29,7.890000,8.050000,7.750000,7.960000,7.960000,2404900
2018-07-02,7.900000,8.420000,7.900000,8.410000,8.410000,1800000
2018-07-03,8.430000,8.490000,8.180000,8.370000,8.370000,1286000
2018-07-05,8.400000,8.490000,8.100000,8.310000,8.310000,1730400
2018-07-06,8.290000,8.600000,8.260000,8.570000,8.570000,1130200
2018-07-09,8.630000,8.640000,8.490000,8.610000,8.610000,990900
2018-07-10,8.650000,8.720000,8.570000,8.660000,8.660000,1401200
2018-07-11,8.590000,8.690000,8.480000,8.550000,8.550000,1711000
2018-07-12,8.640000,8.780000,8.580000,8.660000,8.660000,1547700
2018-07-13,8.690000,8.870000,8.460000,8.500000,8.500000,1734700
2018-07-16,8.500000,8.610000,8.410000,8.510000,8.510000,939700
2018-07-17,8.450000,8.640000,8.440000,8.630000,8.630000,629700
2018-07-18,8.600000,8.670000,8.570000,8.650000,8.650000,1525800
2018-07-19,8.640000,9.030000,8.600000,8.890000,8.890000,1433900
2018-07-20,8.850000,8.930000,8.740000,8.840000,8.840000,715000
2018-07-23,8.790000,8.880000,8.630000,8.850000,8.850000,835400
2018-07-24,8.910000,9.030000,8.750000,8.830000,8.830000,912900
2018-07-25,8.770000,8.810000,8.410000,8.710000,8.710000,3353100
2018-07-26,8.680000,9.010000,8.650000,8.840000,8.840000,1284400
2018-07-27,8.840000,8.910000,8.430000,8.500000,8.500000,1086500
2018-07-30,8.510000,8.590000,8.390000,8.410000,8.410000,1026400
2018-07-31,8.410000,8.600000,8.340000,8.500000,8.500000,1193800
2018-08-01,8.340000,8.610000,8.200000,8.280000,8.280000,2131200
2018-08-02,8.250000,8.510000,8.220000,8.440000,8.440000,2603600
2018-08-03,8.450000,8.550000,8.320000,8.370000,8.370000,1959400
2018-08-06,8.400000,8.810000,8.360000,8.790000,8.790000,1706400
2018-08-07,8.790000,9.080000,8.790000,8.960000,8.960000,2400400
2018-08-08,6.750000,6.830000,5.350000,6.090000,6.090000,15618100
2018-08-09,6.130000,6.340000,5.920000,6.240000,6.240000,3902000
2018-08-10,6.200000,6.520000,6.150000,6.460000,6.460000,4131300
2018-08-13,6.460000,6.480000,6.210000,6.350000,6.350000,2658300
2018-08-14,6.350000,6.500000,6.280000,6.390000,6.390000,2427200
2018-08-15,6.350000,6.390000,6.040000,6.280000,6.280000,1438800
2018-08-16,6.340000,6.350000,6.190000,6.240000,6.240000,1808200
2018-08-17,6.260000,6.280000,6.130000,6.260000,6.260000,2096000
2018-08-20,6.260000,6.460000,6.220000,6.350000,6.350000,1406700
2018-08-21,6.330000,6.390000,6.220000,6.380000,6.380000,2605500
2018-08-22,6.360000,6.440000,6.250000,6.280000,6.280000,1474700
2018-08-23,6.260000,6.380000,6.120000,6.140000,6.140000,1846200
2018-08-24,6.110000,6.250000,6.110000,6.200000,6.200000,1474700
2018-08-27,6.240000,6.350000,6.200000,6.310000,6.310000,1327000
2018-08-28,6.310000,6.370000,6.250000,6.340000,6.340000,865800
2018-08-29,6.320000,6.440000,6.320000,6.400000,6.400000,2663300
2018-08-30,6.420000,6.420000,6.190000,6.210000,6.210000,1001100
2018-08-31,6.180000,6.300000,6.180000,6.270000,6.270000,1030700
2018-09-04,6.240000,6.240000,5.960000,6.010000,6.010000,1840300
2018-09-05,6.020000,6.100000,5.890000,6.060000,6.060000,3044900
2018-09-06,6.050000,6.050000,5.760000,5.800000,5.800000,2363300
2018-09-07,5.760000,6.120000,5.760000,5.990000,5.990000,1786600
2018-09-10,6.010000,6.090000,5.850000,5.950000,5.950000,1017500
2018-09-11,5.940000,5.970000,5.760000,5.850000,5.850000,853300
2018-09-12,5.840000,5.890000,5.730000,5.840000,5.840000,1335100
2018-09-13,5.880000,5.990000,5.820000,5.820000,5.820000,908100
2018-09-14,5.800000,6.060000,5.720000,5.740000,5.740000,2318700
2018-09-17,5.710000,5.750000,5.460000,5.480000,5.480000,3658300
2018-09-18,5.450000,5.660000,5.250000,5.630000,5.630000,3133800
2018-09-19,5.600000,5.740000,5.530000,5.720000,5.720000,1397900
2018-09-20,5.720000,5.940000,5.640000,5.930000,5.930000,765900
2018-09-21,5.930000,5.960000,5.820000,5.920000,5.920000,1491200
2018-09-24,5.870000,5.920000,5.730000,5.750000,5.750000,1137900
2018-09-25,5.740000,5.900000,5.730000,5.840000,5.840000,1067300
2018-09-26,5.830000,5.840000,5.530000,5.540000,5.540000,1260800
2018-09-27,5.540000,5.540000,5.420000,5.530000,5.530000,1024200
2018-09-28,5.480000,5.560000,5.440000,5.480000,5.480000,981800
2018-10-01,5.540000,5.570000,5.380000,5.530000,5.530000,1652800
2018-10-02,5.500000,5.620000,5.470000,5.540000,5.540000,1301800
2018-10-03,5.570000,5.650000,5.490000,5.560000,5.560000,860900
2018-10-04,5.550000,5.710000,5.470000,5.710000,5.710000,1397300
2018-10-05,5.710000,5.710000,5.490000,5.500000,5.500000,2252500
2018-10-08,5.460000,5.530000,5.150000,5.170000,5.170000,1896000
2018-10-09,5.170000,5.240000,4.950000,5.080000,5.080000,1764100
2018-10-10,5.040000,5.050000,4.870000,4.880000,4.880000,1559500
2018-10-11,4.870000,5.010000,4.810000,4.820000,4.820000,1772200
2018-10-12,4.930000,5.140000,4.870000,5.080000,5.080000,1565900
2018-10-15,5.080000,5.180000,4.990000,5.060000,5.060000,1528300
2018-10-16,5.120000,5.330000,5.080000,5.280000,5.280000,1757600
2018-10-17,5.290000,5.550000,5.060000,5.540000,5.540000,1984500
2018-10-18,5.520000,5.520000,5.160000,5.170000,5.170000,1016100
2018-10-19,5.170000,5.250000,4.930000,4.970000,4.970000,1709400
2018-10-22,4.970000,5.100000,4.890000,5.090000,5.090000,1507200
2018-10-23,4.960000,5.120000,4.930000,5.070000,5.070000,1982700
2018-10-24,5.100000,5.200000,5.020000,5.080000,5.080000,1507500
2018-10-25,5.100000,5.310000,5.100000,5.210000,5.210000,1319400
2018-10-26,5.100000,5.290000,4.990000,5.190000,5.190000,1342400
2018-10-29,5.270000,5.290000,4.880000,4.960000,4.960000,1812600
2018-10-30,4.920000,5.170000,4.910000,5.110000,5.110000,1795500
2018-10-31,5.210000,5.620000,5.190000,5.550000,5.550000,1882400
2018-11-01,5.570000,5.900000,5.530000,5.870000,5.870000,1995800
2018-11-02,6.130000,6.950000,6.120000,6.540000,6.540000,4345100
2018-11-05,6.690000,6.780000,6.530000,6.730000,6.730000,5606700
2018-11-06,6.670000,6.860000,6.600000,6.690000,6.690000,2959700
2018-11-07,6.730000,6.750000,6.380000,6.550000,6.550000,2578100
2018-11-08,6.530000,6.710000,6.470000,6.670000,6.670000,1774400
2018-11-09,6.620000,6.720000,6.440000,6.570000,6.570000,1692600
2018-11-12,6.510000,6.600000,6.250000,6.260000,6.260000,1764100
2018-11-13,6.260000,6.470000,6.260000,6.280000,6.280000,1412200
2018-11-14,6.340000,6.430000,6.230000,6.260000,6.260000,1389000
2018-11-15,6.250000,6.480000,6.250000,6.460000,6.460000,1726700
2018-11-16,6.360000,6.470000,6.220000,6.440000,6.440000,1847300
2018-11-19,6.400000,6.440000,6.180000,6.190000,6.190000,1463500
2018-11-20,6.040000,6.180000,5.870000,5.870000,5.870000,1719400
2018-11-21,5.960000,6.230000,5.940000,6.060000,6.060000,1405800
2018-11-23,6.010000,6.280000,6.010000,6.180000,6.180000,750500
2018-11-26,6.280000,6.280000,6.060000,6.190000,6.190000,1633000
2018-11-27,6.120000,6.360000,6.120000,6.280000,6.280000,1622200
2018-11-28,6.330000,6.470000,6.260000,6.460000,6.460000,1454700
2018-11-29,6.410000,6.510000,6.320000,6.470000,6.470000,1047000
2018-11-30,6.460000,6.600000,6.400000,6.580000,6.580000,1739500
2018-12-03,6.650000,6.810000,6.510000,6.580000,6.580000,1816800
2018-12-04,6.530000,6.570000,6.010000,6.020000,6.020000,2257900
2018-12-06,5.880000,6.220000,5.850000,6.220000,6.220000,1819600
