Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,8.980000,8.980000,8.780000,8.850000,7.870761,5400
2018-03-29,8.900000,9.040000,8.790000,8.970000,7.977480,12600
2018-04-02,8.980000,8.980000,8.800000,8.950000,7.959695,10300
2018-04-03,8.990000,9.140000,8.930000,9.030000,8.030839,9500
2018-04-04,9.000000,9.180000,8.900000,9.170000,8.155352,12200
2018-04-05,9.000000,9.170000,9.000000,9.120000,8.110878,5700
2018-04-06,9.180000,9.190000,8.900000,8.960000,7.968589,14500
2018-04-09,8.960000,9.120000,8.950000,8.990000,7.995264,5800
2018-04-10,9.100000,9.100000,8.940000,8.970000,7.977480,6000
2018-04-11,8.920000,9.150000,8.920000,8.970000,7.977480,6000
2018-04-12,9.080000,9.080000,8.920000,8.950000,7.959695,4100
2018-04-13,8.930000,8.931000,8.870000,8.890000,7.927591,6900
2018-04-16,8.920000,9.010000,8.861000,8.940000,7.972177,7600
2018-04-17,8.910000,9.050000,8.800000,8.950000,7.981097,18700
2018-04-18,8.900000,9.020000,8.870000,8.960000,7.990015,11400
2018-04-19,9.000000,9.000000,8.790000,8.930000,7.963263,27700
2018-04-20,8.860000,9.150000,8.860000,9.110000,8.123774,10500
2018-04-23,9.140000,9.287000,9.120000,9.160000,8.168361,4500
2018-04-24,9.200000,9.210000,9.100000,9.200000,8.204031,31200
2018-04-25,9.260000,9.260000,9.100000,9.180000,8.186195,11200
2018-04-26,9.130000,9.305000,9.130000,9.280000,8.275371,7900
2018-04-27,9.240000,9.340000,9.210000,9.230000,8.230782,2800
2018-04-30,9.290000,9.290000,9.123000,9.220000,8.221869,5100
2018-05-01,9.170000,9.220000,9.110000,9.150000,8.159439,5200
2018-05-02,9.200000,9.410000,9.100000,9.240000,8.239697,18900
2018-05-03,9.250000,9.250000,9.100000,9.140000,8.150527,5800
2018-05-04,9.190000,9.300000,8.990000,9.000000,8.025681,21100
2018-05-07,9.067000,9.067000,8.840000,8.930000,7.963263,10800
2018-05-08,8.900000,8.990000,8.632000,8.910000,7.945423,6600
2018-05-09,8.828000,8.970000,8.828000,8.970000,7.998925,4300
2018-05-10,9.000000,9.244000,8.680000,9.220000,8.221869,9000
2018-05-11,8.900000,9.120000,8.900000,8.990000,8.016762,9200
2018-05-14,8.960000,9.085000,8.860000,8.980000,8.007844,7500
2018-05-15,8.870000,9.250000,8.840000,9.020000,8.065070,25300
2018-05-16,9.080000,9.180000,8.960000,9.160000,8.190248,9600
2018-05-17,8.890000,9.230000,8.890000,9.170000,8.199191,5000
2018-05-18,9.230000,9.240000,9.110000,9.170000,8.199191,9800
2018-05-21,9.159000,9.250000,9.150000,9.250000,8.270722,5200
2018-05-22,9.151000,9.180000,9.110000,9.120000,8.154487,8100
2018-05-23,9.150000,9.200000,9.061000,9.170000,8.199191,9500
2018-05-24,9.120000,9.230000,9.070000,9.200000,8.226016,9900
2018-05-25,9.229000,9.230000,9.150000,9.230000,8.252836,2400
2018-05-29,9.240000,9.240000,9.120000,9.150000,8.181304,18800
2018-05-30,9.230000,9.230000,9.100000,9.160000,8.190248,17400
2018-05-31,9.100000,9.220000,9.090000,9.140000,8.172366,12500
2018-06-01,9.180000,9.200000,9.050000,9.100000,8.136607,14500
2018-06-04,9.130000,9.240000,9.040000,9.200000,8.226016,10800
2018-06-05,9.175000,9.180000,8.750000,9.000000,8.047192,55200
2018-06-06,9.230000,9.230000,9.080000,9.090000,8.127662,6300
2018-06-07,9.090000,9.210000,9.010000,9.180000,8.208131,3200
2018-06-08,9.210000,9.210000,9.050000,9.070000,8.109778,5400
2018-06-11,9.000000,9.201000,9.000000,9.020000,8.065070,8100
2018-06-12,9.000000,9.020000,8.860000,8.920000,7.975657,20100
2018-06-13,8.880000,9.150000,8.818000,9.150000,8.181304,31800
2018-06-14,9.080000,9.211000,9.030000,9.140000,8.193864,20700
2018-06-15,9.100000,9.130000,8.920000,9.070000,8.131104,52800
2018-06-18,9.100000,9.230000,9.055000,9.200000,8.247646,8400
2018-06-19,9.190000,9.200000,9.130000,9.160000,8.211789,7800
2018-06-20,9.200000,9.500000,9.175000,9.500000,8.516592,11800
2018-06-21,9.440000,9.495000,9.360000,9.390000,8.417981,8700
2018-06-22,9.410000,9.600000,9.280000,9.600000,8.606240,38600
2018-06-25,9.520000,9.670000,9.450000,9.610000,8.615202,11400
2018-06-26,9.600000,9.950000,9.310000,9.940000,8.911047,7500
2018-06-27,9.810000,9.820000,9.320000,9.530000,8.543486,14800
2018-06-28,9.495000,9.680000,9.370000,9.430000,8.453840,10300
2018-06-29,9.520000,9.520000,9.310000,9.400000,8.426944,13700
2018-07-02,9.362000,9.580000,9.362000,9.470000,8.489701,7800
2018-07-03,9.540000,9.630000,9.299000,9.620000,8.624171,7700
2018-07-05,9.580000,9.670000,9.480000,9.670000,8.668996,11100
2018-07-06,9.670000,9.860000,9.630000,9.710000,8.704855,9700
2018-07-09,9.840000,9.840000,9.620000,9.740000,8.731749,22000
2018-07-10,9.887000,9.887000,9.530000,9.600000,8.606240,11200
2018-07-11,9.940000,9.940000,9.520000,9.520000,8.534523,3600
2018-07-12,9.690000,9.690000,9.544000,9.560000,8.570384,3400
2018-07-13,9.500000,9.500000,9.390000,9.410000,8.457141,3200
2018-07-16,9.420000,9.420000,9.340000,9.370000,8.421191,2700
2018-07-17,9.420000,9.854000,9.320000,9.330000,8.385244,28900
2018-07-18,9.270000,9.550000,9.240000,9.480000,8.520053,271300
2018-07-19,9.370000,9.585000,9.290000,9.510000,8.547011,22000
2018-07-20,9.500000,9.669000,9.460000,9.540000,8.573977,28400
2018-07-23,9.500000,9.600000,9.490000,9.580000,8.609928,14900
2018-07-24,9.572000,9.650000,9.410000,9.480000,8.520053,9300
2018-07-25,9.500000,9.550000,9.300000,9.460000,8.502078,16900
2018-07-26,9.510000,9.630000,9.320000,9.510000,8.547011,15300
2018-07-27,9.500000,9.530000,9.390000,9.390000,8.439166,16200
2018-07-30,9.460000,9.500000,9.375000,9.480000,8.520053,27400
2018-07-31,9.400000,9.650000,9.391000,9.490000,8.529040,30300
2018-08-01,9.510000,9.570000,9.370000,9.570000,8.600943,5600
2018-08-02,9.640000,9.780000,9.560000,9.620000,8.645883,19300
2018-08-03,9.780000,9.780000,9.495000,9.540000,8.573977,7900
2018-08-06,9.380000,9.580000,9.380000,9.460000,8.502078,14700
2018-08-07,9.480000,9.600000,9.440000,9.590000,8.618915,9600
2018-08-08,9.500000,9.600000,9.477000,9.600000,8.627900,4700
2018-08-09,9.600000,9.600000,9.500000,9.600000,8.627900,21600
2018-08-10,9.600000,9.781000,9.530000,9.650000,8.672837,16300
2018-08-13,9.720000,9.820000,9.610000,9.740000,8.753722,11500
2018-08-14,9.820000,10.300000,9.600000,10.300000,9.257018,39100
2018-08-15,10.110000,10.500000,9.935000,9.940000,8.954340,13100
2018-08-16,9.730000,10.070000,9.720000,10.070000,9.071450,6900
2018-08-17,10.050000,10.160000,9.770000,10.030000,9.035412,5800
2018-08-20,10.000000,10.100000,10.000000,10.090000,9.089464,8200
2018-08-21,10.000000,10.260000,10.000000,10.170000,9.161530,12800
2018-08-22,10.110000,10.370000,10.110000,10.190000,9.179551,13300
2018-08-23,10.240000,10.240000,10.100000,10.130000,9.125500,5500
2018-08-24,10.189000,10.189000,9.920000,9.940000,8.954340,17600
2018-08-27,9.550000,9.760000,9.550000,9.590000,8.639044,94500
2018-08-28,9.650000,9.760000,9.622000,9.700000,8.738138,20000
2018-08-29,9.750000,9.840000,9.660000,9.800000,8.828218,14900
2018-08-30,9.840000,9.840000,9.690000,9.760000,8.792188,13500
2018-08-31,9.760000,9.850000,9.720000,9.850000,8.873260,8400
2018-09-04,9.810000,9.980000,9.810000,9.980000,8.990373,8500
2018-09-05,10.000000,10.000000,9.871000,9.920000,8.936321,6900
2018-09-06,10.000000,10.000000,9.865000,9.910000,8.927316,3700
2018-09-07,9.930000,10.070000,9.900000,10.020000,9.026404,12800
2018-09-10,10.080000,10.080000,9.937000,10.000000,9.008389,5500
2018-09-11,10.040000,10.190000,9.910000,10.050000,9.053431,6200
2018-09-12,10.110000,10.120000,10.000000,10.000000,9.008389,7900
2018-09-13,10.060000,10.120000,10.025000,10.080000,9.102301,6900
2018-09-14,10.190000,10.190000,10.040000,10.040000,9.066180,7300
2018-09-17,10.134000,10.134000,10.050000,10.100000,9.120360,12500
2018-09-18,10.170000,10.180000,10.093000,10.160000,9.174542,11000
2018-09-19,10.180000,10.240000,10.120000,10.140000,9.156485,10700
2018-09-20,10.110000,10.250000,10.050000,10.130000,9.147454,19500
2018-09-21,10.080000,10.249000,10.040000,10.040000,9.066180,73000
2018-09-24,10.100000,10.710000,10.100000,10.460000,9.445443,87100
2018-09-25,10.510000,10.684000,10.500000,10.560000,9.535747,25300
2018-09-26,10.600000,10.600000,10.346000,10.440000,9.427385,18400
2018-09-27,10.440000,10.730000,10.160000,10.710000,9.671193,60700
2018-09-28,10.780000,10.990000,10.460000,10.590000,9.562838,51900
2018-10-01,10.730000,10.730000,10.600000,10.650000,9.617017,54700
2018-10-02,10.690000,10.740000,10.400000,10.620000,9.589926,27600
2018-10-03,10.710000,10.710000,10.610000,10.660000,9.626042,9100
2018-10-04,10.710000,10.710000,10.430000,10.620000,9.589926,17500
2018-10-05,10.570000,10.810000,10.500000,10.745000,9.702799,20600
2018-10-08,10.820000,10.900000,10.600000,10.850000,9.797616,22100
2018-10-09,10.850000,10.880000,10.650000,10.720000,9.680222,44900
2018-10-10,10.760000,10.840000,10.660000,10.680000,9.644107,27300
2018-10-11,10.590000,10.830000,10.500000,10.600000,9.571864,15100
2018-10-12,10.650000,10.770000,10.560000,10.560000,9.535747,72800
2018-10-15,10.650000,10.670000,10.480000,10.540000,9.539365,18400
2018-10-16,10.600000,10.710000,10.540000,10.670000,9.657025,22000
2018-10-17,10.630000,10.723000,10.550000,10.570000,9.566513,58300
2018-10-18,10.550000,10.650000,10.500000,10.540000,9.539365,15700
2018-10-19,10.490000,10.790000,10.480000,10.660000,9.647971,19400
2018-10-22,10.750000,10.900000,10.650000,10.750000,9.729428,30000
2018-10-23,10.720000,10.837000,10.520000,10.550000,9.548414,17000
2018-10-24,10.610000,10.686000,10.480000,10.490000,9.494111,22900
2018-10-25,10.500000,10.620000,10.370000,10.540000,9.539365,18700
2018-10-26,10.450000,10.630000,10.300000,10.330000,9.349299,9000
2018-10-29,10.380000,10.640000,10.380000,10.510000,9.512214,20600
2018-10-30,10.550000,11.140000,10.550000,11.090000,10.037147,30500
2018-10-31,11.150000,11.240000,11.050000,11.140000,10.082405,32500
2018-11-01,11.230000,11.510000,11.210000,11.380000,10.299616,29800
2018-11-02,11.470000,11.610000,11.320000,11.320000,10.245317,35300
2018-11-05,11.390000,11.410000,10.940000,11.030000,9.982849,40700
2018-11-06,11.000000,11.140000,10.910000,11.080000,10.028097,18900
2018-11-07,11.500000,11.500000,10.850000,11.160000,10.100503,21200
2018-11-08,11.170000,11.170000,11.030000,11.080000,10.028097,13000
2018-11-09,11.080000,11.080000,10.780000,10.860000,9.828982,20900
2018-11-12,10.750000,10.880000,10.500000,10.660000,9.647971,50600
2018-11-13,10.580000,10.890000,10.440000,10.500000,9.524604,57000
2018-11-14,10.540000,10.770000,10.480000,10.510000,9.533677,24300
2018-11-15,10.685000,10.753000,10.410000,10.470000,9.497395,18900
2018-11-16,10.460000,10.640000,10.156000,10.230000,9.279689,19100
2018-11-19,10.150000,10.325000,10.150000,10.180000,9.234332,24800
2018-11-20,10.020000,10.140000,9.740000,9.750000,8.844275,37300
2018-11-21,9.750000,10.040000,9.750000,10.020000,9.089195,34400
