Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,4.540000,4.990000,4.470000,4.910000,4.910000,546400
2018-03-29,4.940000,4.980000,4.880000,4.940000,4.940000,334400
2018-04-02,4.930000,4.970000,4.760000,4.790000,4.790000,230900
2018-04-03,4.790000,4.870000,4.680000,4.700000,4.700000,198100
2018-04-04,4.660000,4.880000,4.630000,4.860000,4.860000,277700
2018-04-05,4.880000,4.940000,4.830000,4.890000,4.890000,438700
2018-04-06,4.880000,4.940000,4.640000,4.670000,4.670000,412000
2018-04-09,4.690000,4.770000,4.600000,4.690000,4.690000,250100
2018-04-10,4.720000,4.750000,4.490000,4.550000,4.550000,251100
2018-04-11,4.530000,4.570000,4.430000,4.520000,4.520000,237500
2018-04-12,4.540000,4.540000,4.460000,4.490000,4.490000,222200
2018-04-13,4.490000,4.490000,4.390000,4.420000,4.420000,238100
2018-04-16,4.450000,4.450000,4.330000,4.360000,4.360000,286100
2018-04-17,4.360000,4.460000,4.280000,4.410000,4.410000,336900
2018-04-18,4.520000,4.580000,4.450000,4.500000,4.500000,317200
2018-04-19,4.490000,4.600000,4.490000,4.580000,4.580000,248400
2018-04-20,4.560000,4.590000,4.360000,4.380000,4.380000,318800
2018-04-23,4.380000,4.410000,4.260000,4.290000,4.290000,306700
2018-04-24,4.310000,4.320000,4.150000,4.250000,4.250000,271700
2018-04-25,4.240000,4.400000,4.180000,4.360000,4.360000,183700
2018-04-26,4.360000,4.410000,4.250000,4.330000,4.330000,233800
2018-04-27,4.340000,4.500000,4.330000,4.480000,4.480000,206300
2018-04-30,4.470000,4.540000,4.350000,4.380000,4.380000,256000
2018-05-01,4.360000,4.490000,4.210000,4.460000,4.460000,473600
2018-05-02,4.400000,4.400000,3.950000,3.990000,3.990000,685900
2018-05-03,3.960000,4.000000,3.650000,3.780000,3.780000,702200
2018-05-04,3.770000,4.030000,3.680000,3.960000,3.960000,515800
2018-05-07,4.000000,4.030000,3.910000,4.010000,4.010000,307400
2018-05-08,3.980000,4.190000,3.980000,4.160000,4.160000,255700
2018-05-09,4.180000,4.190000,4.050000,4.100000,4.100000,512500
2018-05-10,3.270000,3.300000,2.710000,3.070000,3.070000,5079600
2018-05-11,3.020000,3.020000,2.560000,2.630000,2.630000,1937200
2018-05-14,2.600000,2.750000,2.590000,2.610000,2.610000,965400
2018-05-15,2.610000,2.610000,2.500000,2.520000,2.520000,718500
2018-05-16,2.520000,2.560000,2.500000,2.520000,2.520000,496700
2018-05-17,2.540000,2.580000,2.450000,2.550000,2.550000,825300
2018-05-18,2.560000,2.570000,2.480000,2.490000,2.490000,470700
2018-05-21,2.490000,2.500000,2.270000,2.300000,2.300000,825700
