Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,14.400000,14.450000,14.300000,14.400000,13.692122,4500
2018-03-29,14.400000,14.850000,14.300000,14.400000,13.692122,7200
2018-04-02,14.250000,14.350000,14.000000,14.150000,13.454412,9000
2018-04-03,14.050000,14.400000,14.050000,14.300000,13.597039,9600
2018-04-04,14.550000,14.550000,14.200000,14.300000,13.597039,5000
2018-04-05,14.211000,14.360000,14.200000,14.300000,13.597039,3000
2018-04-06,14.350000,14.350000,14.140000,14.350000,13.644581,4000
2018-04-09,14.250000,14.700000,14.150000,14.550000,13.834749,7500
2018-04-10,14.750000,14.950000,14.410000,14.950000,14.215085,18600
2018-04-11,14.950000,15.350000,14.840000,15.300000,14.547880,10300
2018-04-12,15.250000,16.400000,15.230000,16.049999,15.261011,16600
2018-04-13,16.250000,16.400000,16.100000,16.299999,15.498721,24900
2018-04-16,16.450001,16.450001,15.610000,15.800000,15.023301,12400
2018-04-17,15.792000,15.850000,15.725000,15.825000,15.047072,7100
2018-04-18,15.750000,15.900000,15.700000,15.700000,14.928217,10800
2018-04-19,15.850000,15.900000,15.350000,15.800000,15.023301,3100
2018-04-20,15.400000,15.550000,14.750000,15.400000,14.642963,10400
2018-04-23,15.350000,15.850000,15.250000,15.850000,15.070844,12600
2018-04-24,15.900000,16.299999,15.900000,16.000000,15.213470,11500
2018-04-25,16.000000,16.200001,15.850000,16.075001,15.284783,6700
2018-04-26,15.877000,16.299999,15.555000,16.100000,15.308554,16400
2018-04-27,15.900000,15.950000,15.850000,15.850000,15.070844,10400
2018-04-30,16.850000,18.250000,16.850000,17.450001,16.592192,58000
2018-05-01,17.450001,18.245001,17.400000,18.000000,17.115154,63700
2018-05-02,18.000000,18.200001,17.799999,17.900000,17.020069,33400
2018-05-03,17.950001,18.150000,17.900000,17.950001,17.067612,17400
2018-05-04,17.700001,18.500000,17.700001,18.250000,17.352863,38000
2018-05-07,18.450001,18.450001,17.950001,18.250000,17.352863,38600
2018-05-08,18.049999,18.600000,17.280001,18.400000,17.495491,68200
2018-05-09,18.500000,18.900000,18.299999,18.850000,17.923368,36600
2018-05-10,18.450001,18.700001,18.100000,18.350000,17.447948,13300
2018-05-11,18.299999,18.600000,18.299999,18.549999,17.638117,13600
2018-05-14,18.600000,18.799999,18.250000,18.549999,17.638117,14400
2018-05-15,17.900000,18.695000,17.900000,18.450001,17.543032,11700
2018-05-16,18.549999,18.549999,18.200001,18.450001,17.543032,10000
2018-05-17,18.400000,18.700001,18.400000,18.549999,17.638117,6100
2018-05-18,18.450001,18.700001,18.450001,18.600000,17.685659,9300
2018-05-21,18.600000,18.700001,18.424999,18.650000,17.733200,17500
2018-05-22,18.799999,19.245001,18.450001,18.549999,17.638117,8100
2018-05-23,18.400000,18.650000,18.200001,18.650000,17.733200,21000
2018-05-24,18.855000,18.865000,18.270000,18.549999,17.638117,16300
2018-05-25,18.500000,18.700001,18.420000,18.450001,17.543032,10800
2018-05-29,18.396999,18.600000,18.250000,18.500000,17.590574,12400
2018-05-30,18.500000,18.600000,18.400000,18.549999,17.638117,9700
2018-05-31,18.549999,18.799999,18.475000,18.549999,17.638117,13500
2018-06-01,18.549999,18.700001,18.549999,18.700001,17.780743,26100
2018-06-04,18.750000,18.937000,18.540001,18.750000,17.828285,17700
2018-06-05,18.850000,18.900000,18.750000,18.750000,17.828285,11100
2018-06-06,18.950001,18.950001,18.700001,18.750000,17.828285,11900
2018-06-07,19.100000,19.100000,18.500000,18.850000,17.923368,22400
2018-06-08,18.850000,18.900000,18.410000,18.549999,17.638117,8500
2018-06-11,18.650000,18.871000,18.350000,18.500000,17.590574,27400
2018-06-12,18.500000,18.900000,18.500000,18.750000,17.828285,27000
2018-06-13,18.850000,18.850000,18.400000,18.549999,17.638117,73800
2018-06-14,18.600000,18.900000,18.500000,18.750000,17.828285,12500
2018-06-15,18.750000,19.000000,18.500000,18.600000,17.685659,19500
2018-06-18,18.650000,18.750000,18.500000,18.650000,17.733200,19800
2018-06-19,18.450001,19.100000,18.450001,19.000000,18.065996,21500
2018-06-20,19.150000,19.250000,18.900000,18.950001,18.018454,67500
2018-06-21,18.900000,19.500000,18.600000,19.350000,18.398790,35300
2018-06-22,19.450001,19.500000,18.799999,19.400000,18.446331,325700
2018-06-25,19.400000,19.850000,19.200001,19.750000,18.779127,49700
2018-06-26,19.843000,19.950001,19.600000,19.900000,18.921753,20900
2018-06-27,20.000000,20.200001,19.900000,20.100000,19.111921,70000
2018-06-28,20.100000,20.200001,19.900000,20.000000,19.016836,80200
2018-06-29,19.750000,20.750000,19.059999,20.750000,19.729967,57500
