Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,6.230000,6.866000,6.200000,6.670000,6.670000,173500
2018-03-29,6.780000,7.250000,6.700000,6.850000,6.850000,221700
2018-04-02,6.830000,6.950000,6.750000,6.750000,6.750000,86600
2018-04-03,6.860000,6.908000,6.580000,6.680000,6.680000,72800
2018-04-04,6.680000,6.892000,6.500000,6.543000,6.543000,19100
2018-04-05,6.700000,6.979000,6.590000,6.790000,6.790000,12600
2018-04-06,6.750000,6.815000,6.601000,6.770000,6.770000,91100
2018-04-09,6.800000,6.870000,6.785000,6.810000,6.810000,65600
2018-04-10,6.840000,6.957000,6.560000,6.810000,6.810000,43500
2018-04-11,6.800000,6.860000,6.520000,6.792000,6.792000,129200
2018-04-12,6.900000,6.960000,6.810000,6.820000,6.820000,41100
2018-04-13,6.900000,7.091000,6.831000,6.955000,6.955000,45100
2018-04-16,6.950000,7.150000,6.950000,7.040000,7.040000,66900
2018-04-17,7.110000,7.250000,7.110000,7.180000,7.180000,43200
2018-04-18,7.180000,7.240000,7.100000,7.190000,7.190000,48400
2018-04-19,7.190000,7.210000,6.941000,7.170000,7.170000,27700
2018-04-20,7.190000,7.250000,7.152000,7.250000,7.250000,40900
2018-04-23,7.250000,7.415000,7.114000,7.220000,7.220000,33900
2018-04-24,7.220000,7.290000,7.151000,7.190000,7.190000,21700
2018-04-25,7.190000,7.320000,7.168000,7.270000,7.270000,47400
2018-04-26,7.280000,7.490000,7.270000,7.430000,7.430000,53300
2018-04-27,7.400000,7.490000,7.292000,7.450000,7.450000,30100
2018-04-30,7.440000,7.530000,7.395000,7.530000,7.530000,57900
2018-05-01,7.600000,7.850000,7.471000,7.850000,7.850000,278200
2018-05-02,7.850000,8.000000,7.650000,7.875000,7.875000,34200
2018-05-03,7.930000,7.973000,7.650000,7.790000,7.790000,34700
2018-05-04,7.810000,7.950000,7.720000,7.760000,7.760000,18100
2018-05-07,7.850000,7.990000,7.850000,7.900000,7.900000,68000
2018-05-08,7.900000,7.900000,7.390000,7.570000,7.570000,224100
2018-05-09,7.620000,7.620000,7.100000,7.360000,7.360000,52400
2018-05-10,7.385000,7.540000,7.310000,7.540000,7.540000,35900
2018-05-11,7.010000,7.550000,6.850000,7.140000,7.140000,97400
2018-05-14,7.130000,7.470000,7.100000,7.450000,7.450000,866100
2018-05-15,7.740000,7.990000,7.340000,7.490000,7.490000,72800
2018-05-16,7.460000,7.505000,7.151000,7.180000,7.180000,113100
2018-05-17,7.290000,7.450000,7.205000,7.370000,7.370000,176200
2018-05-18,7.440000,7.450000,7.230000,7.300000,7.300000,99700
2018-05-21,7.250000,7.350000,6.870000,6.940000,6.940000,69000
2018-05-22,6.950000,7.280000,6.790000,7.250000,7.250000,54700
2018-05-23,7.250000,7.250000,7.090000,7.120000,7.120000,29400
2018-05-24,7.160000,7.200000,7.000000,7.200000,7.200000,186600
2018-05-25,7.220000,7.400000,7.150000,7.210000,7.210000,55800
2018-05-29,7.140000,7.260000,7.140000,7.230000,7.230000,47000
2018-05-30,7.420000,7.420000,7.150000,7.150000,7.150000,31300
2018-05-31,7.200000,7.320000,7.200000,7.250000,7.250000,34900
2018-06-01,7.230000,7.330000,7.180000,7.270000,7.270000,23600
2018-06-04,7.220000,7.390000,7.220000,7.250000,7.250000,52400
2018-06-05,7.220000,7.489000,7.220000,7.370000,7.370000,27700
2018-06-06,7.400000,7.600000,7.360000,7.360000,7.360000,49900
2018-06-07,7.650000,7.650000,7.360000,7.380000,7.380000,60100
2018-06-08,7.380000,7.500000,7.380000,7.500000,7.500000,13800
2018-06-11,7.520000,7.530000,7.350000,7.450000,7.450000,461300
2018-06-12,7.450000,7.799000,7.382000,7.760000,7.760000,93500
2018-06-13,7.780000,8.020000,7.703000,7.880000,7.880000,131000
2018-06-14,7.950000,8.210000,7.950000,8.200000,8.200000,119400
2018-06-15,8.200000,8.820000,8.101000,8.820000,8.820000,265500
2018-06-18,8.820000,8.875000,8.467000,8.670000,8.670000,71000
2018-06-19,8.650000,8.870000,8.250000,8.340000,8.340000,82400
2018-06-20,8.340000,8.440000,7.710000,7.960000,7.960000,142900
2018-06-21,7.810000,8.320000,7.650000,8.190000,8.190000,118800
2018-06-22,8.200000,8.400000,8.047000,8.130000,8.130000,39500
2018-06-25,8.010000,8.350000,7.840000,8.210000,8.210000,141500
2018-06-26,8.220000,8.220000,8.080000,8.170000,8.170000,30600
2018-06-27,8.160000,8.270000,7.969000,8.110000,8.110000,86000
2018-06-28,8.050000,8.110000,7.910000,7.970000,7.970000,72400
2018-06-29,8.000000,8.290000,7.888000,8.180000,8.180000,38100
2018-07-02,8.110000,8.300000,7.990000,8.090000,8.090000,46800
2018-07-03,8.000000,8.230000,7.990000,8.080000,8.080000,17900
2018-07-05,8.110000,8.640000,8.070000,8.300000,8.300000,134500
2018-07-06,8.260000,8.396000,8.100000,8.230000,8.230000,76600
2018-07-09,8.305000,8.500000,8.242000,8.330000,8.330000,24300
2018-07-10,8.350000,8.400000,8.149000,8.250000,8.250000,34600
2018-07-11,8.260000,8.280000,8.190000,8.220000,8.220000,7700
2018-07-12,8.020000,8.240000,8.020000,8.200000,8.200000,44400
2018-07-13,8.340000,8.360000,8.190000,8.210000,8.210000,9800
2018-07-16,8.220000,8.220000,8.020000,8.070000,8.070000,16000
2018-07-17,8.050000,8.090000,8.010000,8.030000,8.030000,27100
2018-07-18,8.010000,8.020000,7.710000,7.830000,7.830000,60800
2018-07-19,7.860000,8.020000,7.760000,7.880000,7.880000,84000
2018-07-20,7.900000,8.320000,7.900000,8.280000,8.280000,22200
2018-07-23,8.250000,8.280000,7.790000,7.980000,7.980000,68400
2018-07-24,7.980000,8.100000,7.930000,8.090000,8.090000,10700
2018-07-25,7.935000,8.120000,7.935000,8.110000,8.110000,11700
2018-07-26,8.100000,8.300000,8.100000,8.300000,8.300000,8900
2018-07-27,8.230000,8.280000,8.050000,8.200000,8.200000,5800
2018-07-30,8.150000,8.230000,8.150000,8.190000,8.190000,12500
