Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,50.580002,51.630001,50.560001,51.380001,50.639969,139600
2018-03-29,51.650002,51.939999,50.880001,51.330002,50.590675,100700
2018-04-02,51.099998,53.689999,50.060001,50.340000,49.614937,63100
2018-04-03,50.669998,51.770000,50.669998,51.509998,50.768082,84500
2018-04-04,51.279999,52.500000,50.750000,51.540001,50.797657,111300
2018-04-05,51.830002,52.134998,51.099998,51.310001,50.570972,52700
2018-04-06,51.160000,51.560001,50.360001,50.400002,49.674091,178000
2018-04-09,51.000000,51.847000,50.820000,51.139999,50.403423,69400
2018-04-10,51.730000,52.724998,51.439999,52.630001,51.871964,52900
2018-04-11,52.650002,53.240002,52.490002,52.970001,52.207058,39400
2018-04-12,53.400002,53.660000,52.610001,52.689999,51.931091,74200
2018-04-13,52.650002,52.750000,51.380001,51.680000,50.935642,179600
2018-04-16,52.070000,53.660000,51.930000,53.349998,52.581581,41400
2018-04-17,53.619999,54.044998,52.939999,52.980000,52.216915,37000
2018-04-18,53.349998,53.349998,52.070000,52.165001,51.413658,75400
2018-04-19,52.139999,53.529999,52.049999,53.279999,52.512600,132200
2018-04-20,53.290001,54.488998,52.970001,53.520000,52.749134,440500
2018-04-23,53.580002,54.400002,53.320000,53.970001,53.192657,181200
2018-04-24,54.380001,55.450001,52.529999,52.970001,52.207058,96400
2018-04-25,52.939999,53.459999,52.470001,52.619999,51.862095,71800
2018-04-26,52.750000,53.360001,52.090000,52.619999,51.862095,47100
2018-04-27,52.570000,53.230000,51.889999,52.150002,51.398876,36500
2018-04-30,52.250000,52.709999,51.549999,51.549999,50.807510,52000
2018-05-01,51.480000,52.419998,51.000000,51.250000,50.511833,50900
2018-05-02,51.500000,52.709999,50.290001,50.470001,49.743065,89900
2018-05-03,50.369999,51.049999,49.630001,50.430000,49.703644,133200
2018-05-04,50.200001,53.150002,50.200001,51.970001,51.221462,144700
2018-05-07,51.529999,52.130001,50.740002,50.939999,50.206295,79700
2018-05-08,51.250000,51.910000,51.200001,51.840000,51.093338,54300
2018-05-09,51.889999,52.830002,51.605000,52.570000,51.812820,41000
2018-05-10,52.720001,54.279999,51.770000,52.619999,51.862095,71000
2018-05-11,52.709999,53.980000,52.400002,52.840000,52.078934,79400
2018-05-14,53.000000,53.000000,51.040001,51.080002,50.344284,40000
2018-05-15,51.049999,51.520000,50.680000,50.959999,50.226009,93000
2018-05-16,51.029999,52.560001,51.000000,51.849998,51.103199,72400
2018-05-17,52.020000,53.340000,51.250000,53.160000,52.394325,62400
2018-05-18,53.290001,53.900002,52.425999,53.730000,52.956112,123500
2018-05-21,53.750000,53.820000,53.000000,53.480000,52.709717,44800
2018-05-22,53.259998,53.639999,52.830002,53.169998,52.404190,93700
2018-05-23,53.279999,53.810001,53.250000,53.689999,52.916687,58000
2018-05-24,53.820000,54.450001,53.119999,54.450001,53.665737,39000
2018-05-25,54.299999,54.810001,54.240002,54.330002,53.547474,38200
2018-05-29,54.000000,54.230999,52.855000,53.419998,52.650578,47600
2018-05-30,53.560001,54.680000,53.450001,53.660000,52.887119,72100
2018-05-31,53.680000,54.028999,52.500000,52.959999,52.197201,93400
2018-06-01,53.320000,54.220001,52.660000,53.599998,52.897903,89600
2018-06-04,53.849998,54.310001,53.459999,54.090000,53.381489,41200
2018-06-05,54.020000,54.404999,53.540001,53.830002,53.124897,38800
2018-06-06,53.950001,54.150002,53.520000,53.820000,53.115025,46900
2018-06-07,54.841999,54.959999,53.669998,54.770000,54.052574,43200
2018-06-08,54.680000,56.540001,54.680000,56.480000,55.740177,113400
2018-06-11,56.299999,56.685001,54.770000,54.840000,54.121658,119900
2018-06-12,55.230000,55.230000,53.000000,54.130001,53.420967,166900
2018-06-13,53.650002,54.090000,53.303001,53.790001,53.085423,73700
2018-06-14,53.709999,53.709999,52.549999,53.009998,52.315628,91600
2018-06-15,53.180000,54.000000,52.770000,52.900002,52.207069,100400
2018-06-18,52.759998,54.119999,52.619999,53.830002,53.124897,111400
2018-06-19,53.790001,54.299999,53.025002,53.759998,53.055805,186200
2018-06-20,53.720001,53.849998,52.090000,52.299999,51.614937,150400
2018-06-21,52.209999,52.830002,50.790001,50.950001,50.282612,111600
2018-06-22,51.560001,52.000000,50.529999,51.939999,51.259647,736600
2018-06-25,51.570000,53.570000,51.540001,53.340000,52.641308,102000
2018-06-26,53.509998,53.509998,52.419998,52.910000,52.216949,119700
2018-06-27,52.810001,53.499001,51.279999,51.369999,50.697113,106600
2018-06-28,51.410000,54.310001,51.330002,54.200001,53.490040,185800
2018-06-29,54.169998,54.950001,53.820000,54.860001,54.141399,114100
2018-07-02,54.340000,55.279999,54.340000,55.169998,54.447334,93800
2018-07-03,55.500000,55.790001,54.930000,55.020000,54.299290,47300
2018-07-05,55.480000,56.410000,54.910000,56.259998,55.523060,127600
2018-07-06,56.070000,57.220001,55.189999,55.439999,54.713806,80800
