Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,6.130000,6.210000,6.020000,6.090000,5.814190,1088300
2018-03-29,6.120000,6.330000,6.120000,6.300000,6.014680,1354200
2018-04-02,6.230000,6.230000,5.850000,5.950000,5.680531,1346400
2018-04-03,6.010000,6.070000,5.870000,6.020000,5.747361,2115800
2018-04-04,5.890000,6.060000,5.840000,6.040000,5.766454,1441600
2018-04-05,6.060000,6.300000,6.060000,6.250000,5.966944,1407200
2018-04-06,6.180000,6.240000,6.000000,6.160000,5.881020,1544800
2018-04-09,6.230000,6.390000,6.160000,6.170000,5.890567,2009800
2018-04-10,6.370000,6.420000,6.120000,6.240000,5.957397,9825600
2018-04-11,6.280000,6.590000,6.210000,6.480000,6.186528,3532900
2018-04-12,6.410000,6.560000,6.360000,6.470000,6.176980,2654200
2018-04-13,6.560000,6.680000,6.440000,6.670000,6.367923,2283200
2018-04-16,6.690000,6.720000,6.600000,6.630000,6.329734,2080300
2018-04-17,6.630000,6.720000,6.600000,6.670000,6.367923,663800
2018-04-18,6.810000,6.930000,6.700000,6.760000,6.453847,1929200
2018-04-19,6.800000,6.870000,6.670000,6.770000,6.463394,1953900
2018-04-20,6.740000,6.980000,6.710000,6.900000,6.587506,2070700
2018-04-23,6.760000,6.900000,6.710000,6.880000,6.568412,1811500
2018-04-24,6.940000,7.070000,6.640000,6.710000,6.406112,2160800
2018-04-25,6.690000,6.880000,6.640000,6.840000,6.530223,1635400
2018-04-26,6.830000,7.190000,6.810000,7.150000,6.826184,3445300
2018-04-27,7.130000,7.160000,6.910000,6.920000,6.606600,1507700
2018-04-30,6.890000,7.120000,6.810000,7.040000,6.721166,1800900
2018-05-01,7.010000,7.060000,6.890000,7.000000,6.682977,934900
2018-05-02,6.990000,7.180000,6.990000,7.080000,6.759354,1450400
2018-05-03,7.020000,7.150000,6.900000,7.000000,6.682977,1294400
2018-05-04,6.970000,7.040000,6.850000,6.890000,6.577959,2961000
2018-05-07,6.980000,7.590000,6.970000,7.240000,6.912107,4841400
2018-05-08,7.030000,7.200000,6.420000,7.090000,6.768901,4585500
2018-05-09,7.150000,7.450000,7.030000,7.040000,6.721166,2703300
2018-05-10,7.100000,7.170000,6.980000,7.050000,6.730713,2704800
2018-05-11,7.060000,7.070000,6.940000,6.990000,6.673430,2601200
2018-05-14,7.010000,7.400000,6.960000,7.200000,6.873919,2140800
2018-05-15,7.200000,7.340000,7.130000,7.280000,6.950296,1624500
2018-05-16,7.270000,7.430000,7.210000,7.410000,7.074409,1270400
2018-05-17,7.820000,7.880000,7.480000,7.520000,7.179427,1820500
2018-05-18,7.550000,7.910000,7.520000,7.830000,7.475387,3492500
2018-05-21,7.880000,7.890000,6.970000,7.640000,7.293992,10242100
2018-05-22,7.650000,7.780000,7.420000,7.510000,7.169880,2263500
2018-05-23,7.490000,7.540000,7.320000,7.430000,7.093503,1574400
2018-05-24,7.300000,7.480000,7.260000,7.430000,7.093503,2131100
2018-05-25,7.200000,7.220000,6.980000,7.100000,6.778449,2143400
2018-05-29,7.020000,7.490000,7.020000,7.430000,7.093503,3030500
2018-05-30,7.490000,7.810000,7.450000,7.790000,7.437199,2475400
2018-05-31,7.680000,7.930000,7.640000,7.770000,7.418105,2753100
2018-06-01,7.750000,8.180000,7.720000,7.950000,7.589952,3655100
2018-06-04,7.960000,8.160000,7.790000,7.830000,7.475387,3396600
2018-06-05,7.770000,7.910000,7.720000,7.820000,7.465840,2085500
2018-06-06,7.840000,7.890000,7.710000,7.850000,7.494481,1801200
2018-06-07,7.890000,8.030000,7.810000,8.000000,7.637688,1610600
2018-06-08,8.040000,8.070000,7.850000,7.950000,7.589952,1188800
2018-06-11,8.000000,8.140000,7.970000,8.110000,7.742707,1865400
2018-06-12,8.140000,8.260000,8.070000,8.150000,7.780894,1584400
2018-06-13,8.160000,8.210000,8.040000,8.180000,7.809536,1402900
2018-06-14,8.200000,8.360000,7.940000,8.050000,7.685424,1321200
2018-06-15,8.020000,8.020000,7.680000,7.750000,7.399010,3804600
2018-06-18,7.750000,8.190000,7.750000,8.160000,7.790442,1973100
2018-06-19,8.020000,8.210000,7.930000,8.170000,7.799990,1868100
2018-06-20,8.230000,8.290000,8.070000,8.130000,7.761801,1606600
2018-06-21,8.040000,8.060000,7.790000,7.810000,7.456294,1435000
2018-06-22,8.000000,8.600000,8.000000,8.450000,8.067308,5358800
2018-06-25,8.350000,8.460000,8.060000,8.080000,7.714066,1894700
