Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,15.800000,16.000000,15.500000,15.650000,15.650000,634300
2018-03-29,15.800000,16.150000,15.650000,15.900000,15.900000,837400
2018-04-02,15.750000,16.500000,15.600000,15.900000,15.900000,410500
2018-04-03,15.750000,15.875000,15.050000,15.400000,15.400000,438700
2018-04-04,15.250000,15.950000,15.100000,15.900000,15.900000,448600
2018-04-05,16.100000,16.250000,15.800000,16.100000,16.100000,211500
2018-04-06,15.900000,16.100000,15.100000,15.350000,15.350000,198600
2018-04-09,15.500000,15.645000,14.800000,14.850000,14.850000,280500
2018-04-10,15.000000,15.500000,14.925000,15.300000,15.300000,301300
2018-04-11,15.100000,15.600000,14.107000,15.500000,15.500000,299400
2018-04-12,15.550000,15.950000,15.350000,15.750000,15.750000,446800
2018-04-13,15.850000,16.350000,15.650000,15.950000,15.950000,346000
2018-04-16,16.000000,16.600000,15.350000,16.450001,16.450001,271100
2018-04-17,16.500000,17.250000,16.350000,17.200001,17.200001,307700
2018-04-18,17.250000,17.400000,16.950001,17.150000,17.150000,430100
2018-04-19,17.150000,17.450001,17.000000,17.299999,17.299999,149900
2018-04-20,17.150000,17.650000,17.100000,17.549999,17.549999,224300
2018-04-23,17.600000,17.700001,17.299999,17.600000,17.600000,314200
2018-04-24,17.700001,17.700001,17.299999,17.549999,17.549999,405100
2018-04-25,17.549999,17.700001,17.075001,17.350000,17.350000,266500
2018-04-26,17.500000,18.075001,17.400000,17.900000,17.900000,250000
2018-04-27,18.000000,18.049999,17.650000,18.000000,18.000000,274800
2018-04-30,17.850000,18.049999,17.725000,17.799999,17.799999,236800
2018-05-01,17.799999,18.450001,17.750000,18.350000,18.350000,353700
2018-05-02,18.350000,19.350000,18.025000,18.700001,18.700001,436200
2018-05-03,19.350000,19.950001,17.700001,17.900000,17.900000,679400
2018-05-04,17.850000,17.850000,16.100000,16.424999,16.424999,761400
2018-05-07,16.400000,16.500000,15.550000,15.650000,15.650000,587600
2018-05-08,15.550000,15.550000,14.200000,14.350000,14.350000,782000
2018-05-09,14.350000,14.600000,13.875000,14.000000,14.000000,714700
2018-05-10,14.100000,14.950000,14.000000,14.800000,14.800000,547800
2018-05-11,14.900000,15.000000,14.150000,14.900000,14.900000,357200
2018-05-14,14.850000,15.095000,14.425000,14.450000,14.450000,322200
2018-05-15,14.450000,14.550000,14.200000,14.300000,14.300000,209900
2018-05-16,14.400000,14.700000,14.100000,14.500000,14.500000,346900
2018-05-17,14.400000,14.650000,14.100000,14.150000,14.150000,356300
2018-05-18,14.250000,14.300000,13.950000,14.250000,14.250000,304500
2018-05-21,14.350000,14.500000,13.950000,14.150000,14.150000,273100
2018-05-22,14.150000,14.200000,13.800000,13.850000,13.850000,386400
2018-05-23,13.850000,13.900000,13.600000,13.650000,13.650000,367700
2018-05-24,13.600000,14.250000,13.550000,14.100000,14.100000,349100
2018-05-25,14.000000,14.600000,13.950000,14.550000,14.550000,395800
2018-05-29,14.500000,14.550000,13.850000,14.150000,14.150000,492900
2018-05-30,14.150000,14.350000,14.000000,14.200000,14.200000,349800
2018-05-31,14.250000,14.850000,13.850000,14.000000,14.000000,903400
2018-06-01,14.150000,14.650000,14.000000,14.600000,14.600000,512400
2018-06-04,14.650000,15.400000,14.450000,15.200000,15.200000,479100
2018-06-05,15.150000,15.250000,14.200000,14.450000,14.450000,424700
2018-06-06,14.450000,14.950000,14.150000,14.700000,14.700000,310100
2018-06-07,14.500000,15.000000,13.875000,14.450000,14.450000,960300
2018-06-08,14.450000,14.550000,13.850000,14.100000,14.100000,742000
2018-06-11,14.150000,14.850000,14.126000,14.700000,14.700000,370100
2018-06-12,14.750000,14.900000,14.350000,14.450000,14.450000,349300
2018-06-13,14.450000,14.850000,14.350000,14.600000,14.600000,332400
2018-06-14,14.650000,14.700000,14.150000,14.250000,14.250000,389100
2018-06-15,14.150000,14.550000,13.950000,14.500000,14.500000,556300
2018-06-18,14.650000,15.400000,14.400000,15.300000,15.300000,328300
2018-06-19,15.100000,15.350000,14.600000,15.350000,15.350000,427100
2018-06-20,15.300000,15.300000,14.650000,14.650000,14.650000,350400
2018-06-21,14.700000,14.750000,14.350000,14.500000,14.500000,452300
2018-06-22,14.500000,15.250000,14.350000,15.150000,15.150000,1074700
2018-06-25,15.000000,15.000000,14.300000,14.350000,14.350000,264100
2018-06-26,14.400000,15.100000,14.355000,15.000000,15.000000,334500
2018-06-27,14.950000,14.950000,14.200000,14.300000,14.300000,312300
2018-06-28,14.200000,15.000000,14.200000,14.650000,14.650000,471300
2018-06-29,14.750000,14.900000,14.525000,14.550000,14.550000,214300
2018-07-02,14.550000,14.900000,14.450000,14.850000,14.850000,208600
2018-07-03,15.000000,15.200000,14.800000,14.900000,14.900000,119300
2018-07-05,15.000000,15.150000,14.600000,15.050000,15.050000,214900
2018-07-06,15.050000,15.300000,14.950000,14.950000,14.950000,143400
2018-07-09,14.950000,15.500000,14.950000,15.300000,15.300000,214000
2018-07-10,15.300000,15.400000,15.000000,15.200000,15.200000,256500
2018-07-11,15.050000,15.550000,15.050000,15.100000,15.100000,343800
2018-07-12,15.250000,15.250000,14.850000,14.850000,14.850000,184000
2018-07-13,14.800000,14.900000,14.050000,14.050000,14.050000,386400
2018-07-16,14.100000,14.195000,13.650000,14.000000,14.000000,361900
2018-07-17,13.950000,14.350000,13.800000,14.000000,14.000000,331000
2018-07-18,13.950000,13.950000,13.700000,13.800000,13.800000,299600
2018-07-19,13.800000,14.000000,13.650000,13.850000,13.850000,231300
2018-07-20,13.850000,13.900000,13.650000,13.700000,13.700000,187100
2018-07-23,13.600000,14.000000,13.400000,13.900000,13.900000,223100
2018-07-24,13.900000,14.400000,13.850000,13.950000,13.950000,294900
2018-07-25,13.900000,14.200000,13.250000,13.300000,13.300000,399400
2018-07-26,13.400000,13.750000,13.200000,13.650000,13.650000,231000
2018-07-27,13.700000,13.700000,13.000000,13.300000,13.300000,455200
2018-07-30,13.250000,13.600000,13.000000,13.300000,13.300000,331300
2018-07-31,13.450000,14.500000,13.400000,14.450000,14.450000,305000
2018-08-01,14.250000,15.000000,14.000000,15.000000,15.000000,376100
2018-08-02,13.850000,14.600000,13.000000,13.350000,13.350000,489800
2018-08-03,13.250000,13.650000,13.250000,13.600000,13.600000,245800
2018-08-06,13.650000,13.750000,13.400000,13.500000,13.500000,178800
2018-08-07,13.650000,13.700000,13.200000,13.350000,13.350000,239000
2018-08-08,13.400000,13.650000,13.200000,13.550000,13.550000,195300
2018-08-09,13.550000,13.650000,13.400000,13.500000,13.500000,156200
2018-08-10,13.450000,13.550000,13.050000,13.100000,13.100000,227600
2018-08-13,13.000000,13.550000,12.800000,13.350000,13.350000,391600
2018-08-14,13.400000,13.600000,13.250000,13.450000,13.450000,151400
2018-08-15,13.450000,13.600000,13.100000,13.450000,13.450000,211300
2018-08-16,13.500000,13.900000,13.425000,13.750000,13.750000,211000
2018-08-17,13.700000,13.800000,13.350000,13.450000,13.450000,200200
2018-08-20,13.500000,14.600000,13.300000,14.500000,14.500000,460400
2018-08-21,14.500000,14.850000,14.050000,14.450000,14.450000,355700
2018-08-22,14.400000,14.600000,14.150000,14.500000,14.500000,238500
2018-08-23,14.550000,14.750000,14.350000,14.500000,14.500000,118200
2018-08-24,14.500000,14.700000,14.200000,14.550000,14.550000,125000
2018-08-27,14.700000,15.150000,14.650000,14.900000,14.900000,170400
2018-08-28,14.900000,14.950000,14.300000,14.650000,14.650000,245000
2018-08-29,14.550000,15.200000,14.500000,15.100000,15.100000,287600
2018-08-30,15.100000,16.000000,15.000000,15.600000,15.600000,352900
2018-08-31,15.700000,16.150000,15.450000,16.100000,16.100000,270300
2018-09-04,16.049999,16.049999,15.375000,15.550000,15.550000,343800
2018-09-05,15.350000,15.500000,15.000000,15.400000,15.400000,180700
2018-09-06,15.350000,15.750000,15.150000,15.200000,15.200000,195500
2018-09-07,15.250000,15.600000,15.200000,15.400000,15.400000,229000
2018-09-10,15.450000,16.150000,15.400000,15.700000,15.700000,300500
2018-09-11,15.700000,15.900000,15.250000,15.500000,15.500000,315700
2018-09-12,15.550000,16.000000,15.100000,15.900000,15.900000,259400
2018-09-13,15.950000,16.299999,15.805000,16.299999,16.299999,203300
2018-09-14,16.250000,16.549999,15.800000,16.350000,16.350000,340200
2018-09-17,16.400000,16.594999,15.650000,16.150000,16.150000,256200
2018-09-18,16.200001,16.600000,16.100000,16.150000,16.150000,237600
2018-09-19,16.100000,16.549999,16.049999,16.100000,16.100000,239900
2018-09-20,16.150000,16.350000,15.950000,16.200001,16.200001,315600
2018-09-21,16.200001,16.350000,15.550000,15.650000,15.650000,1631000
2018-09-24,15.600000,15.600000,14.650000,15.000000,15.000000,553600
2018-09-25,15.050000,15.350000,14.900000,14.900000,14.900000,225300
2018-09-26,14.900000,15.250000,14.600000,14.750000,14.750000,279100
2018-09-27,14.750000,15.100000,14.300000,14.550000,14.550000,552800
2018-09-28,14.450000,15.150000,14.450000,14.950000,14.950000,350500
2018-10-01,14.880000,15.120000,14.700000,14.910000,14.910000,497900
2018-10-02,14.900000,15.030000,14.760000,14.910000,14.910000,281700
2018-10-03,14.950000,15.490000,14.820000,15.440000,15.440000,308800
2018-10-04,15.390000,15.460000,14.840000,14.860000,14.860000,227000
2018-10-05,14.820000,14.910000,14.140000,14.190000,14.190000,342800
2018-10-08,14.150000,14.310000,13.940000,14.100000,14.100000,275100
2018-10-09,14.050000,14.340000,13.790000,14.180000,14.180000,210200
2018-10-10,14.140000,14.460000,13.900000,13.900000,13.900000,206300
2018-10-11,13.760000,14.100000,13.550000,13.560000,13.560000,370400
2018-10-12,13.780000,13.810000,13.170000,13.270000,13.270000,384700
2018-10-15,13.250000,13.650000,13.140000,13.440000,13.440000,263500
2018-10-16,13.530000,13.930000,13.290000,13.880000,13.880000,276700
2018-10-17,13.840000,14.000000,13.520000,13.750000,13.750000,235400
2018-10-18,13.730000,14.230000,13.460000,13.650000,13.650000,149900
2018-10-19,13.660000,13.788000,13.450000,13.500000,13.500000,143700
2018-10-22,13.460000,13.650000,13.180000,13.310000,13.310000,259500
2018-10-23,13.090000,13.346000,12.810000,13.170000,13.170000,212500
2018-10-24,13.130000,13.310000,13.050000,13.060000,13.060000,212100
2018-10-25,13.160000,13.450000,13.050000,13.260000,13.260000,272200
2018-10-26,13.070000,13.140000,12.590000,12.900000,12.900000,313600
2018-10-29,13.100000,13.270000,12.600000,12.680000,12.680000,320700
2018-10-30,12.700000,13.095000,12.620000,12.690000,12.690000,299000
