Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,7.880000,8.130000,7.400000,7.420000,7.420000,166300
2018-03-29,7.450000,7.580000,7.310000,7.340000,7.340000,148300
2018-04-02,7.350000,7.401000,6.650000,6.910000,6.910000,183100
2018-04-03,7.020000,7.440000,6.920000,7.400000,7.400000,117000
2018-04-04,7.250000,7.780000,7.137000,7.730000,7.730000,88800
2018-04-05,7.770000,7.925000,7.330000,7.560000,7.560000,125200
2018-04-06,7.460000,7.600000,7.150000,7.160000,7.160000,129900
2018-04-09,7.150000,7.360000,6.960000,7.110000,7.110000,207800
2018-04-10,7.230000,7.590000,7.200000,7.400000,7.400000,148400
2018-04-11,7.380000,7.710000,7.355000,7.710000,7.710000,124600
2018-04-12,7.760000,7.960000,7.720000,7.900000,7.900000,125500
2018-04-13,7.920000,7.920000,7.400000,7.640000,7.640000,169000
2018-04-16,7.710000,7.950000,7.560000,7.670000,7.670000,105600
2018-04-17,7.720000,8.470000,7.510000,8.430000,8.430000,294300
2018-04-18,8.470000,8.620000,8.330000,8.400000,8.400000,126100
2018-04-19,8.350000,8.400000,7.780000,7.900000,7.900000,94700
2018-04-20,7.900000,8.050000,7.650000,7.730000,7.730000,74800
2018-04-23,7.750000,7.960000,7.470000,7.610000,7.610000,80800
2018-04-24,7.640000,7.800000,7.470000,7.700000,7.700000,80400
2018-04-25,7.900000,7.980000,7.470000,7.550000,7.550000,98500
2018-04-26,7.570000,7.880000,7.540000,7.700000,7.700000,130300
2018-04-27,7.750000,8.140000,7.750000,7.970000,7.970000,123200
2018-04-30,8.060000,8.090000,7.630000,7.670000,7.670000,59900
2018-05-01,7.690000,7.840000,7.500000,7.800000,7.800000,65400
2018-05-02,7.780000,8.060000,7.770000,7.930000,7.930000,49500
2018-05-03,7.920000,8.140000,7.769000,8.010000,8.010000,71800
2018-05-04,8.000000,8.100000,7.921000,8.020000,8.020000,49900
2018-05-07,8.060000,8.330000,7.990000,8.180000,8.180000,57700
2018-05-08,8.190000,8.310000,8.040000,8.270000,8.270000,76000
2018-05-09,9.000000,9.010000,8.130000,8.180000,8.180000,138500
2018-05-10,8.240000,8.569000,8.130000,8.210000,8.210000,95500
2018-05-11,8.200000,8.360000,8.010000,8.320000,8.320000,130700
2018-05-14,8.370000,8.690000,8.210000,8.270000,8.270000,141600
2018-05-15,8.250000,8.250000,7.860000,8.150000,8.150000,135300
2018-05-16,8.160000,8.960000,8.150000,8.810000,8.810000,369600
2018-05-17,8.830000,8.900000,8.340000,8.350000,8.350000,503600
2018-05-18,8.390000,8.400000,7.760000,7.770000,7.770000,160000
2018-05-21,7.950000,7.960000,7.500000,7.520000,7.520000,149900
2018-05-22,7.540000,8.160000,7.540000,7.980000,7.980000,125900
2018-05-23,7.970000,8.235000,7.970000,8.110000,8.110000,163400
2018-05-24,8.130000,8.215000,8.000000,8.050000,8.050000,72300
2018-05-25,8.090000,8.500000,8.020000,8.350000,8.350000,169200
2018-05-29,8.340000,8.410000,7.970000,8.160000,8.160000,109700
2018-05-30,8.240000,8.460000,8.140000,8.200000,8.200000,138600
2018-05-31,8.250000,8.360000,7.960000,8.050000,8.050000,90800
2018-06-01,8.120000,8.220000,7.950000,7.960000,7.960000,130600
2018-06-04,8.000000,8.140000,7.500000,7.590000,7.590000,208600
2018-06-05,7.590000,8.450000,7.590000,8.420000,8.420000,426900
2018-06-06,8.420000,8.730000,8.150000,8.670000,8.670000,246100
2018-06-07,8.650000,8.652000,8.330000,8.460000,8.460000,108100
2018-06-08,8.440000,8.533000,8.280000,8.300000,8.300000,85400
2018-06-11,8.300000,8.660000,8.090000,8.580000,8.580000,145200
2018-06-12,8.610000,8.880000,8.500000,8.770000,8.770000,114800
2018-06-13,8.770000,8.770000,8.440000,8.510000,8.510000,158400
2018-06-14,8.580000,8.700000,8.410000,8.610000,8.610000,161000
2018-06-15,8.600000,8.920000,8.380000,8.500000,8.500000,399100
2018-06-18,8.470000,8.760000,8.270000,8.740000,8.740000,157100
2018-06-19,8.700000,8.940000,8.650000,8.880000,8.880000,159200
2018-06-20,8.960000,9.620000,8.850000,9.550000,9.550000,319300
2018-06-21,9.550000,9.556000,8.900000,9.040000,9.040000,220300
2018-06-22,9.110000,9.750000,8.980000,9.510000,9.510000,597400
2018-06-25,9.500000,9.560000,9.080000,9.250000,9.250000,191000
2018-06-26,9.300000,9.365000,8.900000,9.090000,9.090000,161900
2018-06-27,9.080000,9.170000,8.880000,9.010000,9.010000,147400
2018-06-28,9.120000,9.320000,8.900000,9.200000,9.200000,166000
2018-06-29,9.240000,9.240000,8.560000,8.600000,8.600000,122400
2018-07-02,8.600000,8.600000,8.150000,8.540000,8.540000,184400
2018-07-03,8.530000,8.880000,8.390000,8.830000,8.830000,58800
2018-07-05,9.000000,9.000000,8.580000,8.920000,8.920000,66200
2018-07-06,8.960000,9.230000,8.890000,9.210000,9.210000,204700
2018-07-09,9.250000,9.350000,8.860000,9.230000,9.230000,81300
2018-07-10,9.230000,9.330000,8.920000,8.960000,8.960000,89900
2018-07-11,8.930000,9.070000,8.600000,8.690000,8.690000,96600
2018-07-12,8.790000,8.890000,8.590000,8.810000,8.810000,82900
2018-07-13,8.810000,8.825000,8.650000,8.750000,8.750000,68800
2018-07-16,8.820000,8.820000,7.820000,8.030000,8.030000,235300
2018-07-17,8.000000,8.170000,7.857000,8.000000,8.000000,60600
2018-07-18,7.990000,8.235000,7.590000,7.960000,7.960000,97900
2018-07-19,7.950000,8.440000,7.860000,8.270000,8.270000,107800
2018-07-20,8.210000,8.350000,8.080000,8.120000,8.120000,48700
2018-07-23,8.080000,8.170000,7.910000,8.010000,8.010000,66900
2018-07-24,8.110000,8.110000,7.610000,7.790000,7.790000,67500
2018-07-25,7.780000,7.980000,7.700000,7.940000,7.940000,81900
2018-07-26,7.940000,8.130000,7.820000,8.100000,8.100000,46400
2018-07-27,8.130000,8.130000,7.330000,7.390000,7.390000,120000
2018-07-30,7.410000,7.600000,7.280000,7.330000,7.330000,75000
2018-07-31,7.340000,7.640000,7.300000,7.570000,7.570000,41900
2018-08-01,7.540000,7.650000,7.254000,7.430000,7.430000,69400
2018-08-02,7.280000,7.770000,7.211000,7.410000,7.410000,92600
2018-08-03,7.280000,7.900000,7.211000,7.550000,7.550000,155600
2018-08-06,7.570000,7.670000,7.260000,7.430000,7.430000,92700
2018-08-07,7.450000,7.690000,7.450000,7.640000,7.640000,50100
2018-08-08,7.610000,8.110000,7.600000,8.100000,8.100000,88200
2018-08-09,8.100000,8.240000,8.000000,8.090000,8.090000,63000
2018-08-10,8.070000,8.080000,7.730000,7.930000,7.930000,61800
2018-08-13,7.880000,8.040000,7.800000,8.000000,8.000000,74400
2018-08-14,8.000000,8.170000,7.900000,8.120000,8.120000,76300
2018-08-15,7.800000,7.800000,7.250000,7.730000,7.730000,154800
2018-08-16,7.750000,8.190000,7.620000,8.040000,8.040000,113800
2018-08-17,8.060000,8.140000,7.890000,8.060000,8.060000,49600
2018-08-20,8.100000,8.100000,7.690000,7.810000,7.810000,66100
2018-08-21,7.840000,8.286000,7.830000,8.180000,8.180000,81600
2018-08-22,8.200000,8.440000,8.040000,8.400000,8.400000,98600
2018-08-23,8.430000,8.670000,8.130000,8.180000,8.180000,69800
2018-08-24,8.170000,8.380000,7.780000,8.230000,8.230000,81500
2018-08-27,8.240000,8.370000,8.100000,8.120000,8.120000,59000
2018-08-28,8.210000,8.210000,7.920000,8.110000,8.110000,86100
2018-08-29,8.080000,8.700000,7.993000,8.610000,8.610000,148200
2018-08-30,8.610000,8.795000,8.400000,8.470000,8.470000,86500
2018-08-31,8.430000,8.900000,8.430000,8.780000,8.780000,58700
2018-09-04,8.740000,8.740000,8.290000,8.660000,8.660000,101400
2018-09-05,8.700000,9.260000,8.600000,9.200000,9.200000,149100
2018-09-06,9.170000,9.210000,8.590000,8.750000,8.750000,101000
2018-09-07,8.730000,9.020000,8.730000,8.940000,8.940000,56700
2018-09-10,8.900000,8.900000,8.000000,8.455000,8.455000,141600
2018-09-11,8.400000,8.480000,8.000000,8.005000,8.005000,92200
2018-09-12,8.000000,8.080000,7.510000,7.610000,7.610000,117100
2018-09-13,7.710000,7.940000,7.490000,7.800000,7.800000,156500
2018-09-14,7.800000,8.130000,7.600000,7.810000,7.810000,85700
2018-09-17,7.800000,7.800000,7.070000,7.440000,7.440000,198600
2018-09-18,7.410000,7.610000,7.310000,7.410000,7.410000,89600
2018-09-19,7.400000,7.680000,7.400000,7.530000,7.530000,171700
