Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,10.130000,10.150000,10.050000,10.090000,9.806217,436400
2018-03-29,10.060000,10.120000,10.050000,10.110000,9.825655,394100
2018-04-02,10.050000,10.110000,10.050000,10.100000,9.815937,7700
2018-04-03,10.085000,10.100000,10.070000,10.070000,9.786779,2700
2018-04-04,10.080000,10.100000,10.080000,10.090000,9.806217,55200
2018-04-05,10.070000,10.080000,10.070000,10.080000,9.796498,800
2018-04-06,10.060000,10.060000,10.060000,10.060000,9.777061,300
2018-04-09,10.100000,10.100000,10.070000,10.100000,9.815937,112800
2018-04-10,10.070000,10.090000,10.060000,10.070000,9.786779,592500
2018-04-11,10.080000,10.100000,10.070000,10.100000,9.815937,530600
2018-04-12,10.100000,10.100000,10.060000,10.060000,9.777061,1068100
2018-04-13,10.070000,10.090000,10.070000,10.090000,9.806217,49500
2018-04-16,10.100000,10.100000,10.070000,10.090000,9.806217,756300
2018-04-17,10.081000,10.100000,10.060000,10.060000,9.777061,11400
2018-04-18,10.080000,10.150000,10.080000,10.140000,9.854812,1918800
2018-04-19,10.120000,10.140000,10.120000,10.140000,9.854812,1453000
2018-04-20,10.120000,10.150000,10.117000,10.120000,9.835372,47400
2018-04-23,10.120000,10.150000,10.120000,10.135000,9.849952,219100
2018-04-24,10.125000,10.140000,10.120000,10.130000,9.845093,367500
2018-04-25,10.150000,10.150000,10.130000,10.150000,9.864530,1625400
2018-04-26,10.150000,10.250000,10.150000,10.180000,9.893686,660100
2018-04-27,10.180000,10.320000,10.180000,10.270000,9.981155,3291100
2018-04-30,10.300000,10.380000,10.260000,10.320000,10.029749,645500
2018-05-01,10.310000,10.340000,10.270000,10.330000,10.039468,1719600
2018-05-02,10.330000,10.350000,10.300000,10.330000,10.039468,1608000
2018-05-03,10.300000,10.340000,10.250000,10.300000,10.010311,885100
2018-05-04,10.300000,10.330000,10.300000,10.310000,10.020031,138900
2018-05-07,10.340000,10.350000,10.300000,10.340000,10.049186,638800
2018-05-08,10.330000,10.330000,10.250000,10.260000,9.971436,194300
2018-05-09,10.340000,10.340000,10.270000,10.300000,10.010311,2142500
2018-05-10,10.330000,10.400000,10.320000,10.380000,10.088061,775500
2018-05-11,10.400000,10.400000,10.340000,10.380000,10.088061,1494500
2018-05-14,10.440000,10.600000,10.355000,10.500000,10.204686,2536900
2018-05-15,10.500000,10.650000,10.480000,10.620000,10.321311,2150100
2018-05-16,10.610000,10.740000,10.590000,10.670000,10.369905,1145300
2018-05-17,10.700000,10.870000,10.690000,10.765000,10.462234,2130100
2018-05-18,10.770000,10.800000,10.660000,10.745000,10.442795,1065000
2018-05-21,10.800000,10.849000,10.700000,10.760000,10.457374,258100
2018-05-22,10.800000,10.800000,10.680000,10.680000,10.379624,1122300
2018-05-23,10.650000,10.700000,10.490000,10.500000,10.204686,652300
2018-05-24,10.550000,10.550000,10.350000,10.350000,10.058905,238300
2018-05-25,10.390000,10.410000,10.280000,10.280000,9.990873,96100
2018-05-29,10.230000,10.369000,10.230000,10.320000,10.029749,1630800
2018-05-30,10.400000,10.530000,10.320000,10.420000,10.126936,1539700
2018-05-31,10.340000,10.500000,10.340000,10.500000,10.204686,271300
2018-06-01,10.550000,10.610000,10.485000,10.500000,10.204686,610400
2018-06-04,10.520000,10.600000,10.450000,10.510000,10.214405,2155400
2018-06-05,10.480000,10.580000,10.450000,10.490000,10.194968,1192700
2018-06-06,10.520000,10.600000,10.471000,10.540000,10.243562,1433700
2018-06-07,10.580000,10.700000,10.580000,10.650000,10.350467,1526700
2018-06-08,10.640000,10.700000,10.640000,10.700000,10.399060,820500
2018-06-11,10.670000,10.770000,10.660000,10.740000,10.437936,923500
2018-06-12,10.740000,10.825000,10.740000,10.770000,10.467092,707400
