Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,30.709999,30.860001,30.150000,30.410000,30.410000,56100
2018-03-29,30.570000,31.410000,30.230000,30.820000,30.820000,87300
2018-04-02,30.730000,30.750000,29.940001,30.500000,30.500000,91700
2018-04-03,30.670000,31.350000,30.080000,30.600000,30.600000,100600
2018-04-04,30.190001,31.240000,30.129999,31.120001,31.120001,53300
2018-04-05,30.809999,31.820000,30.809999,31.389999,31.389999,30100
2018-04-06,31.150000,31.379999,30.230000,30.580000,30.580000,36600
2018-04-09,30.580000,31.000000,30.299999,30.510000,30.510000,72300
2018-04-10,30.809999,31.410000,30.360001,31.270000,31.270000,57800
2018-04-11,31.070000,31.770000,31.070000,31.350000,31.350000,74200
2018-04-12,31.590000,31.590000,31.010000,31.379999,31.379999,116500
2018-04-13,31.530001,32.160000,30.879999,30.940001,30.940001,82200
2018-04-16,31.100000,31.799999,30.730000,31.100000,31.100000,53700
2018-04-17,31.250000,31.629999,30.959999,31.389999,31.389999,85100
2018-04-18,31.520000,31.930000,31.200001,31.629999,31.629999,61700
2018-04-19,31.540001,31.600000,31.090000,31.129999,31.129999,36500
2018-04-20,31.020000,31.600000,30.420000,30.820000,30.820000,59500
2018-04-23,30.930000,31.500000,30.709999,30.940001,30.940001,56100
2018-04-24,31.049999,31.090000,30.080000,30.620001,30.620001,66700
2018-04-25,30.719999,31.450001,30.370001,30.770000,30.770000,50200
2018-04-26,30.780001,31.400000,30.010000,30.209999,30.209999,66400
2018-04-27,30.219999,30.500000,30.000000,30.290001,30.290001,89300
2018-04-30,30.350000,30.450001,29.950001,30.000000,30.000000,70400
2018-05-01,30.000000,30.590000,28.930000,30.520000,30.520000,79100
2018-05-02,30.490000,30.920000,29.969999,30.370001,30.370001,50400
2018-05-03,35.000000,36.430000,34.130001,35.740002,35.740002,307000
2018-05-04,35.700001,36.930000,35.520000,36.419998,36.419998,96800
2018-05-07,36.650002,37.459999,35.610001,37.369999,37.369999,92700
2018-05-08,37.360001,38.660000,37.360001,38.610001,38.610001,94000
2018-05-09,38.680000,38.820000,37.430000,38.240002,38.240002,117900
2018-05-10,38.230000,38.619999,38.080002,38.320000,38.320000,81300
2018-05-11,38.310001,38.869999,37.910000,38.139999,38.139999,53500
2018-05-14,38.200001,38.660000,37.849998,37.970001,37.970001,49700
2018-05-15,37.869999,38.500000,37.869999,38.330002,38.330002,59200
2018-05-16,38.360001,39.689999,37.889999,38.740002,38.740002,119800
2018-05-17,38.820000,38.910000,38.410000,38.430000,38.430000,69500
2018-05-18,38.580002,38.959999,38.450001,38.709999,38.709999,62900
2018-05-21,38.830002,39.540001,38.779999,39.340000,39.340000,61500
2018-05-22,39.200001,39.580002,38.709999,38.900002,38.900002,54100
2018-05-23,38.730000,38.770000,38.189999,38.360001,38.360001,44300
2018-05-24,38.279999,38.360001,37.910000,38.169998,38.169998,46400
2018-05-25,38.040001,38.680000,37.310001,38.430000,38.430000,40300
2018-05-29,38.150002,38.950001,38.130001,38.700001,38.700001,73000
2018-05-30,38.750000,39.830002,38.139999,39.450001,39.450001,74500
2018-05-31,39.450001,39.570000,38.810001,39.040001,39.040001,88500
2018-06-01,39.240002,39.860001,38.509998,39.520000,39.520000,97300
2018-06-04,39.529999,40.340000,39.189999,40.029999,40.029999,68300
2018-06-05,39.959999,40.410000,39.599998,40.349998,40.349998,54700
2018-06-06,40.470001,40.619999,40.029999,40.430000,40.430000,42800
2018-06-07,40.430000,40.810001,39.639999,39.810001,39.810001,47700
2018-06-08,39.810001,40.130001,39.130001,39.130001,39.130001,48600
2018-06-11,39.209999,39.299999,38.349998,38.529999,38.529999,58300
2018-06-12,38.560001,38.980000,37.950001,38.099998,38.099998,45900
2018-06-13,38.110001,39.580002,37.759998,37.799999,37.799999,35300
2018-06-14,37.779999,39.020000,36.209999,36.580002,36.580002,99200
2018-06-15,36.299999,36.799999,35.790001,36.490002,36.490002,135200
2018-06-18,36.320000,37.130001,36.320000,37.060001,37.060001,115500
2018-06-19,36.799999,37.610001,36.560001,37.410000,37.410000,67800
2018-06-20,37.549999,37.549999,36.189999,36.340000,36.340000,140100
2018-06-21,36.330002,36.779999,35.779999,35.980000,35.980000,90100
2018-06-22,36.180000,36.520000,35.849998,36.279999,36.279999,375700
2018-06-25,36.070000,36.970001,35.310001,36.160000,36.160000,97800
2018-06-26,36.259998,36.590000,35.009998,36.020000,36.020000,77500
2018-06-27,36.049999,36.200001,35.450001,35.520000,35.520000,92600
2018-06-28,35.450001,35.549999,35.040001,35.110001,35.110001,83400
2018-06-29,35.290001,35.740002,35.040001,35.459999,35.459999,75500
2018-07-02,35.330002,36.080002,35.139999,36.060001,36.060001,65700
2018-07-03,36.160000,36.299999,35.880001,35.970001,35.970001,47600
2018-07-05,36.279999,37.380001,35.900002,37.320000,37.320000,131500
2018-07-06,37.330002,38.240002,37.299999,38.099998,38.099998,76500
2018-07-09,38.209999,38.220001,37.700001,37.880001,37.880001,39900
2018-07-10,38.220001,39.119999,37.990002,38.279999,38.279999,158500
2018-07-11,38.200001,38.709999,38.000000,38.080002,38.080002,107600
2018-07-12,38.139999,38.630001,37.340000,38.520000,38.520000,135800
2018-07-13,38.529999,39.380001,38.529999,38.650002,38.650002,106500
2018-07-16,38.669998,39.459999,37.459999,38.020000,38.020000,74000
2018-07-17,38.099998,38.529999,37.919998,38.340000,38.340000,46300
2018-07-18,38.209999,38.299999,37.680000,37.770000,37.770000,63700
2018-07-19,37.689999,38.080002,37.480000,37.820000,37.820000,111300
2018-07-20,37.759998,38.520000,37.360001,38.360001,38.360001,117600
2018-07-23,38.189999,38.250000,36.790001,37.230000,37.230000,283900
2018-07-24,37.240002,37.279999,36.240002,36.250000,36.250000,81700
2018-07-25,36.240002,37.320000,35.099998,35.770000,35.770000,115400
2018-07-26,35.759998,37.070000,35.520000,36.889999,36.889999,147500
2018-07-27,37.029999,37.840000,36.799999,37.040001,37.040001,105200
2018-07-30,37.110001,37.540001,36.029999,36.119999,36.119999,72400
2018-07-31,36.270000,37.049999,35.910000,36.889999,36.889999,63900
2018-08-01,36.869999,37.400002,36.110001,36.790001,36.790001,142600
2018-08-02,34.509998,39.599998,34.509998,39.360001,39.360001,249200
2018-08-03,37.840000,37.840000,34.639999,35.099998,35.099998,267800
2018-08-06,34.990002,36.240002,34.990002,36.169998,36.169998,169100
2018-08-07,36.160000,36.490002,35.910000,36.220001,36.220001,60000
2018-08-08,36.320000,36.779999,36.070000,36.419998,36.419998,84400
2018-08-09,36.349998,36.590000,35.730000,36.099998,36.099998,79100
2018-08-10,35.910000,36.660000,35.639999,35.930000,35.930000,84700
2018-08-13,35.810001,36.099998,34.660000,34.720001,34.720001,100000
2018-08-14,34.810001,35.860001,34.810001,35.080002,35.080002,72900
2018-08-15,34.709999,35.130001,33.849998,33.880001,33.880001,69000
2018-08-16,34.070000,34.529999,33.570000,34.180000,34.180000,118100
2018-08-17,34.090000,34.910000,33.790001,34.799999,34.799999,81300
2018-08-20,34.900002,35.119999,34.320000,34.810001,34.810001,43600
2018-08-21,34.799999,35.240002,34.630001,34.709999,34.709999,62300
2018-08-22,34.689999,35.209999,34.250000,34.779999,34.779999,111500
2018-08-23,34.770000,35.430000,34.480000,35.119999,35.119999,57500
2018-08-24,35.139999,35.860001,34.750000,35.060001,35.060001,96000
2018-08-27,35.110001,35.950001,34.580002,34.689999,34.689999,54700
2018-08-28,34.680000,34.939999,34.320000,34.759998,34.759998,106700
2018-08-29,34.730000,35.250000,34.340000,35.169998,35.169998,79300
2018-08-30,35.080002,35.200001,34.520000,34.700001,34.700001,53000
2018-08-31,34.610001,34.950001,34.330002,34.770000,34.770000,71400
2018-09-04,34.740002,34.750000,34.090000,34.639999,34.639999,80800
2018-09-05,34.639999,34.779999,34.150002,34.540001,34.540001,78700
2018-09-06,34.590000,34.590000,33.910000,33.950001,33.950001,48000
2018-09-07,33.880001,34.070000,33.099998,33.209999,33.209999,55600
2018-09-10,33.330002,33.639999,32.910000,33.330002,33.330002,71600
2018-09-11,33.320000,33.500000,32.970001,33.009998,33.009998,104700
2018-09-12,32.980000,33.290001,32.770000,33.110001,33.110001,99100
2018-09-13,33.290001,33.520000,32.259998,32.320000,32.320000,26400
2018-09-14,32.310001,32.840000,31.950001,32.459999,32.459999,55000
2018-09-17,32.490002,32.700001,31.469999,32.029999,32.029999,81600
2018-09-18,32.130001,32.270000,31.680000,31.740000,31.740000,52600
2018-09-19,31.770000,31.930000,31.370001,31.520000,31.520000,102000
2018-09-20,31.650000,32.520000,31.520000,32.459999,32.459999,56100
2018-09-21,32.400002,33.080002,32.150002,32.759998,32.759998,290100
2018-09-24,32.709999,32.709999,31.709999,31.910000,31.910000,52500
2018-09-25,32.009998,32.290001,31.719999,31.760000,31.760000,38400
2018-09-26,31.740000,31.990000,31.510000,31.620001,31.620001,44500
2018-09-27,31.610001,32.250000,31.610001,32.049999,32.049999,45900
2018-09-28,31.969999,32.810001,31.969999,32.639999,32.639999,76500
2018-10-01,32.880001,32.880001,32.369999,32.459999,32.459999,95900
2018-10-02,32.450001,32.889999,32.349998,32.770000,32.770000,46000
2018-10-03,32.779999,33.110001,32.180000,33.000000,33.000000,75200
2018-10-04,32.889999,32.939999,32.529999,32.680000,32.680000,59800
2018-10-05,32.770000,32.950001,32.349998,32.830002,32.830002,58200
2018-10-08,32.730000,33.549999,32.680000,33.450001,33.450001,45500
2018-10-09,33.310001,34.259998,32.779999,33.770000,33.770000,117600
2018-10-10,33.709999,33.810001,33.299999,33.419998,33.419998,111500
2018-10-11,33.299999,33.720001,32.610001,32.610001,32.610001,87100
2018-10-12,33.130001,33.130001,31.740000,31.980000,31.980000,47300
2018-10-15,31.969999,32.480000,31.639999,32.110001,32.110001,54300
2018-10-16,32.279999,33.369999,31.959999,33.320000,33.320000,48700
2018-10-17,33.220001,33.220001,32.020000,32.439999,32.439999,78300
2018-10-18,32.290001,32.520000,32.000000,32.400002,32.400002,64300
2018-10-19,32.459999,32.980000,32.389999,32.700001,32.700001,56000
2018-10-22,32.869999,33.400002,32.419998,32.799999,32.799999,58100
2018-10-23,32.470001,32.650002,32.139999,32.259998,32.259998,31700
2018-10-24,32.250000,32.250000,30.660000,30.740000,30.740000,49800
2018-10-25,30.950001,32.189999,30.950001,31.990000,31.990000,44700
2018-10-26,31.600000,32.830002,31.070000,32.250000,32.250000,49600
2018-10-29,32.730000,33.610001,32.570000,32.820000,32.820000,88400
2018-10-30,32.810001,34.160000,32.779999,34.029999,34.029999,53400
2018-10-31,34.450001,34.450001,32.950001,33.389999,33.389999,83900
2018-11-01,32.209999,34.549999,31.799999,33.759998,33.759998,74800
2018-11-02,33.650002,34.720001,32.869999,33.119999,33.119999,64100
2018-11-05,33.049999,34.290001,32.590000,34.160000,34.160000,83000
2018-11-06,34.060001,34.639999,33.799999,34.180000,34.180000,115100
2018-11-07,34.169998,34.990002,33.529999,34.189999,34.189999,87900
2018-11-08,34.259998,34.450001,32.060001,33.869999,33.869999,72000
2018-11-09,33.669998,33.669998,32.250000,32.549999,32.549999,70800
2018-11-12,32.540001,32.540001,31.459999,31.600000,31.600000,54600
2018-11-13,31.520000,31.920000,30.459999,30.879999,30.879999,120000
2018-11-14,31.049999,31.580000,30.160000,30.450001,30.450001,71400
2018-11-15,30.209999,30.820000,30.010000,30.450001,30.450001,136000
2018-11-16,30.299999,30.830000,30.110001,30.700001,30.700001,86800
2018-11-19,30.600000,30.959999,29.950001,30.040001,30.040001,89600
2018-11-20,29.809999,30.150000,29.290001,29.639999,29.639999,131800
2018-11-21,29.910000,31.040001,29.459999,30.370001,30.370001,82500
2018-11-23,30.110001,30.790001,30.049999,30.090000,30.090000,38300
2018-11-26,30.360001,31.709999,29.920000,29.959999,29.959999,45300
2018-11-27,29.980000,30.170000,29.290001,29.879999,29.879999,55400
2018-11-28,29.889999,31.180000,29.730000,30.990000,30.990000,58900
2018-11-29,30.990000,31.580000,30.540001,30.790001,30.790001,62200
2018-11-30,30.799999,31.510000,30.770000,31.299999,31.299999,71700
2018-12-03,31.709999,31.799999,30.150000,30.719999,30.719999,54700
2018-12-04,30.580000,30.950001,28.809999,29.080000,29.080000,94300
2018-12-06,28.740000,29.270000,28.280001,29.230000,29.230000,102400
2018-12-07,29.379999,29.590000,28.260000,28.420000,28.420000,46200
2018-12-10,28.430000,28.809999,27.850000,28.530001,28.530001,43600
2018-12-11,28.969999,29.100000,27.969999,28.040001,28.040001,43300
2018-12-12,28.320000,29.500000,28.320000,28.959999,28.959999,62200
2018-12-13,29.100000,29.230000,28.040001,28.420000,28.420000,59600
2018-12-14,28.150000,28.450001,27.730000,27.879999,27.879999,35500
2018-12-17,27.889999,28.900000,27.180000,28.230000,28.230000,76600
2018-12-18,28.450001,29.200001,28.160000,28.180000,28.180000,60200
2018-12-19,28.219999,28.580000,26.940001,27.190001,27.190001,61800
2018-12-20,27.100000,27.900000,26.590000,26.840000,26.840000,55800
2018-12-21,26.940001,27.280001,26.559999,26.820000,26.820000,170400
2018-12-24,26.790001,27.459999,26.480000,26.680000,26.680000,36800
2018-12-26,26.870001,27.740000,26.559999,27.680000,27.680000,59700
2018-12-27,27.290001,28.010000,26.240000,27.540001,27.540001,54000
2018-12-28,27.490000,27.969999,27.000000,27.670000,27.670000,54700
2018-12-31,27.680000,28.200001,27.270000,28.170000,28.170000,60700
2019-01-02,27.780001,28.530001,27.700001,28.379999,28.379999,54800
2019-01-03,28.370001,28.959999,27.780001,28.010000,28.010000,49500
2019-01-04,28.350000,29.610001,28.350000,29.200001,29.200001,50200
2019-01-07,29.020000,30.280001,28.820000,30.200001,30.200001,97900
2019-01-08,30.530001,30.719999,29.730000,30.270000,30.270000,82200
2019-01-09,30.480000,31.340000,30.160000,30.299999,30.299999,40400
2019-01-10,30.250000,30.620001,30.080000,30.600000,30.600000,55900
2019-01-11,30.450001,30.980000,30.270000,30.959999,30.959999,34900
2019-01-14,30.830000,30.990000,30.230000,30.230000,30.230000,67500
2019-01-15,30.240000,30.590000,29.780001,30.360001,30.360001,33200
2019-01-16,30.360001,30.610001,29.950001,30.400000,30.400000,56800
2019-01-17,30.250000,30.950001,30.180000,30.719999,30.719999,51100
2019-01-18,30.809999,32.110001,30.809999,31.030001,31.030001,57400
2019-01-22,30.969999,31.150000,30.260000,30.670000,30.670000,37200
2019-01-23,30.799999,31.350000,29.610001,30.530001,30.530001,30800
2019-01-24,30.490000,30.750000,30.299999,30.520000,30.520000,17900
2019-01-25,30.780001,31.059999,30.530001,30.620001,30.620001,16100
2019-01-28,30.370001,31.270000,30.190001,30.190001,30.190001,28400
2019-01-29,30.190001,30.660000,29.920000,30.150000,30.150000,18700
2019-01-30,30.299999,30.440001,28.889999,30.260000,30.260000,30900
2019-01-31,30.309999,30.750000,30.129999,30.469999,30.469999,30700
2019-02-01,30.469999,30.629999,29.850000,30.230000,30.230000,18200
2019-02-04,30.170000,30.629999,29.530001,30.629999,30.629999,34500
2019-02-05,30.420000,30.600000,29.760000,30.490000,30.490000,19800
2019-02-06,30.600000,30.750000,30.219999,30.670000,30.670000,17400
2019-02-07,30.459999,30.459999,29.530001,29.719999,29.719999,14400
2019-02-08,29.549999,30.340000,29.400000,30.290001,30.290001,23400
2019-02-11,30.200001,30.879999,30.100000,30.879999,30.879999,25500
2019-02-12,31.070000,32.450001,31.070000,32.450001,32.450001,34000
2019-02-13,32.400002,33.849998,32.349998,33.509998,33.509998,52800
2019-02-14,33.349998,34.240002,33.180000,33.450001,33.450001,80800
2019-02-15,33.660000,34.459999,32.869999,34.150002,34.150002,50200
2019-02-19,34.090000,34.570000,33.630001,33.680000,33.680000,92300
