Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,7.350000,7.400000,7.150000,7.350000,7.350000,67100
2018-03-29,7.350000,7.600000,7.300000,7.550000,7.550000,102000
2018-04-02,7.500000,7.650000,7.200000,7.250000,7.250000,79100
2018-04-03,7.300000,7.600000,7.300000,7.350000,7.350000,49700
2018-04-04,7.500000,7.850000,7.250000,7.600000,7.600000,155600
2018-04-05,7.600000,7.750000,7.250000,7.650000,7.650000,75800
2018-04-06,7.600000,7.700000,7.500000,7.600000,7.600000,67400
2018-04-09,7.650000,7.700000,7.550000,7.600000,7.600000,56300
2018-04-10,7.750000,7.750000,7.480000,7.500000,7.500000,105200
2018-04-11,7.550000,7.900000,7.550000,7.700000,7.700000,83600
2018-04-12,7.650000,7.900000,7.500000,7.650000,7.650000,133100
2018-04-13,7.700000,7.700000,7.350000,7.400000,7.400000,126600
2018-04-16,7.500000,7.600000,7.350000,7.400000,7.400000,64900
2018-04-17,7.450000,7.700000,7.250000,7.300000,7.300000,165200
2018-04-18,7.300000,7.800000,7.100000,7.700000,7.700000,343000
2018-04-19,7.800000,7.900000,7.450000,7.500000,7.500000,231600
2018-04-20,7.500000,7.700000,7.400000,7.600000,7.600000,87700
2018-04-23,7.500000,7.700000,7.350000,7.450000,7.450000,107700
2018-04-24,7.500000,7.600000,7.250000,7.350000,7.350000,121100
2018-04-25,7.400000,7.450000,7.250000,7.450000,7.450000,185100
2018-04-26,7.500000,7.600000,7.300000,7.400000,7.400000,213000
2018-04-27,7.500000,7.500000,7.250000,7.300000,7.300000,54100
2018-04-30,7.400000,7.500000,7.250000,7.250000,7.250000,121400
2018-05-01,7.200000,7.400000,7.200000,7.250000,7.250000,326400
2018-05-02,7.250000,7.400000,7.150000,7.250000,7.250000,177900
2018-05-03,7.250000,7.300000,7.200000,7.200000,7.200000,111500
2018-05-04,7.250000,7.380000,7.150000,7.250000,7.250000,156700
2018-05-07,7.350000,7.500000,7.200000,7.350000,7.350000,175200
2018-05-08,7.300000,7.600000,7.200000,7.500000,7.500000,143700
2018-05-09,7.550000,7.620000,7.250000,7.400000,7.400000,110800
2018-05-10,7.350000,8.030000,7.300000,7.800000,7.800000,232000
2018-05-11,8.200000,9.100000,7.900000,8.950000,8.950000,698000
2018-05-14,9.050000,9.550000,8.950000,9.450000,9.450000,397700
2018-05-15,9.450000,9.850000,9.300000,9.800000,9.800000,220000
2018-05-16,9.900000,9.950000,9.250000,9.300000,9.300000,236600
2018-05-17,9.200000,9.550000,9.200000,9.550000,9.550000,133200
2018-05-18,9.600000,9.600000,9.150000,9.300000,9.300000,102000
2018-05-21,9.350000,9.600000,9.300000,9.450000,9.450000,54500
2018-05-22,9.450000,9.450000,9.000000,9.050000,9.050000,172200
2018-05-23,9.000000,9.350000,9.000000,9.300000,9.300000,108100
2018-05-24,9.350000,9.500000,9.150000,9.250000,9.250000,67900
2018-05-25,9.200000,9.350000,8.750000,8.900000,8.900000,288100
2018-05-29,8.850000,8.900000,8.450000,8.650000,8.650000,246200
2018-05-30,8.700000,8.700000,8.300000,8.450000,8.450000,407700
2018-05-31,8.800000,8.800000,8.350000,8.650000,8.650000,408500
2018-06-01,8.750000,8.950000,8.250000,8.500000,8.500000,440800
2018-06-04,8.500000,8.600000,8.200000,8.350000,8.350000,323500
2018-06-05,8.350000,8.570000,8.300000,8.450000,8.450000,286500
2018-06-06,8.400000,9.200000,8.350000,9.150000,9.150000,455100
2018-06-07,9.350000,9.800000,9.300000,9.650000,9.650000,557100
2018-06-08,9.600000,9.700000,9.250000,9.450000,9.450000,223800
2018-06-11,9.450000,9.600000,9.280000,9.300000,9.300000,169800
2018-06-12,9.250000,9.750000,9.250000,9.650000,9.650000,204300
2018-06-13,9.700000,10.000000,9.350000,9.500000,9.500000,333500
2018-06-14,9.550000,9.750000,9.450000,9.650000,9.650000,107900
2018-06-15,9.600000,10.130000,9.500000,10.050000,10.050000,227400
2018-06-18,10.050000,10.750000,9.950000,10.700000,10.700000,460600
2018-06-19,10.600000,11.600000,10.450000,11.600000,11.600000,713700
2018-06-20,11.800000,11.850000,11.100000,11.300000,11.300000,535100
2018-06-21,11.500000,12.200000,11.300000,11.850000,11.850000,414200
2018-06-22,11.900000,12.250000,10.900000,12.200000,12.200000,637000
2018-06-25,12.200000,12.500000,11.650000,12.400000,12.400000,345900
2018-06-26,12.300000,12.800000,12.150000,12.750000,12.750000,251900
2018-06-27,12.750000,13.300000,12.300000,12.350000,12.350000,437500
2018-06-28,12.200000,12.350000,11.950000,12.250000,12.250000,280500
2018-06-29,12.250000,12.350000,12.000000,12.300000,12.300000,281900
2018-07-02,12.050000,12.580000,11.950000,12.350000,12.350000,199800
2018-07-03,12.450000,12.550000,12.050000,12.150000,12.150000,135300
2018-07-05,12.250000,12.300000,11.800000,11.950000,11.950000,269700
2018-07-06,11.950000,12.150000,11.790000,11.950000,11.950000,156700
2018-07-09,11.950000,12.010000,11.800000,11.850000,11.850000,139200
2018-07-10,11.850000,12.250000,11.750000,11.900000,11.900000,222800
2018-07-11,11.800000,12.000000,11.700000,11.800000,11.800000,155000
2018-07-12,11.950000,12.750000,11.950000,12.500000,12.500000,265800
2018-07-13,12.500000,12.710000,12.000000,12.150000,12.150000,284800
2018-07-16,12.200000,13.200000,12.200000,12.450000,12.450000,386300
2018-07-17,12.450000,12.650000,12.050000,12.100000,12.100000,368700
2018-07-18,12.050000,12.250000,11.800000,11.850000,11.850000,795600
2018-07-19,12.400000,12.800000,11.750000,11.800000,11.800000,1116300
2018-07-20,11.900000,12.050000,11.700000,11.750000,11.750000,426300
2018-07-23,11.750000,12.100000,11.450000,12.000000,12.000000,376500
2018-07-24,11.450000,11.550000,10.800000,11.550000,11.550000,951800
2018-07-25,11.300000,11.650000,11.200000,11.300000,11.300000,503500
2018-07-26,11.000000,11.000000,10.150000,10.250000,10.250000,1052500
2018-07-27,9.900000,10.000000,9.600000,9.850000,9.850000,5052800
2018-07-30,10.000000,10.300000,9.820000,10.150000,10.150000,981700
2018-07-31,10.250000,10.500000,9.950000,10.450000,10.450000,866600
2018-08-01,10.400000,10.700000,10.200000,10.500000,10.500000,421600
2018-08-02,10.550000,10.650000,10.100000,10.250000,10.250000,471500
2018-08-03,10.200000,10.330000,9.700000,9.900000,9.900000,458000
2018-08-06,9.950000,9.950000,9.600000,9.700000,9.700000,636000
2018-08-07,9.750000,10.000000,9.600000,9.850000,9.850000,331400
2018-08-08,9.750000,10.300000,9.700000,10.300000,10.300000,493900
2018-08-09,10.250000,10.600000,10.250000,10.400000,10.400000,446500
2018-08-10,10.300000,10.900000,10.010000,10.600000,10.600000,1561000
2018-08-13,10.650000,10.800000,10.050000,10.350000,10.350000,311300
2018-08-14,10.350000,10.700000,10.200000,10.700000,10.700000,330900
2018-08-15,10.650000,10.700000,10.350000,10.600000,10.600000,342900
2018-08-16,10.600000,10.950000,10.480000,10.800000,10.800000,334200
2018-08-17,10.900000,11.480000,10.900000,11.250000,11.250000,725700
2018-08-20,11.250000,11.250000,11.000000,11.100000,11.100000,253300
2018-08-21,11.100000,11.280000,10.720000,11.150000,11.150000,405600
2018-08-22,11.200000,11.450000,11.050000,11.200000,11.200000,259100
2018-08-23,11.150000,11.700000,11.100000,11.500000,11.500000,346000
2018-08-24,11.450000,11.750000,11.400000,11.600000,11.600000,324100
2018-08-27,11.550000,11.700000,11.370000,11.550000,11.550000,457600
2018-08-28,11.500000,11.700000,11.350000,11.600000,11.600000,469700
2018-08-29,11.650000,12.250000,11.150000,11.800000,11.800000,796800
2018-08-30,11.900000,11.950000,11.700000,11.850000,11.850000,235500
2018-08-31,11.750000,12.550000,11.700000,12.300000,12.300000,589800
2018-09-04,12.250000,12.300000,11.850000,12.100000,12.100000,748900
2018-09-05,12.150000,12.400000,11.650000,12.100000,12.100000,245100
2018-09-06,12.150000,12.200000,11.850000,12.000000,12.000000,236400
2018-09-07,11.950000,12.250000,11.950000,12.100000,12.100000,237200
2018-09-10,12.100000,12.550000,12.040000,12.400000,12.400000,229100
2018-09-11,12.400000,12.600000,11.950000,12.200000,12.200000,343800
2018-09-12,12.150000,12.750000,12.000000,12.400000,12.400000,374000
2018-09-13,12.400000,12.750000,12.300000,12.550000,12.550000,229100
2018-09-14,12.500000,12.950000,12.350000,12.900000,12.900000,422500
2018-09-17,12.800000,12.900000,12.350000,12.500000,12.500000,384900
2018-09-18,12.800000,12.950000,12.150000,12.650000,12.650000,333700
2018-09-19,12.700000,12.950000,12.550000,12.600000,12.600000,501300
2018-09-20,12.700000,12.750000,12.450000,12.500000,12.500000,275900
2018-09-21,12.450000,12.700000,12.300000,12.500000,12.500000,506800
2018-09-24,12.400000,12.800000,11.850000,11.850000,11.850000,313600
2018-09-25,11.900000,12.200000,11.550000,12.000000,12.000000,509600
2018-09-26,11.900000,12.600000,11.600000,12.350000,12.350000,502200
2018-09-27,12.350000,12.400000,12.100000,12.250000,12.250000,214900
2018-09-28,12.200000,12.250000,11.900000,12.100000,12.100000,376400
2018-10-01,12.050000,12.410000,11.590000,12.270000,12.270000,391000
2018-10-02,12.250000,12.250000,11.360000,11.520000,11.520000,413200
2018-10-03,11.540000,11.920000,11.070000,11.380000,11.380000,472800
2018-10-04,11.370000,11.520000,10.960000,11.000000,11.000000,486600
2018-10-05,10.950000,11.240000,10.820000,11.070000,11.070000,274400
2018-10-08,11.050000,11.240000,10.820000,11.010000,11.010000,229200
2018-10-09,11.000000,11.350000,10.580000,10.820000,10.820000,345300
2018-10-10,10.810000,11.120000,10.450000,10.790000,10.790000,220900
2018-10-11,10.730000,11.350000,10.730000,11.310000,11.310000,475700
2018-10-12,11.400000,11.700000,11.070000,11.390000,11.390000,351100
2018-10-15,11.380000,11.540000,11.140000,11.430000,11.430000,167000
2018-10-16,12.510000,13.500000,12.100000,13.230000,13.230000,1852600
2018-10-17,13.020000,13.400000,12.990000,13.230000,13.230000,475900
2018-10-18,13.270000,13.440000,12.800000,13.100000,13.100000,228900
2018-10-19,13.110000,13.250000,12.180000,12.320000,12.320000,520800
2018-10-22,12.420000,12.760000,12.360000,12.590000,12.590000,519400
2018-10-23,12.450000,13.000000,12.310000,12.670000,12.670000,479600
2018-10-24,10.800000,11.370000,9.500000,9.530000,9.530000,3120400
2018-10-25,10.750000,10.820000,9.280000,9.290000,9.290000,2895600
2018-10-26,9.020000,9.750000,8.900000,9.700000,9.700000,1082400
2018-10-29,9.830000,9.830000,9.220000,9.400000,9.400000,711400
2018-10-30,9.390000,9.570000,9.210000,9.520000,9.520000,552000
2018-10-31,9.630000,9.730000,9.220000,9.430000,9.430000,388600
2018-11-01,9.450000,9.670000,9.120000,9.230000,9.230000,610400
2018-11-02,9.220000,9.600000,9.070000,9.470000,9.470000,435700
2018-11-05,9.440000,9.530000,9.270000,9.510000,9.510000,258700
2018-11-06,9.470000,9.620000,9.350000,9.590000,9.590000,176100
2018-11-07,9.600000,9.840000,9.560000,9.660000,9.660000,350200
2018-11-08,9.620000,9.760000,9.170000,9.320000,9.320000,281100
2018-11-09,9.790000,9.790000,9.320000,9.570000,9.570000,434100
2018-11-12,9.540000,9.540000,9.050000,9.170000,9.170000,415500
2018-11-13,9.210000,9.320000,9.080000,9.210000,9.210000,332100
2018-11-14,9.300000,9.460000,9.130000,9.280000,9.280000,446200
2018-11-15,9.270000,9.360000,9.020000,9.300000,9.300000,410200
2018-11-16,9.190000,9.400000,9.080000,9.190000,9.190000,337900
2018-11-19,9.180000,9.290000,9.040000,9.270000,9.270000,343200
2018-11-20,9.130000,9.480000,9.060000,9.260000,9.260000,631500
2018-11-21,9.300000,9.620000,9.220000,9.350000,9.350000,195800
2018-11-23,9.280000,9.430000,9.210000,9.270000,9.270000,122400
2018-11-26,9.320000,9.460000,9.250000,9.380000,9.380000,452400
2018-11-27,9.340000,9.450000,8.980000,9.170000,9.170000,273000
2018-11-28,9.160000,9.370000,9.010000,9.300000,9.300000,789400
2018-11-29,9.150000,9.370000,8.000000,8.420000,8.420000,2209600
2018-11-30,8.330000,8.430000,7.830000,7.910000,7.910000,936700
2018-12-03,8.310000,8.760000,8.010000,8.150000,8.150000,2617100
2018-12-04,8.120000,8.120000,7.490000,7.610000,7.610000,748600
2018-12-06,7.500000,7.800000,7.350000,7.710000,7.710000,754300
2018-12-07,7.660000,7.860000,7.420000,7.440000,7.440000,465200
2018-12-10,7.400000,7.470000,7.120000,7.430000,7.430000,499900
2018-12-11,7.520000,7.880000,7.230000,7.320000,7.320000,622300
2018-12-12,7.390000,7.980000,7.360000,7.660000,7.660000,649300
2018-12-13,7.710000,7.710000,7.300000,7.350000,7.350000,385600
2018-12-14,7.210000,7.270000,6.820000,6.950000,6.950000,656300
2018-12-17,6.960000,7.070000,6.720000,6.750000,6.750000,748300
2018-12-18,6.870000,6.870000,6.640000,6.780000,6.780000,337600
2018-12-19,6.800000,6.880000,6.550000,6.620000,6.620000,394900
2018-12-20,6.590000,6.700000,6.390000,6.620000,6.620000,653100
2018-12-21,6.610000,6.700000,6.400000,6.450000,6.450000,537000
2018-12-24,6.450000,6.710000,6.340000,6.510000,6.510000,273500
2018-12-26,6.550000,6.820000,6.250000,6.640000,6.640000,611100
2018-12-27,6.530000,6.600000,6.360000,6.540000,6.540000,263800
2018-12-28,6.580000,6.840000,6.490000,6.780000,6.780000,318000
2018-12-31,6.780000,7.010000,6.680000,6.990000,6.990000,530900
2019-01-02,6.900000,7.100000,6.790000,7.060000,7.060000,849900
2019-01-03,6.960000,7.080000,6.760000,6.780000,6.780000,315900
2019-01-04,6.890000,7.230000,6.860000,7.070000,7.070000,420500
2019-01-07,7.060000,7.410000,7.030000,7.380000,7.380000,482400
2019-01-08,7.440000,7.520000,7.270000,7.430000,7.430000,227400
2019-01-09,7.450000,7.530000,7.250000,7.300000,7.300000,260900
2019-01-10,7.250000,7.360000,7.170000,7.210000,7.210000,156200
2019-01-11,7.120000,7.220000,6.980000,7.110000,7.110000,216400
2019-01-14,7.050000,7.090000,6.880000,6.920000,6.920000,169700
2019-01-15,6.930000,7.270000,6.930000,7.220000,7.220000,472800
2019-01-16,7.190000,7.300000,7.080000,7.260000,7.260000,424100
2019-01-17,7.220000,7.420000,7.140000,7.400000,7.400000,468500
2019-01-18,7.420000,7.560000,7.330000,7.560000,7.560000,431400
2019-01-22,7.560000,7.570000,7.370000,7.450000,7.450000,409200
2019-01-23,7.460000,7.500000,6.930000,7.220000,7.220000,550700
2019-01-24,7.230000,7.290000,7.000000,7.260000,7.260000,402400
2019-01-25,7.300000,7.580000,7.300000,7.400000,7.400000,1065700
2019-01-28,7.340000,7.560000,7.250000,7.320000,7.320000,528800
2019-01-29,7.300000,7.310000,7.030000,7.280000,7.280000,681100
2019-01-30,7.310000,7.350000,7.040000,7.260000,7.260000,317400
2019-01-31,7.250000,7.260000,7.070000,7.200000,7.200000,289800
2019-02-01,7.200000,7.300000,7.020000,7.050000,7.050000,519200
2019-02-04,7.050000,7.090000,6.850000,6.920000,6.920000,391000
2019-02-05,6.930000,7.110000,6.760000,6.950000,6.950000,612400
2019-02-06,6.950000,6.960000,6.660000,6.890000,6.890000,360600
2019-02-07,6.850000,7.070000,6.850000,6.980000,6.980000,378000
2019-02-08,6.980000,7.030000,6.920000,7.030000,7.030000,265300
2019-02-11,7.040000,7.120000,6.920000,7.110000,7.110000,237100
2019-02-12,7.180000,7.490000,7.140000,7.290000,7.290000,353800
2019-02-13,7.340000,7.490000,7.290000,7.440000,7.440000,278400
2019-02-14,7.420000,7.590000,7.330000,7.560000,7.560000,251800
2019-02-15,7.570000,7.650000,7.420000,7.510000,7.510000,218300
2019-02-19,7.520000,7.520000,7.300000,7.320000,7.320000,225700
2019-02-20,7.320000,7.450000,7.260000,7.380000,7.380000,283600
2019-02-21,7.370000,7.530000,7.310000,7.450000,7.450000,199800
2019-02-22,8.050000,8.220000,7.910000,8.060000,8.060000,789500
2019-02-25,8.100000,8.210000,7.770000,7.870000,7.870000,507800
2019-02-26,7.870000,7.930000,7.670000,7.700000,7.700000,210100
2019-02-27,7.710000,7.890000,7.540000,7.860000,7.860000,261300
2019-02-28,7.830000,8.000000,7.620000,7.840000,7.840000,275700
2019-03-01,7.900000,8.060000,7.770000,7.770000,7.770000,293500
2019-03-04,7.770000,7.770000,7.590000,7.730000,7.730000,228700
2019-03-05,7.730000,7.740000,7.620000,7.650000,7.650000,427500
2019-03-06,7.680000,7.680000,7.400000,7.490000,7.490000,184100
