Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,17.250000,17.250000,16.770000,16.799999,16.799999,416700
2018-03-29,16.840000,17.270000,16.799999,17.170000,17.170000,271300
2018-04-02,17.110001,17.450001,16.870001,17.120001,17.120001,347300
2018-04-03,17.209999,17.480000,17.180000,17.309999,17.309999,227900
2018-04-04,17.180000,17.680000,17.120001,17.360001,17.360001,173700
2018-04-05,17.450001,17.790001,17.350000,17.780001,17.780001,142100
2018-04-06,17.670000,17.920000,17.320000,17.480000,17.480000,100500
2018-04-09,17.610001,17.820000,17.540001,17.730000,17.730000,82700
2018-04-10,17.959999,18.059999,17.770000,18.000000,18.000000,167800
2018-04-11,17.950001,18.080000,17.780001,17.950001,17.950001,110600
2018-04-12,18.049999,18.049999,17.670000,17.790001,17.790001,122300
2018-04-13,17.889999,18.150000,17.719999,18.080000,18.080000,87300
2018-04-16,18.190001,18.389999,17.750000,18.230000,18.230000,90700
2018-04-17,18.330000,18.510000,18.170000,18.370001,18.370001,121100
2018-04-18,18.450001,18.780001,18.350000,18.670000,18.670000,201200
2018-04-19,18.580000,18.780001,18.160000,18.320000,18.320000,124600
2018-04-20,18.209999,18.379999,18.110001,18.240000,18.240000,85500
2018-04-23,18.270000,18.320000,17.860001,18.280001,18.280001,113200
2018-04-24,18.320000,18.379999,17.879999,17.959999,17.959999,124400
2018-04-25,17.930000,18.000000,17.760000,17.930000,17.930000,66700
2018-04-26,17.959999,18.170000,17.920000,18.080000,18.080000,265700
2018-04-27,18.030001,18.030001,17.230000,17.230000,17.230000,133000
2018-04-30,17.180000,17.389999,16.870001,16.870001,16.870001,188300
2018-05-01,17.000000,17.320000,16.980000,17.260000,17.260000,171200
2018-05-02,17.250000,17.799999,17.250000,17.780001,17.780001,153700
2018-05-03,17.680000,17.910000,17.370001,17.760000,17.760000,131500
2018-05-04,17.830000,17.889999,17.570000,17.730000,17.730000,90600
2018-05-07,17.809999,18.200001,17.629999,17.650000,17.650000,112400
2018-05-08,17.600000,17.850000,17.309999,17.750000,17.750000,226100
2018-05-09,17.600000,18.030001,17.320000,17.420000,17.420000,235800
2018-05-10,17.500000,17.610001,17.400000,17.500000,17.500000,137000
2018-05-11,17.480000,17.570000,17.360001,17.430000,17.430000,130800
2018-05-14,17.410000,17.850000,17.360001,17.600000,17.600000,335900
2018-05-15,17.600000,17.940001,17.480000,17.670000,17.670000,296900
