Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,48.919998,49.340000,48.735001,48.930000,45.604137,112300
2018-03-29,49.160000,50.299999,49.070000,50.099998,46.694614,241100
2018-04-02,50.000000,50.160000,49.070000,49.500000,46.135395,257100
2018-04-03,49.790001,51.049999,49.790001,50.849998,47.393635,296900
2018-04-04,50.270000,53.220001,50.270000,52.930000,49.332256,314200
2018-04-05,53.290001,54.000000,52.880001,53.750000,50.096527,141700
2018-04-06,53.619999,54.009998,52.860001,53.049999,49.444099,211900
2018-04-09,53.540001,54.490002,53.020000,53.049999,49.444099,174500
2018-04-10,53.599998,54.290001,53.259998,53.480000,49.844872,143400
2018-04-11,53.220001,53.849998,52.529999,53.799999,50.143124,192900
2018-04-12,52.919998,53.880001,52.529999,53.259998,49.639824,193500
2018-04-13,53.410000,53.814999,53.150002,53.320000,49.695751,150700
2018-04-16,53.930000,54.470001,53.730000,53.889999,50.227005,133500
2018-04-17,54.189999,54.450001,53.882999,54.189999,50.506611,84300
2018-04-18,54.410000,55.130001,53.959999,54.400002,50.702347,219500
2018-04-19,54.279999,54.840000,54.160000,54.400002,50.702347,172100
2018-04-20,54.330002,54.919998,54.330002,54.439999,50.739616,79900
2018-04-23,54.330002,54.990002,54.162998,54.520000,50.814186,95500
2018-04-24,54.759998,55.560001,54.310001,54.619999,50.907387,137300
2018-04-25,54.700001,54.792999,53.709999,54.310001,50.618458,141100
2018-04-26,54.299999,54.785000,54.009998,54.709999,50.991264,96800
2018-04-27,54.730000,55.279999,54.439999,55.169998,51.420006,82000
2018-04-30,55.349998,55.990002,55.020000,55.490002,51.718258,127500
2018-05-01,55.689999,55.689999,54.709999,55.320000,51.559803,179500
2018-05-02,54.000000,54.709999,51.514999,53.000000,49.397495,510600
2018-05-03,53.000000,54.119999,52.845001,54.049999,50.376137,255900
2018-05-04,51.900002,53.000000,50.250000,52.020000,48.484116,1096100
2018-05-07,52.310001,52.959999,51.880001,52.450001,48.884895,167200
2018-05-08,52.450001,52.930000,52.090000,52.509998,48.940807,173000
2018-05-09,53.000000,53.549999,52.480000,53.439999,49.807598,183700
2018-05-10,53.480000,53.807999,53.349998,53.660000,50.012650,263100
2018-05-11,53.669998,54.650002,53.599998,54.320000,50.627792,160000
2018-05-14,54.419998,54.669998,53.790001,53.880001,50.217693,119800
2018-05-15,53.590000,54.275002,53.590000,54.029999,50.357483,177700
2018-05-16,54.020000,54.610001,53.939999,54.330002,50.637096,67100
2018-05-17,54.279999,54.779999,54.200001,54.310001,50.618458,114100
2018-05-18,54.610001,54.869999,54.439999,54.770000,51.047192,128700
2018-05-21,55.139999,55.669998,54.919998,55.580002,51.802135,124500
2018-05-22,55.759998,56.619999,55.720001,56.060001,52.249508,115600
2018-05-23,55.950001,56.410000,55.650002,56.410000,52.575714,103100
2018-05-24,56.380001,56.500000,55.980000,56.490002,52.650280,111200
2018-05-25,56.500000,56.759998,55.775002,56.360001,52.529114,231800
2018-05-29,55.990002,56.169998,54.240002,55.180000,51.429321,222600
2018-05-30,55.520000,56.160000,55.400002,55.570000,51.792812,140600
2018-05-31,55.599998,55.959999,54.775002,55.270000,51.513210,184300
2018-06-01,55.700001,56.160000,55.070000,55.110001,51.364079,160400
2018-06-04,55.500000,55.500000,54.139999,55.040001,51.298840,241500
2018-06-05,55.040001,55.290001,54.310001,55.139999,51.438766,200500
2018-06-06,55.310001,55.639999,55.049999,55.450001,51.727959,106700
2018-06-07,55.619999,55.750000,55.310001,55.509998,51.783936,126400
2018-06-08,55.639999,56.930000,55.419998,56.810001,52.996666,177300
2018-06-11,56.830002,57.209999,56.639999,56.990002,53.164597,139000
2018-06-12,56.939999,57.950001,56.720001,56.740002,52.931374,138800
2018-06-13,56.669998,57.330002,56.509998,56.939999,53.117943,139100
2018-06-14,57.029999,58.189999,57.029999,57.820000,53.938877,120400
2018-06-15,57.470001,58.250000,57.271000,58.220001,54.312031,148200
2018-06-18,58.090000,58.759998,57.959999,58.599998,54.666519,102600
2018-06-19,58.259998,58.417999,56.740002,57.340000,53.491096,132800
2018-06-20,57.490002,57.840000,56.700001,56.740002,52.931374,149000
2018-06-21,56.410000,56.650002,55.150002,55.770000,52.026482,206900
2018-06-22,55.939999,56.389999,55.700001,56.070000,52.306339,614600
2018-06-25,56.189999,56.189999,54.930000,55.029999,51.336151,148300
2018-06-26,55.119999,55.820000,54.869999,55.240002,51.532051,121700
2018-06-27,55.209999,55.580002,54.450001,54.470001,50.813744,130500
2018-06-28,54.500000,55.040001,53.730000,53.849998,50.235367,135300
2018-06-29,54.099998,54.959999,53.360001,53.389999,49.806236,177400
2018-07-02,53.000000,54.599998,53.000000,54.599998,50.935017,119400
2018-07-03,54.759998,55.500000,54.705002,55.189999,51.485413,102700
2018-07-05,55.490002,55.500000,54.349998,54.700001,51.028305,138000
2018-07-06,54.650002,55.480000,54.520000,55.410000,51.690643,84100
2018-07-09,55.770000,56.799999,55.349998,56.799999,52.987350,98300
2018-07-10,57.119999,57.119999,55.980000,56.709999,52.903385,115100
2018-07-11,56.590000,57.570000,56.369999,57.490002,53.631031,253300
2018-07-12,57.799999,57.959999,56.939999,56.959999,53.136604,143400
2018-07-13,56.720001,57.000000,56.264999,56.950001,53.127270,117200
2018-07-16,55.009998,55.889999,52.099998,52.779999,49.237190,450700
2018-07-17,52.459999,53.939999,52.400002,53.619999,50.020802,212100
2018-07-18,53.680000,54.900002,53.529999,54.529999,50.869717,167800
2018-07-19,54.599998,55.119999,54.220001,54.889999,51.205551,123900
2018-07-20,55.000000,55.230000,54.380001,55.049999,51.354805,99100
2018-07-23,54.950001,55.919998,54.860001,55.639999,51.905201,70600
2018-07-24,55.990002,56.599998,55.720001,55.939999,52.185066,112900
2018-07-25,55.930000,56.270000,55.529999,55.660000,51.923859,79700
2018-07-26,55.660000,57.049999,55.164001,56.849998,53.033985,140700
2018-07-27,57.000000,57.639999,56.320000,57.110001,53.276535,256000
2018-07-30,57.119999,57.630001,54.959999,55.070000,51.373463,150700
2018-07-31,57.500000,60.820000,57.400002,60.209999,56.168442,416700
2018-08-01,60.180000,60.400002,57.778999,58.930000,54.974377,245500
2018-08-02,58.930000,58.930000,57.215000,57.900002,54.013504,263600
2018-08-03,58.029999,58.029999,56.889999,57.139999,53.304520,97400
2018-08-06,57.119999,58.220001,56.950001,57.939999,54.050816,164800
2018-08-07,58.200001,58.200001,57.310001,57.740002,53.864243,185400
2018-08-08,57.759998,58.900002,57.450001,58.720001,54.778469,154200
2018-08-09,59.000000,59.919998,59.000000,59.470001,55.478127,196500
2018-08-10,59.090000,59.970001,58.599998,59.630001,55.627384,132000
2018-08-13,59.700001,59.955002,59.240002,59.340000,55.356842,65000
2018-08-14,59.520000,60.950001,59.389999,60.779999,56.700188,141400
2018-08-15,60.770000,61.180000,59.000000,59.099998,55.132946,95600
2018-08-16,59.509998,59.973999,58.930000,59.049999,55.086311,121800
2018-08-17,59.090000,59.158001,57.349998,58.080002,54.181423,209400
2018-08-20,58.209999,58.709999,57.950001,58.169998,54.265381,96800
2018-08-21,58.110001,59.099998,58.009998,58.849998,54.899738,99500
2018-08-22,58.639999,60.000000,58.509998,59.150002,55.179615,93100
2018-08-23,59.029999,59.410000,58.595001,59.220001,55.244900,88100
2018-08-24,59.360001,59.840000,59.119999,59.279999,55.300869,78100
2018-08-27,59.619999,59.840000,58.860001,59.029999,55.067657,83000
2018-08-28,59.270000,59.410000,58.529999,58.820000,54.871761,126800
2018-08-29,58.939999,59.102001,58.430000,58.619999,54.685173,112500
2018-08-30,58.439999,58.689999,58.160000,58.320000,54.405323,54800
2018-08-31,58.110001,58.270000,57.685001,57.919998,54.032162,82200
2018-09-04,57.799999,57.799999,56.959999,57.200001,53.406609,91800
2018-09-05,57.119999,57.189999,56.250000,56.490002,52.743675,69500
2018-09-06,56.400002,56.400002,55.000000,55.060001,51.408516,135700
2018-09-07,54.930000,55.349998,53.995998,54.799999,51.165752,155100
2018-09-10,54.869999,55.020000,53.599998,53.720001,50.157375,145900
2018-09-11,53.720001,54.250000,53.220001,54.060001,50.474838,98200
2018-09-12,53.840000,53.840000,53.180000,53.439999,49.895962,65200
2018-09-13,53.750000,54.680000,53.560001,54.599998,50.979023,86100
2018-09-14,54.689999,55.900002,54.689999,54.900002,51.259129,102000
2018-09-17,54.770000,54.830002,52.509998,52.860001,49.354424,108400
2018-09-18,52.840000,53.610001,52.500000,52.830002,49.326401,71600
2018-09-19,52.840000,53.180000,52.240002,52.520000,49.036972,69100
2018-09-20,52.810001,53.099998,52.209999,52.970001,49.457115,68800
2018-09-21,53.299999,53.639999,52.650002,53.259998,49.727886,171700
2018-09-24,53.250000,53.919998,52.860001,53.299999,49.765244,87400
2018-09-25,53.450001,54.185001,53.259998,53.790001,50.222744,66300
2018-09-26,53.790001,54.330002,52.939999,52.990002,49.475796,96800
2018-09-27,53.000000,53.310001,52.240002,52.459999,48.980942,62600
2018-09-28,52.349998,52.750000,52.055000,52.349998,48.878231,97200
2018-10-01,52.509998,52.740002,51.310001,51.549999,48.131290,70200
2018-10-02,51.299999,51.299999,49.790001,49.980000,46.665424,129800
2018-10-03,49.919998,50.509998,49.090000,50.310001,46.973522,138200
2018-10-04,49.910000,50.090000,49.400002,49.889999,46.581387,138600
