Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,3.810000,3.930000,3.590000,3.710000,3.710000,2006900
2018-03-29,3.720000,3.800000,3.510000,3.540000,3.540000,2360800
2018-04-02,3.540000,3.640000,3.440000,3.530000,3.530000,1603600
2018-04-03,3.320000,3.340000,2.630000,3.050000,3.050000,10638300
2018-04-04,3.120000,3.340000,3.020000,3.300000,3.300000,3173400
2018-04-05,3.350000,3.430000,3.080000,3.220000,3.220000,2768300
2018-04-06,3.220000,3.380000,3.080000,3.330000,3.330000,3125000
2018-04-09,3.410000,3.490000,3.060000,3.110000,3.110000,3604100
2018-04-10,3.150000,3.360000,3.050000,3.340000,3.340000,1947100
2018-04-11,3.300000,3.410000,3.180000,3.350000,3.350000,2083100
2018-04-12,3.390000,4.680000,3.350000,3.910000,3.910000,19708100
2018-04-13,3.810000,4.050000,3.650000,3.950000,3.950000,3522700
2018-04-16,4.090000,4.120000,3.650000,3.730000,3.730000,3357100
2018-04-17,3.720000,4.110000,3.670000,4.110000,4.110000,4902500
2018-04-18,4.210000,4.280000,3.860000,3.880000,3.880000,18571000
2018-04-19,3.840000,4.380000,3.750000,4.060000,4.060000,12485600
2018-04-20,4.100000,4.190000,3.730000,3.840000,3.840000,15398300
2018-04-23,3.860000,3.890000,3.450000,3.600000,3.600000,7091900
2018-04-24,3.620000,3.830000,3.600000,3.730000,3.730000,2450500
2018-04-25,3.740000,3.870000,3.650000,3.690000,3.690000,2479500
2018-04-26,3.710000,3.760000,3.570000,3.650000,3.650000,1643300
2018-04-27,3.640000,3.650000,3.550000,3.640000,3.640000,1434800
2018-04-30,3.630000,3.770000,3.610000,3.610000,3.610000,1361000
2018-05-01,3.620000,3.810000,3.580000,3.700000,3.700000,3684000
2018-05-02,3.900000,4.000000,3.770000,3.800000,3.800000,3850200
2018-05-03,3.800000,3.950000,3.770000,3.900000,3.900000,2033300
2018-05-04,3.900000,4.000000,3.860000,3.870000,3.870000,3899800
2018-05-07,3.900000,4.000000,3.770000,3.820000,3.820000,1883100
2018-05-08,3.830000,3.860000,3.590000,3.670000,3.670000,2314300
2018-05-09,3.690000,3.790000,3.680000,3.760000,3.760000,1230900
2018-05-10,3.760000,3.800000,3.690000,3.700000,3.700000,1637800
2018-05-11,3.730000,3.890000,3.710000,3.890000,3.890000,1168300
2018-05-14,3.920000,4.000000,3.830000,3.930000,3.930000,1904300
2018-05-15,3.910000,3.970000,3.840000,3.910000,3.910000,1018500
2018-05-16,3.940000,3.970000,3.900000,3.970000,3.970000,1022000
2018-05-17,3.970000,3.990000,3.910000,3.980000,3.980000,870600
2018-05-18,3.990000,4.120000,3.920000,4.060000,4.060000,2157900
2018-05-21,4.040000,4.090000,3.920000,3.970000,3.970000,1265600
2018-05-22,3.960000,4.040000,3.910000,3.960000,3.960000,1160400
2018-05-23,3.960000,4.010000,3.930000,3.950000,3.950000,1157400
2018-05-24,3.670000,3.990000,3.670000,3.950000,3.950000,976100
2018-05-25,3.930000,3.980000,3.880000,3.910000,3.910000,765700
2018-05-29,3.920000,3.940000,3.630000,3.680000,3.680000,1912900
2018-05-30,3.680000,3.680000,3.300000,3.320000,3.320000,5244100
2018-05-31,3.350000,3.370000,3.220000,3.250000,3.250000,2263700
2018-06-01,3.250000,3.290000,3.230000,3.250000,3.250000,1548700
2018-06-04,3.260000,3.490000,3.160000,3.440000,3.440000,4454000
2018-06-05,3.430000,3.780000,3.430000,3.770000,3.770000,4820500
2018-06-06,3.760000,3.850000,3.640000,3.790000,3.790000,3024000
2018-06-07,3.760000,3.800000,3.500000,3.520000,3.520000,2336600
2018-06-08,3.520000,3.580000,3.460000,3.550000,3.550000,1592500
2018-06-11,3.530000,3.570000,3.150000,3.220000,3.220000,7011900
2018-06-12,3.390000,3.420000,3.240000,3.300000,3.300000,2653900
2018-06-13,3.300000,3.340000,3.220000,3.290000,3.290000,4405600
2018-06-14,3.290000,3.360000,3.200000,3.290000,3.290000,3460200
2018-06-15,3.280000,3.300000,3.160000,3.200000,3.200000,9335800
2018-06-18,3.180000,3.240000,3.110000,3.170000,3.170000,1910200
2018-06-19,3.140000,3.180000,3.060000,3.140000,3.140000,1726600
2018-06-20,3.170000,3.190000,3.070000,3.160000,3.160000,3253300
2018-06-21,3.150000,3.330000,3.150000,3.190000,3.190000,2773200
