Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,17.100000,17.350000,16.750000,17.150000,16.574888,301200
2018-03-29,17.200001,17.850000,17.150000,17.200001,16.623213,548300
2018-04-02,17.250000,17.250000,16.250000,16.500000,15.946688,235100
2018-04-03,16.650000,16.850000,16.150000,16.400000,15.850040,161600
2018-04-04,16.299999,16.450001,16.000000,16.350000,15.801713,169500
2018-04-05,16.400000,16.700001,16.150000,16.549999,15.995009,240100
2018-04-06,16.450001,16.549999,15.850000,16.200001,15.656747,200800
2018-04-09,16.250000,16.850000,15.850000,16.600000,16.043333,515200
2018-04-10,16.650000,16.850000,16.600000,16.700001,16.139980,196100
2018-04-11,16.750000,16.850000,16.650000,16.799999,16.236628,207900
2018-04-12,16.750000,17.400000,16.750000,17.150000,16.574888,260500
2018-04-13,17.100000,17.150000,16.700001,17.049999,16.478243,156600
2018-04-16,17.150000,17.600000,17.000000,17.500000,16.913153,232900
2018-04-17,17.700001,17.850000,17.500000,17.650000,17.058121,136800
2018-04-18,17.549999,17.650000,17.049999,17.100000,16.526569,177200
2018-04-19,17.049999,17.100000,16.520000,16.850000,16.284948,196500
2018-04-20,16.750000,17.100000,16.600000,16.900000,16.333269,189600
2018-04-23,17.000000,17.250000,16.650000,16.799999,16.236628,96500
2018-04-24,16.799999,16.900000,15.900000,16.100000,15.560102,151800
2018-04-25,16.049999,16.650000,15.950000,16.500000,15.946688,276000
2018-04-26,16.400000,17.350000,16.230000,17.250000,16.671534,669000
2018-04-27,17.350000,17.450001,16.549999,17.200001,16.623213,300600
2018-04-30,17.250000,18.250000,16.950001,17.850000,17.251413,467700
2018-05-01,17.799999,18.100000,17.100000,18.000000,17.396383,359400
2018-05-02,17.900000,18.500000,17.600000,18.400000,17.782972,471100
2018-05-03,18.500000,19.450001,16.100000,17.400000,16.816507,942400
2018-05-04,17.250000,17.600000,16.620001,17.150000,16.574888,202600
2018-05-07,17.150000,17.350000,16.500000,16.600000,16.043333,278400
2018-05-08,16.600000,16.700001,16.000000,16.500000,15.946688,251600
2018-05-09,16.400000,16.469999,16.049999,16.100000,15.560102,265000
2018-05-10,16.250000,16.299999,15.750000,16.100000,15.560102,301500
2018-05-11,16.000000,16.299999,15.900000,16.150000,15.608424,162300
2018-05-14,16.049999,16.049999,15.400000,15.600000,15.123691,331600
2018-05-15,15.600000,16.049999,15.600000,15.850000,15.366058,192400
2018-05-16,15.800000,16.049999,15.700000,15.900000,15.414531,147800
2018-05-17,15.900000,16.100000,15.800000,16.000000,15.511477,148600
2018-05-18,16.100000,16.400000,15.900000,16.100000,15.608425,175600
2018-05-21,16.200001,16.700001,16.100000,16.700001,16.190109,151900
2018-05-22,16.750000,16.750000,16.100000,16.150000,15.656898,150700
2018-05-23,16.150000,16.250000,15.900000,16.049999,15.559951,121600
2018-05-24,16.000000,16.250000,15.900000,16.150000,15.656898,79600
2018-05-25,16.049999,16.150000,16.000000,16.100000,15.608425,101700
2018-05-29,16.000000,16.299999,15.900000,16.200001,15.705369,155400
2018-05-30,16.200001,16.600000,16.200001,16.549999,16.044685,156000
2018-05-31,16.549999,16.650000,15.400000,15.500000,15.026745,386800
2018-06-01,15.500000,16.100000,15.350000,16.100000,15.608425,370900
2018-06-04,16.200001,16.250000,16.000000,16.100000,15.608425,211300
2018-06-05,16.100000,16.700001,16.100000,16.600000,16.093157,167500
2018-06-06,16.549999,16.930000,16.549999,16.850000,16.335527,91300
2018-06-07,16.700001,16.799999,16.200001,16.250000,15.753846,193900
2018-06-08,16.299999,16.400000,16.049999,16.200001,15.705369,108600
2018-06-11,16.200001,16.299999,15.900000,16.150000,15.656898,100000
2018-06-12,16.100000,16.180000,15.800000,16.000000,15.511477,130200
2018-06-13,15.950000,16.100000,15.450000,15.500000,15.026745,127600
2018-06-14,15.500000,15.550000,14.250000,14.650000,14.202698,652300
2018-06-15,14.550000,15.000000,14.500000,14.850000,14.396591,394500
2018-06-18,14.800000,15.000000,14.650000,14.800000,14.348117,206100
2018-06-19,14.700000,14.750000,14.290000,14.450000,14.008803,259900
2018-06-20,14.500000,14.900000,14.350000,14.850000,14.396591,212700
2018-06-21,14.850000,14.900000,14.200000,14.400000,13.960330,276900
2018-06-22,14.450000,14.550000,14.200000,14.550000,14.105749,822000
2018-06-25,14.450000,14.650000,14.300000,14.450000,14.008803,210100
2018-06-26,14.500000,14.600000,14.200000,14.550000,14.105749,309900
2018-06-27,14.650000,14.750000,14.150000,14.200000,13.766437,221400
2018-06-28,14.550000,15.600000,14.550000,14.800000,14.348117,711400
2018-06-29,14.800000,15.200000,14.500000,15.100000,14.638959,423900
2018-07-02,15.100000,15.170000,14.800000,14.950000,14.493537,190000
2018-07-03,15.050000,15.150000,14.950000,15.050000,14.590486,94500
2018-07-05,15.050000,15.300000,15.050000,15.250000,14.784375,121300
2018-07-06,15.300000,15.400000,15.100000,15.350000,14.881323,121200
2018-07-09,15.300000,15.450000,15.050000,15.150000,14.687429,248300
2018-07-10,15.100000,15.200000,15.050000,15.100000,14.638959,328300
2018-07-11,15.050000,15.150000,14.700000,15.150000,14.687429,249000
2018-07-12,15.150000,15.310000,14.650000,15.100000,14.638959,109200
2018-07-13,15.100000,15.300000,15.050000,15.200000,14.735905,111700
2018-07-16,15.300000,15.500000,15.100000,15.300000,14.832850,102200
2018-07-17,15.300000,15.500000,15.100000,15.200000,14.735905,130600
2018-07-18,15.250000,15.450000,15.200000,15.350000,14.881323,90800
2018-07-19,15.250000,15.500000,15.200000,15.400000,14.929796,102500
2018-07-20,15.400000,15.450000,15.130000,15.300000,14.832850,177500
2018-07-23,15.350000,15.350000,14.850000,15.000000,14.542009,100100
