Date,Open,High,Low,Close,Adj Close,Volume
2021-03-16,10.000000,10.000000,9.670000,9.755000,9.755000,1800
2021-03-17,9.800000,9.800000,9.750000,9.750000,9.750000,600
2021-03-18,9.850000,9.850000,9.850000,9.850000,9.850000,100
2021-03-19,9.850000,9.850000,9.850000,9.850000,9.850000,0
2021-03-22,9.850000,9.850000,9.710000,9.730000,9.730000,3000
2021-03-23,9.710000,9.710000,9.680000,9.690000,9.690000,2000
2021-03-24,9.750000,9.750000,9.690000,9.690000,9.690000,532900
2021-03-25,9.500000,9.620000,9.500000,9.600000,9.600000,125600
2021-03-26,9.490000,9.690000,9.430000,9.690000,9.690000,192700
2021-03-29,9.530000,9.750000,9.530000,9.740000,9.740000,1300
2021-03-30,9.740000,9.740000,9.740000,9.740000,9.740000,0
2021-03-31,9.640000,9.670000,9.640000,9.670000,9.670000,700
2021-04-01,9.710000,9.710000,9.700000,9.710000,9.710000,38500
2021-04-05,9.710000,9.740000,9.690000,9.740000,9.740000,6900
2021-04-06,9.695000,9.700000,9.690000,9.690000,9.690000,4000
2021-04-07,9.730000,9.800000,9.730000,9.780000,9.780000,11300
2021-04-08,9.800000,9.840000,9.740000,9.800000,9.800000,53000
2021-04-09,9.690000,9.840000,9.690000,9.820000,9.820000,40600
2021-04-12,9.810000,9.825000,9.810000,9.825000,9.825000,4600
2021-04-13,9.734000,9.760000,9.700000,9.760000,9.760000,36500
2021-04-14,9.700000,9.820000,9.700000,9.820000,9.820000,62100
2021-04-15,9.800000,9.870000,9.800000,9.820000,9.820000,22800
2021-04-16,9.800000,9.860000,9.740000,9.860000,9.860000,361000
2021-04-19,9.780000,9.890000,9.730000,9.795000,9.795000,148500
2021-04-20,9.760000,9.760000,9.735000,9.745000,9.745000,7500
2021-04-21,9.760000,9.760000,9.700000,9.720000,9.720000,15000
2021-04-22,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-04-23,9.730000,9.730000,9.700000,9.700000,9.700000,132700
2021-04-26,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-04-27,9.771000,9.771000,9.720000,9.760000,9.760000,9000
2021-04-28,9.720000,9.720000,9.720000,9.720000,9.720000,1100
2021-04-29,9.720000,9.720000,9.680000,9.700000,9.700000,15100
2021-04-30,9.700000,9.700000,9.670000,9.700000,9.700000,8600
2021-05-03,9.720000,9.740000,9.650000,9.670000,9.670000,40800
2021-05-04,9.700000,9.720000,9.700000,9.720000,9.720000,10700
2021-05-05,9.710000,9.720000,9.710000,9.720000,9.720000,5200
2021-05-06,9.730000,9.730000,9.660000,9.700000,9.700000,16700
2021-05-07,9.720000,9.730000,9.720000,9.720000,9.720000,6200
2021-05-10,9.690000,9.720000,9.660000,9.690000,9.690000,18700
2021-05-11,9.694000,9.694000,9.694000,9.694000,9.694000,500
2021-05-12,9.694000,9.694000,9.694000,9.694000,9.694000,0
2021-05-13,9.681000,9.700000,9.681000,9.700000,9.700000,8800
2021-05-14,9.700000,9.700000,9.680000,9.680000,9.680000,8600
2021-05-17,9.690000,9.700000,9.680000,9.690000,9.690000,5800
2021-05-18,9.670000,9.690000,9.600000,9.620000,9.620000,53000
2021-05-19,9.670000,9.695000,9.670000,9.678000,9.678000,108100
2021-05-20,9.640000,9.670000,9.630000,9.660000,9.660000,73800
2021-05-21,9.650000,10.170000,9.630000,9.700000,9.700000,406700
2021-05-24,9.750000,9.760000,9.690000,9.760000,9.760000,52700
2021-05-25,9.740000,9.750000,9.650000,9.680000,9.680000,108100
2021-05-26,9.650000,9.700000,9.650000,9.690000,9.690000,34800
2021-05-27,9.680000,9.720000,9.610000,9.630000,9.630000,170700
2021-05-28,9.650000,9.950000,9.640000,9.800000,9.800000,283300
2021-06-01,9.844000,9.877000,9.760000,9.810000,9.810000,2051800
2021-06-02,9.910000,9.910000,9.810000,9.830000,9.830000,895700
2021-06-03,9.910000,9.910000,9.820000,9.840000,9.840000,105500
2021-06-04,9.860000,9.880000,9.820000,9.830000,9.830000,160300
2021-06-07,9.850000,9.890000,9.830000,9.880000,9.880000,194600
2021-06-08,9.940000,9.950000,9.850000,9.870000,9.870000,352100
2021-06-09,9.900000,9.900000,9.860000,9.860000,9.860000,32100
2021-06-10,9.870000,9.910000,9.860000,9.910000,9.910000,68900
2021-06-11,9.900000,9.910000,9.880000,9.900000,9.900000,59000
2021-06-14,9.900000,9.910000,9.890000,9.905000,9.905000,148900
2021-06-15,9.910000,9.910000,9.888000,9.905000,9.905000,12300
2021-06-16,9.910000,9.910000,9.885000,9.900000,9.900000,15400
2021-06-17,9.900000,9.910000,9.890000,9.910000,9.910000,86100
2021-06-18,9.910000,9.910000,9.880000,9.900000,9.900000,102800
2021-06-21,9.900000,9.920000,9.900000,9.910000,9.910000,123900
2021-06-22,9.910000,9.910000,9.890000,9.910000,9.910000,33100
2021-06-23,9.910000,9.910000,9.880000,9.900000,9.900000,21800
2021-06-24,9.901000,9.905000,9.870000,9.900000,9.900000,37500
2021-06-25,9.900000,9.900000,9.890000,9.895000,9.895000,14300
2021-06-28,9.900000,9.910000,9.890000,9.900000,9.900000,74500
2021-06-29,9.950000,9.950000,9.880000,9.905000,9.905000,426400
2021-06-30,9.920000,9.920000,9.900000,9.920000,9.920000,743800
2021-07-01,9.930000,9.930000,9.900000,9.910000,9.910000,61900
2021-07-02,9.940000,9.940000,9.900000,9.920000,9.920000,41900
2021-07-06,9.930000,9.930000,9.910000,9.910000,9.910000,43300
2021-07-07,9.930000,9.940000,9.910000,9.910000,9.910000,13700
2021-07-08,9.930000,9.930000,9.910000,9.930000,9.930000,11500
2021-07-09,9.930000,9.930000,9.910000,9.920000,9.920000,18400
2021-07-12,9.920000,9.930000,9.900000,9.930000,9.930000,16900
2021-07-13,9.930000,9.930000,9.900000,9.930000,9.930000,7600
2021-07-14,9.910000,9.930000,9.905000,9.910000,9.910000,15300
2021-07-15,9.880000,9.910000,9.880000,9.905000,9.905000,23700
2021-07-16,9.890000,9.910000,9.890000,9.900000,9.900000,42600
2021-07-19,9.880000,9.940000,9.880000,9.900000,9.900000,41000
2021-07-20,9.930000,9.930000,9.900000,9.930000,9.930000,11600
2021-07-21,9.910000,9.940000,9.900000,9.900000,9.900000,10400
2021-07-22,9.940000,9.940000,9.881000,9.900000,9.900000,15200
2021-07-23,9.942000,9.942000,9.900000,9.900000,9.900000,5100
2021-07-26,9.900000,9.950000,9.900000,9.920000,9.920000,30200
2021-07-27,9.890000,9.940000,9.880000,9.930000,9.930000,146200
2021-07-28,9.880000,9.940000,9.880000,9.910000,9.910000,3400
2021-07-29,9.900000,9.920000,9.861000,9.920000,9.920000,2900
2021-07-30,9.900000,9.900000,9.790000,9.860000,9.860000,218700
2021-08-02,9.820000,9.880000,9.820000,9.880000,9.880000,15700
2021-08-03,9.890000,9.890000,9.860000,9.880000,9.880000,6000
2021-08-04,9.880000,9.950000,9.860000,9.940000,9.940000,227500
2021-08-05,9.939000,9.940000,9.860000,9.900000,9.900000,8200
2021-08-06,9.887000,9.915000,9.880000,9.890000,9.890000,3200
2021-08-09,9.900000,9.950000,9.870000,9.890000,9.890000,10900
2021-08-10,9.940000,9.940000,9.870000,9.900000,9.900000,100900
2021-08-11,9.910000,9.922000,9.882000,9.900000,9.900000,2400
2021-08-12,9.890000,9.900000,9.880000,9.900000,9.900000,6600
2021-08-13,9.900000,9.900000,9.880000,9.891000,9.891000,12800
2021-08-16,9.850000,9.900000,9.810000,9.860000,9.860000,227100
2021-08-17,9.810000,9.900000,9.810000,9.900000,9.900000,149300
2021-08-18,9.860000,9.900000,9.830000,9.865000,9.865000,536600
2021-08-19,9.770000,9.870000,9.770000,9.850000,9.850000,69300
2021-08-20,9.890000,9.890000,9.840000,9.845000,9.845000,9600
2021-08-23,9.820000,9.870000,9.820000,9.840000,9.840000,10200
2021-08-24,9.900000,9.900000,9.840000,9.840000,9.840000,154200
2021-08-25,9.845000,9.879000,9.810000,9.870000,9.870000,6600
2021-08-26,9.820000,9.900000,9.810000,9.846000,9.846000,23300
2021-08-27,9.840000,9.900000,9.833000,9.878000,9.878000,26300
2021-08-30,9.900000,9.900000,9.830000,9.860000,9.860000,92700
2021-08-31,9.900000,9.900000,9.830000,9.880000,9.880000,21300
2021-09-01,9.880000,9.900000,9.840000,9.870000,9.870000,8900
2021-09-02,9.840000,9.890000,9.840000,9.880000,9.880000,8400
2021-09-03,9.850000,9.900000,9.850000,9.900000,9.900000,39400
2021-09-07,9.900000,9.900000,9.836000,9.880000,9.880000,3900
2021-09-08,9.900000,9.908000,9.830000,9.900000,9.900000,11200
2021-09-09,9.901000,9.905000,9.880000,9.880000,9.880000,35300
2021-09-10,9.870000,9.900000,9.860000,9.900000,9.900000,18300
2021-09-13,9.890000,9.900000,9.880000,9.890000,9.890000,2000
2021-09-14,9.885000,9.900000,9.870000,9.900000,9.900000,41000
2021-09-15,9.870000,9.905000,9.870000,9.900000,9.900000,613700
2021-09-16,9.930000,9.938000,9.880000,9.890000,9.890000,365800
2021-09-17,9.940000,9.950000,9.890000,9.920000,9.920000,116500
2021-09-20,9.940000,9.940000,9.890000,9.900000,9.900000,221500
2021-09-21,9.915000,9.940000,9.900000,9.920000,9.920000,37000
2021-09-22,9.940000,9.940000,9.910000,9.940000,9.940000,305900
2021-09-23,9.950000,9.950000,9.910000,9.930000,9.930000,38000
2021-09-24,9.930000,9.930000,9.900000,9.920000,9.920000,24700
2021-09-27,9.920000,9.929000,9.900000,9.910000,9.910000,103600
2021-09-28,9.920000,9.920000,9.900000,9.910000,9.910000,226800
2021-09-29,9.930000,9.930000,9.900000,9.910000,9.910000,146500
2021-09-30,9.890000,9.910000,9.890000,9.910000,9.910000,159200
2021-10-01,9.940000,9.942000,9.910000,9.910000,9.910000,69600
2021-10-04,9.910000,9.925000,9.910000,9.920000,9.920000,34200
2021-10-05,9.940000,9.940000,9.920000,9.929000,9.929000,7200
2021-10-06,9.920000,9.950000,9.920000,9.930000,9.930000,23100
2021-10-07,9.950000,9.950000,9.923000,9.930000,9.930000,78300
2021-10-08,9.949000,9.949000,9.930000,9.930000,9.930000,261900
2021-10-11,9.940000,9.950000,9.930000,9.940000,9.940000,149300
2021-10-12,9.940000,9.950000,9.940000,9.945000,9.945000,118500
2021-10-13,9.940000,9.950000,9.940000,9.950000,9.950000,83600
2021-10-14,9.940000,9.950000,9.940000,9.940000,9.940000,57400
2021-10-15,9.950000,9.960000,9.950000,9.960000,9.960000,99000
2021-10-18,9.950000,9.965000,9.950000,9.960000,9.960000,27300
2021-10-19,9.990000,9.990000,9.950000,9.950000,9.950000,37800
2021-10-20,9.950000,9.965000,9.950000,9.960000,9.960000,52800
2021-10-21,9.960000,9.960000,9.910000,9.940000,9.940000,134400
2021-10-22,9.940000,9.942000,9.930000,9.940000,9.940000,35500
2021-10-25,9.960000,9.980000,9.950000,9.980000,9.980000,293400
2021-10-26,10.000000,10.000000,9.960000,10.000000,10.000000,1010200
2021-10-27,9.980000,10.000000,9.980000,9.990000,9.990000,269500
2021-10-28,9.990000,10.000000,9.980000,9.990000,9.990000,84800
2021-10-29,10.000000,10.000000,9.990000,10.000000,10.000000,76200
2021-11-01,10.000000,10.010000,9.990000,10.010000,10.010000,313400
2021-11-02,10.010000,10.010000,9.980000,10.000000,10.000000,120600
2021-11-03,9.990000,10.010000,9.980000,10.000000,10.000000,353900
2021-11-04,10.010000,10.010000,9.990000,9.995000,9.995000,43000
2021-11-05,10.010000,10.010000,9.985000,10.000000,10.000000,200700
2021-11-08,10.000000,10.010000,9.970000,9.980000,9.980000,1438100
2021-11-09,9.980000,9.990000,9.970000,9.980000,9.980000,160000
2021-11-10,10.000000,10.010000,9.940000,9.980000,9.980000,5214100
2021-11-11,9.990000,10.000000,9.980000,10.000000,10.000000,2319200
2021-11-12,9.980000,10.469000,9.900000,10.000000,10.000000,1718500
2021-11-15,10.110000,10.492000,9.630000,9.670000,9.670000,3586600
2021-11-16,9.750000,10.080000,9.750000,9.930000,9.930000,221700
2021-11-17,10.050000,10.180000,10.050000,10.080000,10.080000,326100
2021-11-18,11.910000,19.900000,11.800000,14.510000,14.510000,45649700
2021-11-19,13.800000,13.800000,10.490000,11.380000,11.380000,3562700
2021-11-22,11.070000,11.310000,8.250000,8.250000,8.250000,1859200
2021-11-23,8.480000,8.630000,7.150000,7.690000,7.690000,1055500
2021-11-24,7.500000,7.630000,6.790000,7.430000,7.430000,918700
2021-11-26,7.140000,7.880000,6.964000,7.430000,7.430000,350700
2021-11-29,7.340000,7.499000,6.680000,7.000000,7.000000,531700
2021-11-30,6.990000,7.000000,5.800000,6.120000,6.120000,1220800
2021-12-01,6.410000,6.410000,5.200000,5.390000,5.390000,1010100
2021-12-02,5.350000,5.350000,4.651000,4.760000,4.760000,1072000
2021-12-03,4.820000,6.610000,4.750000,6.230000,6.230000,2247100
2021-12-06,6.040000,6.630000,5.560000,6.020000,6.020000,898500
2021-12-07,6.240000,6.500000,5.800000,5.810000,5.810000,380500
2021-12-08,6.190000,7.170000,6.070000,6.560000,6.560000,1016200
2021-12-09,6.720000,7.980000,6.630000,7.260000,7.260000,1236200
