Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,2.240000,2.280000,2.050000,2.210000,2.210000,4153700
2018-03-29,2.220000,2.380000,2.180000,2.350000,2.350000,2572000
2018-04-02,2.350000,2.400000,2.290000,2.350000,2.350000,1836400
2018-04-03,2.340000,2.350000,2.260000,2.320000,2.320000,1261000
2018-04-04,2.280000,2.290000,2.220000,2.280000,2.280000,1378800
2018-04-05,2.250000,2.410000,2.250000,2.380000,2.380000,1802800
2018-04-06,2.330000,2.400000,2.280000,2.310000,2.310000,1118200
2018-04-09,2.350000,2.360000,2.280000,2.300000,2.300000,769100
2018-04-10,2.320000,2.330000,2.250000,2.290000,2.290000,1125100
2018-04-11,2.290000,2.305000,2.250000,2.260000,2.260000,905600
2018-04-12,2.260000,2.330000,2.260000,2.320000,2.320000,1006700
2018-04-13,2.320000,2.350000,2.250000,2.300000,2.300000,1557700
2018-04-16,2.310000,2.430000,2.310000,2.360000,2.360000,1796200
2018-04-17,2.380000,2.440000,2.360000,2.400000,2.400000,1137900
2018-04-18,2.400000,2.420000,2.330000,2.350000,2.350000,956900
2018-04-19,2.360000,2.370000,2.260000,2.310000,2.310000,1242400
2018-04-20,2.270000,2.310000,2.205000,2.220000,2.220000,1270600
2018-04-23,2.230000,2.290000,2.110000,2.230000,2.230000,1896700
2018-04-24,2.220000,2.230000,1.921000,2.050000,2.050000,3424700
2018-04-25,2.040000,2.140000,1.960000,2.130000,2.130000,1706000
2018-04-26,2.110000,2.118000,2.040000,2.040000,2.040000,993600
2018-04-27,2.040000,2.079000,2.000000,2.020000,2.020000,939100
2018-04-30,2.000000,2.120000,2.000000,2.070000,2.070000,1147800
2018-05-01,2.080000,2.116000,2.020000,2.070000,2.070000,724500
2018-05-02,2.080000,2.120000,2.060000,2.070000,2.070000,828000
2018-05-03,2.050000,2.090000,2.000000,2.020000,2.020000,1007200
2018-05-04,2.080000,2.230000,2.030000,2.210000,2.210000,1846100
2018-05-07,2.250000,2.420000,2.200000,2.320000,2.320000,2507100
2018-05-08,2.330000,2.590000,2.300000,2.550000,2.550000,2881700
2018-05-09,2.600000,2.600000,2.330000,2.380000,2.380000,2636300
2018-05-10,2.370000,2.420000,2.280000,2.370000,2.370000,1357900
2018-05-11,2.400000,2.400000,2.270000,2.330000,2.330000,1020700
2018-05-14,2.350000,2.350000,2.230000,2.250000,2.250000,1087500
2018-05-15,2.250000,2.280000,2.220000,2.270000,2.270000,854000
2018-05-16,2.260000,2.370000,2.250000,2.290000,2.290000,1093000
2018-05-17,2.290000,2.320000,2.170000,2.190000,2.190000,1437900
2018-05-18,2.200000,2.220000,2.080000,2.100000,2.100000,2017600
2018-05-21,2.130000,2.160000,2.100000,2.110000,2.110000,914900
