Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,15.350000,15.790000,15.170000,15.670000,15.670000,418700
2018-03-29,15.710000,15.970000,14.990000,15.680000,15.680000,407200
2018-04-02,15.580000,15.680000,15.170000,15.240000,15.240000,348500
2018-04-03,15.260000,15.510000,15.200000,15.400000,15.400000,196500
2018-04-04,15.300000,15.940000,15.300000,15.800000,15.800000,299100
2018-04-05,15.930000,16.200001,15.210000,16.170000,16.170000,377300
2018-04-06,16.049999,16.700001,16.040001,16.200001,16.200001,492400
2018-04-09,16.209999,16.430000,16.030001,16.080000,16.080000,377600
2018-04-10,16.200001,16.990000,16.200001,16.959999,16.959999,624700
2018-04-11,16.910000,17.549999,16.910000,17.450001,17.450001,431800
2018-04-12,17.590000,18.070000,17.549999,17.940001,17.940001,499000
2018-04-13,18.020000,18.160000,17.690001,17.760000,17.760000,338700
2018-04-16,17.870001,18.110001,17.740000,17.740000,17.740000,412100
2018-04-17,17.809999,17.950001,17.680000,17.809999,17.809999,332900
2018-04-18,17.920000,17.990000,17.590000,17.650000,17.650000,222500
2018-04-19,17.590000,17.920000,17.590000,17.740000,17.740000,341100
2018-04-20,17.799999,18.070000,17.799999,17.910000,17.910000,349000
2018-04-23,17.959999,18.090000,17.520000,17.549999,17.549999,326900
2018-04-24,17.600000,17.820000,17.540001,17.770000,17.770000,595800
2018-04-25,17.820000,17.850000,17.520000,17.580000,17.580000,293200
2018-04-26,17.570000,17.740000,17.500000,17.639999,17.639999,162300
2018-04-27,17.639999,17.920000,17.459999,17.490000,17.490000,276400
2018-04-30,17.490000,17.700001,17.030001,17.030001,17.030001,244500
2018-05-01,17.049999,17.110001,16.799999,17.049999,17.049999,346300
2018-05-02,16.959999,17.070000,16.719999,16.730000,16.730000,342100
2018-05-03,16.730000,16.809999,16.360001,16.650000,16.650000,367800
2018-05-04,16.629999,17.120001,16.629999,16.930000,16.930000,445400
2018-05-07,16.959999,17.190001,16.820000,16.889999,16.889999,425400
2018-05-08,16.879999,17.000000,16.750000,16.969999,16.969999,651200
2018-05-09,17.600000,18.430000,17.549999,18.299999,18.299999,1140300
2018-05-10,18.260000,18.500000,18.020000,18.340000,18.340000,697900
2018-05-11,18.440001,18.799999,18.400000,18.610001,18.610001,528400
2018-05-14,18.870001,19.340000,18.420000,18.650000,18.650000,1481500
2018-05-15,18.559999,19.219999,18.440001,19.020000,19.020000,552500
2018-05-16,19.040001,19.480000,18.910000,19.139999,19.139999,599700
2018-05-17,19.129999,19.320000,18.690001,18.920000,18.920000,518900
2018-05-18,19.100000,19.209999,18.790001,18.840000,18.840000,1028600
2018-05-21,18.920000,19.280001,18.770000,18.990000,18.990000,504500
2018-05-22,19.000000,19.490000,18.889999,18.900000,18.900000,690700
2018-05-23,18.730000,18.980000,18.590000,18.709999,18.709999,474300
2018-05-24,18.620001,18.840000,18.510000,18.660000,18.660000,254600
2018-05-25,18.600000,18.910000,18.469999,18.629999,18.629999,277600
2018-05-29,18.430000,18.740000,18.360001,18.459999,18.459999,469300
2018-05-30,18.540001,18.879999,18.450001,18.709999,18.709999,481400
2018-05-31,18.650000,19.000000,18.480000,18.530001,18.530001,327100
2018-06-01,19.709999,20.410000,19.680000,20.230000,20.230000,3557400
2018-06-04,20.420000,20.420000,19.469999,19.469999,19.469999,7213100
2018-06-05,19.370001,19.540001,18.969999,19.530001,19.530001,1530000
2018-06-06,19.850000,20.340000,19.820000,20.190001,20.190001,1073100
2018-06-07,20.170000,20.290001,19.820000,19.850000,19.850000,704500
2018-06-08,19.740000,20.200001,19.700001,20.160000,20.160000,718600
2018-06-11,20.309999,20.980000,20.260000,20.930000,20.930000,975100
2018-06-12,20.920000,21.110001,20.740000,20.879999,20.879999,753000
2018-06-13,20.940001,20.990000,20.590000,20.850000,20.850000,514800
2018-06-14,20.840000,20.990000,20.400000,20.420000,20.420000,513500
2018-06-15,20.299999,20.299999,20.000000,20.170000,20.170000,705000
2018-06-18,20.059999,20.280001,20.020000,20.219999,20.219999,626200
2018-06-19,20.150000,20.530001,20.120001,20.200001,20.200001,360200
2018-06-20,20.290001,20.309999,19.860001,19.860001,19.860001,589300
2018-06-21,19.870001,20.129999,19.549999,20.080000,20.080000,936400
2018-06-22,20.129999,20.330000,19.799999,19.820000,19.820000,399400
2018-06-25,19.700001,19.969999,19.420000,19.610001,19.610001,336100
2018-06-26,19.730000,20.000000,19.549999,19.830000,19.830000,744600
2018-06-27,19.730000,19.790001,19.590000,19.680000,19.680000,894400
2018-06-28,19.700001,20.000000,19.590000,19.980000,19.980000,452800
2018-06-29,20.120001,20.250000,19.770000,19.850000,19.850000,373300
2018-07-02,19.770000,19.820000,19.299999,19.680000,19.680000,687800
2018-07-03,19.820000,19.900000,19.459999,19.480000,19.480000,183600
2018-07-05,19.490000,19.680000,19.330000,19.490000,19.490000,340800
2018-07-06,19.540001,19.959999,19.360001,19.850000,19.850000,224700
2018-07-09,19.959999,20.240000,19.799999,20.200001,20.200001,410100
2018-07-10,20.320000,20.400000,20.129999,20.299999,20.299999,303600
2018-07-11,20.230000,20.320000,20.090000,20.170000,20.170000,539700
2018-07-12,20.309999,20.350000,19.959999,20.209999,20.209999,696700
