Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,38.000000,38.750000,37.700001,38.150002,32.449284,14800
2018-03-29,38.900002,38.900002,37.549999,37.599998,31.981462,25300
2018-04-02,36.500000,37.400002,36.000000,37.150002,31.598709,17400
2018-04-03,37.200001,37.700001,36.750000,37.349998,31.768824,13200
2018-04-04,37.500000,38.349998,37.500000,37.950001,32.279171,3700
2018-04-05,37.900002,38.349998,37.799999,38.099998,32.406750,12400
2018-04-06,38.299999,38.349998,37.349998,37.500000,31.896408,8400
2018-04-09,38.400002,39.270000,37.759998,38.150002,32.449284,4500
2018-04-10,38.299999,38.900002,38.299999,38.700001,32.917095,7300
2018-04-11,38.500000,39.750000,38.400002,38.599998,32.832039,4700
2018-04-12,38.570000,39.650002,38.570000,38.750000,32.959625,2800
2018-04-13,38.349998,38.500000,37.959999,38.500000,32.746983,3900
2018-04-16,38.549999,39.349998,38.000000,39.099998,33.257317,7000
2018-04-17,38.400002,39.549999,38.250000,39.549999,33.640087,8300
2018-04-18,38.279999,39.299999,38.279999,38.950001,33.129738,7400
2018-04-19,38.950001,39.650002,38.500000,39.250000,33.384899,12600
2018-04-20,38.450001,39.700001,37.799999,39.450001,33.555023,10800
2018-04-23,39.700001,39.700001,38.099998,39.099998,33.257317,4200
2018-04-24,39.000000,40.650002,38.150002,40.000000,34.022839,16800
2018-04-25,38.849998,40.500000,38.849998,39.799999,33.852726,7400
2018-04-26,39.150002,39.799999,39.150002,39.799999,33.852726,2100
2018-04-27,39.049999,39.349998,38.900002,38.900002,33.087208,13800
2018-04-30,39.250000,39.250000,38.450001,38.450001,32.704449,8700
2018-05-01,38.250000,39.000000,38.150002,38.900002,33.087208,6200
2018-05-02,38.799999,39.049999,38.549999,39.000000,33.172264,4900
2018-05-03,38.599998,39.000000,38.299999,38.650002,32.874565,3900
2018-05-04,38.650002,39.400002,38.650002,39.299999,33.427437,5100
2018-05-07,39.299999,39.650002,38.849998,39.150002,33.299850,16300
2018-05-08,39.200001,39.549999,39.000000,39.400002,33.512497,4100
2018-05-09,39.099998,39.799999,39.099998,39.700001,33.767670,12300
2018-05-10,39.849998,40.150002,39.450001,39.750000,33.810200,2600
2018-05-11,39.549999,39.950001,39.000000,39.500000,33.597549,3800
2018-05-14,39.549999,39.599998,38.650002,38.849998,33.044674,8000
2018-05-15,39.000000,39.000000,38.599998,38.599998,32.832039,13300
2018-05-16,39.200001,39.400002,38.200001,38.200001,32.491814,12200
2018-05-17,39.450001,39.450001,38.500000,38.799999,33.002155,12800
2018-05-18,38.950001,38.950001,38.580002,38.700001,32.917095,8100
2018-05-21,38.700001,39.549999,38.650002,39.400002,33.512497,6700
2018-05-22,39.349998,39.349998,38.900002,39.099998,33.257317,3600
2018-05-23,39.349998,39.500000,38.830002,39.349998,33.469963,7600
2018-05-24,39.000000,39.650002,38.900002,39.599998,33.682613,5200
2018-05-25,39.750000,40.049999,39.299999,40.049999,34.065365,8300
2018-05-29,40.049999,40.049999,39.250000,39.250000,33.384899,7900
2018-05-30,40.849998,40.849998,39.299999,40.049999,34.065365,14000
2018-05-31,39.900002,40.380001,39.599998,39.700001,33.979774,14200
2018-06-01,39.630001,40.049999,39.630001,39.799999,34.065365,7000
2018-06-04,40.000000,40.490002,39.700001,39.950001,34.193756,9200
2018-06-05,40.080002,40.950001,40.080002,40.500000,34.664513,6200
2018-06-06,41.250000,42.549999,41.000000,41.799999,35.777184,21700
2018-06-07,42.000000,42.450001,41.450001,41.700001,35.691597,4900
2018-06-08,41.750000,41.750000,41.349998,41.349998,35.392033,5300
2018-06-11,41.250000,41.380001,41.099998,41.150002,35.220848,7000
2018-06-12,40.759998,41.400002,40.500000,40.549999,34.707298,9400
2018-06-13,40.799999,41.500000,40.349998,41.049999,35.135254,6300
2018-06-14,41.200001,41.349998,41.000000,41.200001,35.263649,4600
2018-06-15,41.250000,41.700001,41.099998,41.450001,35.477619,26100
2018-06-18,40.250000,41.700001,40.250000,41.700001,35.691597,9600
