Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,36.639999,37.169998,35.869999,36.889999,31.711765,253800
2018-03-29,37.029999,37.029999,34.770000,36.709999,31.557018,359700
2018-04-02,36.709999,36.919998,35.270000,36.349998,31.247566,295500
2018-04-03,36.490002,36.720001,36.150002,36.410000,31.299141,435200
2018-04-04,36.000000,36.770000,36.000000,36.570000,31.436686,275800
2018-04-05,36.400002,36.930000,36.299999,36.840000,31.668785,255600
2018-04-06,36.560001,36.910000,35.650002,36.070000,31.006865,278600
2018-04-09,36.400002,36.580002,35.880001,35.880001,30.843540,271600
2018-04-10,36.360001,36.730000,36.060001,36.610001,31.471067,245000
2018-04-11,36.220001,36.459999,35.029999,36.340000,31.238966,129500
2018-04-12,36.529999,36.930000,35.259998,36.750000,31.591410,212500
2018-04-13,36.849998,36.849998,36.160000,36.279999,31.187386,175200
2018-04-16,36.529999,36.610001,36.130001,36.430000,31.316330,266900
2018-04-17,36.560001,36.599998,35.919998,36.189999,31.110023,250100
2018-04-18,36.330002,36.439999,35.970001,35.990002,30.938097,185400
2018-04-19,35.900002,36.389999,34.990002,36.330002,31.230379,379400
2018-04-20,36.189999,36.680000,36.189999,36.549999,31.419497,320800
2018-04-23,36.750000,36.980000,36.650002,36.779999,31.617212,203600
2018-04-24,36.930000,37.799999,36.660000,37.689999,32.399464,463200
2018-04-25,37.869999,38.680000,37.790001,38.470001,33.069981,796600
2018-04-26,38.490002,38.759998,38.160000,38.470001,33.069981,486500
2018-04-27,38.389999,38.849998,38.220001,38.450001,33.052788,390400
2018-04-30,38.459999,38.580002,37.799999,37.810001,32.502621,380200
2018-05-01,37.810001,38.520000,37.389999,38.470001,33.069981,352200
2018-05-02,38.470001,39.150002,38.160000,38.740002,33.302078,488800
2018-05-03,38.740002,38.939999,38.340000,38.599998,33.181728,493700
2018-05-04,38.380001,39.430000,38.279999,39.020000,33.542786,203400
2018-05-07,39.049999,39.439999,38.700001,39.150002,33.654533,191200
2018-05-08,39.250000,40.000000,39.169998,39.970001,34.359428,338200
2018-05-09,40.000000,40.660000,39.889999,40.380001,34.711876,399100
2018-05-10,40.299999,40.590000,39.860001,40.410000,34.919262,281400
2018-05-11,40.500000,40.630001,40.080002,40.340000,34.858776,201300
2018-05-14,40.299999,40.520000,40.070000,40.470001,34.971119,468900
2018-05-15,40.459999,40.849998,40.290001,40.639999,35.118015,322800
2018-05-16,40.490002,40.919998,38.299999,40.759998,35.221706,258600
2018-05-17,40.849998,41.200001,40.430000,41.049999,35.472301,373300
2018-05-18,41.160000,41.160000,40.480000,40.520000,35.014313,315300
2018-05-21,40.610001,41.400002,40.490002,41.340000,35.722897,419100
2018-05-22,41.369999,41.799999,41.270000,41.310001,35.696980,293700
2018-05-23,41.180000,41.470001,40.660000,41.450001,35.817959,421100
2018-05-24,41.279999,41.279999,40.400002,41.139999,35.550072,302400
2018-05-25,41.009998,41.639999,40.830002,41.130001,35.541424,262100
2018-05-29,40.869999,41.090000,40.250000,40.320000,34.841496,336400
2018-05-30,40.549999,41.439999,40.340000,41.380001,35.757462,344400
2018-05-31,41.259998,41.770000,41.000000,41.099998,35.515514,469700
2018-06-01,41.349998,42.000000,41.060001,41.439999,35.809307,285600
2018-06-04,41.509998,41.820000,41.180000,41.740002,36.068550,438800
2018-06-05,41.639999,41.919998,41.209999,41.320000,35.705616,457700
2018-06-06,41.549999,41.970001,41.529999,41.959999,36.258656,513000
2018-06-07,42.000000,42.310001,41.450001,42.009998,36.301861,560600
2018-06-08,41.990002,42.290001,41.889999,42.119999,36.396915,430500
2018-06-11,42.290001,42.599998,41.570000,41.820000,36.137676,471800
2018-06-12,41.820000,42.049999,40.810001,40.990002,35.420460,486300
2018-06-13,41.090000,41.619999,40.689999,40.959999,35.394531,850700
2018-06-14,41.160000,41.160000,40.349998,40.480000,34.979752,895500
2018-06-15,40.259998,40.799999,39.880001,40.209999,34.746433,2483700
2018-06-18,40.180000,40.810001,39.759998,40.520000,35.014313,696200
2018-06-19,40.250000,41.230000,40.250000,41.070000,35.489586,583700
2018-06-20,41.150002,41.740002,41.150002,41.680000,36.016708,379800
2018-06-21,41.549999,41.980000,39.669998,41.419998,35.792023,417100
2018-06-22,41.500000,41.599998,40.770000,41.169998,35.575993,1670900
2018-06-25,40.869999,41.099998,40.560001,40.849998,35.299477,341400
2018-06-26,40.849998,40.849998,40.320000,40.689999,35.161213,331600
2018-06-27,40.680000,40.740002,39.900002,39.910000,34.487206,493900
2018-06-28,39.990002,40.389999,39.360001,39.419998,34.063778,479800
2018-06-29,39.689999,39.900002,38.860001,38.880001,33.597153,268100
2018-07-02,38.779999,39.720001,38.529999,39.709999,34.314377,358900
2018-07-03,39.580002,40.320000,39.410000,39.430000,34.072411,195200
2018-07-05,39.529999,39.650002,39.250000,39.520000,34.150192,327200
2018-07-06,39.439999,39.980000,39.310001,39.750000,34.348938,333300
2018-07-09,39.750000,40.770000,39.750000,40.709999,35.178497,372000
2018-07-10,40.849998,41.000000,40.049999,40.360001,34.876053,532000
2018-07-11,40.259998,40.570000,39.830002,39.869999,34.452637,294800
2018-07-12,40.189999,40.189999,39.000000,39.349998,34.003284,286000
2018-07-13,39.340000,39.520000,38.860001,38.939999,33.649002,299600
2018-07-16,39.189999,39.669998,39.099998,39.630001,34.245255,338500
2018-07-17,39.619999,39.889999,39.540001,39.570000,34.193398,283400
2018-07-18,40.150002,42.740002,39.700001,41.599998,35.947571,1091600
2018-07-19,41.459999,41.860001,40.509998,40.759998,35.221706,643600
2018-07-20,40.639999,41.619999,40.509998,41.450001,35.817959,1050800
2018-07-23,41.470001,42.540001,41.470001,42.150002,36.422848,505300
2018-07-24,42.130001,42.130001,41.189999,41.389999,35.766098,420700
2018-07-25,41.669998,41.669998,40.490002,40.790001,35.247627,383300
2018-07-26,40.910000,41.520000,40.889999,41.259998,35.653767,370800
2018-07-27,41.169998,41.419998,40.560001,40.630001,35.109367,191100
2018-07-30,40.680000,40.930000,39.860001,40.490002,34.988396,249300
2018-07-31,40.619999,41.389999,39.990002,40.509998,35.005680,337900
2018-08-01,40.680000,41.130001,40.669998,41.040001,35.463657,189600
2018-08-02,40.680000,41.540001,40.650002,41.389999,35.967670,288300
2018-08-03,40.680000,41.639999,40.560001,40.570000,35.255096,152000
2018-08-06,40.520000,40.689999,40.070000,40.480000,35.176891,105000
2018-08-07,40.560001,41.020000,40.549999,40.599998,35.281174,115100
2018-08-08,40.590000,41.020000,40.330002,40.869999,35.515793,132800
2018-08-09,40.779999,41.200001,40.730000,40.799999,35.454964,152800
2018-08-10,40.570000,40.959999,40.369999,40.790001,35.446278,186100
2018-08-13,40.889999,41.259998,40.520000,40.919998,35.559242,219300
2018-08-14,40.930000,41.480000,40.930000,41.139999,35.750427,269100
2018-08-15,41.009998,41.290001,40.650002,40.669998,35.341999,202600
2018-08-16,40.759998,41.740002,40.759998,41.270000,35.863400,219300
2018-08-17,41.169998,41.500000,41.160000,41.400002,35.976368,167100
2018-08-20,41.549999,41.900002,40.970001,41.730000,36.263134,174200
2018-08-21,41.740002,42.639999,41.740002,42.290001,36.749771,158200
2018-08-22,42.000000,42.360001,41.919998,42.119999,36.602036,174900
2018-08-23,42.150002,42.189999,41.820000,42.020000,36.515141,352500
2018-08-24,42.150002,42.310001,42.060001,42.090000,36.575962,165000
2018-08-27,42.220001,42.389999,41.720001,41.939999,36.445621,341100
2018-08-28,42.009998,42.040001,41.349998,41.410000,35.985058,122300
2018-08-29,41.480000,41.490002,40.869999,41.369999,35.950302,161400
2018-08-30,41.250000,41.610001,41.080002,41.360001,35.941605,239300
2018-08-31,41.220001,41.720001,41.150002,41.599998,36.150166,119800
2018-09-04,41.590000,42.330002,41.470001,42.299999,36.758461,212700
2018-09-05,42.230000,42.630001,42.230000,42.410000,36.854042,246800
2018-09-06,42.419998,42.580002,42.230000,42.240002,36.706326,199400
2018-09-07,42.250000,42.250000,41.470001,41.770000,36.297901,165600
2018-09-10,41.779999,42.160000,41.650002,41.689999,36.228382,111400
2018-09-11,41.700001,41.880001,41.389999,41.660000,36.202312,123700
2018-09-12,41.590000,41.660000,40.590000,40.610001,35.289860,170500
2018-09-13,40.770000,40.869999,40.279999,40.389999,35.098682,195900
2018-09-14,40.240002,40.869999,40.240002,40.750000,35.411530,232700
2018-09-17,40.840000,40.880001,39.980000,40.220001,34.950954,263100
2018-09-18,40.230000,40.459999,40.060001,40.209999,34.942257,247900
2018-09-19,40.169998,40.810001,40.169998,40.380001,35.089993,176200
2018-09-20,40.450001,41.110001,40.330002,41.090000,35.706970,289600
2018-09-21,41.090000,41.090000,40.090000,40.139999,34.881435,702900
2018-09-24,40.150002,40.150002,39.299999,39.590000,34.403492,239300
2018-09-25,39.639999,39.700001,38.000000,39.580002,34.394806,192600
2018-09-26,39.669998,39.770000,38.869999,38.939999,33.838642,145600
2018-09-27,39.020000,39.049999,38.330002,38.419998,33.386757,187300
2018-09-28,38.340000,38.799999,37.650002,38.529999,33.482346,432700
2018-10-01,38.610001,38.860001,38.000000,38.139999,33.143440,235400
2018-10-02,38.150002,38.340000,37.520000,37.799999,32.847980,145400
2018-10-03,38.009998,39.049999,37.939999,38.959999,33.856022,219800
2018-10-04,38.959999,39.570000,38.639999,38.919998,33.821262,241000
2018-10-05,38.400002,38.400002,37.299999,38.320000,33.299854,874400
2018-10-08,37.939999,39.080002,37.939999,38.919998,33.821262,402300
2018-10-09,38.790001,39.360001,38.439999,38.970001,33.864708,433700
2018-10-10,39.150002,39.340000,38.490002,38.509998,33.464977,406900
2018-10-11,38.320000,38.880001,37.340000,37.369999,32.474319,422500
2018-10-12,37.220001,37.840000,35.209999,36.070000,31.344627,496700
2018-10-15,36.020000,36.599998,35.750000,36.180000,31.440220,286700
2018-10-16,36.340000,37.259998,35.549999,36.200001,31.457596,344000
2018-10-17,35.099998,36.230000,34.599998,35.650002,30.979649,825200
2018-10-18,35.660000,36.150002,34.770000,35.330002,30.701572,676200
2018-10-19,35.119999,35.290001,34.099998,34.119999,29.650089,465100
2018-10-22,34.070000,34.279999,33.119999,33.270000,28.911442,472700
2018-10-23,32.910000,33.770000,32.560001,33.490002,29.102625,714400
2018-10-24,33.549999,34.080002,32.040001,32.090000,27.886028,299600
2018-10-25,32.360001,33.279999,32.080002,33.000000,28.676817,753100
2018-10-26,32.689999,33.570000,32.299999,33.270000,28.911442,319200
2018-10-29,33.619999,34.430000,32.200001,33.369999,28.998341,726200
2018-10-30,33.509998,33.849998,33.349998,33.700001,29.285112,341100
2018-10-31,33.889999,34.520000,33.759998,34.139999,29.667473,366700
2018-11-01,34.389999,34.900002,34.240002,34.599998,30.067209,218000
2018-11-02,34.830002,35.169998,34.439999,34.660000,30.119341,246900
2018-11-05,34.689999,34.990002,34.299999,34.770000,30.214939,181100
2018-11-06,34.759998,35.060001,34.490002,34.869999,30.301834,136600
2018-11-07,34.939999,35.130001,34.259998,34.910000,30.336594,275500
2018-11-08,34.599998,35.020000,34.439999,34.970001,30.590273,135700
2018-11-09,34.830002,35.130001,34.169998,34.369999,30.065418,256000
2018-11-12,34.369999,34.610001,33.930000,34.000000,29.741756,214200
2018-11-13,34.150002,34.790001,34.150002,34.480000,30.161640,314800
2018-11-14,34.709999,35.060001,33.439999,33.799999,29.566809,324700
2018-11-15,33.570000,34.419998,33.500000,34.330002,30.030432,326100
2018-11-16,34.220001,34.750000,33.889999,34.720001,30.371586,215800
2018-11-19,34.709999,34.990002,34.049999,34.160000,29.881723,285900
2018-11-20,33.970001,34.509998,33.630001,34.070000,29.802994,412900
2018-11-21,34.130001,34.830002,33.750000,34.220001,29.934208,157100
2018-11-23,34.080002,34.520000,33.740002,34.240002,29.951700,186100
2018-11-26,34.459999,35.060001,34.340000,34.810001,30.450312,290800
2018-11-27,34.599998,34.930000,34.220001,34.389999,30.082918,217700
2018-11-28,34.410000,34.959999,33.880001,34.810001,30.450312,263500
2018-11-29,34.639999,34.950001,34.220001,34.549999,30.222872,373000
2018-11-30,34.439999,35.459999,34.439999,35.400002,30.966431,300800
2018-12-03,35.730000,35.869999,34.439999,34.959999,30.581522,359800
2018-12-04,34.770000,34.790001,32.540001,32.700001,28.604578,352500
2018-12-06,32.250000,32.580002,31.709999,32.529999,28.455866,336500
