Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,9.500000,9.700000,9.450000,9.500000,8.708598,900200
2018-03-29,9.500000,9.750000,9.500000,9.650000,8.846103,1194300
2018-04-02,9.650000,9.730000,9.320000,9.450000,8.662763,2253100
2018-04-03,9.500000,9.600000,9.250000,9.350000,8.571095,2076600
2018-04-04,9.250000,9.700000,9.250000,9.700000,8.891935,2074100
2018-04-05,9.700000,9.800000,9.530000,9.650000,8.846103,947600
2018-04-06,9.600000,9.750000,9.500000,9.700000,8.891935,1397100
2018-04-09,9.750000,9.800000,9.500000,9.600000,8.800268,1028700
2018-04-10,9.700000,9.800000,9.600000,9.650000,8.846103,1133800
2018-04-11,9.550000,9.780000,9.550000,9.600000,8.800268,1647600
2018-04-12,9.650000,9.800000,9.450000,9.550000,8.754435,1869400
2018-04-13,9.600000,9.750000,9.550000,9.650000,8.846103,1972600
2018-04-16,9.750000,9.980000,9.650000,9.900000,9.075276,1547900
2018-04-17,10.000000,10.300000,10.000000,10.250000,9.396118,1695500
2018-04-18,10.200000,10.500000,10.200000,10.450000,9.579459,1426700
2018-04-19,10.400000,10.650000,10.180000,10.200000,9.350286,2400300
2018-04-20,10.250000,10.350000,10.050000,10.050000,9.212781,757300
2018-04-23,10.050000,10.350000,10.050000,10.250000,9.396118,633300
2018-04-24,10.300000,10.350000,10.100000,10.250000,9.396118,1481100
2018-04-25,10.200000,10.500000,10.200000,10.450000,9.579459,968500
2018-04-26,10.450000,10.700000,10.400000,10.550000,9.671128,1067000
2018-04-27,10.600000,10.600000,10.300000,10.400000,9.533624,1257100
2018-04-30,10.450000,10.480000,10.050000,10.150000,9.304449,1547800
2018-05-01,10.150000,10.200000,9.800000,10.100000,9.258616,1425200
2018-05-02,10.050000,10.400000,9.950000,10.200000,9.350286,2190500
2018-05-03,10.250000,10.280000,9.850000,10.050000,9.212781,1363900
2018-05-04,10.100000,10.480000,10.030000,10.400000,9.533624,1419800
2018-05-07,10.450000,10.950000,10.400000,10.600000,9.716963,3342000
2018-05-08,9.900000,9.900000,8.050000,8.650000,7.929409,10487600
2018-05-09,8.550000,8.590000,7.600000,7.750000,7.104383,7496400
2018-05-10,7.750000,7.950000,7.600000,7.650000,7.012714,3751700
2018-05-11,7.800000,7.800000,7.250000,7.500000,6.875209,4632900
2018-05-14,7.500000,7.550000,7.280000,7.300000,6.691871,3759900
