Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,55.709999,58.259998,55.270000,57.759998,50.300053,1878500
2018-03-29,58.020000,58.090000,57.240002,57.570000,50.134594,904600
2018-04-02,57.560001,58.040001,56.730000,57.040001,49.673046,1281400
2018-04-03,57.369999,57.830002,57.020000,57.509998,50.082340,1042200
2018-04-04,57.180000,58.099998,57.110001,57.990002,50.500351,796800
2018-04-05,58.349998,58.560001,57.709999,58.060001,50.561310,710900
2018-04-06,57.790001,58.130001,57.049999,57.130001,49.751423,959100
2018-04-09,57.340000,58.029999,56.810001,57.689999,50.239094,1656600
2018-04-10,58.270000,58.270000,56.529999,56.740002,49.411793,1495600
2018-04-11,56.560001,57.560001,56.560001,57.470001,50.047504,1098900
2018-04-12,57.639999,57.650002,55.869999,56.470001,49.176666,1229700
2018-04-13,56.740002,57.020000,56.230000,56.439999,49.150536,1241600
2018-04-16,56.500000,56.840000,55.680000,56.650002,49.333412,747500
2018-04-17,56.830002,56.990002,55.720001,55.759998,48.558357,1192200
2018-04-18,55.730000,56.240002,55.330002,55.400002,48.244862,818300
2018-04-19,55.279999,55.939999,55.180000,55.730000,48.532238,730700
2018-04-20,55.910000,56.540001,55.750000,56.480000,49.185371,1004700
2018-04-23,56.790001,57.029999,56.439999,56.480000,49.185371,770100
2018-04-24,56.369999,57.650002,56.369999,57.060001,49.690468,1186900
2018-04-25,56.820000,57.180000,56.299999,56.810001,49.472744,727000
2018-04-26,57.650002,60.689999,57.639999,60.119999,52.355251,2163200
2018-04-27,60.000000,60.450001,58.939999,59.639999,51.937248,1358600
2018-04-30,59.910000,59.990002,58.669998,58.700001,51.118645,976500
2018-05-01,58.849998,58.980000,58.040001,58.639999,51.066395,1100300
2018-05-02,58.459999,58.509998,57.439999,57.490002,50.064922,918600
2018-05-03,57.150002,57.150002,56.000000,56.580002,49.272453,1777500
2018-05-04,56.680000,57.459999,56.450001,57.139999,49.760132,794500
2018-05-07,57.150002,58.259998,56.990002,57.840000,50.369717,758100
2018-05-08,57.750000,57.970001,57.419998,57.779999,50.317471,572700
2018-05-09,57.750000,57.860001,57.250000,57.590000,50.152012,691700
2018-05-10,57.580002,57.730000,57.200001,57.570000,50.134594,571000
2018-05-11,57.459999,57.950001,57.310001,57.500000,50.073639,468300
2018-05-14,57.450001,57.509998,56.759998,56.820000,49.481457,500100
2018-05-15,57.029999,58.580002,56.970001,58.169998,50.657093,1160900
2018-05-16,58.299999,58.880001,58.139999,58.540001,50.979305,635400
2018-05-17,58.299999,58.320000,57.650002,57.980000,50.491631,429200
2018-05-18,57.959999,58.009998,57.630001,57.790001,50.326180,291200
2018-05-21,57.849998,58.389999,57.799999,58.389999,50.848694,416900
2018-05-22,58.410000,58.410000,57.700001,57.830002,50.361023,738700
2018-05-23,57.779999,57.910000,57.080002,57.299999,49.899460,395300
2018-05-24,57.380001,57.660000,57.000000,57.540001,50.108467,409600
2018-05-25,57.270000,57.799999,57.270000,57.509998,50.082340,376400
2018-05-29,57.240002,57.549999,57.080002,57.400002,49.986546,752900
2018-05-30,57.619999,57.770000,57.180000,57.560001,50.125885,477000
2018-05-31,57.340000,57.529999,56.639999,56.849998,49.507587,902600
2018-06-01,57.230000,57.599998,56.970001,57.119999,49.742714,481900
2018-06-04,57.080002,57.610001,57.060001,57.419998,50.003960,355800
2018-06-05,57.310001,57.450001,57.099998,57.389999,49.977840,360000
2018-06-06,57.410000,57.869999,57.189999,57.820000,50.352299,313500
2018-06-07,57.990002,58.000000,57.570000,57.910000,50.430691,432900
2018-06-08,57.889999,58.049999,57.590000,57.939999,50.456802,369100
2018-06-11,58.049999,58.340000,57.360001,57.439999,50.021378,326800
2018-06-12,57.450001,57.580002,56.779999,57.040001,49.673046,430100
2018-06-13,57.189999,57.340000,56.790001,56.799999,49.464046,392600
2018-06-14,56.660000,56.680000,56.090000,56.650002,49.333412,440800
2018-06-15,56.529999,56.830002,56.160000,56.549999,49.246319,758500
2018-06-18,56.290001,56.680000,55.950001,56.549999,49.246319,482700
2018-06-19,56.279999,57.090000,56.279999,56.869999,49.524994,470000
2018-06-20,56.939999,56.990002,56.509998,56.529999,49.228909,303200
2018-06-21,56.330002,56.330002,55.410000,55.520000,48.349354,393900
2018-06-22,55.650002,56.060001,55.630001,55.930000,48.706402,502000
2018-06-25,56.000000,56.250000,55.680000,56.080002,48.837025,365600
2018-06-26,56.099998,56.209999,55.529999,55.750000,48.549648,550400
2018-06-27,55.750000,55.840000,54.639999,54.730000,47.661392,575200
2018-06-28,54.349998,55.700001,54.259998,55.389999,48.582348,543100
2018-06-29,55.570000,56.590000,55.410000,55.619999,48.784077,895400
2018-07-02,55.389999,55.660000,54.740002,55.110001,48.336758,530700
2018-07-03,55.270000,55.860001,54.880001,54.889999,48.143791,342800
2018-07-05,55.169998,55.400002,54.630001,55.360001,48.556034,714800
2018-07-06,55.389999,56.130001,55.020000,55.820000,48.959496,629900
2018-07-09,57.240002,57.549999,56.299999,57.450001,50.389164,864700
2018-07-10,57.500000,58.029999,57.470001,57.730000,50.634747,868000
2018-07-11,57.709999,58.049999,57.610001,57.740002,50.643520,556700
2018-07-12,57.980000,58.380001,57.380001,57.459999,50.397934,351800
2018-07-13,57.509998,57.509998,56.730000,56.889999,49.897987,524500
2018-07-16,56.930000,57.430000,56.660000,57.369999,50.318989,683100
2018-07-17,57.549999,57.779999,57.500000,57.590000,50.511955,361900
2018-07-18,57.580002,58.009998,57.369999,57.810001,50.704922,345600
2018-07-19,57.529999,57.900002,57.400002,57.740002,50.643520,377700
2018-07-20,57.549999,58.119999,57.259998,57.900002,50.783855,693000
2018-07-23,57.910000,58.009998,57.520000,57.990002,50.862793,357900
2018-07-24,58.150002,58.259998,57.619999,57.740002,50.643520,396600
2018-07-25,57.700001,58.000000,57.209999,57.580002,50.503185,586000
2018-07-26,57.500000,57.970001,56.419998,57.340000,50.292686,922200
2018-07-27,57.439999,58.070000,56.410000,56.450001,49.512066,454300
2018-07-30,56.410000,57.009998,56.340000,56.610001,49.652397,503200
2018-07-31,56.900002,56.900002,56.099998,56.560001,49.608543,702000
2018-08-01,56.439999,57.090000,56.320000,56.500000,49.555923,407900
2018-08-02,56.299999,56.610001,55.610001,55.740002,48.889328,404900
2018-08-03,55.610001,55.619999,54.869999,55.290001,48.494633,318400
2018-08-06,55.290001,55.590000,54.590000,54.880001,48.135025,489200
2018-08-07,54.900002,54.980000,54.290001,54.480000,47.784184,408500
2018-08-08,54.450001,54.689999,54.029999,54.540001,47.836819,324900
2018-08-09,54.580002,54.799999,54.290001,54.310001,47.635082,334500
2018-08-10,54.029999,54.570000,53.500000,54.410000,47.722786,513000
2018-08-13,54.310001,54.549999,54.009998,54.230000,47.564911,287100
2018-08-14,54.049999,54.880001,54.000000,54.720001,47.994690,414700
2018-08-15,54.700001,55.430000,54.639999,54.959999,48.205181,312100
2018-08-16,55.009998,56.570000,54.990002,55.830002,48.968266,783000
