Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,27.000000,27.950001,25.000000,27.000000,24.566826,136000
2018-04-24,25.600000,27.510000,25.000000,27.510000,25.030869,101400
2018-04-25,27.510000,27.510000,27.510000,27.510000,25.030869,0
2018-04-26,27.500000,27.500000,25.500000,26.500000,24.111887,84600
2018-04-27,26.500000,26.500000,26.000000,26.059999,23.711535,500
2018-04-30,26.250000,26.250000,25.500000,26.075001,23.725183,2200
2018-05-01,25.496000,26.000000,25.000000,26.000000,23.656942,2300
2018-05-02,25.000000,25.750000,24.000000,25.750000,23.429476,24000
2018-05-03,25.500000,25.500000,25.000000,25.240000,22.965435,23000
2018-05-04,25.340000,25.340000,23.299999,24.990000,22.737967,53900
2018-05-07,24.000000,25.000000,24.000000,25.000000,22.747065,10100
2018-05-08,24.110001,25.000000,24.000000,25.000000,22.747065,10700
2018-05-09,24.500000,25.000000,24.500000,24.969999,22.719767,3400
2018-05-10,25.000000,25.000000,24.990000,25.000000,22.747065,600
2018-05-11,24.750000,24.750000,24.139999,24.650000,22.428604,12500
2018-05-14,24.120001,25.000000,24.010000,25.000000,22.821127,10200
2018-05-15,24.000000,24.920000,24.000000,24.850000,22.684198,8000
2018-05-16,24.690001,24.690001,24.000000,24.379999,22.255159,5200
2018-05-17,24.330000,24.480000,24.040001,24.350000,22.227776,3600
2018-05-18,24.490000,24.889999,24.000000,24.389999,22.264286,17200
2018-05-21,24.389999,24.389999,24.389999,24.389999,22.264286,600
2018-05-22,24.180000,24.500000,23.500000,24.480000,22.346447,20000
2018-05-23,24.340000,24.340000,23.250000,23.990000,21.899151,24700
2018-05-24,23.670000,23.950001,23.150000,23.500000,21.451857,32100
2018-05-25,23.299999,23.690001,23.100000,23.400000,21.360573,25800
2018-05-29,23.110001,23.400000,23.100000,23.350000,21.314932,8300
2018-05-30,23.100000,23.490000,23.100000,23.490000,21.442726,21900
2018-05-31,23.250000,23.500000,23.219999,23.420000,21.378828,45500
2018-06-01,23.450001,24.000000,23.405001,23.920000,21.835251,27600
2018-06-04,23.510000,24.990000,23.510000,24.270000,22.154749,51700
2018-06-05,25.000000,25.900000,24.500000,24.719999,22.565527,173000
2018-06-06,24.780001,24.950001,24.622000,24.930000,22.757227,97100
2018-06-07,24.940001,24.950001,24.309999,24.549999,22.410345,60600
2018-06-08,24.750000,24.850000,24.395000,24.530001,22.392088,33800
2018-06-11,24.690001,25.040001,24.520000,24.850000,22.684198,83300
2018-06-12,24.950001,25.250000,24.500000,24.610001,22.465118,64500
2018-06-13,24.900000,25.180000,24.820000,25.040001,22.857639,120100
2018-06-14,25.049999,25.180000,24.825001,25.090000,22.903278,126800
2018-06-15,25.330000,25.330000,24.514999,25.190001,22.994570,106200
2018-06-18,25.370001,26.799999,24.270000,26.129999,23.852644,165900
2018-06-19,25.830000,26.350000,25.320000,25.809999,23.560530,107100
2018-06-20,26.000000,26.530001,25.549999,26.299999,24.007830,82800
2018-06-21,26.110001,26.250000,25.465000,26.139999,23.861771,45500
2018-06-22,25.850000,27.389999,25.809999,26.719999,24.391216,1252300
2018-06-25,26.450001,27.889999,26.330000,26.530001,24.217781,60300
2018-06-26,26.719999,26.740000,25.608000,26.000000,23.733969,72600
2018-06-27,25.950001,27.000000,25.950001,26.600000,24.281677,66800
2018-06-28,26.469999,26.889999,25.799999,26.680000,24.354708,76600
2018-06-29,26.061001,26.670000,26.061001,26.350000,24.053465,16400
2018-07-02,26.150000,26.250000,25.760000,25.799999,23.551401,25100
2018-07-03,25.799999,25.799999,25.600000,25.680000,23.441860,13900
2018-07-05,25.799999,27.660000,25.410000,26.250000,23.962179,41200
2018-07-06,26.320000,26.510000,24.139999,25.150000,22.958052,63200
2018-07-09,25.180000,25.750000,25.090000,25.400000,23.186264,16500
2018-07-10,25.309999,25.450001,24.940001,25.100000,22.912411,29700
2018-07-11,25.209999,25.520000,24.900000,25.000000,22.821127,35200
