Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,8.553055,8.707395,8.495177,8.572347,6.947298,3236111
2018-03-29,8.636656,8.681672,8.527331,8.649518,7.009841,2618309
2018-04-02,8.649518,8.700965,8.347267,8.366559,6.780523,2820304
2018-04-03,8.411576,8.475884,8.327974,8.463023,6.858699,2297202
2018-04-04,8.366559,8.617363,8.340836,8.585209,6.957722,3316504
2018-04-05,8.636656,8.681672,8.540193,8.643087,7.004631,2751884
2018-04-06,8.598071,8.745981,8.405145,8.463023,6.858699,2740221
2018-04-09,8.488746,8.604502,8.437299,8.469453,6.863909,4351512
2018-04-10,8.585209,8.668810,8.533762,8.623794,6.988993,2558753
2018-04-11,8.578778,8.694534,8.482315,8.527331,6.910818,2038139
2018-04-12,8.553055,8.630225,8.514469,8.578778,6.952512,2183842
2018-04-13,8.649518,8.681672,8.514469,8.572347,6.947298,1993977
2018-04-16,8.617363,8.643087,8.553055,8.610932,6.978570,1985580
2018-04-17,8.643087,8.855305,8.578778,8.765273,7.103653,2006417
2018-04-18,8.803859,8.900322,8.758842,8.823151,7.150558,2478670
2018-04-19,8.803859,8.996785,8.784566,8.932476,7.239159,2866798
2018-04-20,8.913183,8.913183,8.778135,8.790997,7.124500,2191462
2018-04-23,8.790997,8.881029,8.720257,8.790997,7.124500,1824482
2018-04-24,8.829582,8.842444,8.598071,8.636656,6.999417,2046380
2018-04-25,8.643087,8.681672,8.533762,8.591640,6.962933,1695883
2018-04-26,8.598071,8.752412,8.520900,8.726688,7.072382,2036273
2018-04-27,8.752412,8.758842,8.649518,8.662379,7.020264,2066751
2018-04-30,8.694534,8.752412,8.585209,8.591640,6.962933,1814996
2018-05-01,8.559486,8.649518,8.546624,8.610932,6.978570,1814219
2018-05-02,8.617363,8.655949,8.508039,8.540193,6.921240,2653297
2018-05-03,8.475884,8.585209,8.302251,8.340836,6.759674,2789515
2018-05-04,8.231511,8.385852,7.787781,7.845659,6.358369,5645583
2018-05-07,7.858521,7.897106,7.723473,7.839228,6.353157,4962316
2018-05-08,7.819936,7.967846,7.800643,7.903537,6.405274,4592848
2018-05-09,7.942122,7.974277,7.839228,7.935691,6.431333,5551817
2018-05-10,7.922830,7.967846,7.839228,7.909968,6.410485,4401583
2018-05-11,7.916399,7.961415,7.717042,7.813505,6.332310,3248240
2018-05-14,7.813505,7.845659,7.749196,7.800643,6.321886,6069321
2018-05-15,7.781350,7.794212,7.684887,7.749196,6.280192,7515626
2018-05-16,7.755627,7.864952,7.736334,7.819936,6.337522,6698474
2018-05-17,7.826367,7.954984,7.800643,7.884244,6.389639,5351066
2018-05-18,7.774920,7.903537,7.762058,7.871383,6.474270,5008033
2018-05-21,7.877814,7.942122,7.845659,7.877814,6.479560,3184018
2018-05-22,7.877814,7.890675,7.736334,7.749196,6.373771,4134745
2018-05-23,7.742765,7.787781,7.672026,7.717042,6.347324,2566683
2018-05-24,7.691318,7.697749,7.594855,7.659164,6.299719,2642101
2018-05-25,7.633441,7.729904,7.594855,7.607717,6.257403,1861024
2018-05-29,7.562701,7.569132,7.363344,7.440514,6.119877,3166447
2018-05-30,7.491961,7.536977,7.434084,7.472669,6.146326,3434684
2018-05-31,7.427653,7.504823,7.363344,7.369775,6.061694,7070896
2018-06-01,7.401929,7.427653,7.344051,7.356913,6.051116,2968340
2018-06-04,7.401929,7.427653,7.202572,7.215434,5.934749,4358199
2018-06-05,7.221865,7.260450,7.061093,7.131833,5.865985,7166373
2018-06-06,7.163987,7.221865,7.073955,7.202572,5.924168,4520852
2018-06-07,6.861736,7.376206,6.848875,7.324759,6.024668,7195607
2018-06-08,7.311897,7.427653,7.221865,7.401929,6.088141,4326477
2018-06-11,7.427653,7.800643,7.401929,7.665595,6.305008,12024971
2018-06-12,7.652733,7.717042,7.581994,7.633441,6.278562,6075230
2018-06-13,7.607717,7.684887,7.562701,7.581994,6.236246,5290110
2018-06-14,7.909968,7.909968,7.562701,7.639871,6.283851,5410312
2018-06-15,7.633441,7.678457,7.536977,7.588424,6.241534,4729222
2018-06-18,7.575563,7.575563,7.453376,7.517685,6.183351,3822035
2018-06-19,7.459807,7.485531,7.382637,7.453376,6.130457,4525672
2018-06-20,7.504823,8.051447,7.491961,7.980707,6.564190,7286264
2018-06-21,8.012862,8.263666,7.974277,8.128617,6.685849,5860018
2018-06-22,8.173633,8.263666,7.858521,7.877814,6.479560,10336085
2018-06-25,7.813505,7.826367,7.614148,7.614148,6.262693,4708851
2018-06-26,7.620579,7.633441,7.491961,7.491961,6.162194,2656562
2018-06-27,7.524116,7.530547,7.331190,7.337621,6.035248,3445258
2018-06-28,7.318328,7.369775,7.183280,7.260450,5.971774,3381503
2018-06-29,7.292605,7.472669,7.254019,7.279743,5.987643,2536361
2018-07-02,7.221865,7.401929,7.176849,7.337621,6.035248,2683153
2018-07-03,7.369775,7.453376,7.324759,7.337621,6.035248,1806288
2018-07-05,7.337621,7.337621,7.202572,7.273312,5.982353,3353358
2018-07-06,7.254019,7.337621,7.151125,7.266881,5.977064,3492686
2018-07-09,7.318328,7.382637,7.279743,7.337621,6.035248,2306376
2018-07-10,7.331190,7.356913,7.176849,7.234727,5.950616,3430952
2018-07-11,7.170418,7.254019,7.157556,7.221865,5.940039,3515544
2018-07-12,7.260450,7.260450,7.151125,7.170418,5.897722,1561065
2018-07-13,7.196141,7.266881,7.106109,7.170418,5.897722,2299223
2018-07-16,7.189711,7.215434,7.093248,7.118971,5.855406,2832899
2018-07-17,7.093248,7.196141,7.080386,7.118971,5.855406,6789130
2018-07-18,7.144695,7.209003,7.106109,7.170418,5.897722,2775053
2018-07-19,7.131833,7.189711,7.086817,7.144695,5.876565,3240465
2018-07-20,7.106109,7.151125,7.035370,7.073955,5.818381,2288805
2018-07-23,7.054662,7.106109,6.964630,7.073955,5.818381,2569793
2018-07-24,7.118971,7.209003,6.971061,7.022508,5.776065,2428444
2018-07-25,6.996785,7.016077,6.874598,6.990354,5.749618,3339518
2018-07-26,6.996785,7.041801,6.945338,6.951768,5.717881,1857914
2018-07-27,6.945338,6.977492,6.861736,6.913183,5.686144,2102516
2018-07-30,6.913183,6.938907,6.681672,6.803859,5.596224,5092781
2018-07-31,6.855305,6.919614,6.803859,6.906752,5.680854,2933041
2018-08-01,6.919614,7.112540,6.913183,7.035370,5.786642,4773850
2018-08-02,7.395498,7.434084,6.913183,7.131833,5.865985,5680882
2018-08-03,7.131833,7.356913,7.054662,7.176849,5.903011,3676487
2018-08-06,7.209003,7.286174,7.118971,7.138264,5.871274,2412583
2018-08-07,7.157556,7.209003,7.099678,7.106109,5.844827,2295491
2018-08-08,7.112540,7.118971,7.009646,7.073955,5.818381,1724651
2018-08-09,7.067524,7.189711,7.041801,7.138264,5.871274,2177622
2018-08-10,7.118971,7.228296,7.061093,7.196141,5.918878,3434995
2018-08-13,7.189711,7.363344,7.183280,7.260450,5.971774,3788291
2018-08-14,7.292605,7.530547,7.286174,7.382637,6.072273,4097114
2018-08-15,7.356913,7.401929,7.163987,7.299035,6.003511,3577900
2018-08-16,7.344051,7.414791,7.337621,7.395498,6.082852,3251661
2018-08-17,7.241158,7.434084,7.241158,7.421222,6.201071,3392077
2018-08-20,7.408360,7.536977,7.401929,7.511254,6.276300,3983288
2018-08-21,7.491961,7.659164,7.434084,7.588424,6.340782,4415267
2018-08-22,7.562701,7.652733,7.543408,7.588424,6.340782,2875351
2018-08-23,7.569132,7.607717,7.479100,7.549839,6.308541,2365777
2018-08-24,7.594855,7.652733,7.543408,7.633441,6.378398,1892591
2018-08-27,7.678457,7.845659,7.652733,7.794212,6.512736,3577900
2018-08-28,7.807074,7.916399,7.774920,7.832797,6.544977,3481334
2018-08-29,7.852090,7.897106,7.774920,7.890675,6.593339,2697614
2018-08-30,7.897106,8.051447,7.864952,8.032154,6.711558,4442480
2018-08-31,7.993569,8.135048,7.967846,7.987138,6.673942,3268610
2018-09-04,8.000000,8.083601,7.948553,8.012862,6.695437,2243399
2018-09-05,8.012862,8.083601,7.916399,8.012862,6.695437,3011569
2018-09-06,8.019293,8.045016,7.813505,7.858521,6.566471,3124306
2018-09-07,7.858521,7.948553,7.807074,7.819936,6.534231,1718431
2018-09-10,7.826367,7.832797,7.717042,7.736334,6.464374,1924935
2018-09-11,7.691318,7.742765,7.601286,7.646302,6.389144,2147922
2018-09-12,7.659164,7.659164,7.498392,7.556270,6.313916,2442750
2018-09-13,7.562701,7.665595,7.549839,7.581994,6.335410,2768056
2018-09-14,7.607717,7.749196,7.607717,7.672026,6.410640,1743000
2018-09-17,7.652733,7.665595,7.517685,7.543408,6.303167,2121953
2018-09-18,7.536977,7.807074,7.536977,7.717042,6.448254,3894809
2018-09-19,7.704180,7.781350,7.581994,7.594855,6.346155,1943595
2018-09-20,7.601286,7.704180,7.581994,7.588424,6.340782,3467028
2018-09-21,7.588424,7.614148,7.479100,7.491961,6.260180,7078049
2018-09-24,7.466238,7.466238,7.344051,7.446945,6.222564,2868042
2018-09-25,7.485531,7.530547,7.395498,7.440514,6.217191,2565906
2018-09-26,7.434084,7.562701,7.369775,7.395498,6.179576,2248219
2018-09-27,7.440514,7.729904,7.440514,7.614148,6.362277,3913158
2018-09-28,7.601286,7.672026,7.569132,7.601286,6.351530,3782227
2018-10-01,7.627010,7.691318,7.491961,7.491961,6.260180,2509926
2018-10-02,7.440514,7.543408,7.395498,7.459807,6.233312,2863533
2018-10-03,7.491961,7.614148,7.479100,7.543408,6.303167,1915605
2018-10-04,7.530547,7.575563,7.408360,7.504823,6.270926,2259260
2018-10-05,7.536977,7.536977,7.408360,7.485531,6.254806,1959767
2018-10-08,7.459807,7.498392,7.376206,7.421222,6.201071,1771612
2018-10-09,7.401929,7.466238,7.305466,7.344051,6.136588,2371220
2018-10-10,7.331190,7.344051,7.093248,7.099678,5.932393,2703990
2018-10-11,7.073955,7.086817,6.887460,6.926045,5.787308,2877217
2018-10-12,7.048232,7.118971,6.926045,7.003215,5.851790,2448659
2018-10-15,6.977492,7.086817,6.938907,7.003215,5.851790,1837699
2018-10-16,7.041801,7.215434,7.016077,7.209003,6.023744,2644589
2018-10-17,7.209003,7.279743,7.106109,7.209003,6.023744,2317261
2018-10-18,7.202572,7.228296,7.009646,7.035370,5.878656,2970828
2018-10-19,7.061093,7.112540,6.913183,6.977492,5.830296,2229404
2018-10-22,6.983923,7.003215,6.823151,6.848875,5.722825,2652519
2018-10-23,6.765273,6.855305,6.604502,6.797428,5.679838,2736489
2018-10-24,6.797428,6.810289,6.572347,6.585209,5.502510,4883167
2018-10-25,6.778135,7.138264,6.482315,7.067524,5.905526,6805924
2018-10-26,6.958199,7.209003,6.900322,7.093248,5.927020,3936638
2018-10-29,7.144695,7.260450,6.694534,6.765273,5.652968,3411204
2018-10-30,6.771704,6.900322,6.720257,6.855305,5.728198,2684863
2018-10-31,6.945338,7.022508,6.790997,6.810289,5.690583,3071125
2018-11-01,6.919614,7.022508,6.868167,6.945338,5.803429,3162093
2018-11-02,7.016077,7.112540,6.913183,6.945338,5.803429,2839430
2018-11-05,6.938907,7.209003,6.919614,7.189711,6.007624,3207965
2018-11-06,7.048232,7.183280,7.003215,7.086817,6.018547,2838342
2018-11-07,7.125402,7.202572,7.061093,7.183280,6.100470,4289468
2018-11-08,7.183280,7.350482,7.131833,7.331190,6.226083,2228782
2018-11-09,7.266881,7.286174,7.067524,7.118971,6.045853,2641168
2018-11-12,7.093248,7.112540,6.861736,6.893891,5.854702,3558151
2018-11-13,6.958199,7.073955,6.739550,6.739550,5.723628,4381368
2018-11-14,6.778135,6.823151,6.630225,6.707395,5.696319,3614442
2018-11-15,6.675241,6.855305,6.617363,6.848875,5.816472,3693903
2018-11-16,7.073955,7.073955,6.848875,7.003215,5.947546,3243886
2018-11-19,6.996785,7.028939,6.675241,6.688103,5.679934,4927795
2018-11-20,6.610932,6.662379,6.469453,6.495177,5.516090,4939769
2018-11-21,6.527331,6.668810,6.501608,6.623794,5.625320,2347584
2018-11-23,6.565916,6.720257,6.565916,6.662379,5.658088,635995
2018-11-26,6.720257,6.803859,6.585209,6.636656,5.636242,3512434
2018-11-27,6.636656,6.784566,6.527331,6.733119,5.718164,4307039
2018-11-28,6.745981,6.810289,6.553055,6.790997,5.767317,4947077
2018-11-29,6.765273,6.784566,6.591640,6.733119,5.718164,5430060
2018-11-30,6.662379,6.816720,6.630225,6.778135,5.756395,5489150
2018-12-03,7.200000,7.240000,6.480000,6.500000,5.520186,8504800
2018-12-04,6.610000,6.760000,6.330000,6.340000,5.384305,7890100
2018-12-06,6.270000,6.430000,6.040000,6.420000,5.452247,6266400
2018-12-07,6.360000,6.450000,6.090000,6.150000,5.222946,4953900
2018-12-10,6.140000,6.180000,5.960000,6.030000,5.121034,3125600
2018-12-11,6.070000,6.180000,5.780000,5.850000,4.968168,4294300
2018-12-12,5.920000,6.070000,5.860000,5.860000,4.976661,4057900
2018-12-13,5.890000,5.890000,5.670000,5.700000,4.840778,4228100
2018-12-14,5.620000,5.750000,5.570000,5.600000,4.755853,3239600
2018-12-17,5.520000,5.750000,5.500000,5.550000,4.713391,3592300
2018-12-18,5.570000,5.660000,5.400000,5.490000,4.662434,4332000
2018-12-19,5.440000,5.590000,5.250000,5.280000,4.484090,3824100
2018-12-20,5.400000,5.490000,5.180000,5.240000,4.450119,3523800
2018-12-21,5.230000,5.300000,5.040000,5.140000,4.365194,6259400
2018-12-24,5.090000,5.200000,5.060000,5.170000,4.390672,1968600
2018-12-26,5.210000,5.450000,5.070000,5.420000,4.602986,4729200
2018-12-27,5.340000,5.360000,5.090000,5.240000,4.450119,5788900
2018-12-28,5.260000,5.310000,5.090000,5.200000,4.416149,4252500
2018-12-31,5.210000,5.290000,5.090000,5.170000,4.390672,3904600
2019-01-02,5.080000,5.380000,4.930000,5.330000,4.526553,3757400
2019-01-03,5.300000,5.460000,5.230000,5.270000,4.475597,3291300
2019-01-04,5.350000,5.710000,5.310000,5.630000,4.781330,4017100
2019-01-07,5.610000,5.800000,5.520000,5.700000,4.840778,3208300
2019-01-08,5.730000,5.990000,5.670000,5.970000,5.070080,4540000
2019-01-09,5.960000,6.100000,5.910000,6.000000,5.095557,4594400
2019-01-10,5.960000,6.190000,5.870000,6.170000,5.239931,2573800
2019-01-11,6.120000,6.270000,6.050000,6.110000,5.188976,2132100
2019-01-14,6.080000,6.150000,6.020000,6.050000,5.138020,2207700
2019-01-15,6.080000,6.120000,5.900000,6.090000,5.171990,2940000
2019-01-16,6.140000,6.270000,6.110000,6.180000,5.248424,2288000
2019-01-17,6.150000,6.330000,6.080000,6.260000,5.316365,1848600
2019-01-18,6.310000,6.410000,6.260000,6.340000,5.384305,1797700
2019-01-22,6.290000,6.330000,6.180000,6.220000,5.282394,2357400
2019-01-23,6.270000,6.300000,6.040000,6.130000,5.205960,2019700
2019-01-24,6.130000,6.260000,6.100000,6.200000,5.265410,1220600
2019-01-25,6.200000,6.260000,6.130000,6.220000,5.282394,1332900
2019-01-28,6.170000,6.270000,6.120000,6.220000,5.282394,1353800
2019-01-29,6.200000,6.220000,6.100000,6.150000,5.222946,1034400
2019-01-30,6.170000,6.190000,6.050000,6.130000,5.205960,1537200
