Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,37.700001,38.450001,37.500000,38.150002,33.157440,164900
2018-03-29,38.250000,38.599998,37.900002,37.950001,32.983620,201300
2018-04-02,37.750000,38.099998,37.049999,37.400002,32.505596,147000
2018-04-03,37.549999,38.000000,37.349998,38.000000,33.027077,191200
2018-04-04,37.650002,38.349998,37.549999,38.250000,33.244354,124700
2018-04-05,38.450001,38.450001,37.950001,38.299999,33.287815,103400
2018-04-06,38.049999,38.250000,37.150002,37.400002,32.505596,166500
2018-04-09,37.549999,38.150002,37.349998,37.450001,32.549046,148400
2018-04-10,37.799999,38.099998,37.450001,37.950001,32.983620,93300
2018-04-11,37.700001,38.000000,37.500000,38.000000,33.027077,90100
2018-04-12,38.150002,38.700001,38.000000,38.400002,33.374722,133200
2018-04-13,38.650002,38.650002,37.900002,38.049999,33.070522,82800
2018-04-16,38.250000,38.500000,38.000000,38.349998,33.331276,77000
2018-04-17,38.599998,38.599998,37.700001,38.049999,33.070522,134100
2018-04-18,38.150002,38.400002,37.900002,37.950001,32.983620,98000
2018-04-19,37.849998,38.450001,37.849998,38.299999,33.287815,82700
2018-04-20,38.250000,38.750000,38.250000,38.650002,33.592010,141800
2018-04-23,38.650002,39.099998,38.599998,39.049999,33.939671,86200
2018-04-24,38.900002,39.549999,38.529999,38.599998,33.548553,140700
2018-04-25,38.900002,39.099998,38.500000,38.549999,33.505096,190100
2018-04-26,38.450001,38.700001,38.099998,38.250000,33.244354,151700
2018-04-27,38.250000,38.700001,38.250000,38.450001,33.418190,185900
2018-04-30,38.500000,38.599998,37.950001,37.950001,32.983620,98400
2018-05-01,37.900002,38.279999,37.450001,38.049999,33.070522,142200
2018-05-02,38.099998,38.299999,37.849998,37.950001,32.983620,170900
2018-05-03,37.799999,38.000000,37.299999,37.700001,32.766331,126300
2018-05-04,37.549999,38.500000,37.400002,38.150002,33.157440,99600
2018-05-07,38.150002,38.349998,37.849998,38.099998,33.113991,95800
2018-05-08,38.099998,38.549999,38.099998,38.549999,33.505096,168100
2018-05-09,38.400002,38.750000,38.150002,38.450001,33.609985,101600
2018-05-10,38.500000,38.549999,38.150002,38.299999,33.478874,101500
2018-05-11,38.250000,38.400002,38.150002,38.150002,33.347744,92400
2018-05-14,38.250000,38.349998,37.950001,38.049999,33.260334,108500
2018-05-15,38.000000,38.450001,38.000000,38.150002,33.347744,225600
2018-05-16,38.200001,38.450001,38.000000,38.200001,33.391460,228900
2018-05-17,38.349998,39.049999,38.200001,39.049999,34.134464,204600
2018-05-18,39.250000,39.250000,38.650002,38.799999,33.915936,119300
2018-05-21,38.799999,39.450001,38.799999,39.400002,34.440403,127000
2018-05-22,39.400002,40.000000,39.400002,39.549999,34.571514,122200
2018-05-23,39.500000,39.799999,39.400002,39.650002,34.658939,97200
2018-05-24,39.599998,39.650002,38.950001,39.549999,34.571514,75800
2018-05-25,39.450001,39.700001,39.349998,39.599998,34.615227,64800
2018-05-29,39.250000,39.349998,38.700001,38.950001,34.047050,104100
2018-05-30,39.299999,39.919998,38.900002,39.700001,34.702621,118900
2018-05-31,39.650002,39.799999,39.200001,39.299999,34.352993,165000
2018-06-01,39.650002,39.900002,39.500000,39.799999,34.790054,126400
2018-06-04,39.799999,40.450001,39.650002,40.250000,35.183411,171500
2018-06-05,40.250000,40.450001,39.950001,40.349998,35.270813,128000
2018-06-06,40.349998,40.799999,40.349998,40.750000,35.620464,136200
2018-06-07,43.700001,44.099998,43.299999,43.549999,38.068001,2424700
2018-06-08,42.799999,43.849998,41.950001,43.000000,37.587242,7068600
2018-06-11,42.799999,43.000000,42.450001,42.849998,37.456120,942900
2018-06-12,42.150002,42.650002,42.099998,42.349998,37.019066,649500
2018-06-13,42.250000,42.549999,41.950001,42.200001,36.887955,517700
2018-06-14,42.099998,42.150002,41.549999,41.849998,36.581993,581800
2018-06-15,41.599998,41.799999,41.150002,41.400002,36.188652,936100
2018-06-18,41.299999,41.799999,41.099998,41.750000,36.494591,270500
2018-06-19,41.500000,42.500000,41.450001,42.500000,37.150177,412000
2018-06-20,42.500000,43.049999,42.400002,43.000000,37.587242,393400
2018-06-21,42.900002,43.029999,42.450001,42.849998,37.456120,260900
2018-06-22,42.900002,43.049999,42.150002,42.799999,37.412415,717200
2018-06-25,42.599998,42.849998,42.250000,42.400002,37.062771,236200
2018-06-26,42.400002,42.650002,42.000000,42.400002,37.062771,297700
2018-06-27,42.299999,42.400002,41.299999,41.400002,36.188652,445400
2018-06-28,41.400002,41.599998,40.750000,41.000000,35.838993,508400
2018-06-29,41.450001,41.450001,40.549999,40.599998,35.489342,289300
2018-07-02,40.299999,40.750000,40.000000,40.700001,35.576759,304300
2018-07-03,40.950001,41.000000,40.650002,40.849998,35.707870,105800
2018-07-05,40.950001,41.200001,40.650002,41.200001,36.013824,262100
2018-07-06,41.349998,41.950001,41.000000,41.549999,36.319767,233600
2018-07-09,41.500000,42.000000,41.500000,41.950001,36.669415,195600
2018-07-10,42.099998,42.099998,41.380001,41.549999,36.319767,168800
2018-07-11,41.349998,41.549999,40.900002,41.200001,36.013824,288300
2018-07-12,41.549999,41.549999,40.500000,41.000000,35.838993,238200
2018-07-13,41.000000,41.150002,40.400002,40.500000,35.401936,432200
2018-07-16,40.650002,40.750000,40.299999,40.500000,35.401936,388900
2018-07-17,40.549999,40.950001,40.549999,40.650002,35.533054,150800
2018-07-18,40.700001,40.849998,40.349998,40.799999,35.664181,440300
2018-07-19,41.799999,44.250000,40.250000,40.950001,35.795296,452200
2018-07-20,40.950001,41.549999,40.200001,41.450001,36.232349,409900
2018-07-23,40.799999,42.150002,40.750000,41.900002,36.625702,340600
2018-07-24,41.799999,41.900002,41.000000,41.049999,35.882706,234600
2018-07-25,40.950001,41.000000,40.549999,40.849998,35.707870,188400
2018-07-26,40.900002,41.450001,40.900002,41.150002,35.970116,157200
2018-07-27,41.250000,41.250000,40.450001,40.549999,35.445641,154200
2018-07-30,40.549999,40.950001,40.450001,40.599998,35.489342,186300
2018-07-31,40.849998,40.849998,40.150002,40.599998,35.489342,203300
2018-08-01,40.799999,41.099998,40.599998,41.000000,35.838993,122500
2018-08-02,40.950001,41.500000,40.750000,41.400002,36.188652,126400
2018-08-03,41.500000,41.700001,40.849998,40.900002,35.751583,110200
2018-08-06,40.950001,41.150002,40.750000,40.900002,35.751583,116300
