Date,Open,High,Low,Close,Adj Close,Volume
2021-11-03,16.139999,17.129999,16.139999,17.000000,15.112710,3241700
2021-11-04,16.830000,17.290001,16.530001,17.000000,15.112710,681600
2021-11-05,16.950001,17.719999,16.850000,17.040001,15.148272,334300
2021-11-08,17.020000,17.150000,16.940001,16.950001,15.068263,239300
2021-11-09,17.000000,17.059999,16.379999,16.950001,15.068263,374500
2021-11-10,16.950001,17.256001,16.840000,16.950001,15.068263,241000
2021-11-11,16.950001,17.010000,16.504999,16.639999,14.792676,158500
2021-11-12,16.570000,16.950001,16.549999,16.600000,14.757118,91200
2021-11-15,16.549999,17.420000,16.549999,17.040001,15.148272,255300
2021-11-16,16.850000,17.139999,16.799999,17.049999,15.157159,129200
2021-11-17,17.000000,17.500000,16.799999,17.420000,15.486084,149200
2021-11-18,17.400000,18.000000,17.270000,17.850000,15.868348,141900
2021-11-19,17.700001,17.950001,17.400000,17.549999,15.601651,93000
2021-11-22,17.500000,17.830000,17.500000,17.530001,15.583872,91700
2021-11-23,17.400000,17.549999,17.200001,17.340000,15.414966,51200
2021-11-24,17.299999,18.000000,16.940001,17.040001,15.148272,122600
2021-11-26,16.889999,17.920000,16.780001,17.059999,15.166049,33000
2021-11-29,16.860001,17.700001,16.500000,16.900000,15.023813,175400
2021-11-30,17.000000,17.160000,16.920000,17.059999,15.166049,144800
2021-12-01,17.059999,17.480000,17.049999,17.400000,15.468304,138000
2021-12-02,17.299999,18.365000,17.299999,18.320000,16.286167,89300
2021-12-03,18.320000,18.590000,17.650000,18.350000,16.312840,91800
2021-12-06,18.299999,18.325001,17.430000,17.600000,15.646100,96600
2021-12-07,17.549999,17.840000,17.110001,17.110001,15.210500,51500
2021-12-08,17.110001,17.299999,16.889999,16.940001,15.059373,59200
2021-12-09,16.700001,17.129999,16.700001,16.790001,14.926025,40300
2021-12-10,17.020000,17.400000,16.850000,17.209999,15.299397,51300
2021-12-13,17.299999,17.330000,16.370001,16.450001,14.623771,72600
2021-12-14,16.200001,16.900000,16.200001,16.570000,14.730448,42600
2021-12-15,16.700001,17.200001,14.960000,15.500000,13.779237,158600
2021-12-16,15.500000,16.368000,15.500000,16.110001,14.321517,197300
2021-12-17,16.150000,17.510000,16.049999,16.770000,14.908245,129600
2021-12-20,16.430000,17.056999,15.960000,15.960000,14.188169,85400
2021-12-21,16.420000,16.879999,16.100000,16.100000,14.312627,63800
2021-12-22,16.358999,16.358999,15.900000,16.080000,14.294847,61300
2021-12-23,15.910000,16.290001,15.910000,16.180000,14.383745,27000
2021-12-27,16.000000,16.459999,15.900000,16.150000,14.357076,116600
2021-12-28,16.150000,16.450001,16.150000,16.180000,14.383745,37800
2021-12-29,16.180000,16.440001,15.720000,16.000000,14.223727,84900
2021-12-30,15.750000,16.059999,15.560000,15.740000,14.323832,57400
2021-12-31,15.510000,16.629999,15.510000,16.389999,14.915348,51500
2022-01-03,16.350000,16.850000,16.350000,16.540001,15.051854,22300
2022-01-04,16.750000,17.700001,16.530001,16.850000,15.333961,49400
2022-01-05,16.840000,17.270000,16.775000,16.910000,15.388562,22900
2022-01-06,17.000000,17.299999,16.760000,16.760000,15.252059,24300
2022-01-07,16.750000,17.250000,16.750000,16.959999,15.434066,17400
2022-01-10,17.000000,17.225000,16.950001,17.049999,15.515965,18400
2022-01-11,17.650000,18.299999,17.610001,18.129999,16.498796,115700
2022-01-12,18.299999,18.450001,18.030001,18.209999,16.571598,49600
2022-01-13,18.209999,18.299999,18.059999,18.139999,16.507896,43000
2022-01-14,18.100000,18.250000,17.910000,18.020000,16.398695,30500
2022-01-18,18.049999,18.650000,18.020000,18.549999,16.881008,63000
2022-01-19,18.740000,18.740000,18.090000,18.240000,16.598898,49200
2022-01-20,18.340000,18.340000,18.020000,18.090000,16.462395,35600
