Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,17.160000,17.280001,16.799999,16.920000,16.920000,70100
2018-03-29,17.160000,17.400000,16.920000,17.040001,17.040001,28875
2018-04-02,17.040001,17.400000,16.080000,16.320000,16.320000,85125
2018-04-03,16.320000,16.559999,16.080000,16.320000,16.320000,32217
2018-04-04,16.080000,16.799999,15.840000,16.559999,16.559999,34408
2018-04-05,16.559999,16.799999,16.320000,16.680000,16.680000,27033
2018-04-06,16.440001,16.920000,16.200001,16.440001,16.440001,32383
2018-04-09,16.320000,17.160000,16.320000,16.559999,16.559999,32917
2018-04-10,16.799999,17.280001,16.559999,17.280001,17.280001,53167
2018-04-11,17.160000,17.400000,17.040001,17.280001,17.280001,20842
2018-04-12,17.400000,17.760000,17.280001,17.400000,17.400000,31683
2018-04-13,17.639999,17.639999,16.920000,17.280001,17.280001,38150
2018-04-16,17.280001,17.520000,16.920000,17.400000,17.400000,35483
2018-04-17,17.400000,17.400000,16.920000,17.040001,17.040001,42575
2018-04-18,17.160000,17.520000,16.920000,17.280001,17.280001,24558
2018-04-19,17.639999,17.639999,16.799999,16.920000,16.920000,45450
2018-04-20,16.799999,17.280001,16.799999,17.160000,17.160000,65508
2018-04-23,17.280001,17.280001,16.680000,16.799999,16.799999,31983
2018-04-24,16.799999,17.160000,16.440001,16.440001,16.440001,40150
2018-04-25,16.440001,16.920000,16.440001,16.680000,16.680000,37108
2018-04-26,16.799999,16.920000,16.559999,16.920000,16.920000,31158
2018-04-27,16.920000,16.920000,16.559999,16.680000,16.680000,67708
2018-04-30,16.799999,17.160000,16.440001,16.440001,16.440001,43925
2018-05-01,16.559999,16.680000,16.320000,16.680000,16.680000,32842
2018-05-02,16.559999,16.920000,16.320000,16.680000,16.680000,50375
2018-05-03,16.680000,16.920000,16.440001,16.799999,16.799999,23292
2018-05-04,16.680000,17.400000,16.680000,16.799999,16.799999,136200
2018-05-07,16.799999,16.920000,16.559999,16.680000,16.680000,76033
2018-05-08,16.559999,17.040001,16.559999,16.799999,16.799999,23500
2018-05-09,16.680000,16.680000,16.559999,16.559999,16.559999,37983
2018-05-10,16.559999,16.799999,16.440001,16.559999,16.559999,30725
2018-05-11,16.680000,16.799999,16.320000,16.440001,16.440001,25917
2018-05-14,16.320000,16.799999,16.320000,16.440001,16.440001,19808
2018-05-15,16.559999,16.799999,16.320000,16.680000,16.680000,32250
2018-05-16,16.799999,17.160000,16.559999,16.680000,16.680000,134242
2018-05-17,16.799999,17.160000,16.680000,16.799999,16.799999,64117
