Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,44.996021,45.608593,44.940334,45.409706,41.879925,511850
2018-03-29,45.536991,46.062054,45.226730,45.481304,42.130474,780346
2018-04-02,45.306286,46.181385,44.073189,44.295944,41.032455,954943
2018-04-03,44.351631,45.894989,44.351631,45.751789,42.381031,1077249
2018-04-04,45.322197,46.833733,45.226730,46.674622,43.235878,1117976
2018-04-05,46.937153,47.494034,46.849644,46.937153,43.479069,791156
2018-04-06,46.642799,47.255371,45.481304,45.807480,42.432625,671615
2018-04-09,46.054096,46.626888,45.847256,45.871120,42.491585,603360
2018-04-10,46.133652,46.141605,45.457439,45.489262,42.137848,747538
2018-04-11,45.210819,45.640415,44.733494,45.449482,42.101002,961982
2018-04-12,45.712013,46.268894,45.489262,45.536991,42.182072,571432
2018-04-13,45.735878,45.735878,45.043755,45.226730,41.894653,711085
2018-04-16,45.513126,45.887032,45.178997,45.521084,42.167336,1069707
2018-04-17,46.022274,46.475735,45.513126,46.388226,42.970589,985614
2018-04-18,46.539379,47.287193,46.364361,46.778042,43.331680,762748
2018-04-19,46.778042,46.778042,45.887032,46.260941,42.852673,528820
2018-04-20,46.260941,46.491646,46.038185,46.077965,42.683186,460062
2018-04-23,46.189339,46.340492,45.879078,45.998409,42.609486,420341
2018-04-24,46.165474,46.475735,45.218777,45.656326,42.292610,658542
2018-04-25,45.489262,45.791569,44.741447,45.656326,42.292610,593178
2018-04-26,45.552902,45.847256,45.171043,45.727924,42.358929,647606
2018-04-27,47.732697,49.594273,47.342880,48.957836,45.350887,1449195
2018-04-30,49.260143,49.761337,48.337311,48.385044,44.820286,1276484
2018-05-01,48.329357,49.077168,47.724743,48.997612,45.387722,1117976
2018-05-02,48.806683,49.888622,48.806683,49.610184,45.955166,949789
2018-05-03,49.411297,50.031822,49.101032,49.968178,46.286785,900263
2018-05-04,49.681782,50.652348,49.244232,50.023865,46.338379,665959
2018-05-07,50.445503,50.580750,49.984089,50.238663,46.537334,738865
2018-05-08,50.373905,50.556881,50.000000,50.389816,46.677361,555091
2018-05-09,50.350040,50.755768,49.801113,50.533016,46.810005,782357
2018-05-10,50.835323,51.161495,50.397774,50.660301,46.927917,483442
2018-05-11,50.715988,50.779633,49.856804,50.246620,46.544708,489602
2018-05-14,50.373905,50.453461,49.578362,49.920444,46.242561,639939
2018-05-15,49.801113,51.495625,49.721558,49.832935,46.161507,766393
2018-05-16,49.952267,50.755768,49.737469,50.334129,46.625767,649995
2018-05-17,50.485283,50.572792,50.087509,50.222752,46.522602,558485
2018-05-18,50.485283,50.644390,50.000000,50.039776,46.353111,586768
2018-05-21,50.469372,50.469372,49.848846,50.270485,46.566811,734214
2018-05-22,50.429592,51.050117,50.318218,50.747810,47.008976,695624
2018-05-23,50.771679,50.962608,50.357994,50.708035,46.972134,445481
2018-05-24,50.676212,51.058075,50.413685,50.747810,47.008976,363273
2018-05-25,50.795544,50.883057,50.334129,50.357994,46.647877,422352
2018-05-29,50.103420,50.986477,50.103420,50.954655,47.200584,628374
2018-05-30,51.153542,52.251392,51.002388,52.076370,48.239651,904412
2018-05-31,52.068417,52.402546,51.463802,51.511536,47.716427,660302
2018-06-01,51.829754,52.036594,51.527447,51.662689,47.856453,586516
2018-06-04,51.774063,52.307079,51.431980,52.299126,48.445995,664325
2018-06-05,52.330948,52.975338,52.187748,52.943516,49.042912,659422
2018-06-06,52.895782,53.206047,52.585522,52.935562,49.035542,577089
2018-06-07,53.118538,53.118538,51.996819,52.267303,48.416523,384014
2018-06-08,52.330948,52.816231,52.052505,52.752586,48.866047,520901
2018-06-11,52.760540,53.285603,52.696896,53.245823,49.322960,933071
2018-06-12,53.253780,53.341290,52.657120,53.007160,49.101868,695372
2018-06-13,53.094669,53.468575,52.848049,53.078758,49.168194,579980
2018-06-14,53.214001,53.691330,52.832142,53.667461,49.713520,589407
2018-06-15,53.659508,53.882259,53.221958,53.882259,49.912491,1430340
2018-06-18,53.627686,53.898170,53.373112,53.866348,49.897747,712970
2018-06-19,53.747017,54.017502,53.428799,53.993637,50.015663,890710
2018-06-20,54.041367,55.274464,54.041367,55.083530,51.025265,1116090
