Date,Open,High,Low,Close,Adj Close,Volume
2021-10-19,17.000000,17.740000,16.760000,17.100000,15.072886,299400
2021-10-20,17.200001,17.299999,16.700001,16.879999,14.878963,1031600
2021-10-21,16.879999,17.065001,16.770000,16.850000,14.852522,436900
2021-10-22,16.719999,17.250000,16.709999,16.860001,14.861338,358100
2021-10-25,16.780001,17.090000,16.780001,16.950001,14.940669,277800
2021-10-26,16.830000,16.980000,16.799999,16.850000,14.852522,227200
2021-10-27,16.730000,16.850000,16.610001,16.709999,14.729117,260100
2021-10-28,16.709999,16.709999,16.400000,16.580000,14.614528,272400
2021-10-29,16.549999,16.580000,16.360001,16.410000,14.464682,362700
2021-11-01,16.350000,16.520000,16.240000,16.330000,14.394164,281400
2021-11-02,16.240000,16.450001,16.129999,16.320000,14.385350,181100
2021-11-03,16.280001,16.600000,16.150000,16.590000,14.623344,195700
2021-11-04,16.530001,16.530001,16.250000,16.270000,14.341277,207000
2021-11-05,16.309999,16.580000,16.240000,16.549999,14.588084,238800
2021-11-08,16.540001,16.850000,16.280001,16.840000,14.843708,266500
2021-11-09,16.770000,17.100000,16.379999,17.100000,15.072886,354000
2021-11-10,17.090000,17.200001,16.830000,17.080000,15.055257,195000
2021-11-11,17.059999,17.170000,16.850000,17.090000,15.064073,167400
2021-11-12,17.059999,17.170000,16.870001,17.129999,15.099330,273200
2021-11-15,17.100000,17.100000,16.660000,16.750000,14.764376,342800
2021-11-16,16.709999,16.745001,16.450001,16.480000,14.526383,421300
2021-11-17,16.410000,16.450001,16.090000,16.270000,14.341277,344200
2021-11-18,16.219999,16.709999,16.170000,16.600000,14.632157,358400
2021-11-19,16.410000,16.709999,16.299999,16.559999,14.596900,837800
2021-11-22,16.670000,16.750000,16.370001,16.400000,14.455866,326100
2021-11-23,16.320000,16.510000,16.280001,16.370001,14.429423,96000
2021-11-24,16.180000,16.420000,16.150000,16.320000,14.385350,173000
2021-11-26,16.000000,16.420000,15.840000,15.990000,14.094469,140500
2021-11-29,16.080000,16.219999,15.870000,15.950000,14.059213,289100
2021-11-30,15.820000,15.900000,15.270000,15.340000,13.521524,346500
2021-12-01,15.490000,15.670000,15.210000,15.210000,13.406935,304100
2021-12-02,15.200000,15.790000,15.200000,15.710000,13.847663,235300
2021-12-03,15.730000,15.850000,15.570000,15.780000,13.909365,251400
2021-12-06,15.940000,16.620001,15.780000,16.480000,14.526383,841300
2021-12-07,16.530001,16.790001,16.500000,16.629999,14.658601,386200
2021-12-08,16.540001,16.670000,16.420000,16.480000,14.526383,383300
2021-12-09,16.360001,16.520000,16.219999,16.219999,14.297204,210500
2021-12-10,16.160000,16.320000,16.049999,16.090000,14.182614,260000
2021-12-13,15.980000,16.030001,15.800000,15.860000,13.979881,381700
2021-12-14,15.760000,15.950000,15.560000,15.610000,13.759517,398700
2021-12-15,15.530000,15.730000,15.420000,15.600000,13.750704,665500
2021-12-16,15.600000,15.760000,15.320000,15.360000,13.539153,590400
2021-12-17,15.320000,15.440000,14.900000,15.020000,13.239459,3524000
2021-12-20,14.870000,15.050000,14.260000,14.690000,12.948578,415700
2021-12-21,14.700000,15.285000,14.686000,15.120000,13.327604,340600
2021-12-22,15.060000,15.410000,15.060000,15.280000,13.468637,301700
2021-12-23,15.310000,15.465000,15.230000,15.380000,13.556783,170200
2021-12-27,15.230000,15.370000,14.950000,15.270000,13.459823,180700
2021-12-28,15.320000,15.540000,15.310000,15.320000,13.503895,215100
2021-12-29,15.310000,15.430000,15.192000,15.390000,13.565598,206500
2021-12-30,15.100000,15.310000,15.035000,15.060000,13.525183,252700
2021-12-31,15.000000,15.139000,14.900000,14.940000,13.417412,199800
2022-01-03,14.920000,15.340000,14.920000,15.270000,13.713781,253900
2022-01-04,15.310000,15.500000,15.310000,15.340000,13.776647,167100
2022-01-05,15.340000,15.610000,15.270000,15.330000,13.767666,348000
2022-01-06,15.300000,15.610000,15.300000,15.470000,13.893399,269900
2022-01-07,15.450000,15.510000,15.320000,15.330000,13.767666,185600
2022-01-10,15.280000,15.370000,15.140000,15.240000,13.686838,186900
2022-01-11,15.140000,15.340000,14.980000,15.240000,13.686838,297900
2022-01-12,15.290000,15.310000,15.170000,15.170000,13.623973,323300
2022-01-13,15.170000,15.290000,15.040000,15.060000,13.525183,146200
2022-01-14,14.920000,15.040000,14.695000,14.990000,13.462317,170300
2022-01-18,14.880000,14.900000,14.630000,14.750000,13.246776,133000
2022-01-19,14.800000,14.810000,14.490000,14.530000,13.049197,176500
2022-01-20,14.550000,14.740000,14.340000,14.340000,12.878561,146100
2022-01-21,14.330000,14.580000,14.010000,14.060000,12.627096,483500
2022-01-24,13.990000,14.050000,13.450000,13.790000,12.384613,308800
2022-01-25,13.630000,14.060000,13.310000,13.990000,12.564229,378900
2022-01-26,14.110000,14.330000,13.800000,13.970000,12.546268,306000
2022-01-27,13.970000,14.060000,13.460000,13.580000,12.196015,452000
2022-01-28,13.550000,13.580000,13.120000,13.540000,12.160091,348400
2022-01-31,13.490000,13.680000,13.320000,13.470000,12.097226,496000
2022-02-01,13.490000,13.560000,13.080000,13.320000,11.962513,483500
2022-02-02,13.350000,13.365000,12.990000,13.100000,11.764934,586100
2022-02-03,13.050000,13.440000,13.000000,13.270000,11.917608,681900
2022-02-04,13.150000,13.450000,12.940000,13.430000,12.061302,396400
2022-02-07,13.410000,13.510000,13.410000,13.460000,12.088243,167500
2022-02-08,13.440000,13.525000,13.190000,13.310000,11.953531,257200
2022-02-09,13.270000,13.350000,13.130000,13.290000,11.935570,298300
2022-02-10,13.300000,13.370000,13.150000,13.240000,11.890665,449900
2022-02-11,13.350000,13.452000,13.158000,13.370000,12.007417,547600
2022-02-14,13.310000,13.450000,13.140000,13.270000,11.917608,276200
2022-02-15,13.330000,13.550000,13.330000,13.480000,12.106206,241700
2022-02-16,13.480000,13.900000,13.480000,13.860000,12.447478,414100
2022-02-17,13.860000,13.900000,13.270000,13.440000,12.070282,276500
2022-02-18,13.330000,13.330000,13.150000,13.230000,11.881684,189200
2022-02-22,13.210000,13.330000,12.780000,12.880000,11.567355,274600
2022-02-23,12.910000,13.080000,12.750000,13.020000,11.693087,349600
2022-02-24,12.750000,13.085000,12.530000,12.990000,11.666144,556300
2022-02-25,12.970000,13.315000,12.930000,13.190000,11.845761,321900
2022-02-28,13.050000,13.470000,12.955000,13.200000,11.854742,616200
2022-03-01,13.100000,13.200000,12.650000,12.720000,11.423660,282400
