Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,21.150000,21.540001,21.110001,21.400000,18.066265,1063000
2018-03-29,21.549999,21.950001,21.490000,21.860001,18.454599,1394800
2018-04-02,21.790001,21.860001,21.160000,21.219999,17.914305,1304400
2018-04-03,21.340000,21.910000,21.250000,21.840000,18.437719,1448900
2018-04-04,21.730000,22.500000,21.680000,22.219999,18.758524,1298900
2018-04-05,22.299999,22.389999,22.090000,22.270000,18.800737,1189000
2018-04-06,22.230000,22.420000,21.969999,22.080000,18.640333,1048800
2018-04-09,22.129999,22.379999,21.990000,22.110001,18.665661,756400
2018-04-10,22.459999,22.670000,22.180000,22.520000,19.011789,1835900
2018-04-11,22.469999,22.559999,22.250000,22.330000,18.851387,1006700
2018-04-12,22.340000,22.469999,22.209999,22.250000,18.783850,872800
2018-04-13,22.250000,22.389999,22.190001,22.260000,18.792294,712600
2018-04-16,22.280001,22.559999,22.200001,22.430000,18.935806,1677200
2018-04-17,22.490000,22.700001,22.450001,22.690001,19.155306,653600
2018-04-18,22.700001,22.820000,22.490000,22.520000,19.011789,869100
2018-04-19,22.389999,22.410000,22.190001,22.340000,18.859831,1104700
2018-04-20,22.450001,22.520000,22.090000,22.250000,18.783850,734400
2018-04-23,22.290001,22.379999,22.190001,22.350000,18.868273,425300
2018-04-24,22.440001,22.440001,22.230000,22.360001,18.876713,1051800
2018-04-25,22.290001,22.540001,22.240000,22.410000,18.918926,722100
2018-04-26,22.459999,22.629999,22.170000,22.600000,19.079327,733700
2018-04-27,22.660000,22.790001,22.629999,22.650000,19.121538,736100
2018-04-30,22.730000,22.730000,22.389999,22.610001,19.087772,1923800
2018-05-01,22.610001,22.770000,22.450001,22.709999,19.172192,965700
2018-05-02,22.670000,22.730000,22.360001,22.389999,18.902039,1718700
2018-05-03,22.549999,22.590000,22.180000,22.240000,18.775408,1914500
2018-05-04,22.180000,22.420000,22.129999,22.340000,18.859831,1292400
2018-05-07,22.350000,22.590000,22.219999,22.510000,19.003351,871700
2018-05-08,22.490000,22.559999,22.180000,22.530001,19.020233,1229300
2018-05-09,22.530001,22.590000,22.280001,22.290001,18.817617,941800
2018-05-10,22.400000,22.510000,22.330000,22.379999,18.893600,648800
2018-05-11,22.450001,22.670000,22.410000,22.629999,19.104649,746600
2018-05-14,22.629999,22.639999,21.889999,22.010000,18.581236,1789800
2018-05-15,21.930000,21.980000,21.520000,21.780001,18.387066,2342300
2018-05-16,21.770000,21.820000,21.559999,21.620001,18.251993,2021000
2018-05-17,21.200001,21.340000,19.430000,19.559999,16.512899,5739700
2018-05-18,19.450001,19.610001,19.110001,19.290001,16.284964,2465500
2018-05-21,19.299999,19.610001,19.160000,19.400000,16.377829,1698900
2018-05-22,19.420000,19.520000,19.240000,19.490000,16.453808,1551500
2018-05-23,19.490000,19.860001,19.469999,19.820000,16.732397,1825800
2018-05-24,19.809999,20.120001,19.680000,20.080000,16.951895,1421300
2018-05-25,20.120001,20.299999,20.000000,20.020000,16.901241,999200
2018-05-29,19.920000,20.040001,19.850000,20.010000,16.892803,1042300
2018-05-30,20.070000,20.930000,20.010000,20.750000,17.517523,3390000
2018-05-31,20.660000,20.660000,20.010000,20.299999,17.137627,2546300
2018-06-01,20.340000,20.340000,19.799999,19.820000,16.732397,1852800
2018-06-04,19.830000,20.139999,19.730000,20.090000,16.960340,1357100
2018-06-05,20.059999,20.580000,20.059999,20.530001,17.331799,1552800
2018-06-06,20.330000,20.330000,19.930000,20.160000,17.169975,1484700
2018-06-07,19.980000,20.309999,19.940001,20.260000,17.255144,1932700
