Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,8.350000,8.550000,8.150000,8.500000,8.500000,224300
2018-03-29,8.500000,8.730000,8.450000,8.700000,8.700000,402600
2018-04-02,8.650000,8.700000,8.400000,8.500000,8.500000,202200
2018-04-03,8.550000,8.650000,8.380000,8.600000,8.600000,122300
2018-04-04,8.500000,8.550000,8.350000,8.400000,8.400000,392700
2018-04-05,8.450000,8.500000,8.350000,8.350000,8.350000,223300
2018-04-06,8.300000,8.450000,8.250000,8.350000,8.350000,264200
2018-04-09,8.450000,8.450000,8.130000,8.250000,8.250000,542500
2018-04-10,8.300000,8.300000,8.100000,8.200000,8.200000,592800
2018-04-11,8.150000,8.250000,8.100000,8.150000,8.150000,635100
2018-04-12,8.200000,8.250000,8.150000,8.200000,8.200000,377300
2018-04-13,8.250000,8.380000,8.130000,8.200000,8.200000,202600
2018-04-16,8.250000,8.300000,8.150000,8.200000,8.200000,181000
2018-04-17,8.250000,8.350000,8.100000,8.150000,8.150000,145800
2018-04-18,8.150000,8.200000,8.050000,8.100000,8.100000,216700
2018-04-19,8.150000,8.200000,8.050000,8.100000,8.100000,212600
2018-04-20,8.000000,8.250000,8.000000,8.200000,8.200000,116300
2018-04-23,8.300000,8.300000,8.150000,8.300000,8.300000,163800
2018-04-24,8.300000,8.450000,8.250000,8.450000,8.450000,201200
2018-04-25,8.450000,8.500000,8.250000,8.350000,8.350000,138700
2018-04-26,8.400000,8.400000,8.250000,8.300000,8.300000,120500
2018-04-27,8.250000,8.350000,8.200000,8.200000,8.200000,80900
2018-04-30,8.250000,8.350000,8.200000,8.300000,8.300000,290600
2018-05-01,8.300000,8.450000,8.200000,8.400000,8.400000,186400
2018-05-02,8.400000,8.600000,8.300000,8.500000,8.500000,126800
2018-05-03,8.500000,8.500000,8.300000,8.500000,8.500000,110100
2018-05-04,8.450000,8.650000,8.350000,8.600000,8.600000,167700
2018-05-07,8.600000,8.610000,8.510000,8.550000,8.550000,100400
2018-05-08,8.600000,8.850000,8.510000,8.800000,8.800000,128600
2018-05-09,8.800000,8.900000,8.700000,8.850000,8.850000,194700
2018-05-10,8.800000,8.900000,8.750000,8.850000,8.850000,92000
2018-05-11,8.800000,9.050000,8.800000,9.000000,9.000000,238000
2018-05-14,9.050000,9.050000,8.950000,9.000000,9.000000,137700
2018-05-15,9.050000,9.100000,8.900000,9.000000,9.000000,108100
2018-05-16,9.050000,9.100000,8.950000,9.100000,9.100000,93900
2018-05-17,9.100000,9.300000,9.050000,9.300000,9.300000,180600
2018-05-18,9.300000,9.300000,8.950000,8.950000,8.950000,305300
2018-05-21,8.950000,9.050000,8.930000,8.950000,8.950000,138900
2018-05-22,9.000000,9.050000,8.900000,8.900000,8.900000,178300
2018-05-23,8.900000,9.000000,8.750000,8.850000,8.850000,139300
2018-05-24,8.800000,8.800000,8.670000,8.750000,8.750000,183200
2018-05-25,8.800000,8.900000,8.650000,8.700000,8.700000,134100
2018-05-29,8.700000,8.750000,8.550000,8.650000,8.650000,77600
2018-05-30,8.700000,8.750000,8.550000,8.650000,8.650000,162700
2018-05-31,8.650000,8.680000,8.500000,8.600000,8.600000,277900
2018-06-01,8.650000,8.700000,8.500000,8.550000,8.550000,164000
2018-06-04,8.550000,8.680000,8.480000,8.500000,8.500000,180000
2018-06-05,8.550000,8.750000,8.300000,8.650000,8.650000,513100
2018-06-06,8.600000,8.950000,8.500000,8.700000,8.700000,173000
2018-06-07,8.750000,8.900000,8.600000,8.650000,8.650000,97200
2018-06-08,8.700000,8.700000,8.550000,8.550000,8.550000,64000
2018-06-11,8.550000,8.700000,8.400000,8.450000,8.450000,109400
2018-06-12,8.450000,8.450000,8.250000,8.300000,8.300000,94600
2018-06-13,8.300000,8.400000,8.250000,8.250000,8.250000,136200
2018-06-14,8.300000,8.400000,8.200000,8.300000,8.300000,92700
2018-06-15,8.250000,8.450000,8.200000,8.350000,8.350000,306400
2018-06-18,8.300000,8.500000,8.150000,8.250000,8.250000,272100
2018-06-19,8.150000,8.250000,8.150000,8.150000,8.150000,430600
2018-06-20,8.200000,8.400000,8.180000,8.250000,8.250000,206200
2018-06-21,8.250000,8.380000,8.130000,8.300000,8.300000,189400
2018-06-22,8.350000,8.350000,8.100000,8.250000,8.250000,573100
2018-06-25,8.250000,8.300000,8.100000,8.200000,8.200000,113700
2018-06-26,8.250000,8.400000,8.100000,8.250000,8.250000,686400
2018-06-27,8.250000,8.270000,7.900000,7.900000,7.900000,157600
2018-06-28,7.900000,8.100000,7.850000,7.900000,7.900000,146300
2018-06-29,7.950000,7.950000,7.800000,7.850000,7.850000,195400
2018-07-02,7.850000,8.050000,7.790000,7.950000,7.950000,100100
2018-07-03,8.000000,8.100000,7.950000,8.050000,8.050000,53100
2018-07-05,8.200000,8.200000,7.900000,7.950000,7.950000,231400
2018-07-06,7.950000,7.950000,7.800000,7.950000,7.950000,220700
2018-07-09,7.950000,8.100000,7.950000,7.950000,7.950000,258700
2018-07-10,7.950000,8.000000,7.800000,7.900000,7.900000,331200
2018-07-11,7.900000,8.000000,7.850000,7.950000,7.950000,157400
2018-07-12,7.950000,7.950000,7.800000,7.900000,7.900000,119400
2018-07-13,7.900000,7.950000,7.800000,7.850000,7.850000,95900
2018-07-16,7.850000,7.850000,7.700000,7.800000,7.800000,214000
2018-07-17,7.750000,7.800000,7.650000,7.700000,7.700000,203200
2018-07-18,7.700000,7.750000,7.650000,7.700000,7.700000,254700
2018-07-19,7.700000,7.800000,7.600000,7.650000,7.650000,284500
2018-07-20,7.650000,7.750000,7.650000,7.700000,7.700000,239300
2018-07-23,7.650000,7.800000,7.600000,7.700000,7.700000,238600
