Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,15.610000,15.980000,15.610000,15.850000,13.750699,49100
2018-03-29,15.930000,16.059999,15.820000,15.840000,13.742022,67700
2018-04-02,15.830000,15.830000,15.530000,15.740000,13.655267,47400
2018-04-03,15.830000,15.920000,15.710000,15.870000,13.768050,45500
2018-04-04,15.730000,16.090000,15.650000,15.970000,13.854804,33600
2018-04-05,16.090000,16.150000,15.920000,16.010000,13.889507,36500
2018-04-06,15.940000,16.110001,15.550000,15.760000,13.672620,34500
2018-04-09,15.830000,16.020000,15.650000,15.690000,13.611891,21800
2018-04-10,15.830000,15.920000,15.770000,15.840000,13.742022,28100
2018-04-11,15.840000,15.850000,15.710000,15.840000,13.742022,33100
2018-04-12,15.920000,15.980000,15.860000,15.890000,13.785400,22200
2018-04-13,15.910000,15.910000,15.600000,15.640000,13.568511,45300
2018-04-16,15.740000,16.160000,15.720000,16.129999,13.993610,44000
2018-04-17,16.190001,16.240000,15.850000,15.940000,13.828776,41000
2018-04-18,15.890000,16.000000,15.870000,15.990000,13.872153,26600
2018-04-19,16.020000,16.200001,16.000000,16.070000,13.941559,47700
2018-04-20,16.000000,16.110001,15.930000,16.010000,13.889507,31400
2018-04-23,16.000000,16.059999,15.950000,15.990000,13.872153,30100
2018-04-24,16.000000,16.129999,15.990000,16.080000,13.950235,30300
2018-04-25,16.090000,16.120001,15.900000,15.900000,13.794077,24100
2018-04-26,15.980000,16.000000,15.770000,15.870000,13.768050,18800
2018-04-27,16.000000,16.400000,16.000000,16.370001,14.201827,51500
2018-04-30,16.389999,16.410000,16.150000,16.250000,14.097719,57000
2018-05-01,16.250000,16.299999,15.920000,16.299999,14.141095,38700
2018-05-02,16.290001,16.530001,16.209999,16.440001,14.262555,49600
2018-05-03,16.450001,16.750000,16.330000,16.719999,14.505468,79800
2018-05-04,16.730000,17.150000,16.700001,16.980000,14.731028,75600
2018-05-07,16.969999,17.160000,16.940001,17.010000,14.757057,44200
2018-05-08,17.080000,17.110001,16.889999,17.049999,14.791760,47900
2018-05-09,17.090000,17.100000,16.950001,16.950001,14.705007,102700
2018-05-10,17.000000,17.000000,16.860001,16.969999,14.722355,35900
2018-05-11,16.950001,17.010000,16.820000,16.840000,14.678772,31700
2018-05-14,16.830000,16.830000,16.469999,16.760000,14.609038,47900
2018-05-15,16.750000,16.889999,16.670000,16.670000,14.530590,118700
2018-05-16,16.660000,16.719999,16.629999,16.690001,14.548023,51900
2018-05-17,16.700001,16.750000,16.650000,16.700001,14.556742,78000
2018-05-18,16.700001,16.719999,16.620001,16.660000,14.521874,48100
2018-05-21,16.719999,16.820000,16.670000,16.700001,14.556742,157600
2018-05-22,16.690001,16.900000,16.690001,16.730000,14.582891,57100
2018-05-23,16.740000,16.879999,16.719999,16.799999,14.643907,68300
2018-05-24,16.809999,17.200001,16.549999,17.170000,14.966422,185800
2018-05-25,17.190001,17.320000,16.290001,17.240000,15.027434,48200
2018-05-29,17.150000,17.420000,16.900000,17.100000,14.905404,60800
2018-05-30,17.120001,17.549999,17.120001,17.350000,15.123319,50300
2018-05-31,17.490000,17.799999,17.469999,17.469999,15.227919,62200
2018-06-01,17.549999,17.549999,17.290001,17.379999,15.149467,58200
2018-06-04,17.389999,17.430000,17.230000,17.260000,15.044869,37600
2018-06-05,17.330000,17.330000,17.090000,17.209999,15.001289,43000
2018-06-06,16.719999,17.430000,16.650000,17.400000,15.166904,137000
2018-06-07,17.469999,17.549999,17.250000,17.299999,15.079735,40400
2018-06-08,17.309999,17.389999,17.250000,17.270000,15.053589,48900
2018-06-11,17.290001,17.340000,17.090000,17.230000,15.018721,118200
2018-06-12,17.219999,17.290001,17.150000,17.250000,15.036151,88800
2018-06-13,17.230000,17.280001,17.150000,17.180000,14.975138,41200
2018-06-14,17.209999,17.209999,17.070000,17.150000,14.948984,32200
2018-06-15,17.040001,17.150000,16.950001,17.120001,14.922842,70400
2018-06-18,17.070000,17.250000,17.040001,17.209999,15.001289,47100
2018-06-19,17.170000,17.420000,17.139999,17.350000,15.123319,36900
2018-06-20,17.340000,17.700001,17.330000,17.540001,15.288936,92900
2018-06-21,17.549999,17.549999,17.370001,17.480000,15.236632,31200
2018-06-22,17.480000,17.889999,17.299999,17.600000,15.341235,268000
2018-06-25,17.650000,17.830000,17.580000,17.790001,15.506854,94800
2018-06-26,17.740000,18.240000,17.660000,18.150000,15.820650,65100
2018-06-27,18.150000,18.150000,17.620001,17.620001,15.358665,55300
2018-06-28,17.610001,17.860001,17.610001,17.680000,15.410970,48100
2018-06-29,17.719999,17.950001,17.650000,17.840000,15.550435,94600
2018-07-02,17.770000,18.000000,17.690001,17.760000,15.480701,41800
2018-07-03,17.750000,17.860001,17.750000,17.820000,15.533000,21500
2018-07-05,17.820000,17.980000,17.809999,17.920000,15.620168,40700
2018-07-06,17.760000,17.990000,17.760000,17.879999,15.585303,43200
2018-07-09,17.879999,17.969999,17.590000,17.850000,15.559149,58700
2018-07-10,17.799999,17.850000,17.540001,17.580000,15.323802,38400
2018-07-11,17.580000,17.610001,17.379999,17.430000,15.193050,30900
2018-07-12,17.600000,17.660000,17.230000,17.400000,15.166904,36400
2018-07-13,17.350000,17.370001,17.160000,17.180000,14.975138,20800
2018-07-16,17.209999,17.320000,17.129999,17.230000,15.018721,20600
2018-07-17,17.200001,17.299999,17.059999,17.110001,14.914121,53200
2018-07-18,17.120001,17.290001,17.070000,17.270000,15.053589,31300
2018-07-19,17.240000,17.400000,17.219999,17.379999,15.149467,41800
2018-07-20,17.370001,17.530001,17.340000,17.410000,15.175621,32900
2018-07-23,17.420000,17.500000,17.309999,17.490000,15.245353,76900
2018-07-24,17.500000,17.500000,17.250000,17.350000,15.123319,30200
2018-07-25,17.340000,17.400000,16.950001,17.090000,14.896687,22400
2018-07-26,17.170000,17.309999,17.070000,17.129999,14.931553,12000
2018-07-27,17.120001,17.170000,16.420000,16.660000,14.521874,70100
2018-07-30,16.709999,17.400000,16.709999,17.320000,15.097171,42900
2018-07-31,17.370001,17.620001,17.090000,17.540001,15.288936,76700
2018-08-01,17.540001,17.709999,17.389999,17.540001,15.288936,24500
2018-08-02,17.490000,17.540001,17.400000,17.510000,15.262784,34600
2018-08-03,17.480000,17.570000,17.350000,17.410000,15.175621,33900
2018-08-06,17.430000,17.590000,17.350000,17.500000,15.254069,32800
2018-08-07,17.500000,17.580000,17.350000,17.440001,15.201768,21400
2018-08-08,17.469999,17.620001,17.360001,17.530001,15.280218,20600
2018-08-09,17.540001,17.610001,17.350000,17.400000,15.166904,14500
2018-08-10,17.320000,17.400000,17.270000,17.309999,15.158150,19600
2018-08-13,17.330000,17.430000,17.250000,17.320000,15.166904,27900
2018-08-14,17.320000,17.770000,17.270000,17.709999,15.508422,63500
2018-08-15,17.709999,17.730000,17.400000,17.480000,15.307016,55200
2018-08-16,17.469999,17.700001,17.469999,17.639999,15.447123,46800
2018-08-17,17.580000,17.850000,17.570000,17.830000,15.613506,62500
