Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,17.650000,17.950001,17.500000,17.850000,14.665843,1054800
2018-03-29,17.799999,17.900000,17.650000,17.750000,14.682385,781400
2018-04-02,17.750000,17.770000,17.150000,17.450001,14.434229,655900
2018-04-03,17.500000,17.650000,17.299999,17.500000,14.475589,1115900
2018-04-04,17.400000,17.850000,17.350000,17.750000,14.682385,982500
2018-04-05,17.900000,18.000000,17.700001,17.799999,14.723742,797900
2018-04-06,17.700001,17.830000,17.100000,17.350000,14.351512,871800
2018-04-09,17.400000,17.850000,17.379999,17.400000,14.392873,1032100
2018-04-10,17.600000,17.799999,17.450001,17.700001,14.641026,672500
2018-04-11,17.549999,17.650000,17.400000,17.450001,14.434229,924200
2018-04-12,17.600000,17.850000,17.450001,17.750000,14.682385,1344600
2018-04-13,17.850000,17.850000,17.400000,17.549999,14.516951,871600
2018-04-16,17.650000,17.750000,17.480000,17.650000,14.599669,640500
2018-04-17,17.750000,17.750000,17.299999,17.500000,14.475589,902700
2018-04-18,17.450001,17.650000,17.100000,17.150000,14.186078,1067200
2018-04-19,17.049999,17.299999,16.950001,17.049999,14.103358,1303400
2018-04-20,17.000000,17.230000,17.000000,17.150000,14.186078,1292900
2018-04-23,17.100000,17.379999,17.100000,17.250000,14.268792,608300
2018-04-24,17.299999,17.600000,17.200001,17.299999,14.310155,885600
2018-04-25,17.250000,17.520000,17.150000,17.299999,14.310155,799100
2018-04-26,17.350000,17.400000,17.150000,17.150000,14.186078,732700
2018-04-27,17.150000,17.350000,17.080000,17.250000,14.268792,650500
2018-04-30,17.250000,17.400000,16.900000,16.900000,13.979282,1030400
2018-05-01,16.900000,17.150000,16.650000,17.049999,14.103358,851700
2018-05-02,17.000000,17.350000,16.850000,17.150000,14.186078,669100
2018-05-03,17.049999,17.200001,16.879999,17.049999,14.103358,868100
2018-05-04,16.950001,17.500000,16.850000,17.250000,14.268792,985500
2018-05-07,17.350000,17.500000,17.150000,17.299999,14.310155,608400
2018-05-08,17.400000,17.580000,17.350000,17.450001,14.434229,613000
2018-05-09,17.500000,17.730000,17.400000,17.549999,14.516951,687200
2018-05-10,17.549999,17.650000,17.379999,17.500000,14.475589,529800
2018-05-11,17.450001,17.680000,17.400000,17.450001,14.434229,678100
2018-05-14,17.500000,17.500000,17.200001,17.299999,14.310155,623300
2018-05-15,17.299999,17.549999,17.200001,17.350000,14.351512,687400
2018-05-16,17.400000,17.500000,17.250000,17.450001,14.434229,691500
2018-05-17,17.450001,17.549999,17.350000,17.500000,14.475589,499600
2018-05-18,17.549999,17.549999,17.299999,17.299999,14.310155,728300
2018-05-21,17.400000,17.799999,17.400000,17.750000,14.682385,1081800
2018-05-22,17.750000,18.020000,17.750000,17.850000,14.765103,711200
2018-05-23,17.799999,17.950001,17.600000,17.799999,14.723742,458200
2018-05-24,17.750000,17.799999,17.400000,17.750000,14.682385,696000
2018-05-25,17.799999,17.879999,17.680000,17.850000,14.765103,590000
2018-05-29,17.600000,17.770000,17.250000,17.299999,14.310155,968000
2018-05-30,17.400000,17.700001,17.400000,17.600000,14.558311,1040300
2018-05-31,17.600000,17.750000,17.400000,17.450001,14.434229,880900
2018-06-01,17.000000,17.450001,17.000000,17.250000,14.268792,1770700
2018-06-04,17.250000,17.500000,17.209999,17.500000,14.475589,1221800
2018-06-05,17.450001,17.549999,17.299999,17.450001,14.434229,655100
2018-06-06,17.549999,17.900000,17.500000,17.850000,14.765103,939700
2018-06-07,17.850000,17.950001,17.700001,17.750000,14.682385,870700
2018-06-08,17.799999,17.850000,17.650000,17.750000,14.682385,697300
2018-06-11,17.700001,17.799999,17.350000,17.400000,14.392873,724100
2018-06-12,17.400000,17.450001,17.100000,17.200001,14.227437,632400
2018-06-13,17.250000,17.400000,16.980000,17.100000,14.144718,1080900
