Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,36.680000,37.290001,36.130001,36.580002,36.580002,703800
2018-03-29,36.889999,37.930000,36.889999,37.680000,37.680000,460700
2018-04-02,37.590000,37.590000,35.549999,35.900002,35.900002,658100
2018-04-03,36.220001,37.660000,35.549999,37.080002,37.080002,784300
2018-04-04,36.540001,38.950001,36.540001,38.820000,38.820000,1236500
2018-04-05,38.930000,40.480000,38.930000,39.320000,39.320000,893500
2018-04-06,38.910000,39.720001,38.540001,39.119999,39.119999,599300
2018-04-09,39.430000,39.430000,38.230000,38.570000,38.570000,317900
2018-04-10,39.160000,39.169998,38.540001,38.959999,38.959999,339800
2018-04-11,38.689999,39.500000,38.689999,38.820000,38.820000,252200
2018-04-12,39.139999,39.680000,38.660000,39.209999,39.209999,440700
2018-04-13,39.520000,40.000000,38.090000,38.209999,38.209999,512600
2018-04-16,38.500000,38.560001,37.740002,38.279999,38.279999,600400
2018-04-17,38.619999,38.700001,37.619999,37.709999,37.709999,401900
2018-04-18,37.700001,38.029999,36.810001,36.849998,36.849998,462400
2018-04-19,36.730000,37.730000,35.209999,36.099998,36.099998,603600
2018-04-20,35.900002,36.340000,34.840000,35.040001,35.040001,545800
2018-04-23,35.139999,37.200001,34.919998,35.049999,35.049999,506400
2018-04-24,35.250000,36.549999,35.000000,35.119999,35.119999,442600
2018-04-25,35.139999,35.849998,34.709999,35.509998,35.509998,349300
2018-04-26,35.580002,36.560001,35.169998,36.330002,36.330002,441400
2018-04-27,36.320000,37.400002,36.009998,37.349998,37.349998,482800
2018-04-30,37.360001,37.520000,36.490002,36.490002,36.490002,322100
2018-05-01,36.310001,36.310001,34.099998,35.270000,35.270000,875000
2018-05-02,35.340000,36.709999,34.720001,36.520000,36.520000,614700
2018-05-03,36.250000,36.540001,35.130001,35.230000,35.230000,330200
2018-05-04,35.540001,35.930000,34.520000,35.889999,35.889999,358300
2018-05-07,35.880001,36.080002,35.240002,35.919998,35.919998,339600
2018-05-08,35.930000,36.639999,35.840000,36.490002,36.490002,246000
2018-05-09,36.599998,36.970001,36.080002,36.090000,36.090000,312500
2018-05-10,36.220001,36.910000,35.939999,36.570000,36.570000,535800
2018-05-11,36.700001,37.029999,36.340000,36.799999,36.799999,294100
2018-05-14,36.799999,37.540001,35.599998,37.459999,37.459999,380800
2018-05-15,37.090000,38.799999,36.799999,37.939999,37.939999,659600
2018-05-16,38.169998,39.279999,37.959999,38.939999,38.939999,957300
2018-05-17,38.820000,39.439999,38.500000,38.980000,38.980000,474500
2018-05-18,38.930000,39.070000,38.770000,38.799999,38.799999,355200
2018-05-21,39.160000,39.160000,38.240002,38.660000,38.660000,632900
2018-05-22,38.790001,39.070000,38.389999,38.389999,38.389999,664000
2018-05-23,37.889999,39.619999,37.759998,38.730000,38.730000,636900
2018-05-24,38.650002,39.700001,38.410000,39.669998,39.669998,537500
2018-05-25,39.509998,40.700001,39.509998,40.310001,40.310001,386200
2018-05-29,39.970001,40.770000,39.439999,39.580002,39.580002,539700
2018-05-30,41.160000,43.369999,40.860001,41.570000,41.570000,1462400
2018-05-31,41.480000,42.770000,40.910000,41.900002,41.900002,817500
2018-06-01,42.230000,43.070000,41.349998,42.160000,42.160000,732700
2018-06-04,42.310001,42.880001,41.750000,42.880001,42.880001,1123100
2018-06-05,50.000000,51.200001,45.709999,47.529999,47.529999,5704700
2018-06-06,48.250000,48.820000,47.009998,48.599998,48.599998,1571000
2018-06-07,48.750000,49.959999,48.459999,48.770000,48.770000,1192300
2018-06-08,48.840000,49.869999,48.470001,49.020000,49.020000,773900
2018-06-11,49.209999,49.830002,48.430000,48.580002,48.580002,860600
2018-06-12,48.590000,49.270000,47.799999,48.830002,48.830002,740700
2018-06-13,48.900002,49.450001,47.610001,47.750000,47.750000,694000
2018-06-14,47.709999,48.150002,47.009998,47.439999,47.439999,631000
2018-06-15,47.360001,47.549999,46.830002,47.049999,47.049999,682900
2018-06-18,47.169998,47.630001,46.520000,47.540001,47.540001,923700
2018-06-19,47.160000,48.009998,47.139999,47.880001,47.880001,925700
2018-06-20,48.009998,48.520000,45.110001,46.250000,46.250000,1474300
2018-06-21,46.200001,47.060001,46.080002,46.509998,46.509998,644300
2018-06-22,47.000000,47.709999,45.430000,46.090000,46.090000,1476000
2018-06-25,45.759998,46.230000,44.709999,45.680000,45.680000,602600
2018-06-26,45.779999,46.709999,45.520000,46.570000,46.570000,397700
2018-06-27,46.580002,47.430000,45.849998,45.980000,45.980000,404400
2018-06-28,45.880001,46.299999,45.119999,45.970001,45.970001,309600
2018-06-29,46.310001,47.220001,44.270000,44.400002,44.400002,489000
2018-07-02,43.750000,43.869999,42.209999,43.139999,43.139999,699900
2018-07-03,43.369999,43.759998,43.200001,43.299999,43.299999,154800
2018-07-05,43.389999,43.840000,42.240002,43.139999,43.139999,482400
2018-07-06,43.090000,43.869999,42.990002,43.200001,43.200001,288400
2018-07-09,43.200001,43.459999,42.150002,43.400002,43.400002,581300
2018-07-10,43.500000,44.680000,43.209999,44.610001,44.610001,673900
2018-07-11,44.349998,44.480000,43.360001,43.900002,43.900002,672200
2018-07-12,44.110001,44.279999,42.599998,43.740002,43.740002,515400
2018-07-13,43.650002,44.799999,43.380001,44.610001,44.610001,457100
2018-07-16,44.570000,45.840000,44.299999,45.799999,45.799999,583200
2018-07-17,45.700001,46.950001,45.700001,46.730000,46.730000,534200
2018-07-18,46.849998,47.230000,46.369999,46.980000,46.980000,506200
2018-07-19,46.959999,47.770000,46.820000,47.330002,47.330002,410700
2018-07-20,47.419998,48.389999,46.660000,47.259998,47.259998,399000
2018-07-23,47.060001,47.180000,45.810001,46.790001,46.790001,355400
2018-07-24,47.000000,47.020000,45.619999,46.330002,46.330002,472500
2018-07-25,46.400002,47.000000,45.910000,46.939999,46.939999,239800
2018-07-26,46.939999,47.910000,46.209999,46.889999,46.889999,315000
2018-07-27,47.049999,47.310001,44.310001,44.900002,44.900002,336400
2018-07-30,45.060001,45.360001,44.500000,44.810001,44.810001,257200
2018-07-31,45.119999,45.740002,44.650002,45.700001,45.700001,457800
2018-08-01,45.540001,45.540001,42.540001,42.750000,42.750000,573100
2018-08-02,42.680000,43.939999,42.680000,43.750000,43.750000,201100
2018-08-03,43.799999,44.459999,43.520000,43.590000,43.590000,271400
2018-08-06,43.630001,44.209999,43.299999,44.110001,44.110001,232200
2018-08-07,44.200001,45.020000,44.200001,44.750000,44.750000,268400
2018-08-08,44.840000,45.450001,44.549999,45.119999,45.119999,218500
2018-08-09,45.040001,46.400002,45.040001,46.119999,46.119999,373800
2018-08-10,45.799999,46.310001,45.330002,45.900002,45.900002,234800
2018-08-13,45.900002,46.209999,45.040001,45.619999,45.619999,289800
2018-08-14,45.970001,47.220001,45.590000,46.790001,46.790001,436700
2018-08-15,46.320000,46.389999,43.639999,44.040001,44.040001,469900
2018-08-16,44.209999,44.209999,40.840000,42.099998,42.099998,1027600
2018-08-17,42.209999,43.080002,42.020000,42.799999,42.799999,517000
2018-08-20,42.840000,44.520000,42.599998,44.439999,44.439999,808000
2018-08-21,44.529999,46.180000,44.529999,45.930000,45.930000,657900
2018-08-22,46.250000,47.009998,45.779999,46.070000,46.070000,609400
2018-08-23,45.939999,46.599998,45.689999,46.250000,46.250000,396000
2018-08-24,46.080002,46.840000,45.520000,46.529999,46.529999,521800
2018-08-27,46.590000,46.919998,44.680000,44.910000,44.910000,520100
2018-08-28,45.130001,45.500000,44.549999,45.439999,45.439999,230600
2018-08-29,45.419998,45.889999,44.009998,45.810001,45.810001,319300
2018-08-30,45.580002,46.009998,43.360001,43.549999,43.549999,867400
2018-08-31,43.599998,45.650002,43.310001,45.480000,45.480000,628000
2018-09-04,45.029999,45.840000,44.009998,44.630001,44.630001,606000
2018-09-05,44.689999,44.889999,43.139999,44.060001,44.060001,691000
2018-09-06,48.330002,50.830002,44.290001,46.049999,46.049999,3774500
2018-09-07,46.259998,46.480000,43.810001,44.049999,44.049999,1465000
2018-09-10,44.110001,45.020000,43.669998,44.520000,44.520000,887000
2018-09-11,44.369999,45.869999,44.070000,45.630001,45.630001,855200
2018-09-12,45.540001,47.340000,45.410000,47.250000,47.250000,736800
2018-09-13,47.610001,48.299999,47.110001,47.759998,47.759998,695900
2018-09-14,47.490002,47.980000,46.700001,46.900002,46.900002,679200
2018-09-17,47.060001,47.560001,46.619999,46.950001,46.950001,599900
2018-09-18,47.740002,47.750000,46.980000,47.250000,47.250000,743600
2018-09-19,47.160000,47.549999,46.639999,47.070000,47.070000,546800
2018-09-20,47.470001,47.470001,46.910000,47.320000,47.320000,474900
2018-09-21,47.439999,48.180000,46.889999,47.500000,47.500000,676400
2018-09-24,47.290001,47.400002,45.220001,45.470001,45.470001,796000
2018-09-25,46.180000,46.180000,45.040001,46.009998,46.009998,545400
2018-09-26,45.900002,47.770000,45.549999,47.290001,47.290001,581600
2018-09-27,47.330002,48.680000,47.040001,47.740002,47.740002,562900
2018-09-28,47.509998,48.790001,47.509998,48.189999,48.189999,420400
2018-10-01,48.580002,48.740002,46.750000,46.840000,46.840000,572300
2018-10-02,46.840000,46.840000,43.240002,43.320000,43.320000,829900
2018-10-03,43.450001,44.240002,42.820000,44.029999,44.029999,717600
