Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,15.250000,15.750000,15.100000,15.700000,15.700000,657100
2018-03-29,15.750000,16.200001,15.750000,16.049999,16.049999,680700
2018-04-02,15.950000,15.950000,15.250000,15.450000,15.450000,410600
2018-04-03,15.500000,15.750000,15.400000,15.650000,15.650000,218000
2018-04-04,15.550000,15.750000,15.500000,15.650000,15.650000,221000
2018-04-05,15.750000,15.750000,15.450000,15.550000,15.550000,404900
2018-04-06,15.500000,15.750000,15.350000,15.450000,15.450000,226600
2018-04-09,15.400000,15.700000,15.000000,15.500000,15.500000,300100
2018-04-10,15.650000,15.750000,15.400000,15.500000,15.500000,311700
2018-04-11,15.450000,15.680000,15.450000,15.650000,15.650000,161100
2018-04-12,15.700000,15.900000,15.500000,15.550000,15.550000,138700
2018-04-13,15.600000,15.650000,15.450000,15.550000,15.550000,161500
2018-04-16,15.550000,15.800000,15.310000,15.650000,15.650000,217500
2018-04-17,15.750000,15.750000,15.480000,15.500000,15.500000,134600
2018-04-18,15.500000,15.950000,15.500000,15.700000,15.700000,275400
2018-04-19,15.700000,15.880000,15.600000,15.750000,15.750000,176100
2018-04-20,15.650000,15.850000,15.500000,15.750000,15.750000,169300
2018-04-23,15.800000,15.850000,15.710000,15.750000,15.750000,140700
2018-04-24,15.750000,15.800000,15.450000,15.500000,15.500000,362500
2018-04-25,15.450000,15.680000,15.400000,15.550000,15.550000,251500
2018-04-26,15.600000,15.600000,15.350000,15.450000,15.450000,190100
2018-04-27,15.450000,15.750000,15.350000,15.550000,15.550000,138100
2018-04-30,15.600000,15.600000,15.360000,15.500000,15.500000,162900
2018-05-01,15.600000,15.700000,15.100000,15.550000,15.550000,313500
2018-05-02,15.500000,15.500000,15.200000,15.350000,15.350000,493200
2018-05-03,15.250000,15.350000,15.000000,15.250000,15.250000,388900
2018-05-04,15.200000,15.680000,15.150000,15.600000,15.600000,364400
2018-05-07,15.600000,15.700000,15.480000,15.700000,15.700000,352800
2018-05-08,15.600000,15.700000,15.450000,15.550000,15.550000,264200
2018-05-09,15.550000,15.650000,15.400000,15.400000,15.400000,366100
2018-05-10,15.500000,15.550000,15.350000,15.400000,15.400000,186100
2018-05-11,15.400000,15.650000,15.400000,15.580000,15.580000,304400
2018-05-14,15.600000,15.600000,15.100000,15.150000,15.150000,416800
2018-05-15,15.100000,15.500000,15.100000,15.300000,15.300000,201100
2018-05-16,15.350000,15.400000,15.150000,15.150000,15.150000,238400
2018-05-17,15.200000,15.450000,15.150000,15.280000,15.280000,149400
2018-05-18,15.300000,15.300000,15.100000,15.200000,15.200000,274500
2018-05-21,15.250000,15.550000,15.250000,15.450000,15.450000,155000
2018-05-22,15.550000,15.650000,15.400000,15.400000,15.400000,168400
2018-05-23,15.500000,15.550000,15.300000,15.350000,15.350000,138700
2018-05-24,15.350000,15.450000,15.250000,15.250000,15.250000,171200
2018-05-25,15.150000,15.230000,15.000000,15.100000,15.100000,257200
2018-05-29,15.100000,15.150000,14.300000,14.350000,14.350000,565000
2018-05-30,14.400000,14.450000,14.100000,14.350000,14.350000,432900
2018-05-31,14.350000,14.500000,14.250000,14.300000,14.300000,391500
2018-06-01,14.500000,14.900000,14.480000,14.700000,14.700000,319000
2018-06-04,14.700000,15.300000,14.700000,15.050000,15.050000,601500
2018-06-05,15.100000,15.500000,15.050000,15.400000,15.400000,393500
