Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,16.520000,17.065001,16.520000,16.900000,10.094654,740300
2018-03-29,17.030001,17.059999,16.700001,16.879999,10.082711,784000
2018-04-02,16.870001,17.280001,16.815001,17.100000,10.214118,863400
2018-04-03,17.139999,17.590000,16.969999,17.420000,10.405261,735400
2018-04-04,17.309999,17.629999,17.270000,17.610001,10.518749,583200
2018-04-05,17.459999,17.469999,17.129999,17.280001,10.427030,700800
2018-04-06,17.270000,17.450001,17.219999,17.299999,10.439096,556300
2018-04-09,17.320000,17.385000,17.120001,17.190001,10.372724,543800
2018-04-10,17.290001,17.450001,17.170000,17.370001,10.481339,422000
2018-04-11,17.360001,17.665001,17.320000,17.570000,10.602020,384800
2018-04-12,17.660000,17.709999,17.160000,17.250000,10.408926,349200
2018-04-13,17.250000,17.379999,17.129999,17.350000,10.469269,400900
2018-04-16,17.389999,17.780001,17.340000,17.740000,10.704601,321100
2018-04-17,17.860001,18.099001,17.709999,17.940001,10.825286,463700
2018-04-18,17.990000,18.090000,17.889999,17.940001,10.825286,306800
2018-04-19,17.930000,17.959999,17.559999,17.660000,10.656327,277600
2018-04-20,17.629999,17.719999,17.469999,17.580000,10.608053,346900
2018-04-23,17.580000,17.743999,17.530001,17.680000,10.668396,285400
2018-04-24,17.770000,17.959999,17.670000,17.879999,10.789080,468100
2018-04-25,17.889999,18.170000,17.795000,18.080000,10.909761,559300
2018-04-26,18.080000,18.360001,18.010000,18.260000,11.018377,494800
2018-04-27,18.299999,18.799999,18.254999,18.680000,11.271812,445300
2018-04-30,18.680000,18.709999,18.480000,18.610001,11.229573,529200
2018-05-01,18.600000,19.070000,18.490000,19.000000,11.464906,601100
2018-05-02,18.940001,19.100000,18.709999,19.030001,11.483007,556200
2018-05-03,19.030001,19.250000,18.950001,19.110001,11.531283,538600
2018-05-04,19.110001,19.389999,19.100000,19.250000,11.615758,656900
2018-05-07,19.160000,19.410000,19.110001,19.340000,11.778985,617900
2018-05-08,19.340000,20.200001,19.280001,20.080000,12.229680,811300
2018-05-09,20.049999,20.100000,19.291000,19.690001,11.992150,716400
2018-05-10,19.639999,19.715000,19.174000,19.230000,11.711991,631400
2018-05-11,19.230000,19.490000,18.850000,18.920000,11.523185,685600
2018-05-14,18.940001,19.219999,18.681000,18.750000,11.419647,604700
2018-05-15,18.709999,18.858999,18.250000,18.340000,11.169937,903400
2018-05-16,18.410000,18.629999,18.360001,18.530001,11.285654,640300
2018-05-17,18.600000,18.809999,18.410000,18.530001,11.285654,375000
2018-05-18,18.639999,18.695999,18.465000,18.580000,11.316108,924300
2018-05-21,18.660000,18.969999,18.469999,18.889999,11.504915,355200
2018-05-22,18.889999,18.990000,18.709999,18.930000,11.529271,350900
2018-05-23,18.990000,19.375000,18.889999,19.280001,11.742441,416500
2018-05-24,19.299999,19.370001,19.080000,19.360001,11.791165,285800
2018-05-25,19.299999,19.540001,19.280001,19.520000,11.888616,215000
2018-05-29,19.480000,19.750000,19.400000,19.719999,12.010424,398200
2018-05-30,19.750000,19.959999,19.665001,19.879999,12.107868,381000
2018-05-31,19.879999,19.930000,19.680000,19.740000,12.022603,378100
2018-06-01,19.750000,19.870001,19.520000,19.570000,11.919065,396500
2018-06-04,19.600000,19.809999,19.520000,19.760000,12.034782,446800
2018-06-05,19.750000,19.799999,19.540001,19.660000,11.973879,546600
2018-06-06,19.629999,19.719999,19.450001,19.670000,11.979970,404800
2018-06-07,19.520000,19.670000,19.459999,19.500000,11.984889,284700
2018-06-08,19.520000,19.684999,19.400000,19.430000,11.941863,290300
2018-06-11,19.400000,19.610001,19.379999,19.610001,12.052495,407700
2018-06-12,19.610001,19.870001,19.570000,19.580000,12.034055,390300
2018-06-13,19.620001,19.799999,19.090000,19.190001,11.794358,454000
2018-06-14,19.240000,19.500000,19.240000,19.389999,11.917279,284100
2018-06-15,19.440001,19.620001,19.330999,19.480000,11.972594,1139000
2018-06-18,19.549999,19.690001,19.420000,19.620001,12.058639,265400
2018-06-19,19.639999,19.700001,19.469999,19.540001,12.009474,358500
2018-06-20,19.540001,19.740000,19.480000,19.650000,12.077078,317100
2018-06-21,19.719999,19.799999,19.561001,19.790001,12.163123,325500
2018-06-22,19.799999,20.250000,19.790001,20.100000,12.353651,592200
2018-06-25,20.040001,20.410000,20.020000,20.250000,12.445842,464900
2018-06-26,20.250000,20.440001,20.190001,20.290001,12.470430,375900
2018-06-27,20.350000,20.389999,20.200001,20.309999,12.482721,226700
2018-06-28,20.309999,20.670000,20.160000,20.600000,12.660959,370600
2018-06-29,20.620001,20.680000,20.420000,20.430000,12.556475,419800
2018-07-02,20.400000,20.604000,20.020000,20.350000,12.507305,411600
2018-07-03,20.389999,20.787001,20.290001,20.629999,12.679395,269400
2018-07-05,20.629999,21.000000,20.570000,21.000000,12.906802,314200
2018-07-06,21.000000,21.440001,20.990000,21.440001,13.177232,494900
2018-07-09,21.500000,21.540001,20.930000,21.100000,12.968264,471900
2018-07-10,21.000000,21.250000,20.920000,20.959999,12.882215,430500
2018-07-11,20.900000,21.040001,20.820000,20.830000,12.802318,381700
2018-07-12,20.799999,20.820000,20.600000,20.730000,12.850669,246800
2018-07-13,20.750000,20.889999,20.680000,20.700001,12.832076,264300
2018-07-16,20.799999,20.839001,20.670000,20.700001,12.832076,477600
2018-07-17,20.760000,20.950001,20.570000,20.580000,12.757685,370300
2018-07-18,20.580000,20.709999,20.420000,20.629999,12.788680,307300
2018-07-19,20.660000,21.110001,20.629999,21.030001,13.036644,432300
2018-07-20,21.100000,21.180000,20.809999,20.860001,12.931258,309800
2018-07-23,20.820000,20.930000,20.670000,20.840000,12.918861,215400
2018-07-24,20.889999,20.900000,20.600000,20.840000,12.918861,381000
2018-07-25,20.850000,20.921000,20.730000,20.840000,12.918861,236200
2018-07-26,20.870001,21.150000,20.870001,21.030001,13.036644,239700
2018-07-27,21.100000,21.100000,20.510000,20.600000,12.770082,276000
2018-07-30,20.590000,20.820000,20.549999,20.740000,12.856867,294200
2018-07-31,20.820000,21.290001,20.740000,21.160000,13.117229,461000
2018-08-01,21.080000,21.129999,20.750000,21.000000,13.018044,281000
2018-08-02,20.920000,21.180000,20.889999,21.080000,13.067638,239500
2018-08-03,21.100000,21.325001,21.048000,21.280001,13.191617,264400
2018-08-06,21.270000,21.340000,21.120001,21.240000,13.166819,334300
2018-08-07,21.299999,21.370001,21.080000,21.330000,13.222614,508900
2018-08-08,21.389999,22.530001,21.379999,22.219999,13.774331,801500
2018-08-09,22.200001,22.250000,21.815001,22.090000,13.693744,548600
2018-08-10,21.910000,22.100000,21.709999,21.719999,13.573755,449500
2018-08-13,21.719999,21.860001,21.660000,21.790001,13.617498,345500
2018-08-14,21.799999,22.370001,21.799999,22.080000,13.798736,618700
2018-08-15,22.080000,22.250999,21.639999,22.090000,13.804981,661600
2018-08-16,20.570000,21.090000,20.520000,20.980000,13.111297,5607900
2018-08-17,21.080000,21.420000,20.650000,21.340000,13.336278,1299800
2018-08-20,21.420000,21.650000,21.350000,21.629999,13.517511,687200
2018-08-21,21.650000,21.815001,21.440001,21.530001,13.455017,617900
2018-08-22,21.500000,21.570000,21.309999,21.570000,13.480013,491100
2018-08-23,21.530001,21.549999,21.320000,21.389999,13.367526,362900
2018-08-24,21.400000,21.400000,21.209999,21.299999,13.311277,491500
2018-08-27,21.299999,21.299999,21.059999,21.180000,13.236285,577100
2018-08-28,21.150000,21.370001,21.100000,21.370001,13.355023,465000
2018-08-29,21.389999,21.760000,21.389999,21.549999,13.467512,460700
2018-08-30,21.580000,21.688999,21.320000,21.500000,13.436268,423500
2018-08-31,21.500000,21.730000,21.500000,21.690001,13.555005,475800
2018-09-04,21.690001,21.770000,21.450001,21.469999,13.417517,402900
2018-09-05,21.450001,21.700001,21.320000,21.670000,13.542507,272600
2018-09-06,21.719999,21.889999,21.590000,21.629999,13.517511,335300
2018-09-07,21.629999,21.650000,21.040001,21.160000,13.223784,401700
2018-09-10,21.230000,21.520000,21.219999,21.330000,13.330027,422400
2018-09-11,21.330000,21.330000,21.129999,21.250000,13.280028,370900
2018-09-12,21.129999,21.129999,20.840000,20.860001,13.146425,349200
2018-09-13,20.920000,21.270000,20.850000,21.129999,13.316583,433100
2018-09-14,21.100000,21.150000,20.799999,21.129999,13.316583,466100
2018-09-17,21.160000,21.264999,21.045000,21.230000,13.379607,567700
2018-09-18,21.260000,21.275000,20.990000,21.000000,13.234656,215100
2018-09-19,21.020000,21.020000,20.360001,20.430000,12.875427,557000
2018-09-20,20.500000,20.790001,20.320000,20.780001,13.096006,447200
2018-09-21,20.730000,20.840000,20.629999,20.700001,13.045591,689700
2018-09-24,20.650000,20.650000,20.155001,20.340000,12.818711,457200
2018-09-25,20.389999,20.580000,20.351000,20.469999,12.900636,275500
2018-09-26,20.469999,20.530001,20.170000,20.219999,12.743083,377700
2018-09-27,20.250000,20.530001,20.250000,20.340000,12.818711,188000
2018-09-28,20.340000,20.860001,20.340000,20.850000,13.140121,456800
2018-10-01,20.879999,20.920000,20.660000,20.690001,13.039288,335800
2018-10-02,20.719999,20.830000,20.440001,20.450001,12.888037,221400
2018-10-03,20.459999,20.650000,20.325001,20.340000,12.818711,354900
2018-10-04,20.270000,20.340000,19.600000,19.620001,12.364951,621000
2018-10-05,19.750000,19.770000,19.340000,19.590000,12.346041,467500
2018-10-08,19.750000,20.209999,19.680000,20.139999,12.692661,411300
2018-10-09,20.139999,20.350000,20.059999,20.129999,12.686364,459600
2018-10-10,19.889999,20.120001,19.670000,19.690001,12.519770,605800
2018-10-11,19.690001,19.920000,19.010000,19.020000,12.093754,541700
2018-10-12,19.160000,19.430000,18.700001,18.750000,11.922079,523800
2018-10-15,18.770000,18.959999,18.690001,18.820000,11.966588,409700
2018-10-16,18.860001,19.610001,18.750000,19.469999,12.379886,523100
2018-10-17,19.530001,19.600000,19.299999,19.490000,12.392603,488900
