Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,52.990002,53.590000,52.369999,53.369999,49.153374,432900
2018-03-29,53.740002,56.400002,53.439999,55.860001,51.446648,604400
2018-04-02,55.650002,55.970001,53.209999,53.799999,49.549404,362500
2018-04-03,54.080002,55.029999,53.759998,54.820000,50.488808,280800
2018-04-04,53.889999,56.320000,53.540001,56.040001,51.612427,414700
2018-04-05,57.500000,58.430000,57.209999,57.599998,53.049168,287900
2018-04-06,56.950001,57.639999,54.310001,55.290001,50.921680,231300
2018-04-09,55.660000,55.689999,54.480000,54.490002,50.184895,237700
2018-04-10,55.450001,56.439999,54.869999,56.130001,51.695316,208900
2018-04-11,55.599998,56.139999,54.900002,55.250000,50.884842,216900
2018-04-12,55.820000,56.160000,55.330002,55.689999,51.290081,195100
2018-04-13,56.080002,56.080002,54.779999,55.090000,50.737492,208700
2018-04-16,55.650002,56.180000,55.020000,55.799999,51.391384,148200
2018-04-17,56.349998,56.779999,56.020000,56.290001,51.842678,168900
2018-04-18,56.320000,56.810001,55.820000,56.279999,51.833466,144800
2018-04-19,56.240002,56.509998,55.540001,56.020000,51.594009,140300
2018-04-20,55.990002,56.150002,54.700001,54.919998,50.580917,255900
2018-04-23,54.860001,55.650002,54.720001,55.160000,50.801956,191600
2018-04-24,55.349998,55.720001,53.700001,54.020000,49.752022,301200
2018-04-25,54.320000,55.209999,53.669998,54.669998,50.350670,199600
2018-04-26,54.750000,54.750000,53.099998,53.240002,49.033653,266500
2018-04-27,53.330002,53.700001,52.520000,53.200001,48.996807,309700
2018-04-30,55.680000,55.680000,52.360001,52.380001,48.241600,710300
2018-05-01,52.560001,54.340000,52.180000,54.040001,49.770454,937200
2018-05-02,54.459999,55.340000,54.180000,54.570000,50.258568,387000
2018-05-03,54.500000,55.080002,53.310001,54.380001,50.083588,384100
2018-05-04,53.869999,54.200001,52.889999,54.040001,49.770454,416900
2018-05-07,54.389999,56.020000,53.900002,55.709999,51.308491,400400
2018-05-08,56.009998,57.599998,55.790001,57.389999,52.855774,404200
2018-05-09,57.669998,57.669998,56.529999,56.790001,52.303173,266900
2018-05-10,56.759998,57.080002,56.230000,56.910000,52.413689,186200
2018-05-11,57.110001,57.459999,56.580002,57.220001,52.699192,223300
2018-05-14,57.290001,57.709999,57.150002,57.290001,52.763668,326600
2018-05-15,56.959999,58.060001,56.650002,58.009998,53.426781,345500
2018-05-16,58.200001,59.660000,58.200001,58.939999,54.283314,259800
2018-05-17,58.849998,60.110001,58.849998,59.259998,54.578026,299500
2018-05-18,59.480000,60.049999,59.189999,59.419998,54.725380,315200
2018-05-21,59.720001,59.830002,58.459999,59.299999,54.614864,249000
2018-05-22,59.200001,59.220001,58.240002,58.340000,53.730709,213300
2018-05-23,57.990002,57.990002,57.029999,57.680000,53.122849,196600
2018-05-24,57.490002,57.669998,56.310001,57.189999,52.671574,207900
2018-05-25,56.990002,57.330002,56.029999,56.680000,52.201859,256100
2018-05-29,56.220001,57.320000,55.810001,56.389999,51.934772,316700
2018-05-30,56.939999,57.810001,56.720001,57.330002,52.800518,322700
2018-05-31,57.340000,57.759998,56.369999,56.869999,52.376854,250200
2018-06-01,57.529999,57.730000,56.750000,57.180000,52.662361,170200
2018-06-04,57.560001,57.939999,57.099998,57.470001,52.929443,165400
2018-06-05,57.419998,57.959999,56.970001,57.689999,53.132057,163400
2018-06-06,58.000000,58.900002,57.720001,58.740002,54.099102,270400
2018-06-07,58.750000,58.980000,58.490002,58.770000,54.126747,175600
2018-06-08,58.779999,59.279999,58.040001,59.110001,54.439877,260900
2018-06-11,59.169998,59.169998,57.990002,58.650002,54.016209,227700
2018-06-12,58.709999,58.889999,57.709999,58.099998,53.509670,275400
2018-06-13,58.290001,58.570000,57.650002,58.110001,53.518875,252600
2018-06-14,58.400002,58.470001,56.560001,57.090000,52.579472,514900
2018-06-15,56.880001,57.689999,56.509998,57.540001,52.993912,1507800
2018-06-18,57.529999,57.939999,57.009998,57.270000,52.745247,583500
2018-06-19,56.860001,57.529999,56.400002,57.279999,52.754456,359300
2018-06-20,57.500000,58.639999,56.810001,58.509998,53.887272,350100
2018-06-21,58.580002,58.580002,57.369999,57.730000,53.168907,211700
2018-06-22,58.230000,58.450001,57.080002,57.139999,52.625511,317800
2018-06-25,56.980000,57.400002,55.889999,56.580002,52.109764,236400
2018-06-26,56.849998,57.740002,56.230000,57.660000,53.104435,239900
2018-06-27,57.790001,57.790001,56.049999,56.139999,51.704536,277700
2018-06-28,55.770000,55.770000,53.849998,54.700001,50.495232,353700
2018-06-29,55.009998,56.160000,55.009998,55.660000,51.381432,343200
2018-07-02,55.009998,56.040001,54.439999,56.029999,51.722992,227600
2018-07-03,56.189999,56.570000,55.320000,55.480000,51.215267,202000
2018-07-05,55.910000,56.160000,55.070000,56.130001,51.815300,263900
2018-07-06,56.009998,56.980000,55.869999,56.130001,51.815300,271700
2018-07-09,56.520000,56.930000,56.060001,56.750000,52.387646,155900
2018-07-10,56.680000,57.169998,56.419998,56.770000,52.406105,206300
2018-07-11,56.299999,56.660000,55.919998,56.139999,51.824532,162200
2018-07-12,56.509998,56.509998,55.369999,56.029999,51.722992,259400
2018-07-13,55.930000,56.610001,55.680000,56.020000,51.713757,172700
2018-07-16,56.080002,56.480000,53.810001,54.230000,50.061348,212400
2018-07-17,54.049999,54.919998,54.049999,54.500000,50.310600,222200
2018-07-18,54.529999,55.240002,54.150002,54.919998,50.698311,196800
2018-07-19,54.770000,55.520000,54.270000,55.320000,51.067570,215300
2018-07-20,55.220001,55.450001,54.450001,54.599998,50.402916,209600
2018-07-23,54.400002,54.880001,53.740002,54.279999,50.107506,124700
2018-07-24,54.599998,54.599998,53.169998,53.419998,49.313618,118600
2018-07-25,53.349998,53.349998,51.209999,51.990002,47.993538,487800
2018-07-26,51.990002,53.270000,51.939999,52.009998,48.012005,235400
2018-07-27,52.130001,52.250000,50.840000,51.049999,47.125797,274900
2018-07-30,51.230000,53.000000,51.230000,52.360001,48.335098,316300
2018-07-31,52.480000,54.119999,52.080002,53.950001,49.802887,331100
2018-08-01,53.650002,53.919998,52.759998,53.119999,49.036682,221900
2018-08-02,52.790001,54.279999,52.500000,53.750000,49.618248,205400
2018-08-03,53.490002,54.570000,52.549999,52.639999,48.593575,241000
2018-08-06,52.990002,53.799999,52.400002,53.220001,49.128990,329300
2018-08-07,53.490002,53.689999,52.639999,52.980000,48.907444,332700
2018-08-08,50.200001,50.919998,45.639999,46.169998,42.620922,1674100
2018-08-09,45.869999,48.220001,45.509998,46.290001,42.731693,1019200
2018-08-10,45.560001,46.389999,44.480000,45.540001,42.039352,862300
2018-08-13,45.490002,45.490002,44.099998,44.169998,40.774662,892400
2018-08-14,44.060001,44.709999,42.779999,42.970001,39.666908,1292400
2018-08-15,42.380001,42.889999,40.759998,42.060001,38.826859,1260900
2018-08-16,42.119999,44.290001,42.119999,44.000000,40.617729,778000
2018-08-17,43.880001,44.250000,43.720001,44.049999,40.663891,663700
2018-08-20,43.959999,44.200001,43.700001,44.060001,40.673122,473800
2018-08-21,44.099998,44.580002,43.990002,44.419998,41.005455,362800
2018-08-22,44.400002,44.880001,44.119999,44.389999,40.977749,616600
