Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,18.400000,18.840000,18.400000,18.570000,16.273672,7560100
2018-03-29,18.600000,18.809999,18.520000,18.639999,16.335018,6308300
2018-04-02,18.660000,18.700001,18.139999,18.290001,16.028297,5589300
2018-04-03,18.379999,18.719999,18.330000,18.650000,16.343777,5036800
2018-04-04,18.480000,18.830000,18.400000,18.809999,16.483992,4377000
2018-04-05,18.850000,18.920000,18.549999,18.639999,16.335018,6879600
2018-04-06,18.559999,18.730000,18.360001,18.450001,16.168509,4161200
2018-04-09,18.500000,18.540001,18.230000,18.240000,15.984478,5223600
2018-04-10,18.410000,18.500000,18.219999,18.250000,15.993242,7183200
2018-04-11,18.209999,18.610001,18.160000,18.480000,16.194798,6500400
2018-04-12,18.580000,19.340000,18.430000,19.230000,16.852055,12637900
2018-04-13,19.330000,19.400000,19.040001,19.139999,16.773188,7027600
2018-04-16,19.290001,19.570000,19.250000,19.450001,17.044851,4956500
2018-04-17,19.459999,19.709999,19.389999,19.670000,17.237646,8179400
2018-04-18,19.719999,19.870001,19.590000,19.780001,17.334044,4961200
2018-04-19,19.730000,19.780001,19.360001,19.459999,17.053614,5539900
2018-04-20,19.459999,19.559999,19.370001,19.420000,17.018560,4511900
2018-04-23,19.440001,19.530001,19.330000,19.459999,17.053614,4158200
2018-04-24,19.590000,19.590000,19.180000,19.299999,16.913397,4451800
2018-04-25,19.270000,19.620001,19.219999,19.620001,17.193832,7608300
2018-04-26,19.620001,19.740000,19.500000,19.600000,17.176304,5028700
2018-04-27,19.580000,19.860001,19.520000,19.750000,17.307755,5002300
2018-04-30,19.809999,19.820000,19.480000,19.559999,17.141247,6524200
2018-05-01,19.580000,19.639999,19.340000,19.530001,17.114960,3072000
2018-05-02,19.430000,19.520000,19.320000,19.430000,17.027327,5904100
2018-05-03,19.490000,19.850000,19.360001,19.430000,17.027327,8576600
2018-05-04,19.459999,19.990000,19.400000,19.840000,17.386623,7173900
2018-05-07,19.910000,20.129999,19.780001,20.120001,17.632000,5588700
2018-05-08,20.139999,20.160000,19.969999,20.030001,17.553129,6803600
2018-05-09,20.110001,20.629999,20.059999,20.610001,18.061411,6856500
2018-05-10,20.670000,20.959999,20.610001,20.920000,18.333076,7188000
2018-05-11,20.940001,21.030001,20.719999,20.730000,18.166567,5445500
2018-05-14,20.799999,20.959999,20.650000,20.879999,18.298023,5951100
2018-05-15,20.750000,20.809999,20.290001,20.340000,17.824795,8669300
2018-05-16,20.350000,20.450001,20.070000,20.209999,17.710871,9603200
2018-05-17,20.280001,20.440001,20.250000,20.309999,17.798508,5413700
2018-05-18,20.340000,20.540001,20.240000,20.500000,17.965010,6262400
2018-05-21,20.660000,21.120001,20.629999,21.110001,18.499578,8573000
2018-05-22,21.100000,21.290001,20.969999,21.219999,18.595978,6559800
2018-05-23,21.190001,21.570000,21.170000,21.410000,18.762482,6020000
2018-05-24,21.450001,21.700001,21.400000,21.660000,18.981567,9778600
2018-05-25,21.650000,21.730000,21.469999,21.559999,18.893930,4213400
