Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,16.430000,16.660000,16.250000,16.530001,13.206050,133800
2018-03-29,16.570000,16.760000,16.480000,16.480000,13.166105,108400
2018-04-02,16.500000,16.610001,16.160000,16.330000,13.046267,124900
2018-04-03,16.400000,16.740000,16.150000,16.340000,13.054254,88500
2018-04-04,16.180000,16.500000,16.180000,16.430000,13.126157,60500
2018-04-05,16.549999,16.639999,16.370001,16.590000,13.253980,58200
2018-04-06,16.510000,16.549999,16.120001,16.260000,12.990344,100300
2018-04-09,16.420000,16.540001,16.250000,16.260000,12.990344,49700
2018-04-10,16.420000,16.580000,16.190001,16.510000,13.190071,58500
2018-04-11,16.459999,16.500000,16.250000,16.400000,13.102190,253000
2018-04-12,16.459999,16.570000,16.400000,16.459999,13.150123,312100
2018-04-13,16.549999,16.549999,16.170000,16.209999,12.950397,58800
2018-04-16,16.299999,16.459999,16.170000,16.400000,13.102190,100100
2018-04-17,16.450001,16.469999,16.190001,16.280001,13.006319,75000
2018-04-18,16.309999,16.389999,16.230000,16.230000,12.966372,79300
2018-04-19,16.219999,16.450001,16.219999,16.379999,13.086211,75700
2018-04-20,16.320000,16.530001,16.290001,16.490000,13.174092,59800
2018-04-23,16.559999,16.670000,16.520000,16.590000,13.253980,109500
2018-04-24,16.670000,16.850000,16.570000,16.830000,13.445721,224800
2018-04-25,16.820000,16.860001,16.639999,16.750000,13.381812,121700
2018-04-26,16.740000,16.950001,16.450001,16.780001,13.405778,58400
2018-04-27,16.830000,17.180000,16.820000,16.850000,13.461699,115400
2018-04-30,17.000000,17.000000,16.480000,16.490000,13.174092,134100
2018-05-01,16.500000,16.820000,16.209999,16.799999,13.421755,187300
2018-05-02,16.730000,17.100000,16.000000,16.910000,13.509636,267800
2018-05-03,16.830000,16.830000,16.530001,16.600000,13.261975,93800
2018-05-04,16.540001,16.889999,16.469999,16.730000,13.365831,132600
2018-05-07,16.790001,16.950001,16.600000,16.799999,13.421755,87100
2018-05-08,16.799999,17.030001,16.799999,17.000000,13.581536,88300
2018-05-09,16.969999,17.160000,16.870001,17.110001,13.758444,118100
2018-05-10,17.049999,17.170000,16.840000,16.870001,13.565459,164600
2018-05-11,16.870001,16.990000,16.809999,16.820000,13.525250,115000
2018-05-14,16.860001,16.879999,16.660000,16.730000,13.452879,130500
2018-05-15,16.670000,16.920000,16.670000,16.830000,13.533291,69200
2018-05-16,16.830000,16.910000,16.730000,16.809999,13.517208,210600
2018-05-17,16.629999,17.100000,16.570000,17.030001,13.694116,132700
2018-05-18,17.120001,17.139999,16.799999,16.900000,13.589581,144500
2018-05-21,16.920000,17.190001,16.920000,17.030001,13.694116,335000
2018-05-22,17.030001,17.430000,16.120001,17.230000,13.854937,179200
2018-05-23,17.230000,17.320000,17.070000,17.190001,13.822773,156000
2018-05-24,17.170000,17.180000,16.420000,17.090000,13.742360,160500
2018-05-25,17.070000,17.170000,16.959999,17.020000,13.686072,198300
2018-05-29,16.950001,17.049999,16.709999,16.870001,13.565459,127800
2018-05-30,16.950001,17.190001,16.950001,17.090000,13.742360,110000
2018-05-31,17.010000,17.209999,16.990000,17.059999,13.718236,129800
2018-06-01,17.070000,17.420000,16.980000,17.400000,13.991636,164100
2018-06-04,17.420000,17.670000,17.420000,17.540001,14.104211,161100
2018-06-05,17.540001,17.570000,17.450001,17.520000,14.088130,510900
2018-06-06,17.600000,18.049999,17.600000,18.049999,14.514313,187200
2018-06-07,18.049999,18.100000,17.959999,18.010000,14.482149,157500
2018-06-08,18.010000,18.090000,17.930000,17.940001,14.425861,100400
2018-06-11,17.930000,18.080000,17.790001,17.850000,14.353492,239600
2018-06-12,17.840000,17.959999,17.530001,17.580000,14.136379,91600
2018-06-13,17.629999,17.730000,17.420000,17.500000,14.072049,331500
2018-06-14,17.620001,17.620001,17.340000,17.450001,14.031841,174400
2018-06-15,17.340000,17.559999,17.260000,17.450001,14.031841,176900
2018-06-18,17.350000,17.620001,16.950001,17.570000,14.128339,115400
2018-06-19,17.469999,17.650000,17.459999,17.559999,14.120295,193000
2018-06-20,17.610001,17.750000,17.510000,17.590000,14.144420,206100
2018-06-21,17.570000,17.629999,17.379999,17.400000,13.991636,158700
2018-06-22,17.420000,17.650000,17.370001,17.629999,14.176583,1769500
2018-06-25,17.549999,17.670000,17.370001,17.430000,14.015759,244700
2018-06-26,17.430000,17.490000,17.290001,17.299999,13.911222,166500
2018-06-27,17.280001,17.299999,17.040001,17.070000,13.726278,111400
2018-06-28,17.080000,17.160000,17.010000,17.070000,13.726278,224700
2018-06-29,17.120001,17.230000,16.990000,16.990000,13.661949,297900
2018-07-02,16.959999,17.180000,16.940001,17.120001,13.766483,354100
2018-07-03,17.170000,17.410000,17.010000,17.049999,13.710196,137700
2018-07-05,17.139999,17.230000,17.049999,17.129999,13.774525,160800
2018-07-06,17.129999,17.280001,17.080000,17.120001,13.766483,115800
2018-07-09,17.209999,17.450001,17.160000,17.410000,13.999681,170800
2018-07-10,17.459999,17.469999,17.040001,17.070000,13.726278,99100
2018-07-11,17.040001,17.180000,16.920000,16.930000,13.613704,80800
2018-07-12,17.000000,17.000000,16.610001,16.690001,13.420716,96400
2018-07-13,16.750000,16.870001,16.629999,16.730000,13.452879,171300
2018-07-16,16.730000,16.860001,16.709999,16.840000,13.541334,124000
2018-07-17,16.830000,16.940001,16.750000,16.809999,13.517208,89700
2018-07-18,17.080000,17.139999,16.820000,17.010000,13.678035,116600
2018-07-19,17.020000,17.070000,16.809999,16.940001,13.621744,140400
2018-07-20,16.860001,16.969999,16.770000,16.959999,13.637826,163700
2018-07-23,16.900000,17.129999,16.719999,17.049999,13.710196,106900
2018-07-24,17.139999,17.350000,17.030001,17.200001,13.830814,218300
2018-07-25,17.170000,17.230000,16.879999,16.969999,13.645864,107800
2018-07-26,16.969999,17.110001,16.809999,16.820000,13.525250,168100
2018-07-27,15.940000,16.350000,14.300000,15.400000,12.383403,282500
2018-07-30,15.760000,16.500000,15.330000,15.360000,12.351238,225500
2018-07-31,15.320000,15.320000,14.840000,15.230000,12.246702,355000
2018-08-01,15.210000,15.430000,15.110000,15.220000,12.238662,202400
2018-08-02,15.120000,15.190000,15.060000,15.160000,12.190415,123100
2018-08-03,15.090000,15.250000,14.920000,14.970000,12.037632,151600
2018-08-06,14.910000,15.000000,14.250000,14.790000,11.892891,164000
2018-08-07,14.910000,15.030000,14.750000,14.760000,11.868770,126100
2018-08-08,14.860000,14.980000,14.580000,14.820000,11.917014,293600
2018-08-09,14.790000,14.920000,14.660000,14.710000,11.917014,174700
2018-08-10,14.650000,14.890000,14.580000,14.710000,11.917014,176400
2018-08-13,14.630000,14.920000,14.600000,14.800000,11.989927,207900
2018-08-14,14.900000,15.210000,14.880000,15.030000,12.176259,566400
2018-08-15,14.970000,15.360000,14.970000,15.120000,12.249170,773300
2018-08-16,15.170000,15.420000,15.140000,15.410000,12.484105,215000
2018-08-17,15.360000,15.590000,15.340000,15.570000,12.613727,428800
2018-08-20,15.610000,15.700000,15.480000,15.690000,12.710941,212300
2018-08-21,15.750000,16.059999,15.700000,16.000000,12.962085,490900
2018-08-22,16.030001,16.190001,16.000000,16.059999,13.010690,189300
2018-08-23,16.070000,16.090000,15.870000,16.030001,12.986387,201300
2018-08-24,16.040001,16.110001,15.950000,16.010000,12.970185,299500
2018-08-27,16.059999,16.100000,15.830000,15.900000,12.881070,193800
2018-08-28,15.900000,15.960000,15.690000,15.770000,12.775753,137200
2018-08-29,15.800000,15.800000,15.600000,15.760000,12.767653,173300
2018-08-30,15.770000,15.890000,15.650000,15.740000,12.751450,176400
2018-08-31,15.710000,15.870000,15.630000,15.840000,12.832463,186800
2018-09-04,15.800000,15.880000,15.670000,15.860000,12.848666,158400
2018-09-05,15.890000,15.900000,15.700000,15.750000,12.759550,158600
2018-09-06,15.750000,15.760000,15.620000,15.650000,12.678537,119700
2018-09-07,15.660000,15.740000,15.610000,15.700000,12.719044,113000
2018-09-10,15.760000,15.820000,15.630000,15.670000,12.694740,99700
2018-09-11,15.660000,15.770000,15.640000,15.690000,12.710941,116200
2018-09-12,15.670000,15.670000,15.410000,15.490000,12.548916,159200
2018-09-13,15.510000,15.550000,15.170000,15.170000,12.289676,186200
2018-09-14,15.170000,15.300000,15.080000,15.180000,12.297774,163300
2018-09-17,15.150000,15.190000,14.960000,14.990000,12.143851,185000
2018-09-18,15.000000,15.070000,14.950000,15.020000,12.168157,184500
2018-09-19,15.060000,15.250000,15.030000,15.210000,12.322081,201900
2018-09-20,15.300000,15.550000,15.300000,15.520000,12.573221,110500
2018-09-21,15.500000,15.570000,15.150000,15.360000,12.443599,1274800
2018-09-24,15.340000,15.420000,15.050000,15.190000,12.305877,146800
2018-09-25,15.230000,15.240000,15.140000,15.200000,12.313978,104900
2018-09-26,15.190000,15.220000,14.930000,14.930000,12.095245,145300
2018-09-27,14.950000,14.980000,14.830000,14.860000,12.038535,226500
2018-09-28,14.810000,14.920000,14.810000,14.920000,12.087142,151100
