Date,Open,High,Low,Close,Adj Close,Volume
2021-02-09,10.300000,10.450000,10.300000,10.360000,10.360000,59900
2021-02-10,10.350000,10.355000,10.230000,10.340000,10.340000,171800
2021-02-11,10.400000,10.400000,10.250000,10.300000,10.300000,93400
2021-02-12,10.335000,10.420000,10.280000,10.410000,10.410000,207100
2021-02-16,10.470000,10.532000,10.400000,10.440000,10.440000,183500
2021-02-17,10.320000,10.420000,10.320000,10.360000,10.360000,23600
2021-02-18,10.350000,10.500000,10.320000,10.450000,10.450000,23500
2021-02-19,10.410000,10.600000,10.400000,10.560000,10.560000,39100
2021-02-22,10.590000,10.610000,10.420000,10.480000,10.480000,18000
2021-02-23,10.450000,10.450000,10.070000,10.360000,10.360000,45400
2021-02-24,10.290000,10.500000,10.240000,10.420000,10.420000,26600
2021-02-25,10.470000,10.470000,10.150000,10.250000,10.250000,65400
2021-02-26,10.300000,10.300000,10.000000,10.140000,10.140000,68500
2021-03-01,10.420000,10.420000,10.080000,10.110000,10.110000,117200
2021-03-02,10.170000,10.240000,9.970000,10.060000,10.060000,107400
2021-03-03,10.000000,10.090000,9.900000,10.070000,10.070000,38900
2021-03-04,10.100000,10.128000,9.880000,9.980000,9.980000,126200
2021-03-05,9.990000,10.130000,9.860000,9.990000,9.990000,111200
2021-03-08,9.980000,10.000000,9.960000,9.960000,9.960000,16800
2021-03-09,9.960000,10.030000,9.960000,10.020000,10.020000,63300
2021-03-10,9.970000,10.020000,9.935000,10.020000,10.020000,256600
2021-03-11,9.960000,10.010000,9.960000,9.990000,9.990000,226000
2021-03-12,9.970000,9.980000,9.970000,9.970000,9.970000,6200
2021-03-15,9.970000,9.990000,9.960000,9.960000,9.960000,7600
2021-03-16,9.960000,9.990000,9.950000,9.980000,9.980000,35800
2021-03-17,9.950000,9.960000,9.950000,9.950000,9.950000,8300
2021-03-18,9.950000,9.950000,9.890000,9.925000,9.925000,123700
2021-03-19,9.936000,9.950000,9.930000,9.930000,9.930000,32500
2021-03-22,9.860000,9.970000,9.850000,9.970000,9.970000,12600
2021-03-23,9.910000,9.910000,9.820000,9.870000,9.870000,42300
2021-03-24,9.886000,9.886000,9.820000,9.845000,9.845000,78900
2021-03-25,9.830000,9.950000,9.550000,9.950000,9.950000,75000
2021-03-26,9.950000,9.970000,9.950000,9.970000,9.970000,7700
2021-03-29,9.880000,9.950000,9.880000,9.950000,9.950000,2000
2021-03-30,9.860000,9.960000,9.860000,9.910000,9.910000,6300
2021-03-31,9.907000,9.960000,9.900000,9.900000,9.900000,5700
2021-04-01,9.910000,9.910000,9.900000,9.905000,9.905000,5800
2021-04-05,9.900000,9.924000,9.890000,9.910000,9.910000,47000
2021-04-06,9.910000,9.945000,9.910000,9.941000,9.941000,32500
2021-04-07,9.940000,9.942000,9.930000,9.940000,9.940000,115600
2021-04-08,9.940000,9.980000,9.940000,9.980000,9.980000,37800
2021-04-09,9.968000,10.070000,9.968000,10.008000,10.008000,28400
2021-04-12,10.040000,10.050000,10.040000,10.040000,10.040000,5000
2021-04-13,9.930000,10.050000,9.930000,10.050000,10.050000,16800
2021-04-14,9.990000,10.000000,9.990000,10.000000,10.000000,174800
2021-04-15,9.980000,10.050000,9.960000,10.040000,10.040000,44300
2021-04-16,9.950000,10.050000,9.940000,9.970000,9.970000,874800
2021-04-19,9.980000,10.050000,9.980000,10.005000,10.005000,267800
2021-04-20,10.080000,10.080000,9.960000,10.020000,10.020000,51400
2021-04-21,9.940000,10.100000,9.940000,10.100000,10.100000,20200
2021-04-22,10.000000,10.050000,10.000000,10.050000,10.050000,12700
2021-04-23,10.017000,10.025000,10.010000,10.025000,10.025000,1700
2021-04-26,10.010000,10.010000,9.980000,9.980000,9.980000,1700
2021-04-27,9.994000,10.010000,9.994000,10.005000,10.005000,2800
2021-04-28,9.980000,10.020000,9.970000,10.005000,10.005000,48500
2021-04-29,10.000000,10.000000,9.970000,10.000000,10.000000,21100
2021-04-30,10.000000,10.020000,9.980000,10.020000,10.020000,6200
2021-05-03,9.990000,10.040000,9.990000,10.030000,10.030000,13200
2021-05-04,9.980000,10.025000,9.980000,10.000000,10.000000,11700
2021-05-05,10.000000,10.020000,9.970000,10.020000,10.020000,91700
2021-05-06,10.000000,10.000000,9.980000,9.980000,9.980000,4500
2021-05-07,9.980000,10.000000,9.970000,10.000000,10.000000,31100
2021-05-10,10.000000,10.000000,9.920000,9.960000,9.960000,69700
2021-05-11,9.970000,10.020000,9.930000,9.930000,9.930000,11300
2021-05-12,9.920000,9.990000,9.920000,9.990000,9.990000,1000
2021-05-13,9.910000,9.980000,9.900000,9.980000,9.980000,4400
2021-05-14,9.930000,9.980000,9.930000,9.940000,9.940000,4700
2021-05-17,9.920000,9.950000,9.920000,9.930000,9.930000,19400
2021-05-18,9.909000,9.990000,9.909000,9.990000,9.990000,1200
2021-05-19,9.910000,9.980000,9.910000,9.980000,9.980000,1000
2021-05-20,9.890000,9.980000,9.890000,9.970000,9.970000,2400
2021-05-21,9.900000,9.980000,9.900000,9.970000,9.970000,9900
2021-05-24,9.970000,9.970000,9.950000,9.950000,9.950000,22200
2021-05-25,9.950000,10.000000,9.950000,10.000000,10.000000,34500
2021-05-26,10.000000,10.000000,10.000000,10.000000,10.000000,0
2021-05-27,9.930000,10.000000,9.920000,10.000000,10.000000,23700
2021-05-28,9.980000,9.990000,9.980000,9.990000,9.990000,700
2021-06-01,9.960000,10.000000,9.950000,10.000000,10.000000,30700
2021-06-02,9.950000,10.010000,9.940000,9.950000,9.950000,26100
2021-06-03,9.950000,9.950000,9.950000,9.950000,9.950000,400
2021-06-04,9.971000,9.980000,9.970000,9.980000,9.980000,21600
2021-06-07,9.970000,9.980000,9.970000,9.980000,9.980000,11100
2021-06-08,9.970000,9.970000,9.970000,9.970000,9.970000,300
2021-06-09,9.980000,9.990000,9.970000,9.990000,9.990000,9200
