Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,22.570000,22.570000,21.330000,22.260000,22.260000,212800
2018-03-29,22.200001,23.379999,21.299999,22.350000,22.350000,170100
2018-04-02,22.080000,22.129999,20.410000,21.879999,21.879999,355200
2018-04-03,21.900000,21.915001,19.665001,20.580000,20.580000,421300
2018-04-04,20.020000,20.245001,19.059999,19.110001,19.110001,402500
2018-04-05,19.090000,19.750000,18.389999,19.709999,19.709999,288600
2018-04-06,19.059999,19.480000,17.250000,18.480000,18.480000,372100
2018-04-09,19.330000,22.219999,19.110001,19.780001,19.780001,628300
2018-04-10,20.100000,23.020000,19.650000,21.250000,21.250000,752400
2018-04-11,21.150000,21.549000,19.809999,20.320000,20.320000,489300
2018-04-12,20.480000,22.770000,19.950001,21.629999,21.629999,403900
2018-04-13,21.600000,22.030001,19.950001,20.500000,20.500000,341600
2018-04-16,20.469999,20.830000,19.820000,20.680000,20.680000,206000
2018-04-17,20.670000,21.629999,20.490000,20.809999,20.809999,308100
2018-04-18,20.900000,21.143999,19.309999,19.440001,19.440001,252800
2018-04-19,19.490000,20.520000,19.490000,19.780001,19.780001,236000
2018-04-20,19.580000,19.830000,19.120001,19.459999,19.459999,131900
2018-04-23,19.350000,19.799999,18.610001,18.760000,18.760000,259500
2018-04-24,18.750000,19.069000,18.040001,18.370001,18.370001,208200
2018-04-25,18.450001,19.889999,18.020000,19.290001,19.290001,243900
2018-04-26,19.270000,20.698999,18.889999,20.570000,20.570000,310100
2018-04-27,21.260000,22.445000,19.969000,20.139999,20.139999,557800
2018-04-30,20.070000,20.920000,19.590000,20.590000,20.590000,301000
2018-05-01,20.490000,21.549999,20.280001,20.889999,20.889999,246800
2018-05-02,20.910000,21.695000,20.559999,20.780001,20.780001,170900
2018-05-03,20.680000,21.143000,20.059999,20.160000,20.160000,130500
2018-05-04,20.049999,20.590000,19.969999,20.200001,20.200001,131000
2018-05-07,20.180000,20.559999,19.809999,20.350000,20.350000,136200
2018-05-08,20.309999,20.542999,19.400000,19.629999,19.629999,281400
2018-05-09,19.000000,19.160000,16.190001,16.639999,16.639999,1127900
2018-05-10,16.690001,16.809999,15.410000,15.450000,15.450000,1058000
2018-05-11,15.510000,17.580000,15.510000,16.780001,16.780001,670700
2018-05-14,16.850000,18.450001,16.850000,18.080000,18.080000,516100
2018-05-15,17.660000,17.882999,16.379999,16.600000,16.600000,583700
2018-05-16,16.750000,18.090000,16.500000,17.670000,17.670000,855900
2018-05-17,12.150000,13.000000,11.380000,11.450000,11.450000,6952100
2018-05-18,11.660000,11.879000,11.280000,11.370000,11.370000,1378500
2018-05-21,11.430000,11.640000,10.205000,10.600000,10.600000,1570400
2018-05-22,10.620000,11.090000,10.260000,10.810000,10.810000,1096800
2018-05-23,10.810000,11.680000,10.760000,11.600000,11.600000,938500
2018-05-24,11.600000,11.850000,11.050000,11.110000,11.110000,503300
2018-05-25,11.150000,11.640000,10.840000,11.390000,11.390000,479900
2018-05-29,11.410000,11.600000,11.050000,11.250000,11.250000,333300
2018-05-30,11.280000,11.550000,10.950000,11.010000,11.010000,473400
2018-05-31,11.050000,11.370000,10.900000,11.250000,11.250000,626800
2018-06-01,11.250000,11.820000,11.120000,11.230000,11.230000,777500
2018-06-04,8.900000,9.200000,6.920000,7.470000,7.470000,7074800
2018-06-05,7.450000,7.740000,7.020000,7.620000,7.620000,2722100
2018-06-06,7.630000,7.914000,7.180000,7.290000,7.290000,1829300
2018-06-07,7.270000,7.395000,7.090000,7.350000,7.350000,1509100
2018-06-08,7.300000,7.520000,7.250000,7.430000,7.430000,964500
2018-06-11,7.440000,7.540000,7.210000,7.270000,7.270000,893200
2018-06-12,7.330000,8.210000,7.270000,7.940000,7.940000,1498300
2018-06-13,7.980000,7.980000,7.640000,7.790000,7.790000,635900
2018-06-14,7.780000,7.920000,7.620000,7.830000,7.830000,577200
2018-06-15,7.840000,8.060000,7.740000,7.920000,7.920000,631200
2018-06-18,7.860000,8.000000,7.710000,7.930000,7.930000,386100
2018-06-19,7.980000,8.461000,7.920000,7.920000,7.920000,1162400
2018-06-20,7.950000,8.480000,7.950000,8.400000,8.400000,714200
2018-06-21,8.400000,8.780000,7.950000,8.150000,8.150000,824400
2018-06-22,8.210000,8.550000,8.040000,8.510000,8.510000,628900
2018-06-25,8.440000,8.760000,8.070000,8.200000,8.200000,490300
2018-06-26,8.150000,8.360000,7.841000,8.010000,8.010000,405800
2018-06-27,8.060000,8.220000,6.840000,7.350000,7.350000,833800
2018-06-28,7.650000,7.710000,7.170000,7.540000,7.540000,469300
2018-06-29,7.640000,7.750000,7.460000,7.660000,7.660000,298900
2018-07-02,7.570000,7.900000,7.470000,7.900000,7.900000,261700
2018-07-03,7.920000,8.060000,7.650000,7.760000,7.760000,185300
2018-07-05,7.840000,8.000000,7.700000,7.790000,7.790000,301800
2018-07-06,7.790000,8.070000,7.700000,7.950000,7.950000,277400
2018-07-09,7.970000,8.120000,7.740000,8.050000,8.050000,261400
2018-07-10,8.090000,8.200000,7.930000,8.130000,8.130000,265300
2018-07-11,8.110000,8.260000,8.030000,8.120000,8.120000,230100
