Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,61.470001,62.119999,61.180000,61.880001,56.266106,104700
2018-03-29,62.099998,63.060001,62.090000,62.119999,56.484329,158000
2018-04-02,61.950001,62.720001,60.049999,60.580002,55.084045,94400
2018-04-03,60.779999,61.520000,60.610001,61.250000,55.693260,140200
2018-04-04,60.590000,61.740002,60.360001,61.599998,56.011505,95300
2018-04-05,61.849998,63.570000,61.740002,63.490002,57.730038,126700
2018-04-06,63.000000,63.529999,61.169998,61.730000,56.129707,168300
2018-04-09,62.130001,62.470001,61.490002,61.509998,55.929676,58300
2018-04-10,62.150002,62.810001,61.840000,62.020000,56.393402,127500
2018-04-11,61.700001,62.310001,61.480000,62.090000,56.457047,67300
2018-04-12,62.200001,62.549999,61.860001,62.310001,56.657089,62700
2018-04-13,62.549999,62.549999,61.840000,62.040001,56.411587,76700
2018-04-16,62.389999,63.000000,62.180000,62.820000,57.120819,92900
2018-04-17,63.220001,63.660000,62.910000,63.369999,57.620930,101100
2018-04-18,63.540001,64.629997,63.380001,64.500000,58.648411,172700
2018-04-19,64.419998,65.239998,64.180000,64.220001,58.393818,102100
2018-04-20,64.059998,64.580002,63.770000,63.950001,58.148319,49000
2018-04-23,64.040001,64.449997,63.320000,63.750000,57.966457,80900
2018-04-24,63.990002,64.309998,61.730000,62.380001,56.720737,115700
2018-04-25,62.270000,63.139999,61.630001,62.700001,57.011715,105300
2018-04-26,62.820000,62.820000,61.750000,62.040001,56.411587,92600
2018-04-27,62.110001,62.160000,61.279999,61.779999,56.175171,50500
2018-04-30,61.779999,62.020000,60.500000,60.639999,55.138596,132900
2018-05-01,60.599998,60.599998,59.529999,60.099998,54.647579,137100
2018-05-02,60.080002,60.970001,59.799999,60.150002,54.693047,187000
2018-05-03,60.299999,60.799999,59.590000,60.180000,54.720322,158600
2018-05-04,59.849998,61.849998,59.799999,61.310001,55.747818,101000
2018-05-07,61.450001,62.200001,61.209999,62.080002,56.447960,89700
2018-05-08,64.000000,67.739998,62.360001,67.129997,61.039818,476800
2018-05-09,67.199997,68.120003,65.750000,67.800003,61.649036,185200
2018-05-10,68.220001,69.300003,67.580002,68.769997,62.531017,195400
2018-05-11,68.980003,69.930000,68.349998,69.889999,63.549416,142300
2018-05-14,70.000000,70.120003,69.239998,69.720001,63.394844,138400
