Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,7.690000,8.010000,7.690000,7.930000,6.320738,1213600
2018-03-29,7.970000,7.990000,7.850000,7.870000,6.272914,1539800
2018-04-02,7.880000,7.950000,7.700000,7.750000,6.177267,1089900
2018-04-03,7.750000,7.970000,7.740000,7.910000,6.304797,1234200
2018-04-04,7.840000,8.000000,7.840000,7.970000,6.352621,761600
2018-04-05,7.990000,8.040000,7.900000,8.020000,6.392476,757400
2018-04-06,8.030000,8.100000,7.910000,7.940000,6.328709,773200
2018-04-09,7.970000,8.030000,7.900000,7.920000,6.312768,1532200
2018-04-10,7.950000,7.990000,7.890000,7.930000,6.320738,1178100
2018-04-11,7.890000,8.010000,7.870000,7.900000,6.296827,761800
2018-04-12,7.910000,7.920000,7.780000,7.790000,6.209149,817900
2018-04-13,7.800000,7.870000,7.740000,7.820000,6.233062,745400
2018-04-16,7.820000,7.900000,7.770000,7.860000,6.264944,1323200
2018-04-17,7.880000,7.970000,7.850000,7.910000,6.304797,1074000
2018-04-18,7.890000,7.970000,7.890000,7.930000,6.320738,895400
2018-04-19,7.870000,7.940000,7.680000,7.720000,6.153354,1110500
2018-04-20,7.720000,7.750000,7.630000,7.650000,6.097560,797100
2018-04-23,7.670000,7.700000,7.590000,7.660000,6.105531,748700
2018-04-24,7.670000,7.810000,7.620000,7.790000,6.209149,1535300
2018-04-25,7.790000,7.870000,7.720000,7.820000,6.233062,752200
2018-04-26,7.880000,7.970000,7.840000,7.920000,6.312768,697600
2018-04-27,7.950000,8.160000,7.940000,8.070000,6.432328,853200
2018-04-30,8.210000,8.220000,8.030000,8.040000,6.408416,1133200
2018-05-01,8.030000,8.210000,8.000000,8.160000,6.504065,897200
2018-05-02,8.120000,8.210000,7.980000,8.150000,6.496093,925200
2018-05-03,8.130000,8.210000,8.080000,8.160000,6.504065,933200
2018-05-04,8.150000,8.260000,8.140000,8.230000,6.559858,587500
2018-05-07,8.300000,8.460000,8.280000,8.440000,6.727244,1062200
2018-05-08,8.380000,8.490000,8.260000,8.430000,6.719272,1746800
2018-05-09,8.200000,8.350000,8.100000,8.300000,6.615653,3053600
2018-05-10,8.350000,8.380000,8.250000,8.360000,6.663477,1222400
2018-05-11,8.370000,8.400000,8.290000,8.320000,6.631594,990000
2018-05-14,8.320000,8.340000,8.120000,8.170000,6.512034,1653900
2018-05-15,8.120000,8.120000,7.990000,8.000000,6.376532,1489800
2018-05-16,8.050000,8.090000,8.000000,8.020000,6.392476,1008400
2018-05-17,8.020000,8.120000,8.000000,8.070000,6.432328,1246400
2018-05-18,8.110000,8.160000,8.060000,8.160000,6.504065,833000
2018-05-21,8.200000,8.340000,8.130000,8.280000,6.599712,1174600
2018-05-22,8.300000,8.340000,8.230000,8.270000,6.591742,1342700
2018-05-23,8.320000,8.500000,8.300000,8.370000,6.671449,2604500
2018-05-24,8.390000,8.430000,8.310000,8.350000,6.655508,1120600
2018-05-25,8.370000,8.440000,8.340000,8.380000,6.679419,882300
2018-05-29,8.380000,8.540000,8.350000,8.520000,6.791009,1194000
2018-05-30,8.510000,8.660000,8.480000,8.620000,6.870714,1184300
2018-05-31,8.620000,8.640000,8.540000,8.630000,6.878686,1495300
2018-06-01,8.600000,8.680000,8.540000,8.570000,6.830862,1264700
2018-06-04,8.590000,8.640000,8.530000,8.610000,6.862743,1206700
2018-06-05,8.640000,8.660000,8.570000,8.580000,6.838830,2204100
2018-06-06,8.570000,8.620000,8.510000,8.590000,6.846803,930500
2018-06-07,8.610000,8.640000,8.530000,8.620000,6.870714,922400
2018-06-08,8.610000,8.700000,8.610000,8.670000,6.910568,858700
2018-06-11,8.660000,8.720000,8.650000,8.680000,6.918539,840200
2018-06-12,8.680000,8.720000,8.650000,8.690000,6.926510,1277200
2018-06-13,8.700000,8.720000,8.440000,8.510000,6.783037,996400
2018-06-14,8.530000,8.650000,8.520000,8.620000,6.870714,785800
2018-06-15,8.620000,8.730000,8.600000,8.710000,6.942451,2498400
2018-06-18,8.700000,8.790000,8.680000,8.780000,6.998246,1983600
2018-06-19,8.780000,8.850000,8.730000,8.800000,7.014187,1244000
2018-06-20,8.820000,8.860000,8.730000,8.820000,7.030128,1676400
2018-06-21,8.820000,8.870000,8.760000,8.860000,7.062011,1193400
2018-06-22,8.890000,8.990000,8.830000,8.990000,7.165629,2184400
2018-06-25,8.990000,8.990000,8.820000,8.910000,7.101864,1195900
2018-06-26,8.920000,8.930000,8.850000,8.880000,7.077952,1082300
2018-06-27,8.900000,8.950000,8.760000,8.760000,6.982304,945600
2018-06-28,8.580000,8.690000,8.510000,8.680000,7.062037,1748500
2018-06-29,8.650000,8.800000,8.580000,8.730000,7.102716,1205100
2018-07-02,8.700000,8.770000,8.540000,8.670000,7.053901,1010300
2018-07-03,8.660000,8.840000,8.650000,8.780000,7.143397,601300
2018-07-05,8.830000,8.950000,8.780000,8.950000,7.281709,721900
2018-07-06,8.990000,9.040000,8.950000,9.030000,7.346795,918800
2018-07-09,9.040000,9.050000,8.900000,8.970000,7.297980,933600
2018-07-10,8.990000,9.060000,8.900000,8.920000,7.257302,795800
2018-07-11,8.870000,8.940000,8.830000,8.840000,7.192213,749700
2018-07-12,8.880000,8.910000,8.800000,8.860000,7.208485,703900
2018-07-13,8.890000,8.930000,8.840000,8.870000,7.216620,513500
2018-07-16,8.830000,8.870000,8.750000,8.790000,7.151532,577500
