Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,6.830000,7.110000,6.680000,7.060000,7.060000,1982200
2018-03-29,7.050000,7.140000,6.920000,6.970000,6.970000,2007500
2018-04-02,6.900000,6.970000,6.600000,6.740000,6.740000,2595100
2018-04-03,6.830000,7.040000,6.560000,6.970000,6.970000,1670300
2018-04-04,6.870000,6.950000,6.730000,6.930000,6.930000,1838000
2018-04-05,7.000000,7.000000,6.670000,6.730000,6.730000,2458900
2018-04-06,6.710000,6.740000,6.420000,6.460000,6.460000,2180400
2018-04-09,6.530000,6.570000,6.330000,6.420000,6.420000,1715400
2018-04-10,6.510000,6.800000,6.400000,6.720000,6.720000,1813600
2018-04-11,6.720000,7.150000,6.720000,6.950000,6.950000,2123500
2018-04-12,7.070000,7.140000,6.870000,6.940000,6.940000,1666600
2018-04-13,6.930000,7.050000,6.880000,6.970000,6.970000,1248700
2018-04-16,7.070000,7.480000,7.020000,7.410000,7.410000,2953900
2018-04-17,7.430000,7.500000,7.130000,7.350000,7.350000,1640200
2018-04-18,7.330000,7.590000,7.310000,7.340000,7.340000,1443500
2018-04-19,7.260000,7.420000,7.120000,7.290000,7.290000,1657200
2018-04-20,7.260000,7.660000,7.260000,7.500000,7.500000,1247400
2018-04-23,7.460000,7.540000,7.150000,7.400000,7.400000,1565600
2018-04-24,7.570000,7.650000,7.350000,7.430000,7.430000,1796400
2018-04-25,7.400000,8.530000,7.400000,8.240000,8.240000,4735000
2018-04-26,8.220000,8.390000,7.520000,7.920000,7.920000,3382900
2018-04-27,7.910000,7.980000,7.700000,7.820000,7.820000,1174300
2018-04-30,7.870000,8.350000,7.860000,8.210000,8.210000,1794700
2018-05-01,8.180000,8.230000,7.780000,8.010000,8.010000,1621600
2018-05-02,7.950000,8.160000,7.730000,7.740000,7.740000,1609000
2018-05-03,7.720000,7.940000,7.350000,7.540000,7.540000,1789100
2018-05-04,7.540000,8.090000,7.430000,7.930000,7.930000,1252800
2018-05-07,8.000000,8.130000,7.810000,8.060000,8.060000,1020900
2018-05-08,8.070000,8.300000,7.890000,8.010000,8.010000,1145200
2018-05-09,8.080000,8.210000,6.420000,7.410000,7.410000,7145400
2018-05-10,7.490000,7.870000,7.000000,7.140000,7.140000,2221400
2018-05-11,7.100000,7.360000,6.620000,6.970000,6.970000,3518700
2018-05-14,7.040000,7.140000,6.760000,7.000000,7.000000,2459900
2018-05-15,6.990000,7.110000,6.860000,7.000000,7.000000,1350500
2018-05-16,7.040000,7.370000,6.930000,7.330000,7.330000,2194000
2018-05-17,7.400000,7.610000,6.960000,7.320000,7.320000,1537100
2018-05-18,7.350000,7.570000,7.220000,7.400000,7.400000,1401600
2018-05-21,7.370000,7.530000,7.200000,7.320000,7.320000,1710200
2018-05-22,7.330000,8.580000,7.330000,8.060000,8.060000,5080600
2018-05-23,8.040000,9.990000,7.910000,8.960000,8.960000,10079100
2018-05-24,8.870000,9.210000,8.360000,8.870000,8.870000,2993800
2018-05-25,8.740000,8.780000,8.290000,8.350000,8.350000,1563000
2018-05-29,8.320000,8.500000,8.140000,8.350000,8.350000,1359700
2018-05-30,8.320000,8.440000,8.140000,8.330000,8.330000,1558200
2018-05-31,8.340000,8.450000,8.200000,8.420000,8.420000,1291500
2018-06-01,8.500000,8.570000,7.900000,7.930000,7.930000,2452100
2018-06-04,7.950000,8.190000,7.650000,8.170000,8.170000,2039900
2018-06-05,8.070000,8.350000,7.900000,8.320000,8.320000,1453300
2018-06-06,8.360000,8.440000,8.130000,8.210000,8.210000,1128500
2018-06-07,5.880000,7.610000,5.800000,6.290000,6.290000,15999700
2018-06-08,6.270000,6.440000,6.030000,6.090000,6.090000,3359000
2018-06-11,6.010000,6.150000,5.840000,5.990000,5.990000,3387400
2018-06-12,6.000000,6.230000,5.900000,5.940000,5.940000,2366500
2018-06-13,5.940000,6.000000,5.470000,5.500000,5.500000,3335400
2018-06-14,5.490000,5.730000,4.950000,5.390000,5.390000,4412300
2018-06-15,5.450000,5.700000,5.340000,5.640000,5.640000,7286000
2018-06-18,5.610000,5.620000,5.180000,5.480000,5.480000,2346000
2018-06-19,5.430000,5.690000,5.370000,5.400000,5.400000,1794100
2018-06-20,5.430000,5.650000,5.430000,5.650000,5.650000,1840800
2018-06-21,5.610000,5.820000,5.490000,5.590000,5.590000,2812600
2018-06-22,5.650000,5.990000,5.620000,5.980000,5.980000,2179600
2018-06-25,5.910000,6.220000,5.750000,5.830000,5.830000,1767500
2018-06-26,5.820000,6.550000,5.780000,6.250000,6.250000,1818500
2018-06-27,6.240000,6.300000,5.840000,5.860000,5.860000,2013900
2018-06-28,5.850000,6.490000,5.770000,6.380000,6.380000,3037100
2018-06-29,6.380000,6.550000,6.130000,6.390000,6.390000,2260600
2018-07-02,4.670000,4.700000,3.800000,3.930000,3.930000,14473300
2018-07-03,3.910000,4.050000,3.520000,3.980000,3.980000,4376400
2018-07-05,3.960000,4.000000,3.550000,3.760000,3.760000,6400600
2018-07-06,3.680000,3.780000,3.200000,3.350000,3.350000,6408300
2018-07-09,3.430000,3.670000,3.330000,3.340000,3.340000,3997400
2018-07-10,3.390000,3.490000,3.010000,3.230000,3.230000,5315400
2018-07-11,3.190000,3.340000,3.090000,3.290000,3.290000,3138900
2018-07-12,3.330000,3.490000,3.210000,3.350000,3.350000,3111400
2018-07-13,3.360000,3.540000,3.320000,3.370000,3.370000,3012400
2018-07-16,3.360000,3.500000,3.200000,3.220000,3.220000,2674000
2018-07-17,3.220000,3.440000,3.190000,3.330000,3.330000,2693300
2018-07-18,3.350000,3.460000,3.240000,3.410000,3.410000,2513700
2018-07-19,3.450000,4.340000,3.380000,4.020000,4.020000,15319700
2018-07-20,4.130000,4.230000,3.680000,3.740000,3.740000,4260100
2018-07-23,3.740000,3.910000,3.530000,3.830000,3.830000,3163000
2018-07-24,3.820000,4.090000,3.650000,3.950000,3.950000,3087200
2018-07-25,3.920000,4.380000,3.910000,4.330000,4.330000,4852100
2018-07-26,4.340000,5.100000,4.260000,4.800000,4.800000,7382200
2018-07-27,4.350000,4.550000,3.960000,4.150000,4.150000,4910000
2018-07-30,4.150000,4.390000,4.060000,4.280000,4.280000,1871000
2018-07-31,4.260000,4.350000,4.060000,4.250000,4.250000,2519700
2018-08-01,4.230000,4.260000,3.910000,4.010000,4.010000,4021300
2018-08-02,4.040000,4.300000,3.920000,4.220000,4.220000,1602000
2018-08-03,4.210000,4.270000,4.110000,4.160000,4.160000,1208500
2018-08-06,4.180000,4.580000,4.180000,4.420000,4.420000,1489800
2018-08-07,4.450000,4.780000,4.310000,4.450000,4.450000,1601400
2018-08-08,4.440000,4.580000,4.300000,4.320000,4.320000,1076500
2018-08-09,4.340000,4.490000,4.260000,4.350000,4.350000,1458100
2018-08-10,4.320000,4.450000,4.100000,4.290000,4.290000,1341300
2018-08-13,4.270000,4.680000,4.270000,4.590000,4.590000,2069900
2018-08-14,4.590000,4.650000,4.060000,4.080000,4.080000,3844800
2018-08-15,4.010000,4.060000,3.750000,3.980000,3.980000,2258500
2018-08-16,3.810000,3.850000,3.380000,3.530000,3.530000,5662000
