Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,399.279999,399.279999,396.029999,397.720001,357.458527,24600
2018-03-29,403.200012,403.200012,399.989990,401.679993,361.017578,24800
2018-04-02,399.079987,402.760010,395.859985,396.600006,356.451813,42200
2018-04-03,397.540009,403.440002,395.049988,400.399994,359.867157,37100
2018-04-04,396.779999,407.239990,396.779999,406.000000,364.900269,28300
2018-04-05,408.630005,412.010010,404.459991,411.779999,370.095062,17600
2018-04-06,408.790009,413.350006,390.869995,398.799988,358.429108,36200
2018-04-09,401.209991,407.829987,397.690002,405.250000,364.226135,27300
2018-04-10,409.369995,413.640015,403.029999,409.640015,368.171722,26800
2018-04-11,407.160004,413.489990,407.160004,412.230011,370.499603,20100
2018-04-12,412.559998,414.269989,410.500000,412.529999,370.769226,33000
2018-04-13,413.510010,415.959991,408.040009,410.250000,368.720093,18700
2018-04-16,410.920013,415.279999,407.309998,411.630005,369.960358,23500
2018-04-17,415.829987,417.989990,412.670013,413.549988,371.685913,17200
2018-04-18,415.739990,417.899994,411.410004,413.119995,371.299500,19800
2018-04-19,412.839996,412.839996,402.529999,403.260010,362.437592,26600
2018-04-20,403.489990,404.320007,399.739990,400.899994,360.316528,16700
2018-04-23,402.149994,409.440002,402.149994,403.299988,362.473541,13500
2018-04-24,404.220001,404.220001,395.010010,395.929993,355.849609,21500
2018-04-25,394.250000,401.600006,390.250000,397.760010,357.494446,34300
2018-04-26,385.000000,404.089996,385.000000,402.700012,361.934296,38100
2018-04-27,403.299988,403.299988,395.790009,395.790009,355.723846,24100
2018-04-30,395.600006,396.589996,379.549988,379.549988,341.127808,70600
2018-05-01,378.440002,380.619995,367.850006,373.640015,335.816040,52400
2018-05-02,372.529999,372.549988,363.000000,363.220001,326.450867,64800
2018-05-03,363.470001,364.790009,359.619995,361.420013,324.833130,50100
2018-05-04,360.600006,366.769989,359.179993,365.559998,328.553986,36300
2018-05-07,367.420013,375.709991,367.420013,374.649994,336.723816,67800
2018-05-08,372.959991,379.600006,369.489990,370.769989,333.236572,39600
2018-05-09,371.269989,373.549988,367.149994,368.130005,330.863892,54500
2018-05-10,368.269989,374.690002,368.269989,371.269989,333.686005,31200
2018-05-11,371.549988,373.549988,367.709991,367.709991,330.486420,35800
2018-05-14,367.040009,370.980011,364.459991,366.410004,329.318024,41000
2018-05-15,365.119995,365.119995,358.329987,363.679993,326.864288,43900
2018-05-16,364.480011,368.799988,364.369995,367.200012,330.027985,32700
2018-05-17,366.140015,376.320007,365.649994,372.869995,335.124023,60100
2018-05-18,372.459991,380.549988,372.250000,378.799988,340.453674,52200
2018-05-21,381.510010,386.529999,377.579987,379.619995,341.190765,66200
2018-05-22,380.540009,388.540009,379.000000,380.459991,341.945648,49100
2018-05-23,378.350006,380.989990,374.230011,378.320007,340.022278,46700
2018-05-24,377.799988,380.140015,373.480011,377.589996,339.366180,41000
2018-05-25,376.880005,380.769989,373.519989,376.869995,338.719086,44400
2018-05-29,375.130005,383.010010,374.309998,381.670013,343.033142,65200
2018-05-30,384.140015,394.109985,383.410004,386.290009,347.185455,78600
2018-05-31,386.290009,387.980011,378.109985,384.290009,345.387909,54700
2018-06-01,385.850006,389.670013,382.279999,386.429993,347.311310,54000
2018-06-04,386.970001,390.720001,382.309998,388.920013,349.549255,59600
2018-06-05,388.910004,394.209991,382.959991,391.450012,351.823090,56800
2018-06-06,393.059998,399.239990,390.049988,398.880005,358.501007,68700
2018-06-07,399.149994,403.820007,394.910004,398.029999,357.737030,40300
2018-06-08,396.489990,403.429993,396.489990,399.019989,358.626892,43400
2018-06-11,398.859985,404.130005,398.859985,402.320007,361.592865,40600
2018-06-12,402.420013,404.399994,398.769989,400.769989,360.199646,22200
2018-06-13,401.299988,401.299988,393.940002,394.869995,354.896881,29000
2018-06-14,394.470001,394.630005,391.059998,393.660004,355.384460,26900
2018-06-15,390.720001,399.989990,390.720001,397.119995,358.508057,86400
2018-06-18,393.260010,399.570007,392.709991,396.720001,358.146881,44000
2018-06-19,392.470001,398.040009,392.470001,396.790009,358.210114,48900
2018-06-20,396.649994,401.119995,394.269989,398.760010,359.988586,36700
2018-06-21,397.500000,399.920013,395.549988,397.529999,358.878143,35600
2018-06-22,398.290009,402.390015,397.679993,400.040009,361.144073,64800
2018-06-25,397.929993,398.559998,392.920013,397.329987,358.697571,39300
2018-06-26,398.290009,400.500000,396.869995,398.820007,360.042694,40000
2018-06-27,399.640015,401.540009,397.470001,397.619995,358.959442,44100
2018-06-28,396.970001,402.459991,396.109985,400.649994,361.694855,55300
2018-06-29,401.859985,410.299988,400.679993,404.500000,365.170532,85600
2018-07-02,401.619995,401.619995,395.769989,397.829987,359.148987,51700
2018-07-03,397.820007,400.779999,395.920013,396.640015,358.074738,25600
2018-07-05,397.799988,403.160004,395.910004,401.980011,362.895477,30400
2018-07-06,401.920013,407.470001,400.959991,405.410004,365.991974,32500
2018-07-09,407.529999,412.299988,405.649994,407.010010,367.436462,32000
2018-07-10,406.859985,411.609985,402.600006,405.540009,366.109344,27300
2018-07-11,403.350006,407.420013,399.140015,402.269989,363.157166,21700
2018-07-12,405.700012,405.700012,400.019989,403.390015,364.168396,25900
