Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,53.279999,55.160000,53.279999,54.840000,33.663006,195000
2018-03-29,55.000000,55.439999,54.480000,54.639999,33.540237,258400
2018-04-02,54.520000,55.000000,52.639999,53.160000,32.631756,190575
2018-04-03,53.279999,54.919998,52.720001,54.360001,33.368355,178850
2018-04-04,53.439999,53.880001,52.040001,52.279999,32.091579,299000
2018-04-05,52.279999,52.560001,49.639999,49.919998,30.642908,648225
2018-04-06,49.599998,50.279999,49.000000,49.119999,30.151840,298925
2018-04-09,49.279999,49.439999,47.480000,47.520000,29.169699,379800
2018-04-10,48.000000,49.840000,47.959999,49.400002,30.323713,359800
2018-04-11,49.200001,49.959999,48.639999,49.320000,30.274611,198700
2018-04-12,49.560001,49.560001,48.040001,48.320000,29.660774,171125
2018-04-13,48.360001,49.040001,48.080002,49.000000,30.078178,157975
2018-04-16,49.080002,49.880001,48.680000,49.560001,30.421930,202850
2018-04-17,49.400002,49.919998,48.680000,49.520000,30.397369,241325
2018-04-18,49.560001,50.400002,49.520000,49.759998,30.544697,235850
2018-04-19,50.000000,50.160000,48.840000,49.160000,30.176394,268250
2018-04-20,49.320000,49.680000,48.799999,49.400002,30.323713,232600
2018-04-23,49.560001,50.040001,48.959999,49.560001,30.421930,187225
2018-04-24,49.720001,50.360001,49.400002,50.040001,30.716572,354175
2018-04-25,49.880001,50.480000,49.599998,50.240002,30.839344,291550
2018-04-26,50.360001,50.919998,49.959999,50.520000,31.011223,245275
2018-04-27,49.160000,50.160000,48.880001,50.040001,31.799210,264150
2018-04-30,50.040001,50.720001,49.639999,49.959999,31.748375,244750
2018-05-01,50.040001,50.919998,49.279999,50.759998,32.256760,176225
2018-05-02,50.520000,51.200001,49.439999,50.520000,32.104244,255550
2018-05-03,51.799999,54.360001,50.680000,53.360001,33.908989,419025
2018-05-04,53.799999,55.759998,53.680000,55.360001,35.179928,374750
2018-05-07,55.880001,56.119999,55.320000,55.680000,35.383289,343025
2018-05-08,55.560001,56.119999,55.040001,55.279999,35.129101,309300
2018-05-09,55.360001,55.759998,54.599998,55.560001,35.307037,204125
2018-05-10,55.759998,56.279999,55.000000,55.200001,35.078262,174400
2018-05-11,55.439999,55.720001,54.720001,55.320000,35.154526,186375
2018-05-14,55.279999,55.759998,53.840000,54.119999,34.391949,261700
2018-05-15,53.880001,54.040001,53.240002,53.320000,33.883560,169775
2018-05-16,53.520000,53.799999,52.919998,53.040001,33.705635,202100
2018-05-17,53.360001,53.959999,53.080002,53.080002,33.731052,156150
2018-05-18,53.360001,53.680000,52.799999,53.480000,33.985245,309050
2018-05-21,54.119999,54.799999,53.720001,54.520000,34.646141,310600
2018-05-22,54.560001,55.560001,54.560001,54.959999,34.925747,255175
2018-05-23,54.840000,56.759998,54.840000,56.240002,35.739159,166650
2018-05-24,57.680000,57.680000,55.919998,56.400002,35.840836,109475
2018-05-25,56.360001,57.000000,56.320000,56.919998,36.171276,96725
2018-05-29,56.919998,58.240002,56.560001,58.119999,36.933842,186000
2018-05-30,57.919998,58.639999,57.360001,58.119999,36.933842,170900
2018-05-31,58.119999,58.439999,57.560001,58.119999,36.933842,161175
2018-06-01,58.040001,58.520000,57.599998,57.799999,36.730503,134425
2018-06-04,58.000000,58.360001,57.080002,57.840000,36.755920,169775
2018-06-05,58.000000,58.360001,56.320000,56.439999,35.866249,223150
2018-06-06,56.320000,57.080002,55.439999,56.880001,36.145866,211225
2018-06-07,57.000000,57.480000,56.520000,56.560001,35.942509,123750
2018-06-08,56.560001,57.119999,56.480000,56.759998,36.069603,81800
2018-06-11,56.799999,57.480000,56.759998,57.360001,36.450897,117800
2018-06-12,57.439999,58.279999,57.439999,57.720001,36.679668,226125
2018-06-13,57.840000,58.119999,56.240002,56.639999,35.993347,186650
2018-06-14,56.919998,57.799999,56.560001,57.599998,36.603409,110675
2018-06-15,57.520000,58.240002,57.080002,57.320000,36.425472,292875
2018-06-18,57.560001,58.400002,57.439999,58.400002,37.111786,152500
2018-06-19,58.400002,59.240002,58.040001,58.360001,37.086365,176525
2018-06-20,58.439999,59.599998,58.320000,59.119999,37.569321,170275
2018-06-21,59.200001,59.480000,58.400002,58.720001,37.315136,141675
2018-06-22,58.799999,60.160000,58.639999,60.119999,38.204803,244450
2018-06-25,59.880001,61.320000,59.880001,61.200001,38.891117,201500
2018-06-26,61.360001,61.639999,60.720001,61.040001,38.789440,166300
2018-06-27,61.160000,61.840000,60.959999,61.400002,39.018215,123450
2018-06-28,61.520000,62.439999,61.439999,62.360001,39.628265,135175
2018-06-29,62.439999,63.599998,61.799999,63.400002,40.289169,177700
2018-07-02,63.480000,63.560001,61.320000,62.320000,39.602848,218525
2018-07-03,62.520000,64.680000,62.320000,64.120003,40.746716,162700
2018-07-05,64.639999,65.239998,63.599998,65.160004,41.407600,364400
2018-07-06,65.199997,66.160004,64.959999,66.160004,42.043087,372250
2018-07-09,66.480003,66.559998,65.879997,66.360001,42.170170,317075
2018-07-10,66.320000,66.519997,66.000000,66.160004,42.043087,250900
2018-07-11,66.160004,67.320000,66.160004,66.559998,42.297272,279325
2018-07-12,66.760002,66.879997,65.480003,65.720001,41.763462,206775
2018-07-13,65.599998,66.279999,64.000000,64.080002,40.721283,402000
2018-07-16,66.360001,66.360001,62.279999,62.680000,39.831615,300175
2018-07-17,62.639999,62.880001,61.680000,62.000000,39.399498,288550
2018-07-18,61.919998,62.040001,61.000000,61.560001,39.119888,340400
2018-07-19,61.720001,63.840000,61.560001,63.759998,40.517933,207475
2018-07-20,63.880001,64.000000,63.160000,63.599998,40.416260,182075
2018-07-23,63.599998,64.000000,62.200001,62.639999,39.806198,204150
2018-07-24,62.799999,63.119999,62.360001,62.680000,39.831615,179050
2018-07-25,62.880001,63.439999,62.680000,63.119999,40.111233,171175
2018-07-26,63.240002,63.759998,62.520000,62.959999,40.009548,215375
2018-07-27,60.520000,61.599998,58.759998,58.799999,38.415447,345200
2018-07-30,58.840000,60.560001,58.799999,60.200001,39.330093,163300
2018-07-31,60.200001,61.439999,59.520000,60.279999,39.382366,256500
2018-08-01,60.320000,61.080002,59.240002,61.040001,39.878891,173100
2018-08-02,61.200001,63.560001,61.200001,62.799999,41.028740,330225
2018-08-03,63.439999,63.639999,62.560001,63.480000,41.473000,248000
2018-08-06,63.680000,63.880001,63.080002,63.360001,41.394604,255250
2018-08-07,63.240002,64.879997,62.919998,64.800003,42.335384,274225
2018-08-08,64.919998,65.480003,64.279999,64.519997,42.152454,180025
2018-08-09,64.879997,64.919998,64.160004,64.279999,41.995655,136250
2018-08-10,64.080002,64.519997,63.840000,64.239998,41.969524,108275
2018-08-13,64.000000,64.120003,63.160000,63.439999,41.446865,141400
2018-08-14,63.759998,65.360001,63.520000,64.800003,42.335384,146150
2018-08-15,64.599998,66.080002,64.279999,65.879997,43.040974,216525
2018-08-16,65.839996,67.000000,65.720001,66.720001,43.589771,175275
2018-08-17,66.680000,67.879997,66.400002,67.879997,44.347622,156725
2018-08-20,68.000000,68.160004,67.040001,67.120003,43.851097,190525
2018-08-21,67.400002,68.720001,66.599998,68.000000,44.426025,261475
2018-08-22,67.919998,68.199997,67.120003,67.559998,44.138569,122475
2018-08-23,67.639999,67.919998,67.199997,67.440002,44.060158,131775
