Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,13.950000,14.000000,13.750000,13.900000,13.360037,149000
2018-03-29,13.950000,14.150000,13.850000,13.900000,13.360037,99500
2018-04-02,13.950000,14.100000,13.450000,13.700000,13.167806,61300
2018-04-03,13.750000,13.950000,13.500000,13.850000,13.311979,71100
2018-04-04,13.750000,14.050000,13.750000,13.950000,13.408092,36100
2018-04-05,14.100000,14.400000,14.000000,14.200000,13.648383,100600
2018-04-06,14.150000,14.310000,13.650000,13.800000,13.263921,39300
2018-04-09,13.900000,14.150000,13.750000,13.800000,13.263921,60100
2018-04-10,13.900000,14.100000,13.800000,13.900000,13.360037,27700
2018-04-11,13.850000,14.100000,13.850000,14.000000,13.456151,31900
2018-04-12,14.050000,14.200000,13.950000,14.050000,13.504210,38500
2018-04-13,14.150000,14.200000,13.850000,14.150000,13.600324,69500
2018-04-16,14.150000,14.400000,14.000000,14.350000,13.792557,52500
2018-04-17,14.400000,14.500000,14.050000,14.150000,13.600324,43600
2018-04-18,14.150000,14.250000,14.050000,14.050000,13.504210,42700
2018-04-19,14.050000,14.200000,14.000000,14.100000,13.552266,43600
2018-04-20,14.050000,14.350000,14.050000,14.150000,13.600324,46500
2018-04-23,14.200000,14.250000,14.150000,14.200000,13.648383,26100
2018-04-24,14.200000,14.400000,14.200000,14.250000,13.696440,33300
2018-04-25,14.250000,14.300000,14.150000,14.150000,13.600324,34600
2018-04-26,14.250000,14.400000,14.150000,14.200000,13.658035,63600
2018-04-27,14.250000,14.850000,14.250000,14.850000,14.283225,56000
2018-04-30,14.850000,14.850000,14.250000,14.300000,13.754217,52900
2018-05-01,14.350000,14.350000,14.000000,14.300000,13.754217,37600
2018-05-02,14.350000,14.470000,14.100000,14.300000,13.754217,43600
2018-05-03,14.150000,14.350000,13.700000,13.850000,13.321393,48500
2018-05-04,13.850000,14.150000,13.750000,13.900000,13.369486,40400
2018-05-07,13.950000,14.150000,13.800000,14.000000,13.465669,34700
2018-05-08,14.050000,14.300000,14.000000,14.200000,13.658035,32600
2018-05-09,14.250000,14.550000,14.200000,14.450000,13.898491,33100
2018-05-10,14.500000,14.650000,14.450000,14.600000,14.042768,49700
2018-05-11,14.550000,14.700000,14.550000,14.650000,14.090859,44800
2018-05-14,14.650000,14.650000,14.450000,14.550000,13.994675,37400
2018-05-15,14.550000,14.700000,14.500000,14.550000,13.994675,57000
2018-05-16,14.550000,14.830000,14.500000,14.700000,14.138949,63600
2018-05-17,14.800000,15.050000,14.700000,15.050000,14.475592,73300
2018-05-18,15.100000,15.100000,14.900000,15.000000,14.427501,54200
2018-05-21,15.050000,15.550000,14.950000,15.300000,14.716051,93200
2018-05-22,15.300000,15.450000,15.100000,15.150000,14.571774,57600
2018-05-23,15.200000,15.350000,15.000000,15.300000,14.716051,47600
2018-05-24,15.300000,15.450000,15.150000,15.350000,14.764144,65200
2018-05-25,15.300000,15.310000,15.000000,15.100000,14.523685,47400
2018-05-29,15.000000,15.100000,14.650000,14.850000,14.283225,48100
2018-05-30,14.850000,15.100000,14.850000,14.950000,14.379409,71100
2018-05-31,14.950000,15.050000,14.900000,14.950000,14.379409,61300
2018-06-01,15.100000,15.200000,15.000000,15.200000,14.619866,68100
2018-06-04,15.200000,15.300000,15.100000,15.200000,14.619866,40200
2018-06-05,15.200000,15.330000,15.050000,15.050000,14.475592,112100
2018-06-06,15.050000,15.350000,15.050000,15.150000,14.571774,149400
2018-06-07,15.250000,15.400000,15.050000,15.050000,14.475592,104700
2018-06-08,15.100000,15.300000,15.000000,15.100000,14.523685,120800
2018-06-11,15.150000,15.300000,15.100000,15.200000,14.619866,50500
2018-06-12,15.150000,15.150000,15.000000,15.100000,14.523685,58500
2018-06-13,15.050000,15.280000,15.030000,15.150000,14.571774,67000
2018-06-14,15.150000,15.150000,14.950000,15.100000,14.523685,41600
2018-06-15,15.050000,15.300000,14.000000,15.250000,14.667960,115300
2018-06-18,15.050000,15.200000,15.000000,15.100000,14.523685,44000
2018-06-19,15.050000,15.400000,15.050000,15.300000,14.716051,40300
2018-06-20,15.350000,15.600000,15.300000,15.600000,15.004604,78000
2018-06-21,15.600000,15.600000,15.400000,15.400000,14.812235,113500
2018-06-22,15.500000,15.500000,15.050000,15.200000,14.619866,199200
2018-06-25,15.050000,15.490000,14.700000,14.800000,14.235137,185700
2018-06-26,14.800000,14.900000,14.650000,14.750000,14.187041,68100
2018-06-27,14.750000,14.900000,14.400000,14.600000,14.042768,164500
2018-06-28,14.550000,14.850000,14.500000,14.550000,13.994675,148300
2018-06-29,14.600000,14.660000,14.350000,14.400000,13.850400,417600
2018-07-02,14.450000,15.050000,14.350000,15.050000,14.475592,154200
2018-07-03,15.050000,15.150000,14.800000,14.850000,14.283225,30500
2018-07-05,14.900000,15.150000,14.850000,14.900000,14.331317,45400
2018-07-06,14.950000,15.100000,14.900000,14.950000,14.379409,57400
2018-07-09,14.900000,15.200000,14.900000,15.100000,14.523685,112500
2018-07-10,15.200000,15.200000,14.950000,15.000000,14.427501,97300
2018-07-11,14.950000,15.100000,14.650000,14.700000,14.138949,71900
2018-07-12,14.850000,14.950000,14.600000,14.700000,14.138949,102400
2018-07-13,14.700000,14.750000,14.400000,14.450000,13.898491,81300
2018-07-16,14.500000,14.850000,14.500000,14.850000,14.283225,67900
2018-07-17,14.800000,14.950000,14.650000,14.750000,14.187041,37000
2018-07-18,14.700000,14.880000,14.650000,14.750000,14.187041,53700
2018-07-19,14.750000,14.850000,14.600000,14.750000,14.187041,41400
2018-07-20,14.750000,15.000000,14.600000,14.950000,14.379409,210200
2018-07-23,14.850000,15.200000,14.850000,15.050000,14.475592,42200
2018-07-24,15.100000,15.150000,15.000000,15.050000,14.475592,50900
