Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,31.240000,31.570000,30.280001,31.340000,29.436724,406500
2018-03-29,31.440001,31.620001,31.250000,31.309999,29.408545,216600
2018-04-02,31.340000,31.455000,30.500000,30.770000,28.901339,387400
2018-04-03,30.840000,31.049999,30.600000,30.920000,29.042233,507200
2018-04-04,30.620001,31.340000,30.530001,31.160000,29.267654,404800
2018-04-05,31.379999,31.950001,31.049999,31.790001,29.859396,457700
2018-04-06,31.510000,31.740000,31.070000,31.260000,29.361582,417900
2018-04-09,31.440001,31.469999,30.850000,30.900000,29.023445,567600
2018-04-10,31.180000,31.639999,30.860001,31.190001,29.295835,509900
2018-04-11,31.010000,31.129999,30.590000,30.900000,29.023445,1303800
2018-04-12,31.129999,31.410000,30.570000,30.980000,29.098589,850900
2018-04-13,31.040001,31.230000,30.570000,30.600000,28.741663,397700
2018-04-16,30.709999,31.700001,30.549999,31.459999,29.549433,949800
2018-04-17,31.700001,33.160000,31.510000,32.790001,30.798670,1355500
2018-04-18,32.860001,33.450001,31.770000,33.070000,31.061661,1515000
2018-04-19,32.990002,33.389999,32.720001,32.830002,30.836239,791800
2018-04-20,32.959999,33.279999,32.470001,32.619999,30.638988,598200
2018-04-23,32.689999,33.000000,32.490002,32.639999,30.657774,911600
2018-04-24,32.709999,33.060001,32.459999,32.740002,30.751707,368200
2018-04-25,32.630001,33.209999,32.349998,33.160000,31.146196,321700
2018-04-26,33.230000,33.619999,32.779999,32.889999,30.892590,333000
2018-04-27,32.900002,33.500000,32.830002,33.450001,31.418585,428200
2018-04-30,33.419998,33.590000,32.970001,32.990002,30.986521,230800
2018-05-01,32.990002,32.990002,32.279999,32.650002,30.667171,555600
2018-05-02,32.610001,32.910000,32.235001,32.709999,30.723524,640800
2018-05-03,32.680000,33.520000,31.950001,32.220001,30.263281,650600
2018-05-04,32.180000,32.900002,31.934999,32.430000,30.460527,623300
2018-05-07,32.490002,32.900002,31.510000,31.570000,29.652756,1226500
2018-05-08,30.740000,31.820000,28.809999,30.709999,28.844984,2660800
2018-05-09,30.889999,31.549999,30.709999,31.070000,29.183123,1442300
2018-05-10,31.030001,32.360001,31.030001,31.920000,29.981501,632000
2018-05-11,31.950001,32.400002,31.122999,32.200001,30.244493,587200
2018-05-14,32.200001,32.500000,31.959999,32.180000,30.225710,529000
2018-05-15,31.870001,32.070000,31.690001,32.060001,30.113001,814100
2018-05-16,32.130001,32.340000,31.870001,31.959999,30.019070,545400
2018-05-17,31.889999,32.299999,31.840000,32.240002,30.282068,442000
2018-05-18,32.330002,32.610001,32.160000,32.220001,30.263281,433100
2018-05-21,32.360001,32.455002,31.959999,32.169998,30.216318,354100
2018-05-22,32.180000,32.419998,31.990000,32.299999,30.338421,496900
2018-05-23,32.270000,32.540001,32.160000,32.410000,30.441746,289900
2018-05-24,32.369999,32.520000,31.990000,32.410000,30.441746,354300
2018-05-25,32.380001,32.889999,32.299999,32.419998,30.451136,384800
2018-05-29,32.279999,32.400002,31.780001,32.299999,30.338421,380300
2018-05-30,32.400002,32.834999,32.119999,32.720001,30.732920,625200
2018-05-31,32.840000,32.889999,32.389999,32.619999,30.638988,763600
2018-06-01,32.689999,33.189999,32.639999,33.169998,31.155582,664100
2018-06-04,33.150002,33.450001,33.000000,33.060001,31.052273,757800
2018-06-05,33.160000,33.580002,33.029999,33.509998,31.474939,547800
2018-06-06,33.520000,33.980000,33.520000,33.939999,31.878826,477900
2018-06-07,33.869999,34.209999,33.750000,34.169998,32.094852,482800
2018-06-08,34.150002,34.560001,34.070000,34.509998,32.414207,434400
2018-06-11,34.410000,35.110001,34.299999,35.060001,32.930817,514800
2018-06-12,35.009998,35.389999,34.700001,35.150002,33.015339,509800
2018-06-13,35.279999,35.680000,35.279999,35.500000,33.344086,482500
2018-06-14,35.529999,35.660000,35.040001,35.419998,33.268948,499800
2018-06-15,35.290001,35.860001,35.290001,35.650002,33.484982,416400
2018-06-18,35.360001,35.889999,35.349998,35.880001,33.701008,399600
2018-06-19,35.720001,36.650002,35.340000,36.610001,34.386677,497600
2018-06-20,36.560001,36.840000,36.320000,36.400002,34.189430,433700
2018-06-21,36.580002,36.840000,35.831001,36.040001,33.851295,1174200
2018-06-22,36.250000,36.310001,35.750000,35.950001,33.766762,4497700
2018-06-25,36.009998,36.650002,35.930000,36.139999,33.945221,826800
2018-06-26,36.139999,36.570000,36.080002,36.110001,33.917046,878000
2018-06-27,36.529999,37.250000,36.380001,36.400002,34.189430,1368700
2018-06-28,36.000000,36.770000,35.049999,36.369999,34.161255,1439000
2018-06-29,36.360001,37.020000,36.299999,36.380001,34.170647,807500
2018-07-02,36.259998,36.750000,36.020000,36.709999,34.480602,653600
2018-07-03,36.869999,37.384998,36.750000,37.049999,34.799957,543400
2018-07-05,37.150002,37.630001,36.740002,37.250000,34.987812,1200600
2018-07-06,37.380001,37.794998,37.116001,37.720001,35.429268,1046800
2018-07-09,37.919998,38.110001,37.599998,37.689999,35.401093,584500
2018-07-10,37.750000,37.915001,36.990002,37.099998,34.846920,577900
