Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,44.150002,45.000000,44.150002,44.549999,44.549999,15300
2018-03-29,44.599998,44.900002,44.299999,44.500000,44.500000,13500
2018-04-02,44.299999,45.049999,44.150002,44.349998,44.349998,20900
2018-04-03,44.400002,44.950001,44.400002,44.849998,44.849998,8000
2018-04-04,44.549999,45.450001,44.549999,45.299999,45.299999,3600
2018-04-05,45.549999,45.650002,44.200001,44.500000,44.500000,19600
2018-04-06,44.400002,45.000000,44.049999,44.450001,44.450001,22700
2018-04-09,44.500000,45.330002,44.450001,44.549999,44.549999,10300
2018-04-10,44.849998,45.200001,44.450001,44.900002,44.900002,12800
2018-04-11,44.599998,45.099998,44.599998,45.000000,45.000000,4600
2018-04-12,45.299999,45.500000,45.250000,45.450001,45.450001,7800
2018-04-13,45.450001,45.700001,44.790001,45.450001,45.450001,22000
2018-04-16,45.599998,45.750000,45.150002,45.700001,45.700001,3200
2018-04-17,45.849998,46.349998,45.700001,46.000000,46.000000,13400
2018-04-18,46.099998,46.400002,46.099998,46.299999,46.299999,4500
2018-04-19,46.150002,47.200001,46.150002,46.950001,46.950001,7300
2018-04-20,46.849998,47.349998,46.599998,47.250000,47.250000,11500
2018-04-23,47.299999,47.500000,46.500000,47.299999,47.299999,5300
2018-04-24,47.450001,47.549999,46.650002,46.650002,46.650002,11700
2018-04-25,46.750000,47.000000,46.349998,46.450001,46.450001,9700
2018-04-26,46.500000,46.880001,46.299999,46.299999,46.299999,13100
2018-04-27,46.250000,46.299999,46.049999,46.049999,46.049999,6000
2018-04-30,46.000000,46.250000,45.849998,45.849998,45.849998,56900
2018-05-01,45.750000,46.250000,45.000000,46.099998,46.099998,15200
2018-05-02,46.000000,46.549999,45.779999,46.500000,46.500000,12800
2018-05-03,46.250000,46.549999,45.299999,45.900002,45.900002,7900
2018-05-04,46.049999,46.849998,46.049999,46.500000,46.500000,8900
2018-05-07,46.599998,46.950001,46.599998,46.849998,46.849998,26400
2018-05-08,46.849998,47.500000,46.849998,47.250000,47.250000,11400
2018-05-09,47.150002,47.450001,46.500000,47.299999,47.299999,19400
2018-05-10,47.000000,47.700001,46.950001,47.349998,47.349998,11800
2018-05-11,47.400002,47.500000,47.200001,47.349998,47.349998,4900
2018-05-14,47.200001,47.349998,46.950001,47.049999,47.049999,3800
2018-05-15,46.700001,47.500000,46.700001,47.200001,47.200001,5600
2018-05-16,47.299999,47.500000,47.099998,47.250000,47.250000,14700
2018-05-17,47.200001,47.500000,47.200001,47.500000,47.500000,9800
2018-05-18,47.500000,47.549999,47.049999,47.150002,47.150002,25400
2018-05-21,47.400002,47.450001,47.099998,47.250000,47.250000,9200
2018-05-22,47.450001,47.500000,47.299999,47.299999,47.299999,9200
2018-05-23,47.099998,47.349998,47.049999,47.200001,47.200001,5200
2018-05-24,47.099998,47.450001,46.849998,47.250000,47.250000,9300
2018-05-25,47.150002,47.349998,47.099998,47.099998,47.099998,3800
2018-05-29,47.049999,47.200001,46.500000,47.049999,47.049999,6300
2018-05-30,47.049999,47.500000,46.700001,47.200001,47.200001,82800
2018-05-31,47.250000,47.500000,46.720001,47.299999,47.299999,10700
2018-06-01,47.400002,48.200001,47.400002,47.700001,47.700001,13800
2018-06-04,47.799999,48.500000,47.500000,48.349998,48.349998,18500
2018-06-05,48.349998,48.750000,47.900002,47.900002,47.900002,15700
2018-06-06,47.950001,48.200001,47.849998,48.000000,48.000000,18000
2018-06-07,48.000000,48.250000,47.700001,47.799999,47.799999,9100
2018-06-08,47.650002,47.900002,47.400002,47.450001,47.450001,11800
2018-06-11,47.700001,47.700001,46.799999,47.099998,47.099998,21000
2018-06-12,47.299999,47.299999,46.700001,46.750000,46.750000,13800
2018-06-13,45.360001,47.099998,45.360001,46.299999,46.299999,22100
2018-06-14,46.099998,46.380001,45.950001,46.299999,46.299999,9800
2018-06-15,46.250000,46.950001,46.099998,46.549999,46.549999,21300
2018-06-18,46.599998,46.950001,46.549999,46.950001,46.950001,13500
2018-06-19,47.299999,47.299999,46.549999,46.750000,46.750000,20800
2018-06-20,46.750000,47.250000,45.980000,47.000000,47.000000,20800
2018-06-21,46.700001,47.200001,46.700001,46.750000,46.750000,17000
2018-06-22,47.000000,47.000000,46.400002,46.599998,46.599998,89700
2018-06-25,46.549999,47.150002,46.549999,46.950001,46.950001,17900
2018-06-26,46.650002,46.849998,45.750000,46.099998,46.099998,30200
2018-06-27,45.750000,46.200001,44.599998,44.849998,44.849998,25800
2018-06-28,44.400002,45.099998,44.200001,44.799999,44.799999,11700
2018-06-29,44.750000,45.500000,43.849998,44.200001,44.200001,31500
2018-07-02,43.849998,45.799999,43.849998,45.799999,45.799999,15800
2018-07-03,45.849998,46.349998,45.849998,46.299999,46.299999,8300
2018-07-05,46.200001,46.849998,46.150002,46.750000,46.750000,9400
2018-07-06,46.650002,47.150002,46.650002,46.799999,46.799999,7800
2018-07-09,46.750000,47.200001,46.750000,47.000000,47.000000,17200
2018-07-10,47.150002,47.150002,46.700001,46.900002,46.900002,14800
2018-07-11,46.849998,46.950001,46.450001,46.450001,46.450001,9500
2018-07-12,46.549999,46.549999,45.450001,45.549999,45.549999,9800
2018-07-13,45.450001,45.849998,44.650002,44.650002,44.650002,9900
2018-07-16,44.650002,45.349998,44.650002,44.950001,44.950001,11400
2018-07-17,44.000000,44.750000,44.000000,44.349998,44.349998,9200
2018-07-18,44.299999,44.500000,44.250000,44.349998,44.349998,9400
2018-07-19,44.200001,44.500000,44.200001,44.250000,44.250000,7000
2018-07-20,44.250000,44.400002,43.700001,43.700001,43.700001,19600
2018-07-23,43.750000,44.000000,43.099998,43.150002,43.150002,12200
2018-07-24,43.200001,43.349998,42.830002,43.000000,43.000000,42700
2018-07-25,42.900002,43.349998,42.700001,43.049999,43.049999,7600
2018-07-26,43.150002,44.299999,43.150002,44.200001,44.200001,11600
2018-07-27,44.500000,44.500000,43.230000,44.099998,44.099998,11900
2018-07-30,43.950001,44.700001,43.950001,44.650002,44.650002,15900
2018-07-31,44.750000,44.750000,43.060001,43.950001,43.950001,12000
2018-08-01,44.349998,44.349998,43.549999,43.599998,43.599998,10200
2018-08-02,43.599998,44.650002,43.599998,44.549999,44.549999,12900
2018-08-03,44.549999,44.650002,43.349998,43.500000,43.500000,9700
2018-08-06,43.599998,43.599998,43.250000,43.549999,43.549999,4700
2018-08-07,43.549999,43.849998,43.299999,43.500000,43.500000,5100
2018-08-08,43.599998,43.950001,43.299999,43.849998,43.849998,5600
2018-08-09,44.049999,44.150002,44.000000,44.099998,44.099998,15500
2018-08-10,43.950001,44.400002,43.950001,44.200001,44.200001,10400
2018-08-13,44.150002,44.150002,43.400002,43.650002,43.650002,6800
2018-08-14,43.750000,43.799999,43.349998,43.650002,43.650002,3800
2018-08-15,43.599998,43.599998,43.299999,43.299999,43.299999,14500
2018-08-16,43.349998,43.500000,43.250000,43.500000,43.500000,11300
2018-08-17,43.400002,43.400002,43.220001,43.349998,43.349998,11000
2018-08-20,43.250000,43.650002,42.799999,42.950001,42.950001,10900
2018-08-21,42.900002,42.950001,42.750000,42.750000,42.750000,15500
2018-08-22,42.650002,42.799999,42.099998,42.650002,42.650002,18800
2018-08-23,42.650002,42.950001,42.650002,42.799999,42.799999,16500
2018-08-24,42.799999,43.000000,42.410000,42.650002,42.650002,19600
2018-08-27,42.750000,42.910000,42.450001,42.450001,42.450001,15100
2018-08-28,42.500000,42.500000,41.900002,42.150002,42.150002,7000
2018-08-29,42.299999,42.299999,41.250000,41.250000,41.250000,20100
2018-08-30,41.250000,41.650002,41.200001,41.599998,41.599998,10500
2018-08-31,41.599998,41.799999,41.500000,41.599998,41.599998,7600
2018-09-04,41.599998,41.799999,41.500000,41.700001,41.700001,14400
2018-09-05,41.700001,42.400002,41.700001,42.400002,42.400002,16800
2018-09-06,42.349998,42.400002,42.049999,42.150002,42.150002,9900
2018-09-07,42.200001,42.250000,41.700001,41.799999,41.799999,5200
2018-09-10,41.799999,42.000000,41.610001,41.950001,41.950001,9400
2018-09-11,41.950001,42.349998,41.650002,42.150002,42.150002,13000
2018-09-12,42.200001,42.400002,41.750000,42.000000,42.000000,14900
2018-09-13,42.150002,42.150002,41.549999,41.650002,41.650002,22600
2018-09-14,41.500000,42.049999,41.500000,41.799999,41.799999,22200
2018-09-17,42.200001,42.200001,40.950001,41.000000,41.000000,12000
2018-09-18,40.799999,40.849998,39.950001,40.200001,40.200001,14200
2018-09-19,40.450001,40.799999,40.250000,40.250000,40.250000,15900
2018-09-20,40.450001,41.279999,40.400002,41.200001,41.200001,12200
2018-09-21,41.000000,41.200001,41.000000,41.200001,41.200001,29500
2018-09-24,41.049999,41.049999,40.009998,40.250000,40.250000,7800
2018-09-25,40.700001,40.700001,39.950001,40.099998,40.099998,5300
2018-09-26,40.099998,40.099998,39.500000,39.650002,39.650002,10300
2018-09-27,39.650002,40.200001,38.250000,39.200001,39.200001,8300
2018-09-28,39.250000,40.000000,38.849998,39.299999,39.299999,11700
2018-10-01,39.470001,40.130001,38.549999,38.709999,38.709999,9500
2018-10-02,38.750000,38.750000,37.430000,37.500000,37.500000,7300
2018-10-03,37.750000,38.779999,37.750000,38.689999,38.689999,14800
2018-10-04,38.529999,39.669998,38.500000,39.000000,39.000000,12900
2018-10-05,39.770000,39.770000,38.299999,38.459999,38.459999,8500
2018-10-08,38.509998,39.139999,38.419998,38.689999,38.689999,9000
2018-10-09,39.290001,39.619999,38.459999,38.529999,38.529999,10500
