Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,70.500000,71.949997,70.349998,71.699997,59.948479,364000
2018-03-29,72.000000,72.500000,71.599998,72.300003,60.450119,219300
2018-04-02,72.199997,72.699997,71.250000,71.849998,60.073891,189800
2018-04-03,71.900002,73.150002,71.550003,72.500000,60.617363,267800
2018-04-04,72.250000,73.349998,72.099998,72.849998,60.909996,210400
2018-04-05,72.949997,73.849998,72.150002,73.699997,61.620682,183500
2018-04-06,73.750000,74.250000,73.250000,73.650002,61.578873,165600
2018-04-09,73.650002,73.900002,72.800003,72.849998,60.909996,236400
2018-04-10,73.400002,73.400002,71.800003,72.000000,60.199306,317200
2018-04-11,71.849998,72.449997,71.400002,71.849998,60.073891,259700
2018-04-12,71.800003,72.000000,69.949997,70.250000,58.736118,230600
2018-04-13,70.400002,70.750000,70.099998,70.599998,59.028763,261700
2018-04-16,70.699997,71.449997,70.349998,71.349998,59.655834,215800
2018-04-17,71.599998,72.099998,71.000000,71.750000,59.990265,212700
2018-04-18,71.849998,72.300003,70.550003,70.599998,59.028763,216900
2018-04-19,70.650002,70.790001,70.150002,70.449997,58.903332,134400
2018-04-20,70.449997,70.800003,69.800003,69.800003,58.359890,173000
2018-04-23,70.050003,70.599998,69.900002,70.199997,58.694321,219400
2018-04-24,70.550003,71.699997,70.199997,70.900002,59.279579,212500
2018-04-25,70.800003,71.400002,70.349998,70.800003,59.195992,118000
2018-04-26,70.849998,71.949997,70.699997,71.849998,60.073891,111400
2018-04-27,71.750000,72.949997,71.750000,72.849998,60.909996,134300
2018-04-30,72.949997,73.099998,71.699997,72.150002,60.324715,373200
2018-05-01,72.000000,72.800003,71.900002,72.550003,60.659157,335300
2018-05-02,70.599998,73.199997,70.599998,72.150002,60.324715,397900
2018-05-03,72.150002,72.720001,70.599998,72.449997,60.575550,376600
2018-05-04,71.449997,73.199997,70.800003,73.099998,61.119019,290700
2018-05-07,72.900002,73.050003,71.000000,71.099998,59.446819,248800
2018-05-08,69.699997,70.000000,69.300003,69.500000,58.109055,1787600
2018-05-09,69.650002,70.000000,69.180000,69.900002,58.443501,398200
2018-05-10,70.199997,71.050003,70.000000,70.949997,59.321404,318200
2018-05-11,71.099998,71.349998,70.900002,71.250000,59.572227,277500
2018-05-14,71.050003,71.500000,70.550003,71.150002,59.488628,327500
2018-05-15,70.849998,71.080002,70.250000,70.449997,58.903332,236100
2018-05-16,70.650002,70.900002,69.500000,69.599998,58.192657,280700
2018-05-17,69.849998,70.250000,69.150002,69.500000,58.109055,424800
2018-05-18,70.050003,70.050003,69.400002,69.650002,58.234463,286600
2018-05-21,69.900002,70.400002,69.449997,70.150002,58.652508,279000
2018-05-22,70.150002,70.650002,69.830002,70.050003,58.568909,195000
2018-05-23,70.400002,70.900002,70.050003,70.349998,58.819748,452900
2018-05-24,70.349998,70.650002,70.050003,70.349998,58.819748,478500
2018-05-25,70.349998,70.449997,70.099998,70.199997,58.694321,449200
2018-05-29,70.199997,71.050003,69.900002,70.849998,59.237778,492500
2018-05-30,70.800003,72.400002,70.800003,71.800003,60.032097,252800
2018-05-31,71.800003,72.300003,71.150002,71.250000,59.572227,210900
2018-06-01,71.300003,71.500000,69.949997,70.400002,58.861538,290400
2018-06-04,70.599998,70.800003,70.000000,70.449997,58.903332,333600
2018-06-05,70.650002,70.650002,69.650002,69.949997,58.485291,271200
2018-06-06,69.849998,70.150002,67.699997,67.949997,56.813095,304900
2018-06-07,67.949997,68.150002,67.400002,67.849998,56.729473,293200
2018-06-08,67.449997,67.800003,66.500000,66.650002,56.192429,213400
2018-06-11,66.699997,67.300003,66.199997,66.449997,56.023808,371200
2018-06-12,66.349998,66.690002,65.900002,66.250000,55.855190,390300
2018-06-13,66.050003,66.349998,64.949997,65.300003,55.054260,453100
2018-06-14,65.550003,65.800003,65.139999,65.449997,55.180710,558500
2018-06-15,66.000000,67.250000,65.849998,67.150002,56.613983,1288300
2018-06-18,67.050003,68.349998,67.050003,68.300003,57.583538,379300
2018-06-19,68.449997,69.949997,68.349998,69.849998,58.890343,562000
2018-06-20,69.800003,70.629997,69.500000,69.949997,58.974644,316000
2018-06-21,70.050003,71.050003,70.000000,70.400002,59.354042,389400
2018-06-22,70.500000,71.349998,70.400002,71.050003,59.902050,611800
2018-06-25,70.900002,71.699997,70.900002,71.500000,60.281448,281500
2018-06-26,71.199997,71.550003,70.900002,71.099998,59.944221,236600
