Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,26.040001,26.340000,25.480000,26.299999,21.453075,34100
2018-03-29,26.340000,26.500000,26.030001,26.370001,21.510180,46100
2018-04-02,26.379999,26.730000,25.740000,26.209999,21.379669,35200
2018-04-03,26.320000,26.440001,25.750000,25.750000,21.004440,26600
2018-04-04,25.290001,26.730000,25.059999,26.510000,21.836382,31200
2018-04-05,26.510000,26.709999,25.840000,26.600000,21.910513,23000
2018-04-06,26.540001,27.160000,26.430000,27.090000,22.314131,36800
2018-04-09,27.209999,27.959999,26.820000,27.790001,22.890720,56400
2018-04-10,27.950001,28.000000,27.040001,27.059999,22.289423,25300
2018-04-11,27.000000,27.510000,26.900000,27.450001,22.610662,11800
2018-04-12,27.450001,27.459999,26.430000,26.530001,21.852856,17600
2018-04-13,26.459999,26.510000,26.170000,26.260000,21.630457,15400
2018-04-16,26.250000,27.500000,26.200001,27.180000,22.388266,24200
2018-04-17,27.290001,27.490000,27.010000,27.230000,22.429441,18300
2018-04-18,27.240000,27.440001,27.000000,27.000000,22.239998,9600
2018-04-19,26.969999,27.270000,26.750000,26.830000,22.099966,12700
2018-04-20,26.750000,27.240000,26.750000,27.150000,22.363550,19500
2018-04-23,27.160000,27.309999,26.879999,27.209999,22.412971,14800
2018-04-24,27.320000,27.559999,27.100000,27.230000,22.429441,19800
2018-04-25,27.240000,27.600000,27.170000,27.490000,22.643610,15300
2018-04-26,27.540001,27.680000,27.010000,27.040001,22.272943,20300
2018-04-27,27.040001,27.600000,26.650000,27.070000,22.297659,18800
2018-04-30,27.080000,27.410000,26.950001,27.200001,22.404737,18800
2018-05-01,27.190001,27.200001,26.610001,27.190001,22.396498,22700
2018-05-02,27.170000,27.440001,26.790001,27.320000,22.503580,26000
2018-05-03,27.350000,27.420000,27.040001,27.209999,22.412971,24800
2018-05-04,27.260000,27.870001,27.190001,27.740000,22.849533,25700
2018-05-07,27.770000,27.780001,27.340000,27.530001,22.676561,29000
2018-05-08,27.430000,27.770000,27.309999,27.700001,22.816591,23400
2018-05-09,27.830000,28.139999,27.270000,27.680000,22.800112,27900
2018-05-10,27.670000,27.740000,27.290001,27.389999,22.561241,15100
2018-05-11,27.469999,27.700001,27.260000,27.330000,22.511820,9400
2018-05-14,27.379999,27.469999,27.290001,27.330000,22.511820,10300
2018-05-15,27.340000,27.840000,27.180000,27.780001,22.882484,13000
2018-05-16,27.740000,28.139999,27.650000,28.030001,23.088409,15500
2018-05-17,28.180000,28.549999,27.980000,28.360001,23.360235,54800
2018-05-18,28.410000,28.490000,28.100000,28.160000,23.195498,19100
2018-05-21,28.270000,28.790001,28.120001,28.790001,23.714426,22800
2018-05-22,28.700001,28.920000,28.639999,28.920000,23.821508,16600
2018-05-23,28.900000,29.709999,28.879999,29.559999,24.348680,36400
2018-05-24,29.549999,29.600000,29.129999,29.340000,24.167463,15900
2018-05-25,29.360001,29.910000,29.320000,29.900000,24.628738,22100
2018-05-29,29.900000,29.990000,29.639999,29.879999,24.612263,30200
2018-05-30,29.850000,30.309999,29.320000,29.330000,24.159224,71000
2018-05-31,29.350000,29.959999,28.910000,29.040001,23.920349,35700
2018-06-01,29.160000,29.450001,29.000000,29.110001,23.978016,28800
